WRF ANALYSIS
Date & time = ,2025-02-05, 15:11
Display format=,3
Program version:,2021-05-25

Scan file = ,O108805_TIM2_G102_wa1244_3.5hr_40x_s0_B
Port & distance (cm) =,tim2,10.5
WRF ID; Al blast(um) & cal=,13425932-g102 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.120,1.155,-0.979,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,63,
C; e; Dmax; dDmax; Dscale =,14,15,14.00,0.25,new
Dlow; Dhigh; Dauto; Elims =,8.50,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.179,0.036,0.87

Fit limits (MeV):,11.000,18.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 14.197,1.346,1.148e+08
Uncertainties
    Random:, 0.043,0.045,9.95%
    Systematic calib:, 0.051,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.012,0.045,2.62%
     DvE:, 0.019,0.001,9.58%
     Dmax:, 0.014,0.000,0.48%
     WRF nonlinearity:, 0.014,0.000,0.00%
     Cal. & processing:, 0.031,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.675 	 0.000e+00 	 0.000e+00
4.725 	 0.000e+00 	 0.000e+00
4.775 	 0.000e+00 	 0.000e+00
4.825 	 0.000e+00 	 0.000e+00
4.875 	 0.000e+00 	 0.000e+00
4.925 	 -1.188e+06 	 4.336e+06
4.975 	 -1.171e+06 	 1.883e+06
5.025 	 -1.940e+04 	 1.082e+06
5.075 	 -2.736e+04 	 1.082e+06
5.125 	 -3.090e+05 	 6.988e+05
5.175 	 -1.011e+06 	 6.989e+05
5.225 	 -9.801e+05 	 4.829e+05
5.275 	 -9.872e+05 	 4.829e+05
5.325 	 -9.942e+05 	 4.830e+05
5.375 	 -9.391e+05 	 3.494e+05
5.425 	 -9.454e+05 	 3.495e+05
5.475 	 -6.065e+05 	 3.495e+05
5.525 	 -8.491e+05 	 2.613e+05
5.575 	 -8.549e+05 	 2.614e+05
5.625 	 -8.607e+05 	 2.614e+05
5.675 	 -8.663e+05 	 2.615e+05
5.725 	 -8.129e+05 	 2.004e+05
5.775 	 -4.245e+05 	 2.810e+05
5.825 	 -8.236e+05 	 2.005e+05
5.875 	 -8.290e+05 	 2.005e+05
5.925 	 -6.373e+05 	 2.006e+05
5.975 	 -4.458e+05 	 2.811e+05
6.025 	 -8.449e+05 	 2.007e+05
6.075 	 -6.534e+05 	 2.007e+05
6.125 	 -4.617e+05 	 2.812e+05
6.175 	 -6.639e+05 	 2.008e+05
6.225 	 -7.846e+04 	 3.958e+05
6.275 	 -2.806e+05 	 3.434e+05
6.325 	 -6.795e+05 	 2.010e+05
6.375 	 -9.417e+04 	 3.958e+05
6.425 	 -8.868e+05 	 2.011e+05
6.475 	 -3.013e+05 	 3.435e+05
6.525 	 -5.033e+05 	 2.815e+05
6.575 	 -5.083e+05 	 2.815e+05
6.625 	 -5.137e+05 	 2.815e+05
6.675 	 -5.187e+05 	 2.816e+05
6.725 	 -7.207e+05 	 2.014e+05
6.775 	 -7.259e+05 	 2.014e+05
6.825 	 -5.342e+05 	 2.817e+05
6.875 	 -9.330e+05 	 2.015e+05
6.925 	 -1.506e+05 	 3.961e+05
6.975 	 -5.495e+05 	 2.818e+05
7.025 	 -9.484e+05 	 2.017e+05
7.075 	 -3.628e+05 	 3.438e+05
7.125 	 -1.712e+05 	 3.962e+05
7.175 	 -5.699e+05 	 2.819e+05
7.225 	 -5.751e+05 	 2.820e+05
7.275 	 -1.863e+05 	 3.963e+05
7.325 	 -7.822e+05 	 2.020e+05
7.375 	 5.910e+05 	 5.587e+05
7.425 	 -7.923e+05 	 2.021e+05
7.475 	 -2.066e+05 	 3.964e+05
7.525 	 1.819e+05 	 4.844e+05
7.575 	 -6.105e+05 	 2.822e+05
7.625 	 -4.188e+05 	 3.442e+05
7.675 	 -3.013e+04 	 4.427e+05
7.725 	 -6.257e+05 	 2.824e+05
7.775 	 5.505e+05 	 5.588e+05
7.825 	 -4.517e+04 	 4.428e+05
7.875 	 -2.471e+05 	 3.966e+05
7.925 	 3.386e+05 	 5.231e+05
7.975 	 1.367e+05 	 4.846e+05
8.025 	 -6.560e+05 	 2.826e+05
8.075 	 -2.671e+05 	 3.967e+05
8.125 	 -7.537e+04 	 4.429e+05
8.175 	 -8.027e+04 	 4.430e+05
8.225 	 -8.529e+04 	 4.430e+05
8.275 	 1.066e+05 	 4.848e+05
8.325 	 -9.521e+04 	 4.430e+05
8.375 	 -2.971e+05 	 3.969e+05
8.425 	 2.886e+05 	 5.233e+05
8.475 	 4.805e+05 	 5.591e+05
8.525 	 8.183e+04 	 4.849e+05
8.575 	 6.674e+05 	 5.928e+05
8.625 	 2.688e+05 	 5.234e+05
8.675 	 -7.205e+05 	 2.831e+05
8.725 	 2.590e+05 	 5.234e+05
8.775 	 2.541e+05 	 5.235e+05
8.825 	 -1.447e+05 	 4.433e+05
8.875 	 -5.432e+05 	 3.450e+05
8.925 	 4.239e+04 	 4.851e+05
8.975 	 4.313e+05 	 5.593e+05
9.025 	 2.297e+05 	 5.236e+05
9.075 	 -1.689e+05 	 4.434e+05
9.125 	 2.311e+04 	 4.852e+05
9.175 	 1.593e+06 	 7.386e+05
9.225 	 4.071e+05 	 5.594e+05
9.275 	 2.053e+05 	 5.237e+05
9.325 	 -5.870e+05 	 3.453e+05
9.375 	 3.926e+05 	 5.595e+05
9.425 	 -4.000e+05 	 3.975e+05
9.475 	 1.170e+06 	 6.842e+05
9.525 	 -2.127e+05 	 4.437e+05
9.575 	 1.762e+05 	 5.238e+05
9.625 	 -4.192e+05 	 3.977e+05
9.675 	 7.572e+05 	 6.251e+05
9.725 	 9.492e+05 	 6.554e+05
9.775 	 -3.996e+04 	 4.855e+05
9.825 	 1.521e+05 	 5.239e+05
9.875 	 -6.402e+05 	 3.457e+05
9.925 	 -4.481e+05 	 3.978e+05
9.975 	 -4.529e+05 	 3.979e+05
10.025 	 -6.403e+04 	 4.856e+05
10.075 	 9.157e+05 	 6.555e+05
10.125 	 -2.705e+05 	 4.440e+05
10.175 	 1.185e+05 	 5.241e+05
10.225 	 1.138e+05 	 5.241e+05
10.275 	 -4.817e+05 	 3.981e+05
10.325 	 3.011e+05 	 5.599e+05
10.375 	 -4.912e+05 	 3.981e+05
10.425 	 1.079e+06 	 6.846e+05
10.475 	 8.773e+05 	 6.557e+05
10.525 	 8.515e+04 	 5.243e+05
10.575 	 1.065e+06 	 6.846e+05
10.625 	 -1.212e+05 	 4.860e+05
10.675 	 1.055e+06 	 6.847e+05
10.725 	 6.568e+05 	 6.255e+05
10.775 	 6.520e+05 	 6.255e+05
10.825 	 5.662e+04 	 5.244e+05
10.875 	 8.394e+05 	 6.558e+05
10.925 	 6.379e+05 	 6.256e+05
10.975 	 1.027e+06 	 6.848e+05
11.025 	 1.022e+06 	 6.848e+05
11.075 	 4.269e+05 	 5.939e+05
11.125 	 1.407e+06 	 7.393e+05
11.175 	 1.796e+06 	 7.900e+05
11.225 	 1.988e+06 	 8.142e+05
11.275 	 1.196e+06 	 7.126e+05
11.325 	 1.978e+06 	 8.142e+05
11.375 	 3.352e+06 	 9.666e+05
11.425 	 2.953e+06 	 9.256e+05
11.475 	 3.146e+06 	 9.463e+05
11.525 	 5.110e+06 	 1.133e+06
11.575 	 2.742e+06 	 9.045e+05
11.625 	 4.510e+06 	 1.080e+06
11.675 	 5.096e+06 	 1.133e+06
11.725 	 7.847e+06 	 1.351e+06
11.775 	 9.615e+06 	 1.475e+06
11.825 	 6.657e+06 	 1.262e+06
11.875 	 1.059e+07 	 1.539e+06
11.925 	 1.137e+07 	 1.589e+06
11.975 	 1.294e+07 	 1.683e+06
12.025 	 1.176e+07 	 1.613e+06
12.075 	 1.215e+07 	 1.637e+06
12.125 	 1.706e+07 	 1.910e+06
