Proton energy (MeV),Spectrum (MeV^-1),Spectrum error (MeV^-1)
2.0187065289855073,105846496033.6781,2080860924.4321997
2.069073586956522,107046302831.49248,2090161707.2493918
2.1194406449275363,98854837966.76822,2012330327.682228
2.1698077028985505,85591631897.6039,1879685537.069151
2.2201747608695652,78685531137.67767,1806420038.9721339
2.27054181884058,78482945623.90175,1803113088.7591577
2.320908876811594,81187162814.3151,1829401317.813716
2.3712759347826085,82883372491.65541,1845237070.1492143
2.421642992753623,73683107427.02731,1744654498.2034662
2.472010050724638,56720269156.95711,1543642790.35654
2.522377108695652,51592186502.21683,1475947054.6239445
2.5727441666666664,45263984385.69296,1387897750.7383194
2.623111224637681,41671120922.840904,1334180450.2285867
2.673478282608696,35555821481.296745,1239087677.96693
2.72384534057971,29625197683.21571,1139341658.6225293
2.7742123985507243,22701200976.76961,1010973185.0218045
2.824579456521739,19920449043.525955,952458672.2045888
2.8749465144927537,16134186683.023293,868040602.7712424
2.925313572463768,13628837202.271004,806561699.952059
2.9756806304347823,8452538140.986436,665690831.4499719
3.0260476884057974,4928482608.894113,548997081.2525189
3.0764147463768117,3373746894.887292,487071718.14501965
3.126781804347826,1999625828.4550645,428397479.05655044
3.17714886231884,513269670.6644731,362356191.8892248
3.2275159202898553,-68077920.6638889,336744992.9578999
3.2778829782608696,-998070724.4985665,286467722.6587455
3.328250036231884,-1129172825.7303421,289060243.5799067
3.378617094202898,-519387182.8578297,336744992.9578999
3.4289841521739133,-1456805637.4987597,289060243.5799067
3.4793512101449275,-871357829.1704609,332284597.4399685
3.529718268115942,-1902097904.4844043,273136256.58149576
3.580085326086956,-1486023469.865576,301688856.082571
3.630452384057971,-968129820.471368,327763507.89779484
3.6808194420289855,-998159582.5088367,323179177.1186593
3.7311864999999997,-1385392938.9045818,294176751.2990262
3.781553557971014,-736210169.8763679,330031794.5329735
3.831920615942029,-1859662042.0825784,253296144.08246186
3.8822876739130434,-987728576.0691936,306594687.61018085
3.9326547318840577,-878869989.876167,311423247.4577941
3.9830217898550724,-1042107329.4782665,296701919.9432928
4.033388847826087,-602024338.7619251,320862450.6387537
4.083755905797101,-1331890202.5151303,270391098.90335816
4.134122963768116,-376004006.2482336,327763507.89779484
4.18449002173913,-662113356.3001201,309018398.74669504
4.234857079710145,-464166263.47938585,316178075.84260577
4.285224137681159,-66957699.207994506,338953180.50639844
4.3355911956521735,-867415902.8785558,283851524.2729919
4.385958253623189,-129889281.85119218,330031794.5329735
4.436325311594203,-351077842.88509166,311423247.4577941
4.486692369565217,-349134666.0210004,311423247.4577941
4.5370594275362315,-885081158.8757849,270391098.90335816
4.587426485507246,-183895665.29593462,316178075.84260577
4.637793543478261,-808617104.1361372,270391098.90335816
4.688160601449275,17853629.519394703,323179177.1186593
4.738527659420289,-1087184484.4053037,244300494.73441952
4.788894717391305,-786828123.9895086,264815425.872043
4.839261775362319,-793581475.6715441,261983093.89463368
4.889628833333333,-628128026.5074896,270391098.90335816
4.939995891304347,-855034504.7279432,253296144.08246186
4.990362949275362,-1173274977.3240438,221896943.8166573
5.040730007246377,-91710581.71056826,301688856.082571
5.091097065217391,-427473887.38528097,275854097.21905476
5.141464123188405,-557287176.4225855,264815425.872043
5.19183118115942,-851039875.6386228,241227410.20517358
5.242198239130435,137303838.7985914,306594687.61018085
5.292565297101449,-982887856.6581781,225233927.21426275
5.342932355072463,-1243907542.622983,196961355.65857428
5.393299413043478,-1526322339.8034828,163881753.94889742
5.443666471014493,-1217303941.0567605,196961355.65857428
