WRF ANALYSIS
Date & time = ,2023-09-20, 15:13
Display format=,3
Program version:,2021-05-25

Scan file = ,O108806_P2_G154_wa1256_1hr_40x_s6
Port & distance (cm) =,p2,26.0
WRF ID; Al blast(um) & cal=,g154 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(23-76),(0-62),-1.153,1.145,-0.969,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,62,
C; e; Dmax; dDmax; Dscale =,21,15,6.60,0.25,new
Dlow; Dhigh; Dauto; Elims =,9.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.621,0.034,0.58

Fit limits (MeV):,13.000,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 14.425,0.384,5.608e+09
Value (raw stats):, 14.388,0.388,5.728e+09
Uncertainties
    Random:, 0.045,0.003,14.35%
    Systematic calib:, 0.051,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.002,0.003,8.54%
     DvE:, 0.005,0.000,11.49%
     Dmax:, 0.029,0.000,0.99%
     WRF nonlinearity:, 0.014,0.000,0.00%
     Cal. & processing:, 0.030,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.275 	 0.000e+00 	 0.000e+00
4.325 	 0.000e+00 	 0.000e+00
4.375 	 0.000e+00 	 0.000e+00
4.425 	 0.000e+00 	 0.000e+00
4.475 	 0.000e+00 	 0.000e+00
4.525 	 -1.957e+07 	 7.748e+07
4.575 	 4.537e+06 	 2.287e+07
4.625 	 3.390e+07 	 2.390e+07
4.675 	 3.272e+06 	 1.041e+07
4.725 	 -4.203e+06 	 5.975e+06
4.775 	 1.353e+07 	 1.189e+07
4.825 	 -4.362e+06 	 5.976e+06
4.875 	 -4.441e+06 	 5.977e+06
4.925 	 1.416e+06 	 8.425e+06
4.975 	 -4.598e+06 	 5.978e+06
5.025 	 -4.676e+06 	 5.979e+06
5.075 	 1.306e+07 	 1.190e+07
5.125 	 7.041e+06 	 1.031e+07
5.175 	 -1.085e+07 	 5.980e+06
5.225 	 -1.092e+07 	 5.981e+06
5.275 	 -5.068e+06 	 5.982e+06
5.325 	 -1.108e+07 	 5.982e+06
5.375 	 -5.223e+06 	 5.983e+06
5.425 	 6.387e+05 	 8.429e+06
5.475 	 5.601e+05 	 8.430e+06
5.525 	 4.831e+05 	 8.430e+06
5.575 	 -5.531e+06 	 5.985e+06
5.625 	 -5.610e+06 	 5.986e+06
5.675 	 2.522e+05 	 8.432e+06
5.725 	 1.205e+07 	 1.190e+07
5.775 	 -1.178e+07 	 5.988e+06
5.825 	 -1.185e+07 	 5.989e+06
5.875 	 -5.993e+06 	 5.989e+06
5.925 	 -6.068e+06 	 5.990e+06
5.975 	 5.729e+06 	 1.031e+07
6.025 	 -6.222e+06 	 5.991e+06
6.075 	 1.151e+07 	 1.190e+07
