WRF ANALYSIS
Date & time = ,2023-09-20, 15:19
Display format=,3
Program version:,2021-05-25

Scan file = ,O108806_tim2_G096_wa1245_1hr_40x_s5
Port & distance (cm) =,tim2,10.5
WRF ID; Al blast(um) & cal=,13425926-g096 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.119,1.158,-0.981,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,63,
C; e; Dmax; dDmax; Dscale =,30,15,7.00,0.25,new
Dlow; Dhigh; Dauto; Elims =,9.50,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.619,0.054,5.02

Fit limits (MeV):,13.000,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 14.448,0.400,2.832e+09
Value (raw stats):, 14.434,0.376,2.836e+09
Uncertainties
    Random:, 0.044,0.003,25.34%
    Systematic calib:, 0.050,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.004,0.003,17.13%
     DvE:, 0.009,0.002,18.65%
     Dmax:, 0.027,0.000,0.92%
     WRF nonlinearity:, 0.014,0.000,0.00%
     Cal. & processing:, 0.030,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.625 	 0.000e+00 	 0.000e+00
4.675 	 0.000e+00 	 0.000e+00
4.725 	 0.000e+00 	 0.000e+00
4.775 	 0.000e+00 	 0.000e+00
4.825 	 0.000e+00 	 0.000e+00
4.875 	 -8.237e+05 	 6.372e+06
4.925 	 -1.824e+06 	 3.996e+06
4.975 	 -4.412e+06 	 2.341e+06
5.025 	 -3.636e+06 	 2.146e+06
5.075 	 -4.967e+05 	 2.831e+06
5.125 	 -3.753e+06 	 2.147e+06
5.175 	 1.517e+06 	 3.207e+06
5.225 	 -2.802e+06 	 2.397e+06
5.275 	 -1.796e+06 	 2.623e+06
5.325 	 2.776e+05 	 3.025e+06
5.375 	 -1.912e+06 	 2.624e+06
5.425 	 -1.968e+06 	 2.624e+06
5.475 	 -2.026e+06 	 2.624e+06
5.525 	 -3.149e+06 	 2.398e+06
5.575 	 -1.075e+06 	 2.833e+06
5.625 	 -4.330e+06 	 2.149e+06
5.675 	 -6.517e+06 	 1.533e+06
5.725 	 -2.313e+06 	 2.625e+06
5.775 	 -2.391e+05 	 3.027e+06
5.825 	 -2.427e+06 	 2.626e+06
5.875 	 -1.419e+06 	 2.834e+06
5.925 	 -2.541e+06 	 2.626e+06
5.975 	 -4.729e+06 	 2.151e+06
6.025 	 -5.852e+06 	 1.869e+06
6.075 	 -1.647e+06 	 2.834e+06
6.125 	 4.277e+05 	 3.210e+06
6.175 	 -2.825e+06 	 2.627e+06
6.225 	 -3.946e+06 	 2.401e+06
6.275 	 -6.133e+06 	 1.870e+06
6.325 	 -4.057e+06 	 2.402e+06
6.375 	 1.213e+06 	 3.383e+06
6.425 	 -3.104e+06 	 2.628e+06
6.475 	 -5.290e+06 	 2.153e+06
6.525 	 3.179e+06 	 3.704e+06
6.575 	 -6.464e+06 	 1.872e+06
6.625 	 -2.259e+06 	 2.837e+06
6.675 	 -7.640e+06 	 1.540e+06
6.725 	 8.285e+05 	 3.384e+06
6.775 	 -1.358e+06 	 3.031e+06
6.825 	 -2.479e+06 	 2.837e+06
6.875 	 -3.599e+06 	 2.630e+06
6.925 	 -2.587e+06 	 2.838e+06
6.975 	 -2.644e+06 	 2.838e+06
7.025 	 -2.698e+06 	 2.838e+06
7.075 	 2.575e+06 	 3.706e+06
7.125 	 1.454e+06 	 3.549e+06
7.175 	 3.345e+05 	 3.386e+06
7.225 	 -2.917e+06 	 2.839e+06
7.275 	 -4.036e+06 	 2.632e+06
7.325 	 -7.288e+06 	 1.877e+06
7.375 	 -3.079e+06 	 2.840e+06
7.425 	 -4.201e+06 	 2.632e+06
7.475 	 3.205e+06 	 3.857e+06
7.525 	 -3.244e+06 	 2.840e+06
7.575 	 2.031e+06 	 3.707e+06
7.625 	 8.369e+06 	 4.534e+06
7.675 	 -1.275e+06 	 3.216e+06
7.725 	 -3.459e+06 	 2.841e+06
7.775 	 -4.579e+06 	 2.634e+06
7.825 	 -3.567e+06 	 2.842e+06
7.875 	 -2.555e+06 	 3.035e+06
7.925 	 6.980e+06 	 4.408e+06
7.975 	 -5.859e+06 	 2.410e+06
8.025 	 4.786e+05 	 3.553e+06
8.075 	 -2.770e+06 	 3.036e+06
8.125 	 -6.942e+05 	 3.389e+06
8.175 	 4.581e+06 	 4.143e+06
8.225 	 2.650e+05 	 3.553e+06
8.275 	 -1.920e+06 	 3.218e+06
8.325 	 1.224e+06 	 3.710e+06
8.375 	 1.171e+06 	 3.710e+06
8.425 	 -2.078e+06 	 3.219e+06
8.475 	 -2.132e+06 	 3.219e+06
8.525 	 -6.446e+06 	 2.413e+06
8.575 	 -3.304e+06 	 3.038e+06
8.625 	 1.971e+06 	 3.861e+06
8.675 	 4.049e+06 	 4.145e+06
8.725 	 7.193e+06 	 4.537e+06
8.775 	 -4.579e+06 	 2.846e+06
8.825 	 -3.710e+05 	 3.556e+06
8.875 	 -2.553e+06 	 3.221e+06
8.925 	 -9.000e+06 	 1.888e+06
8.975 	 -2.658e+06 	 3.221e+06
9.025 	 5.814e+06 	 4.411e+06
9.075 	 -1.695e+06 	 3.393e+06
9.125 	 -3.879e+06 	 3.040e+06
9.175 	 1.396e+06 	 3.863e+06
9.225 	 5.605e+06 	 4.412e+06
9.275 	 -2.971e+06 	 3.222e+06
9.325 	 5.501e+06 	 4.412e+06
9.375 	 1.188e+06 	 3.864e+06
9.425 	 6.912e+04 	 3.714e+06
9.475 	 -1.046e+06 	 3.558e+06
9.525 	 -7.492e+06 	 2.419e+06
9.575 	 2.045e+06 	 4.009e+06
9.625 	 -1.203e+06 	 3.559e+06
9.675 	 1.260e+07 	 5.237e+06
9.725 	 -2.412e+05 	 3.715e+06
9.775 	 7.730e+05 	 3.865e+06
9.825 	 -1.409e+06 	 3.559e+06
9.875 	 -2.526e+06 	 3.396e+06
9.925 	 1.021e+07 	 5.016e+06
9.975 	 -1.563e+06 	 3.560e+06
10.025 	 -5.502e+05 	 3.716e+06
10.075 	 4.651e+05 	 3.866e+06
10.125 	 -3.849e+06 	 3.226e+06
10.175 	 -3.901e+06 	 3.226e+06
10.225 	 3.507e+06 	 4.285e+06
10.275 	 1.324e+06 	 4.011e+06
10.325 	 1.086e+07 	 5.129e+06
10.375 	 4.419e+06 	 4.416e+06
10.425 	 -9.595e+05 	 3.718e+06
10.475 	 5.459e+04 	 3.868e+06
10.525 	 -3.192e+06 	 3.399e+06
10.575 	 -4.684e+04 	 3.868e+06
10.625 	 -4.359e+06 	 3.228e+06
10.675 	 -2.279e+06 	 3.563e+06
10.725 	 2.998e+06 	 4.286e+06
10.775 	 -7.708e+06 	 2.650e+06
10.825 	 2.895e+06 	 4.287e+06
10.875 	 7.107e+06 	 4.787e+06
10.925 	 1.730e+06 	 4.152e+06
10.975 	 4.875e+06 	 4.544e+06
11.025 	 -1.568e+06 	 3.720e+06
11.075 	 5.126e+05 	 4.014e+06
11.125 	 -3.799e+06 	 3.402e+06
11.175 	 2.543e+06 	 4.288e+06
11.225 	 3.623e+05 	 4.015e+06
11.275 	 1.376e+06 	 4.154e+06
11.325 	 -2.934e+06 	 3.566e+06
11.375 	 2.119e+05 	 4.015e+06
11.425 	 1.227e+06 	 4.154e+06
11.475 	 -9.538e+05 	 3.872e+06
11.525 	 2.192e+06 	 4.289e+06
11.575 	 8.534e+06 	 5.021e+06
11.625 	 -7.498e+06 	 2.861e+06
11.675 	 5.238e+06 	 4.670e+06
11.725 	 1.265e+07 	 5.455e+06
11.775 	 4.073e+06 	 4.547e+06
11.825 	 9.350e+06 	 5.133e+06
11.875 	 1.143e+07 	 5.350e+06
11.925 	 -4.600e+06 	 3.406e+06
11.975 	 6.004e+06 	 4.791e+06
12.025 	 1.767e+07 	 5.953e+06
12.075 	 6.972e+06 	 4.908e+06
12.125 	 1.545e+07 	 5.760e+06
12.175 	 7.937e+06 	 5.023e+06
12.225 	 4.692e+06 	 4.672e+06
12.275 	 1.956e+07 	 6.142e+06
12.325 	 1.631e+07 	 5.858e+06
12.375 	 1.839e+07 	 6.049e+06
12.425 	 2.320e+05 	 4.158e+06
12.475 	 1.084e+07 	 5.352e+06
12.525 	 1.505e+07 	 5.761e+06
12.575 	 2.459e+07 	 6.588e+06
12.625 	 2.134e+07 	 6.325e+06
12.675 	 1.171e+07 	 5.458e+06
12.725 	 5.263e+06 	 4.793e+06
12.775 	 8.411e+06 	 5.137e+06
12.825 	 3.500e+07 	 7.400e+06
12.875 	 2.856e+07 	 6.925e+06
12.925 	 2.318e+07 	 6.502e+06
12.975 	 3.272e+07 	 7.246e+06
13.025 	 1.882e+07 	 6.144e+06
13.075 	 4.967e+07 	 8.406e+06
13.125 	 5.175e+07 	 8.540e+06
13.175 	 5.170e+07 	 8.540e+06
13.225 	 4.739e+07 	 8.270e+06
13.275 	 6.226e+07 	 9.181e+06
13.325 	 1.038e+08 	 1.134e+07
13.375 	 1.538e+08 	 1.349e+07
13.425 	 1.410e+08 	 1.297e+07
13.475 	 1.313e+08 	 1.257e+07
13.525 	 2.261e+08 	 1.610e+07
13.575 	 3.411e+08 	 1.954e+07
13.625 	 4.039e+08 	 2.118e+07
13.675 	 3.975e+08 	 2.102e+07
13.725 	 4.592e+08 	 2.253e+07
13.775 	 6.872e+08 	 2.740e+07
13.825 	 9.983e+08 	 3.290e+07
13.875 	 1.140e+09 	 3.512e+07
13.925 	 1.077e+09 	 3.415e+07
13.975 	 1.172e+09 	 3.560e+07
14.025 	 1.649e+09 	 4.214e+07
14.075 	 2.201e+09 	 4.862e+07
14.125 	 2.209e+09 	 4.871e+07
14.175 	 1.940e+09 	 4.567e+07
14.225 	 1.964e+09 	 4.595e+07
14.275 	 2.700e+09 	 5.382e+07
14.325 	 3.062e+09 	 5.728e+07
14.375 	 2.853e+09 	 5.530e+07
14.425 	 2.320e+09 	 4.991e+07
14.475 	 2.501e+09 	 5.181e+07
14.525 	 3.082e+09 	 5.747e+07
14.575 	 3.231e+09 	 5.883e+07
14.625 	 2.523e+09 	 5.204e+07
14.675 	 1.995e+09 	 4.631e+07
14.725 	 2.138e+09 	 4.794e+07
14.775 	 2.405e+09 	 5.081e+07
14.825 	 2.053e+09 	 4.698e+07
14.875 	 1.451e+09 	 3.957e+07
14.925 	 1.176e+09 	 3.568e+07
14.975 	 1.282e+09 	 3.722e+07
15.025 	 1.130e+09 	 3.499e+07
15.075 	 7.946e+08 	 2.944e+07
15.125 	 5.325e+08 	 2.423e+07
15.175 	 4.451e+08 	 2.223e+07
15.225 	 4.162e+08 	 2.153e+07
15.275 	 2.905e+08 	 1.815e+07
15.325 	 1.679e+08 	 1.411e+07
15.375 	 9.007e+07 	 1.078e+07
15.425 	 1.017e+08 	 1.134e+07
15.475 	 6.867e+07 	 9.667e+06
15.525 	 4.625e+07 	 8.344e+06
15.575 	 2.489e+07 	 6.850e+06
15.625 	 1.526e+07 	 6.058e+06
15.675 	 2.267e+07 	 6.682e+06
15.725 	 2.582e+07 	 6.932e+06
15.775 	 1.618e+07 	 6.152e+06
15.825 	 3.318e+07 	 7.484e+06
15.875 	 5.431e+06 	 5.147e+06
15.925 	 2.563e+07 	 6.933e+06
15.975 	 1.386e+07 	 5.965e+06
16.025 	 1.275e+07 	 5.869e+06
16.075 	 5.244e+06 	 5.148e+06
