WRF ANALYSIS
Date & time = ,2023-09-20, 15:34
Display format=,3
Program version:,2021-05-25

Scan file = ,O108808_P2_G018_wa1258_1hr_40x_s0
Port & distance (cm) =,p2,26.0
WRF ID; Al blast(um) & cal=,13425848-g018 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.120,1.155,-0.979,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,63,
C; e; Dmax; dDmax; Dscale =,24,15,6.65,0.25,new
Dlow; Dhigh; Dauto; Elims =,9.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.664,0.053,1.16

Fit limits (MeV):,13.000,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 14.291,0.441,6.291e+09
Value (raw stats):, 14.242,0.441,6.315e+09
Uncertainties
    Random:, 0.045,0.004,23.16%
    Systematic calib:, 0.051,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.004,0.004,12.93%
     DvE:, 0.007,0.000,19.19%
     Dmax:, 0.029,0.000,1.00%
     WRF nonlinearity:, 0.014,0.000,0.00%
     Cal. & processing:, 0.031,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.375 	 0.000e+00 	 0.000e+00
4.425 	 0.000e+00 	 0.000e+00
4.475 	 0.000e+00 	 0.000e+00
4.525 	 0.000e+00 	 0.000e+00
4.575 	 0.000e+00 	 0.000e+00
4.625 	 -7.996e+05 	 2.515e+07
4.675 	 -1.404e+07 	 1.337e+07
4.725 	 -1.686e+07 	 8.364e+06
4.775 	 -1.595e+07 	 6.818e+06
4.825 	 -2.285e+07 	 6.819e+06
4.875 	 -2.303e+07 	 6.821e+06
4.925 	 -3.010e+06 	 1.171e+07
4.975 	 -2.338e+07 	 6.823e+06
5.025 	 1.011e+07 	 1.509e+07
5.075 	 -2.372e+07 	 6.826e+06
5.125 	 3.028e+06 	 1.351e+07
5.175 	 -3.875e+06 	 1.172e+07
5.225 	 2.686e+06 	 1.351e+07
5.275 	 9.240e+06 	 1.510e+07
5.325 	 -1.113e+07 	 9.592e+06
5.375 	 -2.476e+07 	 6.834e+06
5.425 	 -1.820e+07 	 6.836e+06
5.475 	 1.821e+06 	 1.352e+07
5.525 	 -1.181e+07 	 9.596e+06
5.575 	 2.841e+07 	 1.908e+07
5.625 	 2.150e+07 	 1.785e+07
5.675 	 -1.906e+07 	 6.843e+06
5.725 	 -1.250e+07 	 9.600e+06
5.775 	 -5.935e+06 	 1.173e+07
5.825 	 6.255e+05 	 1.352e+07
5.875 	 -6.277e+06 	 1.173e+07
5.925 	 1.375e+07 	 1.654e+07
5.975 	 4.051e+07 	 2.133e+07
6.025 	 6.677e+06 	 1.511e+07
6.075 	 1.997e+07 	 1.786e+07
6.125 	 -1.386e+07 	 9.609e+06
6.175 	 6.172e+06 	 1.511e+07
6.225 	 1.274e+07 	 1.654e+07
6.275 	 1.257e+07 	 1.654e+07
6.325 	 -1.058e+06 	 1.353e+07
6.375 	 -1.228e+06 	 1.353e+07
6.425 	 -8.124e+06 	 1.174e+07
6.475 	 2.537e+07 	 1.909e+07
6.525 	 -8.451e+06 	 1.174e+07
6.575 	 4.852e+06 	 1.511e+07
6.625 	 -1.551e+07 	 9.620e+06
6.675 	 -8.942e+06 	 1.174e+07
6.725 	 4.357e+06 	 1.512e+07
6.775 	 -2.274e+07 	 6.877e+06
6.825 	 -2.705e+06 	 1.354e+07
6.875 	 -9.601e+06 	 1.175e+07
6.925 	 -1.649e+07 	 9.626e+06
6.975 	 -9.928e+06 	 1.175e+07
7.025 	 -1.682e+07 	 9.629e+06
7.075 	 -1.025e+07 	 1.175e+07
7.125 	 3.044e+06 	 1.512e+07
7.175 	 -1.731e+07 	 9.632e+06
7.225 	 2.720e+06 	 1.512e+07
7.275 	 1.602e+07 	 1.787e+07
7.325 	 1.586e+07 	 1.787e+07
7.375 	 2.243e+07 	 1.910e+07
7.425 	 2.069e+06 	 1.513e+07
7.475 	 1.538e+07 	 1.787e+07
7.525 	 -4.986e+06 	 1.355e+07
7.575 	 -5.143e+06 	 1.355e+07
7.625 	 1.489e+07 	 1.788e+07
7.675 	 1.472e+07 	 1.788e+07
7.725 	 2.130e+07 	 1.910e+07
7.775 	 2.114e+07 	 1.910e+07
7.825 	 -1.268e+07 	 1.176e+07
7.875 	 6.209e+05 	 1.513e+07
7.925 	 -6.271e+06 	 1.356e+07
7.975 	 2.050e+07 	 1.911e+07
8.025 	 2.706e+07 	 2.026e+07
8.075 	 2.691e+07 	 2.026e+07
8.125 	 -6.915e+06 	 1.356e+07
8.175 	 6.392e+06 	 1.657e+07
8.225 	 -5.001e+05 	 1.514e+07
8.275 	 1.280e+07 	 1.789e+07
8.325 	 1.938e+07 	 1.911e+07
8.375 	 -7.709e+06 	 1.356e+07
8.425 	 -1.133e+06 	 1.514e+07
8.475 	 -8.025e+06 	 1.357e+07
8.525 	 -2.838e+07 	 6.937e+06
8.575 	 -8.342e+06 	 1.357e+07
8.625 	 -1.767e+06 	 1.515e+07
8.675 	 -1.923e+06 	 1.515e+07
8.725 	 -8.812e+06 	 1.357e+07
8.775 	 1.123e+07 	 1.789e+07
8.825 	 -2.397e+06 	 1.515e+07
8.875 	 4.182e+06 	 1.658e+07
8.925 	 1.748e+07 	 1.912e+07
8.975 	 2.406e+07 	 2.027e+07
9.025 	 3.716e+06 	 1.658e+07
9.075 	 5.068e+07 	 2.433e+07
9.125 	 5.053e+07 	 2.434e+07
9.175 	 -3.482e+06 	 1.516e+07
9.225 	 -1.037e+07 	 1.358e+07
9.275 	 -3.072e+07 	 6.964e+06
9.325 	 -3.087e+07 	 6.966e+06
9.375 	 -1.756e+07 	 1.180e+07
9.425 	 2.470e+06 	 1.659e+07
9.475 	 2.925e+07 	 2.136e+07
9.525 	 2.164e+06 	 1.659e+07
9.575 	 -1.819e+07 	 1.180e+07
9.625 	 8.586e+06 	 1.790e+07
9.675 	 -2.522e+07 	 9.697e+06
9.725 	 -1.192e+07 	 1.359e+07
9.775 	 -1.207e+07 	 1.359e+07
9.825 	 -1.222e+07 	 1.359e+07
9.875 	 -2.584e+07 	 9.703e+06
9.925 	 -1.253e+07 	 1.359e+07
9.975 	 -1.942e+07 	 1.181e+07
10.025 	 -2.630e+07 	 9.707e+06
10.075 	 4.739e+05 	 1.660e+07
10.125 	 1.378e+07 	 1.914e+07
10.175 	 1.643e+05 	 1.660e+07
10.225 	 2.694e+07 	 2.137e+07
10.275 	 6.044e+07 	 2.614e+07
10.325 	 6.029e+07 	 2.614e+07
10.375 	 8.034e+07 	 2.863e+07
10.425 	 1.071e+08 	 3.163e+07
10.475 	 1.070e+08 	 3.164e+07
10.525 	 1.068e+08 	 3.164e+07
10.575 	 1.605e+08 	 3.692e+07
10.625 	 2.479e+08 	 4.419e+07
10.675 	 2.141e+08 	 4.154e+07
10.725 	 3.889e+08 	 5.389e+07
10.775 	 2.945e+08 	 4.764e+07
10.825 	 2.473e+08 	 4.419e+07
10.875 	 3.077e+08 	 4.858e+07
10.925 	 3.075e+08 	 4.858e+07
10.975 	 3.814e+08 	 5.347e+07
11.025 	 3.678e+08 	 5.262e+07
11.075 	 2.667e+08 	 4.570e+07
11.125 	 1.117e+08 	 3.235e+07
11.175 	 1.654e+08 	 3.754e+07
11.225 	 2.124e+08 	 4.155e+07
11.275 	 2.459e+08 	 4.419e+07
11.325 	 2.121e+08 	 4.155e+07
11.375 	 5.039e+07 	 2.527e+07
11.425 	 3.678e+07 	 2.341e+07
11.475 	 4.336e+07 	 2.436e+07
11.525 	 9.034e+07 	 3.018e+07
11.575 	 9.018e+07 	 3.018e+07
11.625 	 2.945e+07 	 2.243e+07
11.675 	 9.108e+06 	 1.916e+07
11.725 	 6.281e+07 	 2.701e+07
11.775 	 -4.654e+06 	 1.663e+07
11.825 	 8.660e+06 	 1.916e+07
11.875 	 5.563e+07 	 2.616e+07
11.925 	 3.529e+07 	 2.342e+07
11.975 	 3.514e+07 	 2.342e+07
12.025 	 2.153e+07 	 2.140e+07
12.075 	 4.831e+07 	 2.528e+07
12.125 	 4.143e+07 	 2.437e+07
12.175 	 8.167e+07 	 2.943e+07
12.225 	 5.460e+07 	 2.617e+07
12.275 	 5.445e+07 	 2.617e+07
12.325 	 5.430e+07 	 2.617e+07
12.375 	 1.147e+08 	 3.305e+07
12.425 	 1.146e+08 	 3.305e+07
12.475 	 1.010e+08 	 3.165e+07
12.525 	 1.143e+08 	 3.306e+07
12.575 	 1.411e+08 	 3.569e+07
12.625 	 1.073e+08 	 3.236e+07
12.675 	 1.475e+08 	 3.632e+07
12.725 	 1.137e+08 	 3.306e+07
12.775 	 1.876e+08 	 3.989e+07
12.825 	 2.346e+08 	 4.369e+07
12.875 	 2.277e+08 	 4.316e+07
12.925 	 2.276e+08 	 4.317e+07
12.975 	 3.553e+08 	 5.219e+07
13.025 	 3.215e+08 	 4.998e+07
