WRF ANALYSIS
Date & time = ,2023-09-20, 15:37
Display format=,3
Program version:,2021-05-25

Scan file = ,O108808_TIM2_G075_wa1247_1hr_40x_s0
Port & distance (cm) =,tim2,10.5
WRF ID; Al blast(um) & cal=,13425905-g075 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.120,1.155,-0.979,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,63,
C; e; Dmax; dDmax; Dscale =,24,15,6.90,0.25,new
Dlow; Dhigh; Dauto; Elims =,10.00,16.00,no

DvE fit: c; dc; red. Chi^2 =, 1.693,0.107,10.38

Fit limits (MeV):,13.000,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 14.398,0.362,5.609e+09
Value (raw stats):, 14.394,0.343,5.597e+09
Uncertainties
    Random:, 0.046,0.003,45.29%
    Systematic calib:, 0.051,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.004,0.002,7.53%
     DvE:, 0.014,0.002,44.64%
     Dmax:, 0.028,0.000,0.94%
     WRF nonlinearity:, 0.014,0.000,0.00%
     Cal. & processing:, 0.030,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.475 	 0.000e+00 	 0.000e+00
4.525 	 0.000e+00 	 0.000e+00
4.575 	 0.000e+00 	 0.000e+00
4.625 	 0.000e+00 	 0.000e+00
4.675 	 0.000e+00 	 0.000e+00
4.725 	 1.612e+06 	 7.854e+06
4.775 	 -8.473e+05 	 3.980e+06
4.825 	 4.663e+06 	 4.682e+06
4.875 	 -6.961e+06 	 1.684e+06
4.925 	 -5.376e+06 	 2.359e+06
4.975 	 -3.789e+06 	 2.880e+06
5.025 	 -3.854e+06 	 2.880e+06
5.075 	 -3.918e+06 	 2.880e+06
5.125 	 -7.287e+06 	 1.687e+06
5.175 	 -7.455e+05 	 3.709e+06
5.225 	 8.419e+05 	 4.060e+06
5.275 	 -2.527e+06 	 3.321e+06
5.325 	 -7.545e+06 	 1.689e+06
5.375 	 -4.308e+06 	 2.882e+06
5.425 	 1.049e+07 	 5.731e+06
5.475 	 -6.087e+06 	 2.363e+06
5.525 	 -4.499e+06 	 2.883e+06
5.575 	 -1.261e+06 	 3.711e+06
5.625 	 3.255e+05 	 4.062e+06
5.675 	 1.914e+06 	 4.385e+06
5.725 	 -3.103e+06 	 3.324e+06
5.775 	 -3.167e+06 	 3.324e+06
5.825 	 -3.231e+06 	 3.324e+06
5.875 	 -1.644e+06 	 3.712e+06
