Proton energy (MeV),Spectrum (MeV^-1),Spectrum error (MeV^-1)
6.243902720647773,-368310353.28597957,79656374.83153059
6.34401216194332,-452857592.99979997,75100750.41081695
6.444121603238866,-304542149.4660967,87698782.3508386
6.544231044534413,-28631144.35013834,114927135.85472344
6.644340485829959,-194160315.82257116,98801573.10567401
6.7444499271255065,-334517165.6176899,73861193.04316074
6.844559368421052,-163176357.10515073,97915442.4425713
6.9446688097166,-214567489.91486412,88781524.37269539
7.044778251012145,-175504771.49660388,94876420.31770822
7.144887692307693,-151290948.66453195,97093059.72955868
7.244997133603238,-211434575.81197768,88957503.7810032
7.345106574898786,-48492963.00223704,104593944.33665265
7.4452160161943315,-190030628.13002494,75863214.12526724
7.545325457489879,32734750.002710678,109073983.36079021
7.645434898785425,122297320.97220773,115882973.73056006
7.745544340080972,72902936.79110637,111178498.55748206
7.845653781376518,142511408.97310528,116424907.97459817
7.945763222672065,-45528884.23884572,91472482.27038017
8.04587266396761,-34883925.814058974,83502569.88413097
8.145982105263158,163760352.13571206,113689406.78714864
8.246091546558706,236219829.34021494,119395373.47330825
8.346200987854251,139284438.59728208,110138144.9836021
8.446310429149797,157833797.8896777,111541235.2424623
8.546419870445344,2360473.871857293,96420462.40125711
8.646529311740892,229040373.9293669,117824197.11155915
8.746638753036438,59607492.82494868,101781182.26543187
8.846748194331983,278694751.96067756,118090466.8231452
8.94685763562753,174697262.012926,107408633.91147678
9.046967076923078,232999758.51961225,116424907.97459817
9.147076518218624,499377407.2158967,132566954.84992272
9.24718595951417,114346140.92000318,101561589.38336878
9.347295400809717,214498866.62575263,113123459.45140965
9.447404842105264,208903342.69807786,111589511.044438
9.54751428340081,286640004.70697784,118170230.74093491
9.647623724696356,352290411.9778669,120429118.94009973
9.747733165991903,225125731.91710886,102613107.6845537
9.84784260728745,225125731.9171152,107408633.91147678
9.947952048582996,193967535.0267859,106788128.23451786
10.048061489878542,296036819.6346384,116604993.0133596
10.14817093117409,296036819.63463324,115882973.73056006
10.248280372469637,150409292.85007662,102835937.71392454
10.348389813765182,291258157.7447387,114550941.27465218
10.44849925506073,427297316.2603258,125804908.32195063
10.548608696356276,397611936.38504285,122758718.10930818
10.648718137651823,384071883.69651663,121006719.94659542
10.748827578947369,111993566.66533794,95207578.11450951
10.848937020242916,292872359.3798736,112532732.38791269
10.949046461538462,359822246.1882715,114662911.83091085
11.04915590283401,612466397.7172174,136427288.1445784
11.149265344129555,224656324.44676608,106445308.31858227
11.249374785425102,315642258.688709,110138144.9836021
11.349484226720648,354510589.69316745,116604993.0133596
11.449593668016195,451681417.2043005,123510572.49104565
11.549703109311741,342692035.1044308,114927135.85472344
11.649812550607288,290352271.74891484,109936241.70660877
11.749921991902834,601298919.7845455,133587801.72337933
11.850031433198382,601298919.7845455,134526919.0972456
11.950140874493927,340915734.4746156,113123459.45140965
12.050250315789475,536593426.4227493,126762991.854661
12.15035975708502,458856764.4138478,121521822.8995362
12.250469198380568,479080527.8387046,124105807.61356138
12.350578639676113,432448587.224333,119634198.57674761
12.450688080971661,529619414.7354659,125738397.6599813
12.550797522267207,762829400.7621897,144103804.07787073
12.650906963562754,452474443.97199535,119395373.47330825
12.7510164048583,463608323.3543024,121326421.21695659
12.851125846153847,755120805.887702,142713383.37486246
12.951235287449393,657949978.3765733,135329063.05897737
13.05134472874494,521910819.8609872,122325757.17845355
13.151454170040486,414922285.4476985,116424907.97459817
13.251563611336033,688653145.3833138,131923490.04793052
13.351673052631579,766389807.3922248,142811367.17176425
13.451782493927126,669218979.8810916,135329063.05897737
13.551891935222672,441296995.39486855,118170230.74093491
13.65200137651822,544611847.0611266,125947787.30987397
13.752110817813765,525177681.5589045,121404269.42593999
13.852220259109313,1069334315.62125,160599427.3580902
13.952329700404858,1458017625.665777,178164712.9586612
14.052439141700406,2419659999.0133896,222077084.37136275
14.152548582995953,4112007067.2632627,287543932.62443596
14.252658024291499,6696751079.059408,364391507.9219338
14.352767465587045,11827370771.647224,480246482.80965084
14.452876906882592,15286878428.638222,548606561.9361911
14.55298634817814,21807199492.95362,654018174.093707
14.653095789473685,27948395791.657234,738763999.2144424
14.75320523076923,31193901430.529068,780516787.7764825
14.853314672064778,35313944517.001114,830122256.7860807
14.953424113360326,38656620983.38409,869166148.7027009
15.053533554655871,38627552807.71097,869115349.9729645
15.153642995951417,37384195501.56242,855048069.6180357
15.253752437246964,36684565543.48226,846888455.2876922
15.353861878542512,36412487226.451096,843984641.0477458
15.453971319838057,33205849918.58371,805782815.1790926
15.554080761133603,27459584495.616467,729493262.7040905
15.65419020242915,23071030129.518696,672899119.0963362
15.754299643724698,18154186257.455368,597630610.3652519
15.854409085020244,13664894026.441025,517764906.07964814
15.95451852631579,9603153436.475662,433649850.46770054
16.05462796761134,6338596970.966169,356234137.9290115
16.154737408906882,4170589827.749811,288000051.4697758
16.25484685020243,2110568284.5137978,207833536.9362368
16.354956291497977,1274899167.9180477,169827961.7637334
16.45506573279352,614137540.8423443,103686538.94960386
16.555175174089072,322625058.308944,101781182.26543187
16.655284615384616,401949247.06884813,109721312.38723822
16.75539405668016,137464946.46003586,80390550.4882687
16.85550349797571,98596615.45558266,77126953.28544341
16.955612939271255,20859953.446676232,58302496.5066798
17.055722380566802,79162449.95336235,73747472.89404741
17.15583182186235,59728284.451129444,71970164.17707086
17.255941263157894,1425787.944449639,64188936.07026069
17.356050704453445,49218683.81840778,64680812.50535204
17.45616014574899,68719673.57851215,72715988.90719347
17.556269587044532,68719673.57850453,71970164.17707086
17.656379028340083,88153839.08073111,75100750.41081695
17.756488469635627,-28451153.932628505,57941486.86528003
17.856597910931175,-28451153.932623398,57941486.86528003
17.956707352226722,-24314815.75887648,54968120.853304386
18.056816793522266,58004573.775474,69863262.33492051
18.156926234817817,-78034584.74011222,44881282.736745074
18.25703567611336,-19732088.23342734,54968120.853304386
18.357145117408905,135741235.78438294,78871563.82186902
18.457254558704456,77438739.2777006,69684811.82040225
18.557364,-19732088.233432427,36645413.90220293
18.657473441295547,4664996.941422008,49164981.92936495
18.757582882591095,-30774925.59248324,53222654.15929113
18.85769232388664,-11340760.090254143,54968120.853304386
