WRF ANALYSIS
Date & time = ,2023-09-20, 15:45
Display format=,3
Program version:,2021-05-25

Scan file = ,O108809_TIM2_G166_wa1248_1hr_40x_s2
Port & distance (cm) =,tim2,10.5
WRF ID; Al blast(um) & cal=,g166 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(23-76),(0-63),-1.159,1.125,-0.988,1.000
Back x0; x1; y0; y1 (cm) =,0,10,0,63,
C; e; Dmax; dDmax; Dscale =,20,15,6.75,0.25,new
Dlow; Dhigh; Dauto; Elims =,9.00,14.00,no

DvE fit: c; dc; red. Chi^2 =, 1.560,0.034,3.92

Fit limits (MeV):,13.000,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 14.417,0.401,3.742e+09
Value (raw stats):, 14.404,0.384,3.744e+09
Uncertainties
    Random:, 0.045,0.002,14.41%
    Systematic calib:, 0.051,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.003,0.002,5.70%
     DvE:, 0.008,0.000,13.20%
     Dmax:, 0.028,0.000,0.96%
     WRF nonlinearity:, 0.014,0.000,0.00%
     Cal. & processing:, 0.030,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.325 	 0.000e+00 	 0.000e+00
4.375 	 0.000e+00 	 0.000e+00
4.425 	 0.000e+00 	 0.000e+00
4.475 	 0.000e+00 	 0.000e+00
4.525 	 0.000e+00 	 0.000e+00
4.575 	 -2.377e+06 	 1.193e+07
4.625 	 -3.499e+06 	 2.589e+06
4.675 	 -1.716e+06 	 1.563e+06
4.725 	 -9.432e+05 	 1.491e+06
4.775 	 -9.673e+05 	 1.491e+06
4.825 	 -2.039e+06 	 1.061e+06
4.875 	 -2.062e+06 	 1.061e+06
4.925 	 -1.038e+06 	 1.491e+06
4.975 	 -1.061e+06 	 1.491e+06
5.025 	 -3.714e+04 	 1.823e+06
5.075 	 -1.108e+06 	 1.492e+06
5.125 	 -1.132e+06 	 1.492e+06
5.175 	 -3.251e+06 	 1.062e+06
5.225 	 9.175e+05 	 2.103e+06
5.275 	 -1.544e+05 	 1.823e+06
5.325 	 -2.273e+06 	 1.063e+06
5.375 	 -3.345e+06 	 1.063e+06
5.425 	 -1.272e+06 	 1.493e+06
5.475 	 1.849e+06 	 2.350e+06
5.525 	 7.776e+05 	 2.104e+06
5.575 	 -2.389e+06 	 1.064e+06
5.625 	 -1.365e+06 	 1.493e+06
5.675 	 -3.395e+05 	 1.824e+06
5.725 	 -3.625e+05 	 1.825e+06
5.775 	 -2.481e+06 	 1.064e+06
5.825 	 -4.087e+05 	 1.825e+06
5.875 	 -4.317e+05 	 1.825e+06
5.925 	 -2.550e+06 	 1.065e+06
5.975 	 5.705e+05 	 2.105e+06
6.025 	 5.474e+05 	 2.105e+06
6.075 	 -2.619e+06 	 1.066e+06
6.125 	 -2.642e+06 	 1.066e+06
6.175 	 1.527e+06 	 2.351e+06
6.225 	 1.504e+06 	 2.352e+06
6.275 	 -6.139e+05 	 1.826e+06
6.325 	 -6.360e+05 	 1.826e+06
6.375 	 3.888e+05 	 2.105e+06
6.425 	 -1.729e+06 	 1.496e+06
6.475 	 -1.751e+06 	 1.496e+06
6.525 	 -7.254e+05 	 1.827e+06
6.575 	 3.009e+05 	 2.106e+06
6.625 	 1.326e+06 	 2.352e+06
6.675 	 2.562e+05 	 2.106e+06
6.725 	 -2.910e+06 	 1.069e+06
6.775 	 -1.884e+06 	 1.497e+06
6.825 	 -8.585e+05 	 1.827e+06
6.875 	 -1.929e+06 	 1.497e+06
6.925 	 1.456e+05 	 2.107e+06
6.975 	 -1.973e+06 	 1.498e+06
7.025 	 1.009e+05 	 2.107e+06
7.075 	 7.929e+04 	 2.107e+06
7.125 	 -4.135e+06 	 1.071e+06
7.175 	 -2.061e+06 	 1.498e+06
7.225 	 -2.083e+06 	 1.498e+06
7.275 	 -2.104e+06 	 1.499e+06
7.325 	 -1.079e+06 	 1.829e+06
7.375 	 -5.240e+04 	 2.108e+06
7.425 	 -2.171e+06 	 1.499e+06
7.475 	 -1.144e+06 	 1.829e+06
7.525 	 6.169e+06 	 3.322e+06
7.575 	 -2.236e+06 	 1.500e+06
7.625 	 2.982e+06 	 2.782e+06
7.675 	 2.960e+06 	 2.782e+06
