Proton energy (MeV),Spectrum (MeV^-1),Spectrum error (MeV^-1)
1.8076076842105264,2071613185.0554357,125942426.48537345
1.857779052631579,2344757105.4216943,131739053.26366287
1.9079504210526315,2610236290.774788,137161574.90684924
1.958121789473684,2572492949.7287383,135858966.33756763
2.008293157894737,2833816984.8099375,141123273.09991553
2.0584645263157895,3084517617.2192764,145954684.43058407
2.108635894736842,2891778445.655775,141626387.96876556
2.158807263157895,3187337564.7690177,147409418.2308893
2.2089786315789475,2941345570.8211555,142002554.3364054
2.25915,3431813481.905503,151689935.76036218
2.3093213684210525,3176243230.7338533,146319723.8113025
2.359492736842105,3146714402.086331,145466540.30595982
2.4096641052631576,3104961561.02575,144362181.1335366
2.4598354736842105,3843711982.556797,158679658.05462775
2.510006842105263,4139944919.264419,164295441.97289672
2.560178210526316,4847355649.678678,177007872.11808133
2.6103495789473685,5332962674.030279,185254294.21024504
2.660520947368421,6543999050.989725,203810262.5596123
2.7106923157894736,7982166720.138253,223851559.1481032
2.760863684210526,11513231385.6784,266764583.87994033
2.8110350526315786,18778387867.113407,338611843.0720309
2.861206421052631,36626953513.444496,470364706.9924758
2.9113777894736845,68307318418.88619,640574865.9713788
2.961549157894737,122670448880.38402,857217060.134519
3.0117205263157896,193803829513.22092,1076762911.1620507
3.061891894736842,265470396290.07666,1259833652.3932648
3.1120632631578946,318293364445.99457,1379307897.9840965
3.162234631578947,334045653149.8428,1413033423.973024
3.2124059999999997,321402187060.8716,1386162267.063593
3.262577368421052,283751324169.01874,1302731290.269107
3.3127487368421056,228691276888.44626,1170010786.6383116
3.362920105263158,167277228700.36053,1001361008.3309903
3.4130914736842106,114103866107.66417,828053013.2023499
3.463262842105263,68985401183.98763,645414471.1772509
3.5134342105263157,36817763205.96234,473942535.6538058
3.563605578947368,17384158066.494373,329563528.0582254
3.6137769473684207,7287314162.847488,219843867.43769395
3.663948315789473,2647210311.682153,143373387.4341404
3.7141196842105266,880623740.6828941,99610868.96295598
3.764291052631579,239414303.05745384,77755136.43774912
3.8144624210526317,-228542005.16748315,55943027.18132935
3.864633789473684,-130013083.09990792,60523389.157690726
3.9148051578947367,-39124874.89246948,64229364.0069137
3.9649765263157892,-131515088.7866738,59036100.708175465
4.015147894736842,-219886891.42773867,54002212.47543499
4.065319263157894,-135347364.21081182,57510362.00997517
4.115490631578948,17152502.262322173,64780699.13219213
4.165662,47465432.20945343,65327381.39079642
4.215833368421053,-50269218.60201315,60523389.157690726
4.266004736842105,37975089.35250575,63951914.05322544
4.316176105263158,114170127.05692819,67205758.58517624
4.36634747368421,87810213.31380391,65327381.39079642
4.416518842105263,-39052841.166285396,59036100.708175465
4.466690210526316,12028823.784861118,60816482.34479502
4.516861578947369,-116392710.72650762,54002212.47543499
4.567032947368421,-129784369.40411758,52329910.22287909
4.617204315789474,-94003088.99363516,54330496.42607284
