WRF ANALYSIS
Date & time = ,2025-02-05, 15:17
Display format=,3
Program version:,2021-05-25

Scan file = ,O108810_P2_G152_wa1260_5hr_40x_s2_B
Port & distance (cm) =,p2,26.0
WRF ID; Al blast(um) & cal=,g152 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(23-76),(0-63),-1.159,1.125,-0.988,1.000
Back x0; x1; y0; y1 (cm) =,0,10,0,63,
C; e; Dmax; dDmax; Dscale =,11,15,18.70,0.25,new
Dlow; Dhigh; Dauto; Elims =,9.00,17.50,no

DvE fit: c; dc; red. Chi^2 =, 1.100,0.300,3.78

Fit limits (MeV):,11.000,18.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 15.172,1.423,3.768e+07
Uncertainties
    Random:, 0.263,0.086,138.71%
    Systematic calib:, 0.049,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.141,0.085,13.83%
     DvE:, 0.220,0.008,138.02%
     Dmax:, 0.010,0.000,0.31%
     WRF nonlinearity:, 0.013,0.000,0.00%
     Cal. & processing:, 0.029,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
3.700 	 0.000e+00 	 0.000e+00
3.900 	 0.000e+00 	 0.000e+00
4.100 	 0.000e+00 	 0.000e+00
4.300 	 0.000e+00 	 0.000e+00
4.500 	 0.000e+00 	 0.000e+00
4.700 	 -8.175e+05 	 1.658e+06
4.900 	 2.815e+05 	 1.232e+06
5.100 	 -1.116e+06 	 5.272e+05
5.300 	 -5.507e+04 	 7.510e+05
5.500 	 1.553e+05 	 6.936e+05
5.700 	 -1.645e+05 	 6.359e+05
5.900 	 6.302e+05 	 7.987e+05
6.100 	 3.228e+04 	 6.955e+05
6.300 	 5.491e+05 	 7.999e+05
6.500 	 -6.049e+05 	 5.747e+05
6.700 	 7.483e+05 	 8.481e+05
6.900 	 -1.268e+05 	 6.981e+05
7.100 	 -1.661e+05 	 6.988e+05
7.300 	 1.466e+06 	 9.772e+05
7.500 	 -2.443e+05 	 7.002e+05
7.700 	 -8.403e+05 	 5.798e+05
7.900 	 -6.004e+05 	 6.440e+05
8.100 	 -3.605e+05 	 7.025e+05
8.300 	 1.583e+05 	 8.060e+05
8.500 	 3.184e+06 	 1.226e+06
8.700 	 -4.749e+05 	 7.047e+05
8.900 	 4.443e+04 	 8.081e+05
9.100 	 1.121e+06 	 9.821e+05
9.300 	 -1.144e+06 	 5.872e+05
9.500 	 -9.032e+05 	 6.508e+05
9.700 	 -1.497e+06 	 5.192e+05
9.900 	 1.368e+05 	 8.581e+05
10.100 	 -1.293e+06 	 5.912e+05
10.300 	 -1.051e+06 	 6.545e+05
10.500 	 -8.092e+05 	 7.121e+05
10.700 	 1.661e+06 	 1.098e+06
10.900 	 -3.250e+05 	 8.153e+05
11.100 	 4.745e+05 	 9.481e+05
11.300 	 -1.187e+05 	 8.631e+05
11.500 	 -7.118e+05 	 7.688e+05
11.700 	 -4.691e+05 	 8.185e+05
11.900 	 -1.062e+06 	 7.183e+05
12.100 	 2.951e+05 	 9.515e+05
12.300 	 5.381e+05 	 9.921e+05
12.500 	 1.060e+06 	 1.068e+06
12.700 	 2.696e+06 	 1.268e+06
12.900 	 6.839e+06 	 1.665e+06
13.100 	 7.361e+06 	 1.712e+06
13.300 	 8.161e+06 	 1.779e+06
13.500 	 1.091e+07 	 1.985e+06
13.700 	 7.813e+06 	 1.758e+06
13.900 	 7.500e+06 	 1.736e+06
14.100 	 8.022e+06 	 1.780e+06
14.300 	 4.924e+06 	 1.522e+06
14.500 	 9.346e+06 	 1.887e+06
14.700 	 4.855e+06 	 1.523e+06
14.900 	 9.277e+06 	 1.888e+06
15.100 	 3.672e+06 	 1.419e+06
15.300 	 8.095e+06 	 1.804e+06
15.500 	 1.112e+07 	 2.028e+06
15.700 	 6.356e+06 	 1.671e+06
15.900 	 7.436e+06 	 1.762e+06
16.100 	 8.238e+06 	 1.827e+06
16.300 	 6.812e+06 	 1.719e+06
16.500 	 1.012e+07 	 1.971e+06
16.700 	 8.137e+06 	 1.829e+06
16.900 	 1.228e+07 	 2.124e+06
17.100 	 6.399e+06 	 1.698e+06
17.300 	 6.087e+06 	 1.675e+06
17.500 	 3.547e+06 	 1.452e+06
17.700 	 2.957e+06 	 1.399e+06
17.900 	 -4.189e+05 	 1.013e+06
18.100 	 -1.734e+05 	 1.052e+06
18.300 	 3.507e+05 	 1.124e+06
18.500 	 -5.179e+05 	 1.016e+06
18.700 	 -1.108e+06 	 9.372e+05
18.900 	 -8.620e+05 	 9.786e+05
19.100 	 -1.302e+06 	 9.972e+05
19.300 	 0.000e+00 	 0.000e+00
19.500 	 0.000e+00 	 0.000e+00
19.700 	 0.000e+00 	 0.000e+00
