WRF ANALYSIS
Date & time = ,2025-02-05, 15:21
Display format=,3
Program version:,2021-05-25

Scan file = ,O108810_TIM2_G102_wa1249_3.5hr_40x_s2
Port & distance (cm) =,tim2,10.5
WRF ID; Al blast(um) & cal=,13425932-g102 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(29-76),(0-63),-0.900,1.125,-0.988,1.000
Back x0; x1; y0; y1 (cm) =,0,10,0,63,
C; e; Dmax; dDmax; Dscale =,13,15,13.70,0.25,new
Dlow; Dhigh; Dauto; Elims =,8.50,17.50,no

DvE fit: c; dc; red. Chi^2 =, 1.350,0.150,3.95

Fit limits (MeV):,11.000,18.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 15.001,1.380,6.663e+07
Uncertainties
    Random:, 0.092,0.217,70.99%
    Systematic calib:, 0.049,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.051,0.217,2.12%
     DvE:, 0.069,0.008,70.96%
     Dmax:, 0.014,0.000,0.43%
     WRF nonlinearity:, 0.013,0.000,0.00%
     Cal. & processing:, 0.029,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
7.025 	 0.000e+00 	 0.000e+00
7.075 	 0.000e+00 	 0.000e+00
7.125 	 0.000e+00 	 0.000e+00
7.175 	 0.000e+00 	 0.000e+00
7.225 	 0.000e+00 	 0.000e+00
7.275 	 -3.364e+06 	 2.854e+06
7.325 	 1.928e+06 	 2.907e+06
7.375 	 -7.176e+05 	 1.569e+06
7.425 	 4.023e+05 	 1.548e+06
7.475 	 -1.354e+06 	 8.030e+05
7.525 	 -1.367e+06 	 8.031e+05
7.575 	 -1.035e+06 	 7.367e+05
7.625 	 7.771e+05 	 9.755e+05
7.675 	 1.187e+05 	 8.614e+05
7.725 	 -5.392e+05 	 7.297e+05
7.775 	 -1.198e+06 	 5.683e+05
7.825 	 8.683e+04 	 8.616e+05
7.875 	 1.048e+06 	 1.028e+06
7.925 	 -2.582e+05 	 7.985e+05
7.975 	 -2.688e+05 	 7.986e+05
8.025 	 -2.796e+05 	 7.986e+05
8.075 	 3.575e+05 	 9.206e+05
8.125 	 3.467e+05 	 9.207e+05
8.175 	 -3.113e+05 	 7.988e+05
8.225 	 -6.456e+05 	 7.303e+05
8.275 	 -6.563e+05 	 7.303e+05
8.325 	 9.522e+05 	 1.028e+06
8.375 	 -1.001e+06 	 6.548e+05
8.425 	 -1.011e+06 	 6.549e+05
8.475 	 5.968e+05 	 9.762e+05
8.525 	 1.558e+06 	 1.126e+06
8.575 	 -3.955e+05 	 7.992e+05
8.625 	 -7.296e+05 	 7.308e+05
8.675 	 -4.162e+05 	 7.993e+05
8.725 	 -7.504e+05 	 7.309e+05
8.775 	 8.581e+05 	 1.029e+06
8.825 	 8.475e+05 	 1.029e+06
8.875 	 -7.815e+05 	 7.311e+05
8.925 	 -1.446e+05 	 8.627e+05
8.975 	 -1.547e+05 	 8.627e+05
9.025 	 1.589e+05 	 9.215e+05
