WRF ANALYSIS
Date & time = ,2023-09-21, 12:05
Display format=,3
Program version:,2021-05-25

Scan file = ,O108812_P2_G100_wa1231_1hr_40x_s5
Port & distance (cm) =,tim2,26.0
WRF ID; Al blast(um) & cal=,13425930-g100 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.119,1.158,-0.981,1.000
C; e; Dmax; dDmax; Dscale =,24,15,7.00,0.25,new
Dlow; Dhigh; Dauto; Elims =,8.50,15.00,no

DvE fit: c; dc; red. Chi^2 =, 1.497,0.018,8.29

Fit limits (MeV):,13.500,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 14.990,0.365,2.922e+10
Value (raw stats):, 14.986,0.343,2.895e+10
Uncertainties
    Random:, 0.042,0.001,9.71%
    Systematic calib:, 0.049,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.003,0.001,6.56%
     DvE:, 0.006,0.000,7.11%
     Dmax:, 0.027,0.000,0.85%
     WRF nonlinearity:, 0.013,0.000,0.00%
     Cal. & processing:, 0.029,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.625 	 0.000e+00 	 0.000e+00
4.675 	 0.000e+00 	 0.000e+00
4.725 	 0.000e+00 	 0.000e+00
4.775 	 0.000e+00 	 0.000e+00
4.825 	 0.000e+00 	 0.000e+00
4.875 	 1.061e+08 	 7.504e+07
4.925 	 1.538e+07 	 1.538e+07
4.975 	 1.072e+07 	 1.072e+07
5.025 	 1.592e+07 	 1.126e+07
5.075 	 1.957e+07 	 9.786e+06
5.125 	 2.781e+07 	 1.051e+07
5.175 	 0.000e+00 	 3.973e+06
5.225 	 7.946e+06 	 5.619e+06
5.275 	 1.589e+07 	 7.946e+06
5.325 	 1.192e+07 	 6.882e+06
5.375 	 7.946e+06 	 5.619e+06
5.425 	 3.973e+06 	 3.973e+06
5.475 	 7.946e+06 	 5.619e+06
5.525 	 1.192e+07 	 6.882e+06
5.575 	 2.384e+07 	 9.732e+06
5.625 	 1.589e+07 	 7.946e+06
5.675 	 1.589e+07 	 7.946e+06
5.725 	 7.946e+06 	 5.619e+06
5.775 	 2.384e+07 	 9.732e+06
5.825 	 1.987e+07 	 8.884e+06
5.875 	 7.946e+06 	 5.619e+06
5.925 	 0.000e+00 	 3.973e+06
5.975 	 7.946e+06 	 5.619e+06
6.025 	 7.946e+06 	 5.619e+06
6.075 	 1.192e+07 	 6.882e+06
6.125 	 1.589e+07 	 7.946e+06
6.175 	 2.384e+07 	 9.732e+06
6.225 	 1.192e+07 	 6.882e+06
6.275 	 1.589e+07 	 7.946e+06
6.325 	 1.987e+07 	 8.884e+06
6.375 	 1.987e+07 	 8.884e+06
6.425 	 1.987e+07 	 8.884e+06
6.475 	 2.781e+07 	 1.051e+07
6.525 	 2.781e+07 	 1.051e+07
6.575 	 1.589e+07 	 7.946e+06
6.625 	 2.384e+07 	 9.732e+06
6.675 	 2.384e+07 	 9.732e+06
6.725 	 2.781e+07 	 1.051e+07
6.775 	 7.946e+06 	 5.619e+06
6.825 	 1.589e+07 	 7.946e+06
6.875 	 3.973e+07 	 1.256e+07
6.925 	 7.946e+06 	 5.619e+06
6.975 	 3.973e+07 	 1.256e+07
7.025 	 3.973e+07 	 1.256e+07
7.075 	 3.178e+07 	 1.124e+07
7.125 	 1.589e+07 	 7.946e+06
7.175 	 3.576e+07 	 1.192e+07
7.225 	 1.987e+07 	 8.884e+06
7.275 	 1.192e+07 	 6.882e+06
7.325 	 3.973e+07 	 1.256e+07
7.375 	 3.178e+07 	 1.124e+07
7.425 	 1.589e+07 	 7.946e+06
7.475 	 1.192e+07 	 6.882e+06
7.525 	 1.589e+07 	 7.946e+06
7.575 	 1.589e+07 	 7.946e+06
7.625 	 3.178e+07 	 1.124e+07
7.675 	 3.973e+07 	 1.256e+07
7.725 	 2.781e+07 	 1.051e+07
7.775 	 3.178e+07 	 1.124e+07
7.825 	 2.781e+07 	 1.051e+07
7.875 	 1.987e+07 	 8.884e+06
7.925 	 1.589e+07 	 7.946e+06
7.975 	 1.192e+07 	 6.882e+06
8.025 	 7.946e+06 	 5.619e+06
8.075 	 1.192e+07 	 6.882e+06
8.125 	 1.987e+07 	 8.884e+06
8.175 	 1.192e+07 	 6.882e+06
8.225 	 1.192e+07 	 6.882e+06
8.275 	 1.589e+07 	 7.946e+06
8.325 	 2.384e+07 	 9.732e+06
8.375 	 2.384e+07 	 9.732e+06
8.425 	 1.589e+07 	 7.946e+06
8.475 	 3.178e+07 	 1.124e+07
8.525 	 2.781e+07 	 1.051e+07
8.575 	 2.384e+07 	 9.732e+06
8.625 	 3.178e+07 	 1.124e+07
8.675 	 2.781e+07 	 1.051e+07
8.725 	 1.987e+07 	 8.884e+06
8.775 	 2.781e+07 	 1.051e+07
8.825 	 2.384e+07 	 9.732e+06
8.875 	 3.178e+07 	 1.124e+07
8.925 	 1.987e+07 	 8.884e+06
8.975 	 1.987e+07 	 8.884e+06
9.025 	 2.384e+07 	 9.732e+06
9.075 	 1.987e+07 	 8.884e+06
9.125 	 3.973e+07 	 1.256e+07
9.175 	 1.987e+07 	 8.884e+06
9.225 	 3.178e+07 	 1.124e+07
9.275 	 3.178e+07 	 1.124e+07
9.325 	 2.781e+07 	 1.051e+07
9.375 	 2.781e+07 	 1.051e+07
9.425 	 2.384e+07 	 9.732e+06
9.475 	 1.192e+07 	 6.882e+06
9.525 	 2.384e+07 	 9.732e+06
9.575 	 1.987e+07 	 8.884e+06
9.625 	 2.384e+07 	 9.732e+06
9.675 	 1.192e+07 	 6.882e+06
9.725 	 1.987e+07 	 8.884e+06
9.775 	 1.589e+07 	 7.946e+06
9.825 	 3.576e+07 	 1.192e+07
9.875 	 3.973e+07 	 1.256e+07
9.925 	 2.384e+07 	 9.732e+06
9.975 	 4.370e+07 	 1.318e+07
10.025 	 3.973e+07 	 1.256e+07
10.075 	 7.946e+06 	 5.619e+06
10.125 	 1.987e+07 	 8.884e+06
10.175 	 4.768e+07 	 1.376e+07
10.225 	 3.576e+07 	 1.192e+07
10.275 	 1.192e+07 	 6.882e+06
10.325 	 1.987e+07 	 8.884e+06
10.375 	 4.768e+07 	 1.376e+07
10.425 	 4.370e+07 	 1.318e+07
10.475 	 1.987e+07 	 8.884e+06
10.525 	 2.781e+07 	 1.051e+07
10.575 	 1.192e+07 	 6.882e+06
10.625 	 2.384e+07 	 9.732e+06
10.675 	 2.781e+07 	 1.051e+07
10.725 	 3.178e+07 	 1.124e+07
10.775 	 7.946e+06 	 5.619e+06
10.825 	 2.384e+07 	 9.732e+06
10.875 	 1.987e+07 	 8.884e+06
10.925 	 1.987e+07 	 8.884e+06
10.975 	 3.178e+07 	 1.124e+07
11.025 	 2.781e+07 	 1.051e+07
11.075 	 2.384e+07 	 9.732e+06
11.125 	 4.768e+07 	 1.376e+07
11.175 	 5.165e+07 	 1.433e+07
11.225 	 2.781e+07 	 1.051e+07
11.275 	 2.384e+07 	 9.732e+06
11.325 	 2.781e+07 	 1.051e+07
11.375 	 1.987e+07 	 8.884e+06
11.425 	 3.973e+07 	 1.256e+07
11.475 	 3.178e+07 	 1.124e+07
11.525 	 1.987e+07 	 8.884e+06
11.575 	 2.781e+07 	 1.051e+07
11.625 	 3.576e+07 	 1.192e+07
11.675 	 5.960e+07 	 1.539e+07
11.725 	 1.987e+07 	 8.884e+06
11.775 	 2.781e+07 	 1.051e+07
11.825 	 2.781e+07 	 1.051e+07
11.875 	 3.576e+07 	 1.192e+07
11.925 	 3.576e+07 	 1.192e+07
11.975 	 3.178e+07 	 1.124e+07
12.025 	 3.178e+07 	 1.124e+07
12.075 	 2.781e+07 	 1.051e+07
12.125 	 1.987e+07 	 8.884e+06
12.175 	 2.384e+07 	 9.732e+06
12.225 	 1.589e+07 	 7.946e+06
12.275 	 1.987e+07 	 8.884e+06
12.325 	 7.946e+06 	 5.619e+06
12.375 	 2.384e+07 	 9.732e+06
12.425 	 2.781e+07 	 1.051e+07
12.475 	 3.576e+07 	 1.192e+07
12.525 	 3.178e+07 	 1.124e+07
12.575 	 2.781e+07 	 1.051e+07
12.625 	 1.589e+07 	 7.946e+06
12.675 	 3.973e+07 	 1.256e+07
12.725 	 1.987e+07 	 8.884e+06
12.775 	 4.768e+07 	 1.376e+07
12.825 	 3.576e+07 	 1.192e+07
12.875 	 2.384e+07 	 9.732e+06
12.925 	 2.781e+07 	 1.051e+07
12.975 	 3.576e+07 	 1.192e+07
13.025 	 2.384e+07 	 9.732e+06
13.075 	 3.576e+07 	 1.192e+07
13.125 	 2.781e+07 	 1.051e+07
13.175 	 1.987e+07 	 8.884e+06
13.225 	 2.384e+07 	 9.732e+06
13.275 	 5.165e+07 	 1.433e+07
13.325 	 4.370e+07 	 1.318e+07
13.375 	 2.781e+07 	 1.051e+07
13.425 	 5.165e+07 	 1.433e+07
13.475 	 3.576e+07 	 1.192e+07
13.525 	 2.781e+07 	 1.051e+07
13.575 	 4.768e+07 	 1.376e+07
13.625 	 5.562e+07 	 1.487e+07
13.675 	 4.768e+07 	 1.376e+07
13.725 	 9.138e+07 	 1.905e+07
13.775 	 1.192e+08 	 2.176e+07
13.825 	 1.430e+08 	 2.384e+07
13.875 	 2.384e+08 	 3.078e+07
13.925 	 3.139e+08 	 3.531e+07
13.975 	 5.403e+08 	 4.633e+07
14.025 	 7.430e+08 	 5.433e+07
14.075 	 1.009e+09 	 6.332e+07
14.125 	 1.526e+09 	 7.786e+07
14.175 	 2.161e+09 	 9.267e+07
14.225 	 3.147e+09 	 1.118e+08
14.275 	 4.426e+09 	 1.326e+08
14.325 	 5.717e+09 	 1.507e+08
14.375 	 7.811e+09 	 1.762e+08
14.425 	 1.006e+10 	 2.000e+08
14.475 	 1.220e+10 	 2.202e+08
14.525 	 1.461e+10 	 2.410e+08
14.575 	 1.735e+10 	 2.626e+08
14.625 	 1.971e+10 	 2.799e+08
14.675 	 2.192e+10 	 2.951e+08
14.725 	 2.459e+10 	 3.126e+08
14.775 	 2.689e+10 	 3.268e+08
14.825 	 2.860e+10 	 3.371e+08
14.875 	 2.958e+10 	 3.428e+08
14.925 	 3.124e+10 	 3.523e+08
14.975 	 3.156e+10 	 3.541e+08
15.025 	 3.098e+10 	 3.508e+08
15.075 	 3.088e+10 	 3.503e+08
15.125 	 2.969e+10 	 3.434e+08
15.175 	 2.850e+10 	 3.365e+08
15.225 	 2.650e+10 	 3.245e+08
15.275 	 2.404e+10 	 3.091e+08
15.325 	 2.157e+10 	 2.927e+08
15.375 	 1.886e+10 	 2.737e+08
15.425 	 1.637e+10 	 2.550e+08
15.475 	 1.309e+10 	 2.281e+08
15.525 	 1.040e+10 	 2.032e+08
15.575 	 8.622e+09 	 1.851e+08
15.625 	 6.754e+09 	 1.638e+08
15.675 	 5.038e+09 	 1.415e+08
15.725 	 3.794e+09 	 1.228e+08
15.775 	 2.726e+09 	 1.041e+08
15.825 	 1.851e+09 	 8.577e+07
15.875 	 1.204e+09 	 6.916e+07
15.925 	 7.549e+08 	 5.477e+07
15.975 	 5.006e+08 	 4.460e+07
16.025 	 3.417e+08 	 3.684e+07
16.075 	 1.947e+08 	 2.781e+07
16.125 	 1.073e+08 	 2.064e+07
16.175 	 8.741e+07 	 1.864e+07
16.225 	 5.960e+07 	 1.539e+07
16.275 	 3.973e+07 	 1.256e+07
16.325 	 3.973e+07 	 1.256e+07
