Energy after passing through hohlraum (MeV),Spectrum (MeV^-1),Uncertainty (MeV^-1)
4.974999999999999645e+00,-6.674000000000000000e+06,1.047000000000000000e+07
5.025000000000000355e+00,9.804000000000000000e+05,5.936000000000000000e+06
5.075000000000000178e+00,-4.410000000000000000e+06,4.688000000000000000e+06
5.125000000000000000e+00,-2.726000000000000000e+05,3.781000000000000000e+06
5.174999999999999822e+00,-4.067000000000000000e+06,3.782000000000000000e+06
5.224999999999999645e+00,-4.096000000000000000e+06,3.782000000000000000e+06
5.275000000000000355e+00,-3.604000000000000000e+05,3.782000000000000000e+06
5.325000000000000178e+00,1.091000000000000000e+07,7.539000000000000000e+06
5.375000000000000000e+00,-4.184000000000000000e+06,3.783000000000000000e+06
5.424999999999999822e+00,3.318000000000000000e+06,5.337000000000000000e+06
5.474999999999999645e+00,-4.764000000000000000e+05,3.783000000000000000e+06
5.525000000000000355e+00,-5.053000000000000000e+05,3.783000000000000000e+06
5.575000000000000178e+00,1.076000000000000000e+07,7.540000000000000000e+06
5.625000000000000000e+00,-4.329000000000000000e+06,3.784000000000000000e+06
5.674999999999999822e+00,-4.357000000000000000e+06,3.784000000000000000e+06
5.724999999999999645e+00,-6.207000000000000000e+05,3.784000000000000000e+06
5.775000000000000355e+00,3.116000000000000000e+06,5.339000000000000000e+06
5.825000000000000178e+00,-6.785000000000000000e+05,3.785000000000000000e+06
5.875000000000000000e+00,3.058000000000000000e+06,5.339000000000000000e+06
5.924999999999999822e+00,-7.356000000000000000e+05,3.785000000000000000e+06
5.974999999999999645e+00,-7.644000000000000000e+05,3.786000000000000000e+06
6.025000000000000355e+00,1.050000000000000000e+07,7.541000000000000000e+06
6.075000000000000178e+00,2.943000000000000000e+06,5.340000000000000000e+06
6.125000000000000000e+00,2.915000000000000000e+06,5.340000000000000000e+06
6.174999999999999822e+00,-8.787000000000000000e+05,3.787000000000000000e+06
6.224999999999999645e+00,6.624000000000000000e+06,6.534000000000000000e+06
6.275000000000000355e+00,2.830000000000000000e+06,5.340000000000000000e+06
6.325000000000000178e+00,-4.728000000000000000e+06,3.788000000000000000e+06
6.375000000000000000e+00,2.774000000000000000e+06,5.341000000000000000e+06
6.424999999999999822e+00,-4.785000000000000000e+06,3.788000000000000000e+06
6.474999999999999645e+00,-4.812000000000000000e+06,3.788000000000000000e+06
6.525000000000000355e+00,2.691000000000000000e+06,5.341000000000000000e+06
6.575000000000000178e+00,1.019000000000000000e+07,7.542000000000000000e+06
6.625000000000000000e+00,2.635000000000000000e+06,5.342000000000000000e+06
6.674999999999999822e+00,2.608000000000000000e+06,5.342000000000000000e+06
6.724999999999999645e+00,-1.185000000000000000e+06,3.790000000000000000e+06
6.775000000000000355e+00,2.552000000000000000e+06,5.342000000000000000e+06
6.825000000000000178e+00,-1.241000000000000000e+06,3.790000000000000000e+06
6.875000000000000000e+00,-1.269000000000000000e+06,3.790000000000000000e+06
6.924999999999999822e+00,2.469000000000000000e+06,5.343000000000000000e+06
6.974999999999999645e+00,2.441000000000000000e+06,5.343000000000000000e+06
7.025000000000000355e+00,-5.117000000000000000e+06,3.791000000000000000e+06
7.075000000000000178e+00,9.917000000000000000e+06,7.544000000000000000e+06
7.125000000000000000e+00,-1.407000000000000000e+06,3.792000000000000000e+06
7.174999999999999822e+00,-1.434000000000000000e+06,3.792000000000000000e+06
7.224999999999999645e+00,6.069000000000000000e+06,6.537000000000000000e+06
7.275000000000000355e+00,2.276000000000000000e+06,5.344000000000000000e+06
7.325000000000000178e+00,1.354000000000000000e+07,8.432000000000000000e+06
7.375000000000000000e+00,-1.544000000000000000e+06,3.793000000000000000e+06
7.424999999999999822e+00,5.959000000000000000e+06,6.538000000000000000e+06
7.474999999999999645e+00,5.932000000000000000e+06,6.538000000000000000e+06
7.525000000000000355e+00,-1.627000000000000000e+06,3.794000000000000000e+06
7.575000000000000178e+00,5.877000000000000000e+06,6.539000000000000000e+06
7.625000000000000000e+00,-1.681000000000000000e+06,3.795000000000000000e+06
7.674999999999999822e+00,-1.708000000000000000e+06,3.795000000000000000e+06
7.724999999999999645e+00,1.333000000000000000e+07,8.433000000000000000e+06
7.775000000000000355e+00,5.768000000000000000e+06,6.539000000000000000e+06
7.825000000000000178e+00,1.327000000000000000e+07,8.433000000000000000e+06
7.875000000000000000e+00,1.949000000000000000e+06,5.347000000000000000e+06
7.924999999999999822e+00,-5.609000000000000000e+06,3.797000000000000000e+06
7.974999999999999645e+00,-1.871000000000000000e+06,3.797000000000000000e+06
8.025000000000000355e+00,-1.898000000000000000e+06,3.797000000000000000e+06
8.074999999999999289e+00,1.840000000000000000e+06,5.348000000000000000e+06
8.125000000000000000e+00,1.813000000000000000e+06,5.348000000000000000e+06
8.175000000000000711e+00,1.786000000000000000e+06,5.348000000000000000e+06
8.224999999999999645e+00,-5.771000000000000000e+06,3.798000000000000000e+06
8.275000000000000355e+00,1.732000000000000000e+06,5.349000000000000000e+06
8.324999999999999289e+00,-2.059000000000000000e+06,3.799000000000000000e+06
8.375000000000000000e+00,-2.087000000000000000e+06,3.799000000000000000e+06
8.425000000000000711e+00,-2.113000000000000000e+06,3.800000000000000000e+06
8.474999999999999645e+00,1.625000000000000000e+06,5.349000000000000000e+06
8.525000000000000355e+00,5.364000000000000000e+06,6.542000000000000000e+06
8.574999999999999289e+00,5.337000000000000000e+06,6.542000000000000000e+06
8.625000000000000000e+00,-5.985000000000000000e+06,3.801000000000000000e+06
8.675000000000000711e+00,-6.012000000000000000e+06,3.801000000000000000e+06
8.724999999999999645e+00,5.258000000000000000e+06,6.543000000000000000e+06
8.775000000000000355e+00,1.276000000000000000e+07,8.436000000000000000e+06
8.824999999999999289e+00,1.439000000000000000e+06,5.351000000000000000e+06
8.875000000000000000e+00,1.647000000000000000e+07,9.238000000000000000e+06
8.925000000000000711e+00,1.386000000000000000e+06,5.351000000000000000e+06
8.974999999999999645e+00,-2.405000000000000000e+06,3.803000000000000000e+06
9.025000000000000355e+00,1.640000000000000000e+07,9.239000000000000000e+06
9.074999999999999289e+00,-2.457000000000000000e+06,3.804000000000000000e+06
9.125000000000000000e+00,1.282000000000000000e+06,5.352000000000000000e+06
9.175000000000000711e+00,5.021000000000000000e+06,6.544000000000000000e+06
9.224999999999999645e+00,8.759000000000000000e+06,7.550000000000000000e+06
9.275000000000000355e+00,1.626000000000000000e+07,9.239000000000000000e+06
9.324999999999999289e+00,1.177000000000000000e+06,5.353000000000000000e+06
9.375000000000000000e+00,-2.614000000000000000e+06,3.806000000000000000e+06
9.425000000000000711e+00,1.124000000000000000e+06,5.354000000000000000e+06
9.474999999999999645e+00,1.099000000000000000e+06,5.354000000000000000e+06
9.525000000000000355e+00,8.603000000000000000e+06,7.551000000000000000e+06
9.574999999999999289e+00,8.576000000000000000e+06,7.551000000000000000e+06
9.625000000000000000e+00,4.785000000000000000e+06,6.546000000000000000e+06
9.675000000000000711e+00,9.939000000000000000e+05,5.355000000000000000e+06
9.724999999999999645e+00,8.498000000000000000e+06,7.552000000000000000e+06
9.775000000000000355e+00,-2.824000000000000000e+06,3.808000000000000000e+06
9.824999999999999289e+00,-2.850000000000000000e+06,3.809000000000000000e+06
9.875000000000000000e+00,8.899000000000000000e+05,5.356000000000000000e+06
9.925000000000000711e+00,1.593000000000000000e+07,9.241000000000000000e+06
9.974999999999999645e+00,4.603000000000000000e+06,6.547000000000000000e+06
1.002500000000000036e+01,8.117000000000000000e+05,5.357000000000000000e+06
1.007499999999999929e+01,7.865000000000000000e+05,5.357000000000000000e+06
1.012500000000000000e+01,4.525000000000000000e+06,6.548000000000000000e+06
1.017500000000000071e+01,8.265000000000000000e+06,7.554000000000000000e+06
1.022499999999999964e+01,-6.822000000000000000e+06,3.811000000000000000e+06
1.027500000000000036e+01,6.825000000000000000e+05,5.358000000000000000e+06
1.032499999999999929e+01,6.572000000000000000e+05,5.358000000000000000e+06
1.037500000000000000e+01,1.193000000000000000e+07,8.441000000000000000e+06
1.042500000000000071e+01,6.055000000000000000e+05,5.359000000000000000e+06
1.047499999999999964e+01,-3.186000000000000000e+06,3.813000000000000000e+06
1.052500000000000036e+01,5.544000000000000000e+05,5.359000000000000000e+06
1.057499999999999929e+01,8.059000000000000000e+06,7.555000000000000000e+06
1.062500000000000000e+01,5.033000000000000000e+05,5.360000000000000000e+06
1.067500000000000071e+01,4.243000000000000000e+06,6.550000000000000000e+06
1.072499999999999964e+01,-3.313000000000000000e+06,3.815000000000000000e+06
1.077500000000000036e+01,-3.339000000000000000e+06,3.815000000000000000e+06
1.082499999999999929e+01,4.005000000000000000e+05,5.361000000000000000e+06
1.087500000000000000e+01,3.752000000000000000e+05,5.361000000000000000e+06
1.092500000000000071e+01,-3.415000000000000000e+06,3.816000000000000000e+06
1.097499999999999964e+01,3.241000000000000000e+05,5.361000000000000000e+06
1.102500000000000036e+01,4.064000000000000000e+06,6.552000000000000000e+06
1.107499999999999929e+01,1.910000000000000000e+07,9.982000000000000000e+06
1.112500000000000000e+01,-7.282000000000000000e+06,3.818000000000000000e+06
1.117500000000000071e+01,3.988000000000000000e+06,6.552000000000000000e+06
1.122499999999999964e+01,-7.333000000000000000e+06,3.819000000000000000e+06
1.127500000000000036e+01,-3.593000000000000000e+06,3.819000000000000000e+06
1.132499999999999929e+01,-3.618000000000000000e+06,3.819000000000000000e+06
1.137500000000000000e+01,7.653000000000000000e+06,7.558000000000000000e+06
1.142500000000000071e+01,7.627000000000000000e+06,7.558000000000000000e+06
1.147499999999999964e+01,3.837000000000000000e+06,6.554000000000000000e+06
1.152500000000000036e+01,7.577000000000000000e+06,7.558000000000000000e+06
1.157499999999999929e+01,3.786000000000000000e+06,6.554000000000000000e+06
1.162500000000000000e+01,-3.770000000000000000e+06,3.822000000000000000e+06
1.167500000000000071e+01,1.503000000000000000e+07,9.246000000000000000e+06
1.172499999999999964e+01,3.711000000000000000e+06,6.555000000000000000e+06
1.177500000000000036e+01,-7.990000000000000000e+04,5.366000000000000000e+06
1.182499999999999929e+01,-3.870000000000000000e+06,3.823000000000000000e+06
1.187500000000000000e+01,1.493000000000000000e+07,9.247000000000000000e+06
1.192500000000000071e+01,-3.920000000000000000e+06,3.824000000000000000e+06
1.197499999999999964e+01,1.112000000000000000e+07,8.446000000000000000e+06
1.202500000000000036e+01,1.109000000000000000e+07,8.446000000000000000e+06
1.207499999999999929e+01,1.107000000000000000e+07,8.446000000000000000e+06
1.212500000000000000e+01,2.234000000000000000e+07,1.067000000000000000e+07
1.217500000000000071e+01,7.250000000000000000e+06,7.561000000000000000e+06
1.222499999999999964e+01,1.852000000000000000e+07,9.985000000000000000e+06
1.227500000000000036e+01,7.200000000000000000e+06,7.561000000000000000e+06
1.232499999999999929e+01,1.847000000000000000e+07,9.985000000000000000e+06
1.237500000000000000e+01,2.598000000000000000e+07,1.132000000000000000e+07
1.242500000000000071e+01,2.219000000000000000e+07,1.067000000000000000e+07
1.247499999999999964e+01,1.840000000000000000e+07,9.986000000000000000e+06
1.252500000000000036e+01,2.214000000000000000e+07,1.067000000000000000e+07
1.257499999999999929e+01,1.458000000000000000e+07,9.249000000000000000e+06
1.262500000000000000e+01,1.832000000000000000e+07,9.986000000000000000e+06
1.267500000000000071e+01,3.336000000000000000e+07,1.251000000000000000e+07
1.272499999999999964e+01,5.216000000000000000e+07,1.508000000000000000e+07
1.277500000000000036e+01,4.460000000000000000e+07,1.411000000000000000e+07
1.282499999999999929e+01,3.328000000000000000e+07,1.251000000000000000e+07
1.287500000000000000e+01,4.079000000000000000e+07,1.359000000000000000e+07
1.292500000000000071e+01,6.336000000000000000e+07,1.643000000000000000e+07
1.297499999999999964e+01,3.321000000000000000e+07,1.251000000000000000e+07
1.302500000000000036e+01,4.825000000000000000e+07,1.460000000000000000e+07
1.307499999999999929e+01,5.952000000000000000e+07,1.599000000000000000e+07
1.312500000000000000e+01,8.208000000000000000e+07,1.846000000000000000e+07
1.317500000000000071e+01,8.206000000000000000e+07,1.846000000000000000e+07
1.322499999999999964e+01,1.122000000000000000e+08,2.131000000000000000e+07
1.327500000000000036e+01,1.197000000000000000e+08,2.197000000000000000e+07
1.332499999999999929e+01,1.385000000000000000e+08,2.353000000000000000e+07
1.337500000000000000e+01,1.083000000000000000e+08,2.098000000000000000e+07
1.342500000000000071e+01,1.535000000000000000e+08,2.470000000000000000e+07
1.347499999999999964e+01,2.363000000000000000e+08,3.037000000000000000e+07
1.352500000000000036e+01,2.551000000000000000e+08,3.151000000000000000e+07
1.357499999999999929e+01,2.551000000000000000e+08,3.151000000000000000e+07
1.362500000000000000e+01,3.153000000000000000e+08,3.493000000000000000e+07
1.367500000000000071e+01,4.659000000000000000e+08,4.227000000000000000e+07
1.372499999999999964e+01,4.244000000000000000e+08,4.038000000000000000e+07
1.377500000000000036e+01,5.675000000000000000e+08,4.658000000000000000e+07
1.382499999999999929e+01,5.938000000000000000e+08,4.763000000000000000e+07
1.387500000000000000e+01,6.917000000000000000e+08,5.136000000000000000e+07
1.392500000000000071e+01,8.875000000000000000e+08,5.809000000000000000e+07
1.397499999999999964e+01,9.816000000000000000e+08,6.107000000000000000e+07
1.402500000000000036e+01,1.057000000000000000e+09,6.335000000000000000e+07
1.407499999999999929e+01,1.102000000000000000e+09,6.467000000000000000e+07
1.412500000000000000e+01,1.396000000000000000e+09,7.272000000000000000e+07
1.417500000000000071e+01,1.648000000000000000e+09,7.898000000000000000e+07
1.422499999999999964e+01,1.693000000000000000e+09,8.005000000000000000e+07
1.427500000000000036e+01,1.678000000000000000e+09,7.970000000000000000e+07
1.432499999999999929e+01,1.926000000000000000e+09,8.537000000000000000e+07
1.437500000000000000e+01,2.066000000000000000e+09,8.839000000000000000e+07
1.442500000000000071e+01,2.198000000000000000e+09,9.115000000000000000e+07
1.447499999999999964e+01,2.454000000000000000e+09,9.629000000000000000e+07
1.452500000000000036e+01,2.088000000000000000e+09,8.887000000000000000e+07
1.457499999999999929e+01,2.141000000000000000e+09,8.998000000000000000e+07
1.462500000000000000e+01,1.904000000000000000e+09,8.487000000000000000e+07
1.467500000000000071e+01,2.002000000000000000e+09,8.701000000000000000e+07
1.472499999999999964e+01,1.753000000000000000e+09,8.146000000000000000e+07
1.477500000000000036e+01,1.576000000000000000e+09,7.726000000000000000e+07
1.482499999999999929e+01,1.433000000000000000e+09,7.369000000000000000e+07
1.487500000000000000e+01,1.230000000000000000e+09,6.830000000000000000e+07
1.492500000000000071e+01,1.087000000000000000e+09,6.424000000000000000e+07
1.497499999999999964e+01,8.342000000000000000e+08,5.636000000000000000e+07
1.502500000000000036e+01,7.024000000000000000e+08,5.177000000000000000e+07
1.507499999999999929e+01,5.518000000000000000e+08,4.597000000000000000e+07
1.512500000000000000e+01,5.066000000000000000e+08,4.408000000000000000e+07
1.517500000000000071e+01,3.183000000000000000e+08,3.513000000000000000e+07
1.522499999999999964e+01,2.580000000000000000e+08,3.174000000000000000e+07
1.527500000000000036e+01,1.676000000000000000e+08,2.583000000000000000e+07
1.532499999999999929e+01,1.262000000000000000e+08,2.261000000000000000e+07
1.537500000000000000e+01,1.149000000000000000e+08,2.164000000000000000e+07
1.542500000000000071e+01,5.838000000000000000e+07,1.600000000000000000e+07
1.547499999999999964e+01,5.082000000000000000e+07,1.508000000000000000e+07
1.552500000000000036e+01,2.821000000000000000e+07,1.193000000000000000e+07
1.557499999999999929e+01,1.689000000000000000e+07,9.996000000000000000e+06
1.562500000000000000e+01,2.816000000000000000e+07,1.194000000000000000e+07
1.567500000000000071e+01,-1.985000000000000000e+06,5.388000000000000000e+06
1.572499999999999964e+01,1.682000000000000000e+07,9.996000000000000000e+06
1.577500000000000036e+01,1.303000000000000000e+07,9.260000000000000000e+06
1.582499999999999929e+01,1.709000000000000000e+06,6.574000000000000000e+06
1.587500000000000000e+01,5.451000000000000000e+06,7.576000000000000000e+06
1.592500000000000071e+01,5.427000000000000000e+06,7.577000000000000000e+06
1.597499999999999964e+01,2.046000000000000000e+07,1.068000000000000000e+07
