Energy after passing through hohlraum (MeV),Spectrum (MeV^-1),Uncertainty (MeV^-1)
4.325000000000000178e+00,-5.003000000000000000e+06,1.745000000000000000e+06
4.375000000000000000e+00,-3.050000000000000000e+06,1.556000000000000000e+06
4.424999999999999822e+00,1.049000000000000000e+06,2.381000000000000000e+06
4.474999999999999645e+00,-2.584000000000000000e+06,1.565000000000000000e+06
4.525000000000000355e+00,-1.730000000000000000e+06,1.804000000000000000e+06
4.575000000000000178e+00,-8.757000000000000000e+05,2.015000000000000000e+06
4.625000000000000000e+00,-3.611000000000000000e+06,1.283000000000000000e+06
4.674999999999999822e+00,-9.626000000000000000e+05,2.015000000000000000e+06
4.724999999999999645e+00,1.686000000000000000e+06,2.545000000000000000e+06
4.775000000000000355e+00,-1.049000000000000000e+06,2.015000000000000000e+06
4.825000000000000178e+00,-1.988000000000000000e+06,1.805000000000000000e+06
4.875000000000000000e+00,-2.365000000000000000e+05,2.206000000000000000e+06
4.924999999999999822e+00,-3.868000000000000000e+06,1.284000000000000000e+06
4.974999999999999645e+00,-3.013000000000000000e+06,1.567000000000000000e+06
5.025000000000000355e+00,5.329000000000000000e+05,2.382000000000000000e+06
5.075000000000000178e+00,-3.097000000000000000e+06,1.567000000000000000e+06
5.125000000000000000e+00,4.478000000000000000e+05,2.382000000000000000e+06
5.174999999999999822e+00,-5.874000000000000000e+06,9.203000000000000000e+05
5.224999999999999645e+00,-4.121000000000000000e+06,1.285000000000000000e+06
5.275000000000000355e+00,-1.473000000000000000e+06,2.017000000000000000e+06
5.325000000000000178e+00,-1.515000000000000000e+06,2.017000000000000000e+06
5.375000000000000000e+00,2.031000000000000000e+06,2.700000000000000000e+06
5.424999999999999822e+00,1.990000000000000000e+06,2.700000000000000000e+06
5.474999999999999645e+00,-3.435000000000000000e+06,1.569000000000000000e+06
5.525000000000000355e+00,-4.374000000000000000e+06,1.287000000000000000e+06
5.575000000000000178e+00,7.010000000000000000e+04,2.383000000000000000e+06
5.625000000000000000e+00,2.755000000000000000e+04,2.384000000000000000e+06
