WRF, Yield, Yield unc., Mean energy (MeV), Mean energy unc. (MeV), Temperature (keV), Temperature unc. (keV), Width (keV), Width unc. (keV), Rho-R (mg/cm^2), Rho-R unc. (mg/cm^2), Compres. yield, Compres. yield unc., Compres. mean (MeV), Compres. mean unc. (MeV), Compres. rho-R (mg/cm^2), Compres. rho-R unc. (mg/cm^2)
O108806 P2,5608000000.0,804748000.0,14.425,0.0680147042925278,20.778061224881757,0.8525264411180627,904.32,7.065,11.031290045795195,3.2840621227389755,nan,inf,nan,inf,nan,nan
O108806 TIM2,2832000000.0,717628800.0,14.448,0.06660330322138686,22.911394558255335,0.8601526360453233,942.0,7.065,10.113584457269612,3.1822195339598145,nan,inf,nan,inf,nan,nan
O108807 P2,2094000000.0,403932600.0,14.465,0.06931089380465383,21.435374150064227,1.0970446081094494,916.095,14.13,9.436649580589556,3.253804497471672,nan,inf,nan,inf,nan,nan
O108807 TIM2,3072000000.0,270950400.0,14.478,0.06660330322138686,21.700680272518206,0.9253433711408072,920.8050000000001,9.42,8.918993498422436,3.1206748158441284,nan,inf,nan,inf,nan,nan
O108808 P2,6291000000.0,1456995600.0,14.291,0.0680147042925278,28.77551020462445,0.9660565750294642,1038.555,9.42,16.34269979802924,3.5553541940490927,nan,inf,nan,inf,nan,nan
O108808 TIM2,5609000000.0,2540316100.0,14.398,0.06868041933477109,17.98690476224407,0.84244443126449,852.51,7.065,12.10340048225663,3.3653971370261493,nan,inf,nan,inf,nan,nan
O108809 P2,8374000000.0,1656377200.0,14.305,0.0680147042925278,27.586394558343518,0.8766327659153462,1019.715,7.065,15.789926484429335,3.525723214802083,nan,inf,nan,inf,nan,nan
O108809 TIM2,3742000000.0,539222200.0,14.417,0.0680147042925278,23.047619048053818,0.8047851935528836,944.355,4.71,11.348952397339348,3.3001557058236592,nan,inf,nan,inf,nan,nan
O108811 P2,30680000000.0,5258552000.0,14.902,0.0651920240520265,14.108843537681112,0.7895289792615674,774.7950000000001,4.71,0.0,0.0,nan,inf,nan,inf,nan,nan
O108811 TIM2,15440000000.0,8536776000.0,15.043,0.06789698078707182,26.85425170118685,0.8111950393415295,1007.9399999999999,4.71,0.0,0.0,nan,inf,nan,inf,nan,nan
O108812 P2,29220000000.0,2837262000.0,14.99,0.06453681120105022,18.357823129598,0.7672538329581625,859.5749999999999,2.355,0.0,0.0,nan,inf,nan,inf,nan,nan
O108815 P2,30570000000.0,3356586000.0,14.928,0.06585590330410783,16.653061224803935,0.7664977118119268,826.6049999999999,2.355,0.0,0.0,nan,inf,nan,inf,nan,nan
