WRF ANALYSIS
Date & time = ,2023-10-23, 11:23
Display format=,3
Program version:,2021-05-25

Scan file = ,O109043_P2_G102_wa1624_4.5hr_40x_s0
Port & distance (cm) =,p2,185.0
WRF ID; Al blast(um) & cal=,13425932-g102 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(23-73),(0-60),-1.119,1.122,-0.999,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,60,
C; e; Dmax; dDmax; Dscale =,17,15,18.00,1.00,new
Dlow; Dhigh; Dauto; Elims =,7.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.082,0.037,16.05

Fit limits (MeV):,5.000,11.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 7.105,1.068,4.813e+09
Uncertainties
    Random:, 0.182,2.927,45.28%
    Systematic calib:, 0.087,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.159,2.927,44.31%
     DvE:, 0.033,0.021,8.86%
     Dmax:, 0.053,0.000,2.91%
     WRF nonlinearity:, 0.024,0.000,0.00%
     Cal. & processing:, 0.058,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.675 	 0.000e+00 	 0.000e+00
4.725 	 0.000e+00 	 0.000e+00
4.775 	 0.000e+00 	 0.000e+00
4.825 	 0.000e+00 	 0.000e+00
4.875 	 0.000e+00 	 0.000e+00
4.925 	 -8.056e+08 	 9.364e+08
4.975 	 1.989e+09 	 1.619e+09
5.025 	 -2.494e+08 	 3.889e+08
5.075 	 5.190e+08 	 6.708e+08
5.125 	 3.196e+08 	 4.262e+08
5.175 	 2.442e+09 	 7.960e+08
5.225 	 2.013e+09 	 7.370e+08
5.275 	 1.131e+09 	 4.584e+08
5.325 	 9.956e+08 	 4.389e+08
5.375 	 9.923e+08 	 4.389e+08
5.425 	 5.927e+08 	 3.745e+08
5.475 	 1.004e+09 	 3.540e+08
5.525 	 1.444e+09 	 4.054e+08
5.575 	 5.569e+08 	 2.937e+08
5.625 	 9.076e+08 	 3.428e+08
5.675 	 8.165e+08 	 3.312e+08
5.725 	 1.117e+09 	 3.039e+08
5.775 	 1.114e+09 	 3.039e+08
5.825 	 4.922e+08 	 2.323e+08
5.875 	 1.171e+09 	 3.101e+08
5.925 	 9.831e+08 	 2.910e+08
5.975 	 1.352e+09 	 3.282e+08
6.025 	 9.935e+08 	 2.399e+08
6.075 	 1.429e+09 	 2.770e+08
6.125 	 1.340e+09 	 2.700e+08
6.175 	 9.438e+08 	 2.359e+08
6.225 	 2.080e+09 	 3.247e+08
6.275 	 1.159e+09 	 2.554e+08
6.325 	 1.288e+09 	 2.664e+08
6.375 	 9.359e+08 	 2.359e+08
6.425 	 1.459e+09 	 2.804e+08
6.475 	 1.400e+09 	 2.287e+08
6.525 	 1.087e+09 	 2.065e+08
6.575 	 9.923e+08 	 1.993e+08
6.625 	 1.208e+09 	 2.157e+08
6.675 	 1.393e+09 	 2.287e+08
6.725 	 1.547e+09 	 2.391e+08
6.775 	 1.328e+09 	 2.245e+08
6.825 	 1.420e+09 	 2.308e+08
6.875 	 2.102e+09 	 2.731e+08
6.925 	 1.230e+09 	 2.179e+08
6.975 	 1.321e+09 	 2.245e+08
7.025 	 9.778e+08 	 1.994e+08
7.075 	 1.163e+09 	 2.134e+08
7.125 	 1.939e+09 	 2.641e+08
7.175 	 1.657e+09 	 2.470e+08
7.225 	 1.345e+09 	 2.266e+08
7.275 	 1.467e+09 	 2.350e+08
7.325 	 1.404e+09 	 2.309e+08
7.375 	 1.215e+09 	 2.179e+08
7.425 	 1.089e+09 	 2.089e+08
7.475 	 1.399e+09 	 2.309e+08
7.525 	 1.397e+09 	 2.309e+08
7.575 	 1.085e+09 	 2.089e+08
7.625 	 1.643e+09 	 2.471e+08
7.675 	 1.517e+09 	 2.391e+08
7.725 	 1.298e+09 	 2.245e+08
7.775 	 1.203e+09 	 2.179e+08
7.825 	 1.139e+09 	 2.135e+08
7.875 	 1.293e+09 	 2.245e+08
7.925 	 1.416e+09 	 2.330e+08
7.975 	 1.321e+09 	 2.267e+08
8.025 	 1.630e+09 	 2.471e+08
8.075 	 1.038e+09 	 2.066e+08
8.125 	 1.285e+09 	 2.245e+08
8.175 	 1.159e+09 	 2.157e+08
8.225 	 1.282e+09 	 2.245e+08
8.275 	 1.218e+09 	 2.202e+08
8.325 	 7.500e+08 	 1.843e+08
8.375 	 1.246e+09 	 2.224e+08
8.425 	 1.089e+09 	 2.112e+08
8.475 	 7.454e+08 	 1.843e+08
8.525 	 8.060e+08 	 1.895e+08
8.575 	 8.356e+08 	 1.920e+08
8.625 	 7.096e+08 	 1.817e+08
8.675 	 1.019e+09 	 2.066e+08
8.725 	 5.821e+08 	 1.707e+08
8.775 	 7.361e+08 	 1.843e+08
8.825 	 7.656e+08 	 1.869e+08
8.875 	 3.598e+08 	 1.496e+08
8.925 	 2.339e+08 	 1.360e+08
8.975 	 6.056e+08 	 1.735e+08
9.025 	 3.242e+08 	 1.463e+08
9.075 	 4.782e+08 	 1.620e+08
9.125 	 2.278e+08 	 1.361e+08
9.175 	 1.019e+08 	 1.210e+08
9.225 	 2.247e+08 	 1.361e+08
9.275 	 6.771e+07 	 1.170e+08
9.325 	 1.595e+08 	 1.288e+08
9.375 	 -5.970e+07 	 9.906e+07
9.425 	 1.564e+08 	 1.288e+08
9.475 	 2.483e+08 	 1.396e+08
9.525 	 1.534e+08 	 1.288e+08
9.575 	 4.007e+08 	 1.560e+08
9.625 	 5.709e+07 	 1.170e+08
9.675 	 -6.613e+06 	 1.084e+08
9.725 	 5.405e+07 	 1.170e+08
9.775 	 5.255e+07 	 1.170e+08
9.825 	 5.104e+07 	 1.170e+08
9.875 	 8.064e+07 	 1.211e+08
9.925 	 2.035e+08 	 1.361e+08
9.975 	 1.087e+08 	 1.250e+08
10.025 	 1.072e+08 	 1.250e+08
10.075 	 7.463e+07 	 1.211e+08
10.125 	 1.042e+08 	 1.250e+08
10.175 	 2.271e+08 	 1.397e+08
10.225 	 7.013e+07 	 1.211e+08
10.275 	 -5.581e+07 	 1.039e+08
10.325 	 9.822e+07 	 1.251e+08
10.375 	 6.562e+07 	 1.211e+08
10.425 	 -2.918e+07 	 1.085e+08
10.475 	 2.492e+08 	 1.431e+08
10.525 	 1.544e+08 	 1.326e+08
10.575 	 9.075e+07 	 1.251e+08
10.625 	 5.818e+07 	 1.212e+08
10.675 	 3.677e+08 	 1.561e+08
10.725 	 8.631e+07 	 1.251e+08
10.775 	 -1.018e+08 	 9.923e+07
10.825 	 1.144e+08 	 1.289e+08
10.875 	 -1.981e+08 	 8.335e+07
10.925 	 3.292e+08 	 1.529e+08
10.975 	 -1.388e+08 	 9.426e+07
11.025 	 7.740e+07 	 1.251e+08
11.075 	 1.381e+08 	 1.326e+08
11.125 	 -4.993e+07 	 1.086e+08
11.175 	 1.663e+08 	 1.362e+08
11.225 	 2.581e+08 	 1.465e+08
11.275 	 1.322e+08 	 1.327e+08
11.325 	 9.970e+07 	 1.290e+08
11.375 	 -5.727e+07 	 1.086e+08
11.425 	 -2.764e+07 	 1.130e+08
11.475 	 -9.130e+07 	 1.041e+08
11.525 	 2.804e+08 	 1.498e+08
11.575 	 9.233e+07 	 1.290e+08
11.625 	 -3.354e+07 	 1.130e+08
11.675 	 4.004e+08 	 1.622e+08
11.725 	 -1.919e+08 	 8.909e+07
11.775 	 2.109e+08 	 1.432e+08
11.825 	 2.283e+07 	 1.213e+08
11.875 	 -1.030e+08 	 1.041e+08
11.925 	 8.213e+07 	 1.290e+08
11.975 	 4.956e+07 	 1.252e+08
12.025 	 4.809e+07 	 1.252e+08
12.075 	 1.711e+08 	 1.398e+08
12.125 	 4.523e+07 	 1.252e+08
12.175 	 1.060e+08 	 1.327e+08
12.225 	 -1.443e+08 	 9.942e+07
12.275 	 1.964e+08 	 1.433e+08
12.325 	 1.016e+08 	 1.328e+08
