WRF ANALYSIS
Date & time = ,2023-10-23, 11:29
Display format=,3
Program version:,2021-05-25

Scan file = ,O109044_P2_G152_wa1234_4hr_40x_s6
Port & distance (cm) =,p2,185.0
WRF ID; Al blast(um) & cal=,g152 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(23-76),(0-62),-1.153,1.145,-0.969,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,62,
C; e; Dmax; dDmax; Dscale =,14,15,17.90,0.25,new
Dlow; Dhigh; Dauto; Elims =,7.50,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.152,0.059,19.20

Fit limits (MeV):,5.000,11.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 6.959,1.065,1.512e+10
Uncertainties
    Random:, 0.103,0.080,19.05%
    Systematic calib:, 0.088,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.074,0.078,10.28%
     DvE:, 0.028,0.018,16.02%
     Dmax:, 0.013,0.000,0.74%
     WRF nonlinearity:, 0.024,0.000,0.00%
     Cal. & processing:, 0.060,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.325 	 0.000e+00 	 0.000e+00
4.375 	 0.000e+00 	 0.000e+00
4.425 	 0.000e+00 	 0.000e+00
4.475 	 0.000e+00 	 0.000e+00
4.525 	 0.000e+00 	 0.000e+00
4.575 	 4.533e+09 	 2.560e+09
4.625 	 6.778e+09 	 1.939e+09
4.675 	 2.894e+09 	 1.372e+09
4.725 	 3.503e+09 	 1.088e+09
4.775 	 4.584e+09 	 1.216e+09
4.825 	 3.358e+09 	 8.418e+08
4.875 	 3.695e+09 	 8.761e+08
4.925 	 4.204e+09 	 9.252e+08
4.975 	 3.472e+09 	 6.985e+08
5.025 	 3.467e+09 	 6.985e+08
5.075 	 3.694e+09 	 7.177e+08
5.125 	 2.874e+09 	 6.483e+08
5.175 	 3.654e+09 	 5.965e+08
5.225 	 3.319e+09 	 5.731e+08
5.275 	 3.397e+09 	 5.791e+08
5.325 	 3.640e+09 	 5.965e+08
5.375 	 3.553e+09 	 5.907e+08
5.425 	 3.462e+09 	 4.971e+08
5.475 	 3.458e+09 	 4.971e+08
5.525 	 4.789e+09 	 5.728e+08
5.575 	 2.904e+09 	 4.625e+08
5.625 	 3.264e+09 	 4.859e+08
5.675 	 3.260e+09 	 4.859e+08
5.725 	 3.993e+09 	 4.444e+08
5.775 	 4.163e+09 	 4.529e+08
5.825 	 4.073e+09 	 4.486e+08
5.875 	 3.372e+09 	 4.134e+08
5.925 	 4.153e+09 	 4.529e+08
5.975 	 4.324e+09 	 4.612e+08
6.025 	 3.972e+09 	 4.444e+08
6.075 	 5.057e+09 	 4.949e+08
6.125 	 3.660e+09 	 4.292e+08
6.175 	 4.266e+09 	 4.591e+08
6.225 	 5.221e+09 	 5.025e+08
6.275 	 4.956e+09 	 4.911e+08
6.325 	 4.386e+09 	 4.653e+08
6.375 	 4.078e+09 	 4.508e+08
6.425 	 4.249e+09 	 4.591e+08
6.475 	 4.202e+09 	 4.571e+08
6.525 	 4.503e+09 	 4.714e+08
6.575 	 3.716e+09 	 4.336e+08
6.625 	 4.105e+09 	 4.529e+08
6.675 	 4.406e+09 	 4.673e+08
6.725 	 4.272e+09 	 4.612e+08
6.775 	 4.661e+09 	 4.794e+08
6.825 	 4.570e+09 	 4.754e+08
6.875 	 4.567e+09 	 4.754e+08
6.925 	 4.999e+09 	 4.949e+08
6.975 	 4.429e+09 	 4.694e+08
7.025 	 4.339e+09 	 4.653e+08
7.075 	 5.032e+09 	 4.969e+08
7.125 	 4.288e+09 	 4.633e+08
7.175 	 4.154e+09 	 4.571e+08
7.225 	 5.153e+09 	 5.026e+08
7.275 	 5.237e+09 	 5.063e+08
7.325 	 4.144e+09 	 4.571e+08
7.375 	 4.054e+09 	 4.530e+08
7.425 	 4.225e+09 	 4.613e+08
7.475 	 4.221e+09 	 4.613e+08
7.525 	 3.565e+09 	 4.293e+08
7.575 	 3.953e+09 	 4.488e+08
7.625 	 3.210e+09 	 4.113e+08
7.675 	 4.208e+09 	 4.613e+08
7.725 	 3.856e+09 	 4.445e+08
7.775 	 4.114e+09 	 4.571e+08
