WRF ANALYSIS
Date & time = ,2023-10-04, 12:06
Display format=,3
Program version:,2021-05-25

Scan file = ,O109335_P2_G161_wa1210_5hr_40x_s5
Port & distance (cm) =,p2,26.0
WRF ID; Al blast(um) & cal=,g161 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.119,1.158,-0.981,1.000
Back x0; x1; y0; y1 (cm) =,62,75,0,63,
C; e; Dmax; dDmax; Dscale =,12,15,18.00,0.25,new
Dlow; Dhigh; Dauto; Elims =,8.50,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.277,0.039,2.23

Fit limits (MeV):,13.500,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 14.950,0.261,5.400e+07
Value (raw stats):, 14.953,0.249,5.326e+07
Uncertainties
    Random:, 0.041,0.014,14.18%
    Systematic calib:, 0.049,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.015,0.013,3.43%
     DvE:, 0.019,0.003,13.75%
     Dmax:, 0.010,0.000,0.33%
     WRF nonlinearity:, 0.013,0.000,0.00%
     Cal. & processing:, 0.029,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.775 	 0.000e+00 	 0.000e+00
4.825 	 0.000e+00 	 0.000e+00
4.875 	 0.000e+00 	 0.000e+00
4.925 	 0.000e+00 	 0.000e+00
4.975 	 0.000e+00 	 0.000e+00
5.025 	 -5.800e+05 	 1.434e+07
5.075 	 -7.387e+05 	 8.368e+06
5.125 	 -7.442e+05 	 8.368e+06
5.175 	 -6.033e+05 	 5.473e+06
5.225 	 -5.295e+05 	 3.816e+06
5.275 	 -5.334e+05 	 3.816e+06
5.325 	 -4.107e+05 	 2.779e+06
5.375 	 -4.136e+05 	 2.779e+06
5.425 	 -4.164e+05 	 2.779e+06
5.475 	 -3.603e+05 	 2.090e+06
5.525 	 -3.628e+05 	 2.090e+06
5.575 	 -3.652e+05 	 2.090e+06
5.625 	 -3.071e+05 	 1.611e+06
5.675 	 -3.091e+05 	 1.611e+06
5.725 	 -3.112e+05 	 1.611e+06
5.775 	 -3.132e+05 	 1.611e+06
5.825 	 -3.153e+05 	 1.611e+06
5.875 	 -3.173e+05 	 1.611e+06
5.925 	 -3.193e+05 	 1.611e+06
5.975 	 -3.214e+05 	 1.611e+06
6.025 	 -3.234e+05 	 1.611e+06
6.075 	 1.284e+06 	 1.611e+06
6.125 	 1.282e+06 	 1.611e+06
6.175 	 -3.295e+05 	 1.611e+06
6.225 	 -3.315e+05 	 1.611e+06
6.275 	 -3.335e+05 	 1.611e+06
6.325 	 -3.354e+05 	 1.611e+06
6.375 	 -3.375e+05 	 1.611e+06
6.425 	 -3.394e+05 	 1.611e+06
6.475 	 -3.414e+05 	 1.611e+06
6.525 	 -3.434e+05 	 1.611e+06
6.575 	 -3.453e+05 	 1.611e+06
6.625 	 1.263e+06 	 1.611e+06
6.675 	 -3.492e+05 	 1.611e+06
6.725 	 -3.512e+05 	 1.611e+06
6.775 	 -3.532e+05 	 1.611e+06
6.825 	 -3.552e+05 	 1.611e+06
6.875 	 -3.571e+05 	 1.611e+06
6.925 	 -3.591e+05 	 1.611e+06
6.975 	 -3.611e+05 	 1.611e+06
7.025 	 2.857e+06 	 2.278e+06
7.075 	 1.245e+06 	 1.612e+06
7.125 	 -3.669e+05 	 1.612e+06
7.175 	 -3.689e+05 	 1.612e+06
7.225 	 -3.708e+05 	 1.612e+06
7.275 	 -3.727e+05 	 1.612e+06
7.325 	 2.845e+06 	 2.278e+06
7.375 	 -3.766e+05 	 1.612e+06
7.425 	 -3.786e+05 	 1.612e+06
7.475 	 -3.805e+05 	 1.612e+06
7.525 	 -3.825e+05 	 1.612e+06
7.575 	 -3.844e+05 	 1.612e+06
7.625 	 -3.864e+05 	 1.612e+06
7.675 	 -3.883e+05 	 1.612e+06
7.725 	 1.220e+06 	 1.612e+06
7.775 	 1.218e+06 	 1.612e+06
