WRF ANALYSIS
Date & time = ,2023-10-04, 13:46
Display format=,3
Program version:,2021-05-25

Scan file = ,O109373_P2_G167_wa0383_5hr_40x_s2
Port & distance (cm) =,p2,26.0
WRF ID; Al blast(um) & cal=,g167 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(22-73),(0-59),-1.160,1.135,-0.974,1.000
Back x0; x1; y0; y1 (cm) =,0,10,0,59,
C; e; Dmax; dDmax; Dscale =,15,15,18.00,0.25,new
Dlow; Dhigh; Dauto; Elims =,8.50,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.308,0.042,2.24

Fit limits (MeV):,13.500,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 15.316,0.258,9.296e+07
Value (raw stats):, 15.312,0.243,9.207e+07
Uncertainties
    Random:, 0.040,0.010,15.54%
    Systematic calib:, 0.048,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.011,0.010,3.82%
     DvE:, 0.018,0.002,15.06%
     Dmax:, 0.010,0.000,0.32%
     WRF nonlinearity:, 0.013,0.000,0.00%
     Cal. & processing:, 0.029,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.275 	 0.000e+00 	 0.000e+00
4.325 	 0.000e+00 	 0.000e+00
4.375 	 0.000e+00 	 0.000e+00
4.425 	 0.000e+00 	 0.000e+00
4.475 	 0.000e+00 	 0.000e+00
4.525 	 -2.643e+05 	 3.469e+07
4.575 	 -2.369e+05 	 1.542e+07
4.625 	 -2.805e+05 	 9.060e+06
4.675 	 -2.828e+05 	 9.060e+06
4.725 	 -2.811e+05 	 5.959e+06
4.775 	 -2.316e+05 	 4.174e+06
4.825 	 -2.333e+05 	 4.174e+06
4.875 	 -1.718e+05 	 3.050e+06
4.925 	 -1.732e+05 	 3.050e+06
4.975 	 -1.504e+05 	 2.301e+06
5.025 	 -1.515e+05 	 2.301e+06
5.075 	 2.148e+06 	 2.301e+06
5.125 	 -1.634e+05 	 1.779e+06
5.175 	 -1.646e+05 	 1.779e+06
5.225 	 -1.657e+05 	 1.779e+06
5.275 	 -1.670e+05 	 1.779e+06
5.325 	 -1.681e+05 	 1.779e+06
5.375 	 -1.693e+05 	 1.779e+06
5.425 	 -1.705e+05 	 1.779e+06
5.475 	 -1.717e+05 	 1.779e+06
5.525 	 -1.728e+05 	 1.779e+06
5.575 	 -1.740e+05 	 1.779e+06
5.625 	 -1.752e+05 	 1.779e+06
5.675 	 -1.763e+05 	 1.779e+06
5.725 	 -1.775e+05 	 1.779e+06
5.775 	 -1.787e+05 	 1.779e+06
5.825 	 1.599e+06 	 1.779e+06
5.875 	 -1.810e+05 	 1.779e+06
5.925 	 -1.821e+05 	 1.779e+06
5.975 	 1.595e+06 	 1.779e+06
6.025 	 -1.845e+05 	 1.779e+06
