WRF ANALYSIS
Date & time = ,2023-10-04, 13:49
Display format=,3
Program version:,2021-05-25

Scan file = ,O109375_P2_G020_wa0386_5hr_40x_s2
Port & distance (cm) =,p2,26.0
WRF ID; Al blast(um) & cal=,13425850-g020 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(22-73),(0-59),-1.160,1.135,-0.974,1.000
Back x0; x1; y0; y1 (cm) =,0,10,0,59,
C; e; Dmax; dDmax; Dscale =,12,15,20.30,0.25,new
Dlow; Dhigh; Dauto; Elims =,9.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.251,0.040,1.55

Fit limits (MeV):,13.500,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 15.205,0.234,5.585e+07
Value (raw stats):, 15.199,0.234,5.661e+07
Uncertainties
    Random:, 0.039,0.009,14.35%
    Systematic calib:, 0.048,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.011,0.008,5.03%
     DvE:, 0.018,0.003,13.44%
     Dmax:, 0.009,0.000,0.28%
     WRF nonlinearity:, 0.013,0.000,0.00%
     Cal. & processing:, 0.029,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.475 	 0.000e+00 	 0.000e+00
4.525 	 0.000e+00 	 0.000e+00
4.575 	 0.000e+00 	 0.000e+00
4.625 	 0.000e+00 	 3.281e+07
4.675 	 0.000e+00 	 1.454e+07
4.725 	 -1.341e+05 	 8.523e+06
4.775 	 -1.332e+05 	 5.599e+06
4.825 	 -1.342e+05 	 5.599e+06
4.875 	 -9.470e+04 	 3.921e+06
4.925 	 3.825e+06 	 3.921e+06
4.975 	 -1.406e+05 	 2.867e+06
5.025 	 -1.416e+05 	 2.867e+06
5.075 	 -1.436e+05 	 2.164e+06
5.125 	 -1.446e+05 	 2.164e+06
5.175 	 -1.457e+05 	 2.164e+06
5.225 	 -1.277e+05 	 1.674e+06
5.275 	 -1.286e+05 	 1.674e+06
5.325 	 -1.295e+05 	 1.674e+06
5.375 	 -1.305e+05 	 1.674e+06
5.425 	 -1.313e+05 	 1.674e+06
5.475 	 -1.323e+05 	 1.674e+06
5.525 	 -1.332e+05 	 1.674e+06
5.575 	 -1.341e+05 	 1.674e+06
5.625 	 -1.350e+05 	 1.674e+06
5.675 	 -1.359e+05 	 1.674e+06
5.725 	 -1.368e+05 	 1.674e+06
5.775 	 -1.377e+05 	 1.675e+06
5.825 	 -1.385e+05 	 1.675e+06
