WRF ANALYSIS
Date & time = ,2023-10-04, 13:58
Display format=,3
Program version:,2021-05-25

Scan file = ,O109383_P2_G163_wa0391_5hr_40x_s5
Port & distance (cm) =,p2,26.0
WRF ID; Al blast(um) & cal=,g163 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.119,1.158,-0.981,1.000
Back x0; x1; y0; y1 (cm) =,24,38,0,63,
Back x0; x1; y0; y1 (cm) =,62,77,0,63,
C; e; Dmax; dDmax; Dscale =,11,15,19.80,0.25,new
Dlow; Dhigh; Dauto; Elims =,8.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.299,0.096,3.23

Fit limits (MeV):,13.500,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 14.982,0.211,6.497e+06
Value (raw stats):, 14.924,0.217,6.885e+06
Uncertainties
    Random:, 0.090,0.107,42.08%
    Systematic calib:, 0.049,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.048,0.107,13.34%
     DvE:, 0.068,0.012,39.91%
     Dmax:, 0.009,0.000,0.30%
     WRF nonlinearity:, 0.013,0.000,0.00%
     Cal. & processing:, 0.029,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.350 	 0.000e+00 	 0.000e+00
4.450 	 0.000e+00 	 0.000e+00
4.550 	 0.000e+00 	 0.000e+00
4.650 	 0.000e+00 	 0.000e+00
4.750 	 0.000e+00 	 0.000e+00
4.850 	 -2.204e+05 	 7.015e+06
4.950 	 -2.416e+05 	 4.078e+06
5.050 	 -1.833e+05 	 2.655e+06
5.150 	 1.578e+06 	 1.844e+06
5.250 	 1.130e+06 	 1.337e+06
5.350 	 -1.835e+05 	 1.002e+06
5.450 	 -1.861e+05 	 1.002e+06
5.550 	 -2.058e+05 	 7.703e+05
5.650 	 5.604e+05 	 7.703e+05
5.750 	 -2.109e+05 	 7.703e+05
5.850 	 -2.134e+05 	 7.704e+05
5.950 	 5.529e+05 	 7.704e+05
6.050 	 -2.184e+05 	 7.704e+05
6.150 	 -2.208e+05 	 7.705e+05
6.250 	 -2.233e+05 	 7.705e+05
6.350 	 -2.257e+05 	 7.705e+05
6.450 	 -2.281e+05 	 7.706e+05
6.550 	 -2.304e+05 	 7.706e+05
6.650 	 -2.328e+05 	 7.706e+05
6.750 	 -2.351e+05 	 7.707e+05
6.850 	 5.313e+05 	 7.707e+05
6.950 	 -2.397e+05 	 7.707e+05
7.050 	 -2.420e+05 	 7.708e+05
7.150 	 -2.443e+05 	 7.708e+05
7.250 	 5.222e+05 	 7.708e+05
7.350 	 -2.488e+05 	 7.709e+05
7.450 	 -2.510e+05 	 7.709e+05
7.550 	 5.155e+05 	 7.709e+05
7.650 	 -2.554e+05 	 7.710e+05
7.750 	 -2.576e+05 	 7.710e+05
7.850 	 -2.598e+05 	 7.710e+05
7.950 	 -2.619e+05 	 7.711e+05
8.050 	 -2.641e+05 	 7.711e+05
8.150 	 -2.662e+05 	 7.711e+05
8.250 	 -2.683e+05 	 7.712e+05
8.350 	 -2.704e+05 	 7.712e+05
8.450 	 -2.724e+05 	 7.712e+05
8.550 	 1.263e+06 	 1.089e+06
8.650 	 -2.765e+05 	 7.713e+05
8.750 	 2.028e+06 	 1.333e+06
8.850 	 4.882e+05 	 7.714e+05
8.950 	 4.863e+05 	 7.714e+05
9.050 	 -2.844e+05 	 7.714e+05
9.150 	 -2.863e+05 	 7.715e+05
9.250 	 -2.883e+05 	 7.715e+05
9.350 	 -2.902e+05 	 7.715e+05
9.450 	 -2.921e+05 	 7.716e+05
9.550 	 -2.939e+05 	 7.716e+05
9.650 	 -2.958e+05 	 7.716e+05
9.750 	 4.711e+05 	 7.716e+05
9.850 	 4.693e+05 	 7.717e+05
9.950 	 -3.013e+05 	 7.717e+05
10.050 	 4.657e+05 	 7.717e+05
10.150 	 4.639e+05 	 7.718e+05
10.250 	 4.621e+05 	 7.718e+05
10.350 	 -3.083e+05 	 7.718e+05
10.450 	 4.587e+05 	 7.718e+05
10.550 	 -3.118e+05 	 7.719e+05
10.650 	 -3.135e+05 	 7.719e+05
10.750 	 4.536e+05 	 7.719e+05
10.850 	 -3.168e+05 	 7.720e+05
10.950 	 -3.184e+05 	 7.720e+05
11.050 	 -3.200e+05 	 7.720e+05
11.150 	 4.471e+05 	 7.720e+05
11.250 	 -3.232e+05 	 7.721e+05
11.350 	 -3.248e+05 	 7.721e+05
11.450 	 -3.264e+05 	 7.721e+05
11.550 	 -3.279e+05 	 7.722e+05
11.650 	 4.393e+05 	 7.722e+05
11.750 	 1.207e+06 	 1.090e+06
11.850 	 -3.324e+05 	 7.722e+05
11.950 	 1.204e+06 	 1.090e+06
12.050 	 4.334e+05 	 7.723e+05
12.150 	 4.320e+05 	 7.723e+05
12.250 	 -3.382e+05 	 7.724e+05
12.350 	 -3.396e+05 	 7.724e+05
12.450 	 -3.409e+05 	 7.724e+05
12.550 	 4.264e+05 	 7.724e+05
12.650 	 -3.436e+05 	 7.725e+05
12.750 	 -3.450e+05 	 7.725e+05
12.850 	 1.191e+06 	 1.090e+06
12.950 	 -3.476e+05 	 7.726e+05
13.050 	 -3.488e+05 	 7.726e+05
13.150 	 -3.501e+05 	 7.726e+05
13.250 	 -3.513e+05 	 7.726e+05
13.350 	 -3.526e+05 	 7.727e+05
13.450 	 4.150e+05 	 7.727e+05
13.550 	 1.951e+06 	 1.334e+06
13.650 	 -3.561e+05 	 7.728e+05
13.750 	 4.115e+05 	 7.728e+05
13.850 	 4.103e+05 	 7.728e+05
13.950 	 -3.595e+05 	 7.729e+05
14.050 	 -3.606e+05 	 7.729e+05
14.150 	 4.071e+05 	 7.729e+05
14.250 	 1.943e+06 	 1.334e+06
14.350 	 -3.638e+05 	 7.730e+05
14.450 	 -3.648e+05 	 7.730e+05
14.550 	 1.172e+06 	 1.090e+06
14.650 	 6.552e+06 	 2.308e+06
14.750 	 6.551e+06 	 2.308e+06
14.850 	 5.781e+06 	 2.176e+06
14.950 	 1.577e+07 	 3.524e+06
15.050 	 1.193e+07 	 3.076e+06
15.150 	 7.316e+06 	 2.432e+06
15.250 	 5.778e+06 	 2.176e+06
15.350 	 2.702e+06 	 1.540e+06
15.450 	 1.163e+06 	 1.090e+06
15.550 	 1.163e+06 	 1.090e+06
15.650 	 -3.757e+05 	 7.735e+05
15.750 	 3.923e+05 	 7.735e+05
15.850 	 3.915e+05 	 7.736e+05
15.950 	 -3.780e+05 	 7.736e+05
16.050 	 -3.787e+05 	 7.737e+05
16.150 	 1.158e+06 	 1.091e+06
16.250 	 -3.801e+05 	 7.738e+05
16.350 	 3.880e+05 	 7.738e+05
16.450 	 3.873e+05 	 7.739e+05
16.550 	 3.867e+05 	 7.739e+05
16.650 	 3.861e+05 	 7.740e+05
16.750 	 3.855e+05 	 7.740e+05
16.850 	 1.154e+06 	 1.091e+06
16.950 	 -3.844e+05 	 7.742e+05
17.050 	 -3.849e+05 	 7.742e+05
17.150 	 3.833e+05 	 7.743e+05
17.250 	 3.828e+05 	 7.743e+05
17.350 	 -3.864e+05 	 7.744e+05
17.450 	 1.151e+06 	 1.091e+06
17.550 	 -3.873e+05 	 7.745e+05
17.650 	 -3.877e+05 	 7.746e+05
17.750 	 3.806e+05 	 7.747e+05
17.850 	 -3.885e+05 	 7.748e+05
17.950 	 -3.889e+05 	 7.748e+05
18.050 	 -3.892e+05 	 7.749e+05
18.150 	 -3.896e+05 	 7.750e+05
18.250 	 -3.899e+05 	 7.751e+05
18.350 	 -3.901e+05 	 7.752e+05
18.450 	 -3.904e+05 	 7.752e+05
18.550 	 -3.907e+05 	 7.753e+05
18.650 	 3.778e+05 	 7.754e+05
18.750 	 -3.911e+05 	 7.755e+05
18.850 	 3.775e+05 	 7.756e+05
18.950 	 3.773e+05 	 7.757e+05
19.050 	 -3.916e+05 	 7.758e+05
19.150 	 -3.917e+05 	 7.759e+05
19.250 	 -1.945e+05 	 1.323e+06
19.350 	 1.068e+05 	 3.315e+06
19.450 	 0.000e+00 	 0.000e+00
19.550 	 0.000e+00 	 0.000e+00
19.650 	 0.000e+00 	 0.000e+00
19.750 	 0.000e+00 	 0.000e+00
19.850 	 0.000e+00 	 0.000e+00
