Energy after passing through hohlraum (MeV),Spectrum (MeV^-1),Uncertainty (MeV^-1)
4.974999999999999645e+00,-1.787000000000000000e+05,9.261000000000000000e+06
5.025000000000000355e+00,-1.022000000000000000e+05,5.256000000000000000e+06
5.075000000000000178e+00,-1.029000000000000000e+05,5.256000000000000000e+06
5.125000000000000000e+00,-8.840000000000000000e+04,3.361000000000000000e+06
5.174999999999999822e+00,-8.904000000000000000e+04,3.361000000000000000e+06
5.224999999999999645e+00,-8.967000000000000000e+04,3.361000000000000000e+06
5.275000000000000355e+00,-7.743000000000000000e+04,2.305000000000000000e+06
5.325000000000000178e+00,-7.797000000000000000e+04,2.305000000000000000e+06
5.375000000000000000e+00,-7.853000000000000000e+04,2.305000000000000000e+06
5.424999999999999822e+00,-7.906000000000000000e+04,2.305000000000000000e+06
5.474999999999999645e+00,-5.720000000000000000e+04,1.656000000000000000e+06
5.525000000000000355e+00,-5.759000000000000000e+04,1.656000000000000000e+06
5.575000000000000178e+00,-5.798000000000000000e+04,1.656000000000000000e+06
5.625000000000000000e+00,-5.838000000000000000e+04,1.656000000000000000e+06
5.674999999999999822e+00,-5.232000000000000000e+04,1.229000000000000000e+06
5.724999999999999645e+00,-5.266000000000000000e+04,1.229000000000000000e+06
5.775000000000000355e+00,-5.301000000000000000e+04,1.229000000000000000e+06
5.825000000000000178e+00,-5.336000000000000000e+04,1.229000000000000000e+06
5.875000000000000000e+00,-5.370000000000000000e+04,1.229000000000000000e+06
5.924999999999999822e+00,-5.431000000000000000e+04,9.264000000000000000e+05
5.974999999999999645e+00,-5.466000000000000000e+04,9.264000000000000000e+05
6.025000000000000355e+00,-5.501000000000000000e+04,9.264000000000000000e+05
6.075000000000000178e+00,-5.536000000000000000e+04,9.264000000000000000e+05
6.125000000000000000e+00,-5.570000000000000000e+04,9.264000000000000000e+05
6.174999999999999822e+00,-5.604000000000000000e+04,9.264000000000000000e+05
6.224999999999999645e+00,-5.638000000000000000e+04,9.264000000000000000e+05
6.275000000000000355e+00,-5.672000000000000000e+04,9.264000000000000000e+05
6.325000000000000178e+00,-5.705000000000000000e+04,9.264000000000000000e+05
6.375000000000000000e+00,-5.740000000000000000e+04,9.264000000000000000e+05
6.424999999999999822e+00,-5.774000000000000000e+04,9.264000000000000000e+05
6.474999999999999645e+00,-5.807000000000000000e+04,9.264000000000000000e+05
6.525000000000000355e+00,-5.840000000000000000e+04,9.264000000000000000e+05
6.575000000000000178e+00,-5.873000000000000000e+04,9.264000000000000000e+05
6.625000000000000000e+00,-5.908000000000000000e+04,9.264000000000000000e+05
6.674999999999999822e+00,8.668000000000000000e+05,9.264000000000000000e+05
6.724999999999999645e+00,-5.974000000000000000e+04,9.264000000000000000e+05
6.775000000000000355e+00,-6.008000000000000000e+04,9.264000000000000000e+05
6.825000000000000178e+00,-6.041000000000000000e+04,9.264000000000000000e+05
6.875000000000000000e+00,-6.075000000000000000e+04,9.264000000000000000e+05
6.924999999999999822e+00,-6.107000000000000000e+04,9.264000000000000000e+05
6.974999999999999645e+00,-6.141000000000000000e+04,9.264000000000000000e+05
7.025000000000000355e+00,-6.175000000000000000e+04,9.264000000000000000e+05
7.075000000000000178e+00,-6.207000000000000000e+04,9.264000000000000000e+05
7.125000000000000000e+00,8.637000000000000000e+05,9.264000000000000000e+05
7.174999999999999822e+00,-6.274000000000000000e+04,9.264000000000000000e+05
7.224999999999999645e+00,-6.307000000000000000e+04,9.264000000000000000e+05
7.275000000000000355e+00,-6.340000000000000000e+04,9.264000000000000000e+05
7.325000000000000178e+00,-6.374000000000000000e+04,9.264000000000000000e+05
7.375000000000000000e+00,-6.406000000000000000e+04,9.264000000000000000e+05
7.424999999999999822e+00,-6.440000000000000000e+04,9.264000000000000000e+05
7.474999999999999645e+00,-6.472000000000000000e+04,9.264000000000000000e+05
7.525000000000000355e+00,-6.506000000000000000e+04,9.264000000000000000e+05
7.575000000000000178e+00,8.608000000000000000e+05,9.264000000000000000e+05
7.625000000000000000e+00,-6.572000000000000000e+04,9.264000000000000000e+05
7.674999999999999822e+00,-6.605000000000000000e+04,9.264000000000000000e+05
7.724999999999999645e+00,-6.637000000000000000e+04,9.265000000000000000e+05
7.775000000000000355e+00,8.595000000000000000e+05,9.265000000000000000e+05
7.825000000000000178e+00,8.591000000000000000e+05,9.265000000000000000e+05
7.875000000000000000e+00,-6.736000000000000000e+04,9.265000000000000000e+05
7.924999999999999822e+00,-6.768000000000000000e+04,9.265000000000000000e+05
7.974999999999999645e+00,-6.801000000000000000e+04,9.265000000000000000e+05
8.025000000000000355e+00,-6.834000000000000000e+04,9.265000000000000000e+05
8.074999999999999289e+00,-6.866000000000000000e+04,9.265000000000000000e+05
8.125000000000000000e+00,8.572000000000000000e+05,9.265000000000000000e+05
8.175000000000000711e+00,-6.931000000000000000e+04,9.265000000000000000e+05
8.224999999999999645e+00,-6.964000000000000000e+04,9.265000000000000000e+05
8.275000000000000355e+00,-6.997000000000000000e+04,9.265000000000000000e+05
8.324999999999999289e+00,-7.029000000000000000e+04,9.265000000000000000e+05
8.375000000000000000e+00,-7.061000000000000000e+04,9.265000000000000000e+05
8.425000000000000711e+00,-7.093000000000000000e+04,9.265000000000000000e+05
8.474999999999999645e+00,-7.126000000000000000e+04,9.265000000000000000e+05
8.525000000000000355e+00,-7.158000000000000000e+04,9.265000000000000000e+05
8.574999999999999289e+00,-7.190000000000000000e+04,9.265000000000000000e+05
8.625000000000000000e+00,-7.222000000000000000e+04,9.265000000000000000e+05
8.675000000000000711e+00,8.536000000000000000e+05,9.265000000000000000e+05
8.724999999999999645e+00,-7.286000000000000000e+04,9.265000000000000000e+05
8.775000000000000355e+00,8.530000000000000000e+05,9.265000000000000000e+05
8.824999999999999289e+00,-7.351000000000000000e+04,9.265000000000000000e+05
8.875000000000000000e+00,8.523000000000000000e+05,9.265000000000000000e+05
8.925000000000000711e+00,-7.415000000000000000e+04,9.265000000000000000e+05
8.974999999999999645e+00,-7.446000000000000000e+04,9.265000000000000000e+05
9.025000000000000355e+00,-7.477000000000000000e+04,9.265000000000000000e+05
9.074999999999999289e+00,-7.508000000000000000e+04,9.265000000000000000e+05
9.125000000000000000e+00,-7.540000000000000000e+04,9.265000000000000000e+05
9.175000000000000711e+00,-7.572000000000000000e+04,9.265000000000000000e+05
9.224999999999999645e+00,-7.604000000000000000e+04,9.265000000000000000e+05
9.275000000000000355e+00,-7.636000000000000000e+04,9.265000000000000000e+05
9.324999999999999289e+00,-7.667000000000000000e+04,9.266000000000000000e+05
9.375000000000000000e+00,-7.698000000000000000e+04,9.266000000000000000e+05
9.425000000000000711e+00,-7.731000000000000000e+04,9.266000000000000000e+05
9.474999999999999645e+00,-7.761000000000000000e+04,9.266000000000000000e+05
9.525000000000000355e+00,-7.793000000000000000e+04,9.266000000000000000e+05
9.574999999999999289e+00,-7.825000000000000000e+04,9.266000000000000000e+05
9.625000000000000000e+00,-7.856000000000000000e+04,9.266000000000000000e+05
9.675000000000000711e+00,-7.888000000000000000e+04,9.266000000000000000e+05
9.724999999999999645e+00,-7.920000000000000000e+04,9.266000000000000000e+05
9.775000000000000355e+00,-7.951000000000000000e+04,9.266000000000000000e+05
9.824999999999999289e+00,-7.982000000000000000e+04,9.266000000000000000e+05
9.875000000000000000e+00,8.460000000000000000e+05,9.266000000000000000e+05
9.925000000000000711e+00,-8.044000000000000000e+04,9.266000000000000000e+05
9.974999999999999645e+00,-8.076000000000000000e+04,9.266000000000000000e+05
1.002500000000000036e+01,-8.107000000000000000e+04,9.266000000000000000e+05
1.007499999999999929e+01,-8.138000000000000000e+04,9.266000000000000000e+05
1.012500000000000000e+01,-8.170000000000000000e+04,9.266000000000000000e+05
1.017500000000000071e+01,-8.201000000000000000e+04,9.266000000000000000e+05
1.022499999999999964e+01,-8.231000000000000000e+04,9.266000000000000000e+05
1.027500000000000036e+01,8.435000000000000000e+05,9.266000000000000000e+05
1.032499999999999929e+01,-8.294000000000000000e+04,9.266000000000000000e+05
1.037500000000000000e+01,-8.325000000000000000e+04,9.266000000000000000e+05
1.042500000000000071e+01,-8.356000000000000000e+04,9.266000000000000000e+05
1.047499999999999964e+01,-8.387000000000000000e+04,9.266000000000000000e+05
1.052500000000000036e+01,-8.418000000000000000e+04,9.266000000000000000e+05
1.057499999999999929e+01,-8.449000000000000000e+04,9.266000000000000000e+05
1.062500000000000000e+01,-8.480000000000000000e+04,9.266000000000000000e+05
1.067500000000000071e+01,-8.511000000000000000e+04,9.266000000000000000e+05
1.072499999999999964e+01,-8.541000000000000000e+04,9.266000000000000000e+05
1.077500000000000036e+01,8.404000000000000000e+05,9.267000000000000000e+05
1.082499999999999929e+01,8.401000000000000000e+05,9.267000000000000000e+05
1.087500000000000000e+01,-8.634000000000000000e+04,9.267000000000000000e+05
