WRF ANALYSIS
Date & time = ,2023-11-17, 15:18
Display format=,3
Program version:,2021-05-25

Scan file = ,O109575_P2_G160_wa0436_2.5hr_40x_s6
Port & distance (cm) =,p2,26.0
WRF ID; Al blast(um) & cal=,g160 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(23-76),(0-62),-1.153,1.145,-0.969,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,62,
C; e; Dmax; dDmax; Dscale =,16,15,10.80,0.25,new
Dlow; Dhigh; Dauto; Elims =,7.50,16.00,no

DvE fit: c; dc; red. Chi^2 =, 1.487,0.033,1.97

Fit limits (MeV):,14.500,17.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 15.410,0.322,7.163e+08
Value (raw stats):, 15.414,0.301,7.124e+08
Uncertainties
    Random:, 0.038,0.006,15.58%
    Systematic calib:, 0.048,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.006,0.006,8.28%
     DvE:, 0.012,0.002,13.18%
     Dmax:, 0.017,0.000,0.52%
     WRF nonlinearity:, 0.013,0.000,0.00%
     Cal. & processing:, 0.029,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.075 	 0.000e+00 	 0.000e+00
4.125 	 0.000e+00 	 0.000e+00
4.175 	 0.000e+00 	 0.000e+00
4.225 	 0.000e+00 	 0.000e+00
4.275 	 0.000e+00 	 0.000e+00
4.325 	 4.447e+07 	 4.576e+07
4.375 	 -1.168e+06 	 1.272e+07
4.425 	 -1.108e+06 	 8.643e+06
4.475 	 -1.077e+06 	 6.251e+06
4.525 	 -1.086e+06 	 6.251e+06
4.575 	 -1.030e+06 	 4.705e+06
4.625 	 -9.916e+05 	 3.644e+06
4.675 	 -9.996e+05 	 3.644e+06
4.725 	 -9.701e+05 	 2.886e+06
4.775 	 -9.777e+05 	 2.886e+06
4.825 	 -9.853e+05 	 2.886e+06
4.875 	 1.890e+06 	 2.886e+06
4.925 	 -1.000e+06 	 2.886e+06
4.975 	 -1.008e+06 	 2.886e+06
5.025 	 -1.015e+06 	 2.887e+06
5.075 	 -1.023e+06 	 2.887e+06
5.125 	 -1.030e+06 	 2.887e+06
5.175 	 1.845e+06 	 2.887e+06
5.225 	 -1.045e+06 	 2.887e+06
5.275 	 1.830e+06 	 2.887e+06
5.325 	 -1.060e+06 	 2.887e+06
5.375 	 -1.068e+06 	 2.887e+06
5.425 	 -1.075e+06 	 2.887e+06
5.475 	 -1.082e+06 	 2.887e+06
5.525 	 -1.090e+06 	 2.887e+06
5.575 	 4.668e+06 	 4.080e+06
5.625 	 -1.105e+06 	 2.887e+06
5.675 	 -1.112e+06 	 2.887e+06
5.725 	 -1.119e+06 	 2.887e+06
5.775 	 1.756e+06 	 2.887e+06
5.825 	 -1.134e+06 	 2.887e+06
5.875 	 1.741e+06 	 2.888e+06
5.925 	 -1.148e+06 	 2.888e+06
5.975 	 4.609e+06 	 4.080e+06
6.025 	 -1.163e+06 	 2.888e+06
6.075 	 -1.171e+06 	 2.888e+06
6.125 	 1.705e+06 	 2.888e+06
6.175 	 1.698e+06 	 2.888e+06
6.225 	 1.690e+06 	 2.888e+06
6.275 	 1.683e+06 	 2.888e+06
6.325 	 1.676e+06 	 2.888e+06
6.375 	 4.551e+06 	 4.081e+06
6.425 	 -1.221e+06 	 2.888e+06
6.475 	 -1.228e+06 	 2.888e+06
6.525 	 -1.235e+06 	 2.888e+06
6.575 	 1.641e+06 	 2.888e+06
6.625 	 -1.249e+06 	 2.889e+06
6.675 	 -1.256e+06 	 2.889e+06
6.725 	 1.619e+06 	 2.889e+06
6.775 	 1.612e+06 	 2.889e+06
6.825 	 -1.278e+06 	 2.889e+06
6.875 	 -1.285e+06 	 2.889e+06
6.925 	 -1.291e+06 	 2.889e+06
6.975 	 -1.299e+06 	 2.889e+06
