WRF ANALYSIS
Date & time = ,2023-11-17, 15:35
Display format=,3
Program version:,2021-05-25

Scan file = ,O109585_P2_G100_wa0450_2.5hr_40x_s0
Port & distance (cm) =,p2,26.0
WRF ID; Al blast(um) & cal=,13425930-g100 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.120,1.155,-0.979,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,63,
C; e; Dmax; dDmax; Dscale =,19,15,11.30,0.25,new
Dlow; Dhigh; Dauto; Elims =,7.00,16.00,no

DvE fit: c; dc; red. Chi^2 =, 1.452,0.028,2.24

Fit limits (MeV):,14.500,17.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 15.473,0.324,5.797e+08
Value (raw stats):, 15.473,0.315,5.793e+08
Uncertainties
    Random:, 0.038,0.008,13.06%
    Systematic calib:, 0.048,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.007,0.007,6.42%
     DvE:, 0.013,0.004,11.37%
     Dmax:, 0.016,0.000,0.49%
     WRF nonlinearity:, 0.013,0.000,0.00%
     Cal. & processing:, 0.028,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.625 	 0.000e+00 	 0.000e+00
4.675 	 0.000e+00 	 0.000e+00
4.725 	 0.000e+00 	 0.000e+00
4.775 	 0.000e+00 	 0.000e+00
4.825 	 0.000e+00 	 0.000e+00
4.875 	 -1.203e+06 	 3.868e+07
4.925 	 -1.233e+06 	 1.749e+07
4.975 	 -9.913e+05 	 1.047e+07
5.025 	 -1.228e+06 	 7.024e+06
5.075 	 -1.325e+06 	 5.019e+06
5.125 	 2.557e+06 	 3.736e+06
5.175 	 2.548e+06 	 3.736e+06
5.225 	 -1.031e+06 	 2.866e+06
5.275 	 -1.038e+06 	 2.866e+06
5.325 	 1.277e+06 	 2.251e+06
5.375 	 1.270e+06 	 2.251e+06
5.425 	 -9.836e+05 	 2.251e+06
5.475 	 -9.905e+05 	 2.251e+06
5.525 	 1.249e+06 	 2.251e+06
5.575 	 -1.004e+06 	 2.251e+06
5.625 	 -1.011e+06 	 2.251e+06
5.675 	 -1.017e+06 	 2.251e+06
5.725 	 1.223e+06 	 2.251e+06
5.775 	 -1.031e+06 	 2.251e+06
5.825 	 -1.038e+06 	 2.251e+06
5.875 	 -1.044e+06 	 2.251e+06
5.925 	 -1.051e+06 	 2.251e+06
5.975 	 -1.058e+06 	 2.251e+06
6.025 	 -1.064e+06 	 2.252e+06
6.075 	 5.669e+06 	 3.894e+06
6.125 	 3.416e+06 	 3.181e+06
6.175 	 1.162e+06 	 2.252e+06
6.225 	 -1.091e+06 	 2.252e+06
6.275 	 -1.098e+06 	 2.252e+06
6.325 	 -1.104e+06 	 2.252e+06
6.375 	 -1.111e+06 	 2.252e+06
6.425 	 -1.117e+06 	 2.252e+06
6.475 	 -1.124e+06 	 2.252e+06
6.525 	 1.117e+06 	 2.252e+06
6.575 	 -1.136e+06 	 2.252e+06
6.625 	 -1.143e+06 	 2.252e+06
6.675 	 -1.150e+06 	 2.252e+06
6.725 	 -1.156e+06 	 2.252e+06
6.775 	 -1.163e+06 	 2.252e+06
6.825 	 -1.169e+06 	 2.253e+06
6.875 	 1.071e+06 	 2.253e+06
6.925 	 1.065e+06 	 2.253e+06
6.975 	 -1.188e+06 	 2.253e+06
7.025 	 -1.195e+06 	 2.253e+06
7.075 	 -1.201e+06 	 2.253e+06
7.125 	 3.286e+06 	 3.182e+06
7.175 	 -1.214e+06 	 2.253e+06
7.225 	 -1.221e+06 	 2.253e+06
7.275 	 1.020e+06 	 2.253e+06
7.325 	 -1.233e+06 	 2.253e+06
7.375 	 -1.240e+06 	 2.253e+06
7.425 	 1.000e+06 	 2.253e+06
7.475 	 -1.252e+06 	 2.253e+06
7.525 	 9.877e+05 	 2.253e+06
7.575 	 9.815e+05 	 2.254e+06
7.625 	 9.750e+05 	 2.254e+06
7.675 	 -1.278e+06 	 2.254e+06
7.725 	 9.624e+05 	 2.254e+06
7.775 	 -1.291e+06 	 2.254e+06
7.825 	 -1.297e+06 	 2.254e+06
7.875 	 3.190e+06 	 3.182e+06
7.925 	 3.184e+06 	 3.182e+06
7.975 	 9.307e+05 	 2.254e+06
8.025 	 -1.322e+06 	 2.254e+06
8.075 	 -1.329e+06 	 2.254e+06
8.125 	 -1.335e+06 	 2.254e+06
8.175 	 -1.341e+06 	 2.254e+06
8.225 	 -1.348e+06 	 2.254e+06
8.275 	 -1.354e+06 	 2.255e+06
8.325 	 5.380e+06 	 3.896e+06
8.375 	 -1.366e+06 	 2.255e+06
8.425 	 -1.373e+06 	 2.255e+06
8.475 	 3.114e+06 	 3.183e+06
8.525 	 9.848e+06 	 5.027e+06
8.575 	 -1.391e+06 	 2.255e+06
8.625 	 8.491e+05 	 2.255e+06
8.675 	 -1.404e+06 	 2.255e+06
8.725 	 -1.410e+06 	 2.255e+06
8.775 	 9.817e+06 	 5.028e+06
8.825 	 8.242e+05 	 2.255e+06
8.875 	 8.182e+05 	 2.255e+06
8.925 	 8.119e+05 	 2.255e+06
8.975 	 8.058e+05 	 2.256e+06
9.025 	 7.998e+05 	 2.256e+06
9.075 	 7.938e+05 	 2.256e+06
9.125 	 -1.459e+06 	 2.256e+06
9.175 	 7.814e+05 	 2.256e+06
9.225 	 7.752e+05 	 2.256e+06
9.275 	 3.016e+06 	 3.184e+06
9.325 	 -1.484e+06 	 2.256e+06
9.375 	 7.570e+05 	 2.256e+06
9.425 	 7.507e+05 	 2.256e+06
9.475 	 7.448e+05 	 2.256e+06
9.525 	 -1.508e+06 	 2.256e+06
9.575 	 7.324e+05 	 2.256e+06
9.625 	 7.264e+05 	 2.257e+06
9.675 	 -1.526e+06 	 2.257e+06
9.725 	 7.142e+05 	 2.257e+06
9.775 	 -1.539e+06 	 2.257e+06
9.825 	 -1.545e+06 	 2.257e+06
9.875 	 -1.551e+06 	 2.257e+06
9.925 	 6.900e+05 	 2.257e+06
9.975 	 -1.563e+06 	 2.257e+06
10.025 	 2.925e+06 	 3.185e+06
10.075 	 -1.575e+06 	 2.257e+06
10.125 	 -1.581e+06 	 2.257e+06
10.175 	 -1.587e+06 	 2.257e+06
10.225 	 -1.593e+06 	 2.258e+06
10.275 	 6.476e+05 	 2.258e+06
10.325 	 2.888e+06 	 3.185e+06
10.375 	 6.357e+05 	 2.258e+06
10.425 	 -1.617e+06 	 2.258e+06
10.475 	 2.870e+06 	 3.185e+06
10.525 	 -1.629e+06 	 2.258e+06
10.575 	 2.858e+06 	 3.185e+06
10.625 	 -1.641e+06 	 2.258e+06
10.675 	 -1.647e+06 	 2.258e+06
10.725 	 -1.653e+06 	 2.258e+06
10.775 	 -1.659e+06 	 2.258e+06
10.825 	 5.818e+05 	 2.259e+06
10.875 	 5.069e+06 	 3.898e+06
10.925 	 -1.677e+06 	 2.259e+06
10.975 	 -1.683e+06 	 2.259e+06
11.025 	 -1.689e+06 	 2.259e+06
11.075 	 -1.695e+06 	 2.259e+06
11.125 	 -1.700e+06 	 2.259e+06
11.175 	 5.404e+05 	 2.259e+06
11.225 	 -1.712e+06 	 2.259e+06
11.275 	 -1.718e+06 	 2.259e+06
11.325 	 -1.724e+06 	 2.259e+06
11.375 	 -1.730e+06 	 2.259e+06
11.425 	 -1.736e+06 	 2.260e+06
11.475 	 4.998e+06 	 3.899e+06
11.525 	 4.991e+05 	 2.260e+06
11.575 	 4.931e+05 	 2.260e+06
11.625 	 4.981e+06 	 3.899e+06
11.675 	 4.814e+05 	 2.260e+06
11.725 	 4.755e+05 	 2.260e+06
11.775 	 4.963e+06 	 3.899e+06
11.825 	 4.637e+05 	 2.260e+06
11.875 	 2.705e+06 	 3.187e+06
11.925 	 4.521e+05 	 2.260e+06
11.975 	 -1.801e+06 	 2.261e+06
12.025 	 2.687e+06 	 3.187e+06
12.075 	 4.347e+05 	 2.261e+06
12.125 	 4.288e+05 	 2.261e+06
12.175 	 4.229e+05 	 2.261e+06
12.225 	 4.171e+05 	 2.261e+06
12.275 	 2.658e+06 	 3.187e+06
12.325 	 -1.841e+06 	 2.261e+06
12.375 	 3.996e+05 	 2.261e+06
12.425 	 -1.853e+06 	 2.261e+06
12.475 	 3.879e+05 	 2.261e+06
12.525 	 -1.865e+06 	 2.262e+06
12.575 	 2.623e+06 	 3.188e+06
12.625 	 3.706e+05 	 2.262e+06
12.675 	 3.649e+05 	 2.262e+06
12.725 	 -1.888e+06 	 2.262e+06
12.775 	 3.532e+05 	 2.262e+06
12.825 	 3.475e+05 	 2.262e+06
12.875 	 -1.905e+06 	 2.262e+06
12.925 	 7.076e+06 	 4.501e+06
12.975 	 2.577e+06 	 3.188e+06
13.025 	 -1.922e+06 	 2.262e+06
13.075 	 -1.928e+06 	 2.263e+06
13.125 	 3.129e+05 	 2.263e+06
13.175 	 3.072e+05 	 2.263e+06
13.225 	 3.016e+05 	 2.263e+06
13.275 	 -1.951e+06 	 2.263e+06
13.325 	 2.900e+05 	 2.263e+06
13.375 	 -1.962e+06 	 2.263e+06
13.425 	 -1.968e+06 	 2.263e+06
13.475 	 2.729e+05 	 2.263e+06
13.525 	 -1.980e+06 	 2.263e+06
13.575 	 -1.985e+06 	 2.263e+06
13.625 	 2.557e+05 	 2.264e+06
13.675 	 -1.997e+06 	 2.264e+06
13.725 	 -2.002e+06 	 2.264e+06
13.775 	 2.387e+05 	 2.264e+06
13.825 	 2.329e+05 	 2.264e+06
13.875 	 2.273e+05 	 2.264e+06
13.925 	 2.215e+05 	 2.264e+06
13.975 	 -2.031e+06 	 2.264e+06
14.025 	 2.457e+06 	 3.190e+06
14.075 	 2.045e+05 	 2.264e+06
14.125 	 2.446e+06 	 3.190e+06
14.175 	 1.932e+05 	 2.265e+06
14.225 	 1.876e+05 	 2.265e+06
14.275 	 2.429e+06 	 3.190e+06
14.325 	 -2.070e+06 	 2.265e+06
14.375 	 1.140e+07 	 5.511e+06
14.425 	 1.649e+05 	 2.265e+06
14.475 	 1.364e+07 	 5.951e+06
14.525 	 1.588e+07 	 6.361e+06
14.575 	 2.037e+07 	 7.111e+06
14.625 	 1.812e+07 	 6.746e+06
14.675 	 4.732e+07 	 1.054e+07
14.725 	 4.956e+07 	 1.078e+07
14.775 	 5.854e+07 	 1.168e+07
14.825 	 8.549e+07 	 1.403e+07
14.875 	 1.461e+08 	 1.825e+07
14.925 	 1.596e+08 	 1.907e+07
14.975 	 2.472e+08 	 2.367e+07
15.025 	 3.034e+08 	 2.620e+07
15.075 	 3.438e+08 	 2.788e+07
15.125 	 3.528e+08 	 2.824e+07
15.175 	 4.517e+08 	 3.193e+07
15.225 	 5.011e+08 	 3.363e+07
15.275 	 6.561e+08 	 3.846e+07
15.325 	 6.516e+08 	 3.833e+07
15.375 	 6.201e+08 	 3.739e+07
15.425 	 7.280e+08 	 4.050e+07
15.475 	 7.347e+08 	 4.069e+07
15.525 	 6.875e+08 	 3.937e+07
15.575 	 6.988e+08 	 3.969e+07
15.625 	 5.999e+08 	 3.678e+07
15.675 	 6.448e+08 	 3.813e+07
15.725 	 5.145e+08 	 3.407e+07
15.775 	 4.583e+08 	 3.217e+07
15.825 	 3.662e+08 	 2.877e+07
15.875 	 2.898e+08 	 2.562e+07
15.925 	 3.055e+08 	 2.630e+07
15.975 	 2.449e+08 	 2.357e+07
16.025 	 1.640e+08 	 1.933e+07
