Energy after passing through hohlraum (MeV),Spectrum (MeV^-1),Uncertainty (MeV^-1)
4.674999999999999822e+00,-1.456000000000000000e+06,8.962000000000000000e+06
4.724999999999999645e+00,5.007000000000000000e+06,6.453000000000000000e+06
4.775000000000000355e+00,3.594000000000000000e+06,4.831000000000000000e+06
4.825000000000000178e+00,-1.068000000000000000e+06,3.720000000000000000e+06
4.875000000000000000e+00,2.639000000000000000e+06,3.720000000000000000e+06
4.924999999999999822e+00,-1.033000000000000000e+06,2.928000000000000000e+06
4.974999999999999645e+00,-1.041000000000000000e+06,2.928000000000000000e+06
5.025000000000000355e+00,1.876000000000000000e+06,2.928000000000000000e+06
5.075000000000000178e+00,-1.056000000000000000e+06,2.928000000000000000e+06
5.125000000000000000e+00,-1.064000000000000000e+06,2.928000000000000000e+06
5.174999999999999822e+00,1.852000000000000000e+06,2.929000000000000000e+06
5.224999999999999645e+00,4.769000000000000000e+06,4.139000000000000000e+06
5.275000000000000355e+00,1.837000000000000000e+06,2.929000000000000000e+06
5.325000000000000178e+00,-1.095000000000000000e+06,2.929000000000000000e+06
5.375000000000000000e+00,-1.103000000000000000e+06,2.929000000000000000e+06
5.424999999999999822e+00,-1.110000000000000000e+06,2.929000000000000000e+06
5.474999999999999645e+00,-1.118000000000000000e+06,2.929000000000000000e+06
5.525000000000000355e+00,-1.126000000000000000e+06,2.929000000000000000e+06
5.575000000000000178e+00,4.715000000000000000e+06,4.139000000000000000e+06
5.625000000000000000e+00,-1.141000000000000000e+06,2.929000000000000000e+06
5.674999999999999822e+00,1.776000000000000000e+06,2.929000000000000000e+06
5.724999999999999645e+00,1.768000000000000000e+06,2.929000000000000000e+06
5.775000000000000355e+00,-1.164000000000000000e+06,2.929000000000000000e+06
5.825000000000000178e+00,-1.171000000000000000e+06,2.929000000000000000e+06
5.875000000000000000e+00,-1.179000000000000000e+06,2.929000000000000000e+06
5.924999999999999822e+00,-1.186000000000000000e+06,2.929000000000000000e+06
5.974999999999999645e+00,-1.194000000000000000e+06,2.930000000000000000e+06
6.025000000000000355e+00,-1.201000000000000000e+06,2.930000000000000000e+06
6.075000000000000178e+00,-1.209000000000000000e+06,2.930000000000000000e+06
6.125000000000000000e+00,1.708000000000000000e+06,2.930000000000000000e+06
6.174999999999999822e+00,-1.224000000000000000e+06,2.930000000000000000e+06
6.224999999999999645e+00,1.693000000000000000e+06,2.930000000000000000e+06
6.275000000000000355e+00,-1.239000000000000000e+06,2.930000000000000000e+06
6.325000000000000178e+00,1.678000000000000000e+06,2.930000000000000000e+06
6.375000000000000000e+00,-1.254000000000000000e+06,2.930000000000000000e+06
6.424999999999999822e+00,4.587000000000000000e+06,4.140000000000000000e+06
6.474999999999999645e+00,-1.268000000000000000e+06,2.930000000000000000e+06
