WRF ANALYSIS
Date & time = ,2023-11-20, 13:07
Display format=,3
Program version:,2021-05-25

Scan file = ,O109905_P2_G161_wa0981_2.5hr_40x_s6
Port & distance (cm) =,p2,26.0
WRF ID; Al blast(um) & cal=,g161 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(23-76),(0-62),-1.153,1.145,-0.969,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,62,
C; e; Dmax; dDmax; Dscale =,10,15,10.90,0.25,new
Dlow; Dhigh; Dauto; Elims =,9.00,14.50,no

DvE fit: c; dc; red. Chi^2 =, 1.328,0.031,1.73

Fit limits (MeV):,14.500,16.500,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 15.260,0.272,5.885e+08
Value (raw stats):, 15.270,0.262,5.900e+08
Uncertainties
    Random:, 0.039,0.005,12.21%
    Systematic calib:, 0.048,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.005,0.004,4.20%
     DvE:, 0.014,0.003,11.45%
     Dmax:, 0.017,0.000,0.52%
     WRF nonlinearity:, 0.013,0.000,0.00%
     Cal. & processing:, 0.029,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.475 	 0.000e+00 	 0.000e+00
4.525 	 0.000e+00 	 0.000e+00
4.575 	 0.000e+00 	 0.000e+00
4.625 	 0.000e+00 	 0.000e+00
4.675 	 0.000e+00 	 3.494e+07
4.725 	 -1.205e+05 	 1.618e+07
4.775 	 -1.500e+05 	 9.991e+06
4.825 	 -2.100e+05 	 6.939e+06
4.875 	 -1.568e+05 	 5.143e+06
4.925 	 -1.222e+05 	 3.976e+06
4.975 	 -1.470e+05 	 3.166e+06
5.025 	 3.017e+06 	 3.166e+06
5.075 	 -2.023e+05 	 2.577e+06
5.125 	 2.373e+06 	 2.577e+06
5.175 	 -2.053e+05 	 2.577e+06
5.225 	 2.370e+06 	 2.577e+06
5.275 	 -2.083e+05 	 2.577e+06
5.325 	 -2.097e+05 	 2.577e+06
5.375 	 -2.112e+05 	 2.577e+06
5.425 	 -2.126e+05 	 2.577e+06
5.475 	 -2.141e+05 	 2.577e+06
5.525 	 -2.156e+05 	 2.577e+06
5.575 	 -2.171e+05 	 2.578e+06
5.625 	 -2.185e+05 	 2.578e+06
5.675 	 -2.200e+05 	 2.578e+06
5.725 	 -2.214e+05 	 2.578e+06
5.775 	 -2.229e+05 	 2.578e+06
5.825 	 -2.243e+05 	 2.578e+06
