WRF ANALYSIS
Date & time = ,2023-11-20, 13:23
Display format=,3
Program version:,2021-05-25

Scan file = ,O109910_P2_G070_wa0991_2.5hr_40x_s6
Port & distance (cm) =,p2,26.0
WRF ID; Al blast(um) & cal=,13425900-g070 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(23-76),(0-62),-1.153,1.145,-0.969,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,62,
C; e; Dmax; dDmax; Dscale =,14,15,11.30,0.25,new
Dlow; Dhigh; Dauto; Elims =,9.00,14.50,no

DvE fit: c; dc; red. Chi^2 =, 1.326,0.038,2.58

Fit limits (MeV):,14.500,16.500,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 15.290,0.279,4.672e+08
Value (raw stats):, 15.294,0.274,4.698e+08
Uncertainties
    Random:, 0.040,0.004,15.17%
    Systematic calib:, 0.048,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.007,0.004,4.49%
     DvE:, 0.017,0.001,14.48%
     Dmax:, 0.016,0.000,0.50%
     WRF nonlinearity:, 0.013,0.000,0.00%
     Cal. & processing:, 0.029,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.325 	 0.000e+00 	 0.000e+00
4.375 	 0.000e+00 	 0.000e+00
4.425 	 0.000e+00 	 0.000e+00
4.475 	 0.000e+00 	 0.000e+00
4.525 	 0.000e+00 	 0.000e+00
4.575 	 -5.044e+05 	 3.441e+07
4.625 	 -5.887e+05 	 1.594e+07
4.675 	 -4.395e+05 	 9.837e+06
4.725 	 -5.639e+05 	 6.831e+06
4.775 	 -4.978e+05 	 5.063e+06
4.825 	 -4.474e+05 	 3.914e+06
4.875 	 -4.508e+05 	 3.914e+06
4.925 	 -4.099e+05 	 3.116e+06
4.975 	 2.702e+06 	 3.116e+06
5.025 	 -4.382e+05 	 2.537e+06
5.075 	 -4.413e+05 	 2.537e+06
5.125 	 2.090e+06 	 2.537e+06
5.175 	 -4.478e+05 	 2.537e+06
5.225 	 4.619e+06 	 3.586e+06
5.275 	 2.081e+06 	 2.537e+06
5.325 	 -4.575e+05 	 2.537e+06
5.375 	 -4.607e+05 	 2.537e+06
5.425 	 -4.638e+05 	 2.537e+06
5.475 	 -4.671e+05 	 2.537e+06
5.525 	 -4.703e+05 	 2.537e+06
5.575 	 -4.734e+05 	 2.537e+06
5.625 	 2.058e+06 	 2.537e+06
5.675 	 -4.798e+05 	 2.537e+06
5.725 	 -4.830e+05 	 2.537e+06
5.775 	 -4.862e+05 	 2.537e+06
5.825 	 -4.893e+05 	 2.537e+06
5.875 	 4.577e+06 	 3.587e+06
5.925 	 2.039e+06 	 2.537e+06
5.975 	 2.036e+06 	 2.537e+06
6.025 	 -5.020e+05 	 2.537e+06
6.075 	 -5.052e+05 	 2.537e+06
6.125 	 -5.083e+05 	 2.537e+06
6.175 	 -5.114e+05 	 2.537e+06
6.225 	 -5.145e+05 	 2.537e+06
6.275 	 -5.176e+05 	 2.537e+06
6.325 	 -5.206e+05 	 2.537e+06
6.375 	 2.011e+06 	 2.537e+06
6.425 	 -5.269e+05 	 2.537e+06
6.475 	 -5.299e+05 	 2.537e+06
6.525 	 -5.330e+05 	 2.538e+06
6.575 	 -5.359e+05 	 2.538e+06
6.625 	 1.996e+06 	 2.538e+06
6.675 	 -5.421e+05 	 2.538e+06
6.725 	 -5.451e+05 	 2.538e+06
6.775 	 -5.483e+05 	 2.538e+06
6.825 	 1.984e+06 	 2.538e+06
6.875 	 -5.543e+05 	 2.538e+06
6.925 	 -5.573e+05 	 2.538e+06
6.975 	 -5.604e+05 	 2.538e+06
7.025 	 -5.635e+05 	 2.538e+06
7.075 	 -5.665e+05 	 2.538e+06
7.125 	 -5.696e+05 	 2.538e+06
7.175 	 -5.726e+05 	 2.538e+06
7.225 	 -5.756e+05 	 2.538e+06
7.275 	 -5.786e+05 	 2.538e+06
7.325 	 1.953e+06 	 2.538e+06
7.375 	 -5.846e+05 	 2.538e+06
7.425 	 -5.877e+05 	 2.538e+06
7.475 	 -5.906e+05 	 2.538e+06
7.525 	 -5.937e+05 	 2.538e+06
7.575 	 -5.967e+05 	 2.538e+06
7.625 	 -5.997e+05 	 2.538e+06
7.675 	 -6.027e+05 	 2.538e+06
