Energy after passing through hohlraum (MeV),Spectrum (MeV^-1),Uncertainty (MeV^-1)
4.375000000000000000e+00,-6.826000000000000000e+05,1.077000000000000000e+07
4.424999999999999822e+00,-5.172000000000000000e+05,7.285000000000000000e+06
4.474999999999999645e+00,-4.887000000000000000e+05,5.251000000000000000e+06
4.525000000000000355e+00,-4.927000000000000000e+05,5.251000000000000000e+06
4.575000000000000178e+00,-4.879000000000000000e+05,3.944000000000000000e+06
4.625000000000000000e+00,-4.918000000000000000e+05,3.944000000000000000e+06
4.674999999999999822e+00,-4.514000000000000000e+05,3.053000000000000000e+06
4.724999999999999645e+00,-4.549000000000000000e+05,3.053000000000000000e+06
4.775000000000000355e+00,-4.539000000000000000e+05,2.418000000000000000e+06
4.825000000000000178e+00,-4.574000000000000000e+05,2.418000000000000000e+06
4.875000000000000000e+00,-4.608000000000000000e+05,2.418000000000000000e+06
4.924999999999999822e+00,-4.644000000000000000e+05,2.418000000000000000e+06
4.974999999999999645e+00,1.948000000000000000e+06,2.418000000000000000e+06
5.025000000000000355e+00,1.945000000000000000e+06,2.418000000000000000e+06
5.075000000000000178e+00,-4.747000000000000000e+05,2.418000000000000000e+06
5.125000000000000000e+00,-4.783000000000000000e+05,2.418000000000000000e+06
5.174999999999999822e+00,-4.817000000000000000e+05,2.418000000000000000e+06
5.224999999999999645e+00,-4.851000000000000000e+05,2.418000000000000000e+06
5.275000000000000355e+00,-4.887000000000000000e+05,2.418000000000000000e+06
5.325000000000000178e+00,-4.921000000000000000e+05,2.418000000000000000e+06
5.375000000000000000e+00,-4.956000000000000000e+05,2.418000000000000000e+06
5.424999999999999822e+00,1.917000000000000000e+06,2.418000000000000000e+06
5.474999999999999645e+00,-5.024000000000000000e+05,2.418000000000000000e+06
5.525000000000000355e+00,-5.059000000000000000e+05,2.418000000000000000e+06
5.575000000000000178e+00,1.907000000000000000e+06,2.418000000000000000e+06
5.625000000000000000e+00,-5.128000000000000000e+05,2.418000000000000000e+06
5.674999999999999822e+00,-5.161000000000000000e+05,2.418000000000000000e+06
5.724999999999999645e+00,-5.195000000000000000e+05,2.419000000000000000e+06
5.775000000000000355e+00,-5.230000000000000000e+05,2.419000000000000000e+06
5.825000000000000178e+00,-5.264000000000000000e+05,2.419000000000000000e+06
5.875000000000000000e+00,-5.298000000000000000e+05,2.419000000000000000e+06
5.924999999999999822e+00,-5.331000000000000000e+05,2.419000000000000000e+06
5.974999999999999645e+00,4.296000000000000000e+06,3.419000000000000000e+06
6.025000000000000355e+00,1.876000000000000000e+06,2.419000000000000000e+06
6.075000000000000178e+00,-5.434000000000000000e+05,2.419000000000000000e+06
6.125000000000000000e+00,-5.467000000000000000e+05,2.419000000000000000e+06
6.174999999999999822e+00,-5.501000000000000000e+05,2.419000000000000000e+06
6.224999999999999645e+00,1.863000000000000000e+06,2.419000000000000000e+06
6.275000000000000355e+00,-5.568000000000000000e+05,2.419000000000000000e+06
6.325000000000000178e+00,-5.601000000000000000e+05,2.419000000000000000e+06
6.375000000000000000e+00,1.853000000000000000e+06,2.419000000000000000e+06
6.424999999999999822e+00,-5.668000000000000000e+05,2.419000000000000000e+06
6.474999999999999645e+00,1.846000000000000000e+06,2.419000000000000000e+06
6.525000000000000355e+00,-5.733000000000000000e+05,2.419000000000000000e+06
6.575000000000000178e+00,-5.765000000000000000e+05,2.419000000000000000e+06
6.625000000000000000e+00,-5.799000000000000000e+05,2.419000000000000000e+06
6.674999999999999822e+00,-5.831000000000000000e+05,2.419000000000000000e+06
6.724999999999999645e+00,1.830000000000000000e+06,2.419000000000000000e+06
6.775000000000000355e+00,-5.898000000000000000e+05,2.419000000000000000e+06
6.825000000000000178e+00,1.823000000000000000e+06,2.419000000000000000e+06
6.875000000000000000e+00,-5.963000000000000000e+05,2.419000000000000000e+06
6.924999999999999822e+00,-5.995000000000000000e+05,2.419000000000000000e+06
6.974999999999999645e+00,1.813000000000000000e+06,2.419000000000000000e+06
7.025000000000000355e+00,-6.061000000000000000e+05,2.419000000000000000e+06
7.075000000000000178e+00,-6.093000000000000000e+05,2.419000000000000000e+06
7.125000000000000000e+00,-6.127000000000000000e+05,2.419000000000000000e+06
7.174999999999999822e+00,-6.159000000000000000e+05,2.419000000000000000e+06
7.224999999999999645e+00,-6.192000000000000000e+05,2.419000000000000000e+06
7.275000000000000355e+00,1.794000000000000000e+06,2.419000000000000000e+06
7.325000000000000178e+00,-6.257000000000000000e+05,2.420000000000000000e+06
7.375000000000000000e+00,1.787000000000000000e+06,2.420000000000000000e+06
7.424999999999999822e+00,1.784000000000000000e+06,2.420000000000000000e+06
7.474999999999999645e+00,-6.353000000000000000e+05,2.420000000000000000e+06
7.525000000000000355e+00,-6.387000000000000000e+05,2.420000000000000000e+06
7.575000000000000178e+00,-6.418000000000000000e+05,2.420000000000000000e+06
7.625000000000000000e+00,-6.451000000000000000e+05,2.420000000000000000e+06
7.674999999999999822e+00,-6.484000000000000000e+05,2.420000000000000000e+06
7.724999999999999645e+00,-6.515000000000000000e+05,2.420000000000000000e+06
7.775000000000000355e+00,-6.548000000000000000e+05,2.420000000000000000e+06
7.825000000000000178e+00,4.175000000000000000e+06,3.420000000000000000e+06
7.875000000000000000e+00,-6.612000000000000000e+05,2.420000000000000000e+06
7.924999999999999822e+00,-6.644000000000000000e+05,2.420000000000000000e+06
7.974999999999999645e+00,1.749000000000000000e+06,2.420000000000000000e+06
8.025000000000000355e+00,-6.709000000000000000e+05,2.420000000000000000e+06
8.074999999999999289e+00,-6.740000000000000000e+05,2.420000000000000000e+06
8.125000000000000000e+00,-6.773000000000000000e+05,2.420000000000000000e+06
8.175000000000000711e+00,-6.804000000000000000e+05,2.420000000000000000e+06
8.224999999999999645e+00,-6.836000000000000000e+05,2.420000000000000000e+06
8.275000000000000355e+00,-6.868000000000000000e+05,2.420000000000000000e+06
8.324999999999999289e+00,1.726000000000000000e+06,2.420000000000000000e+06
8.375000000000000000e+00,1.723000000000000000e+06,2.420000000000000000e+06
8.425000000000000711e+00,1.720000000000000000e+06,2.420000000000000000e+06
8.474999999999999645e+00,-6.995000000000000000e+05,2.420000000000000000e+06
8.525000000000000355e+00,-7.026000000000000000e+05,2.420000000000000000e+06
8.574999999999999289e+00,1.710000000000000000e+06,2.420000000000000000e+06
8.625000000000000000e+00,-7.090000000000000000e+05,2.420000000000000000e+06
8.675000000000000711e+00,-7.121000000000000000e+05,2.420000000000000000e+06
8.724999999999999645e+00,1.701000000000000000e+06,2.421000000000000000e+06
8.775000000000000355e+00,-7.184000000000000000e+05,2.421000000000000000e+06
