WRF ANALYSIS
Date & time = ,2023-12-05, 16:40
Display format=,3
Program version:,2021-05-25

Scan file = ,O109971_P2_G093_wa0999_5hr_40x_s2
Port & distance (cm) =,p2,26.0
WRF ID; Al blast(um) & cal=,13425923-g093 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(23-76),(0-63),-1.159,1.125,-0.988,1.000
Back x0; x1; y0; y1 (cm) =,0,10,0,63,
C; e; Dmax; dDmax; Dscale =,13,15,18.50,0.25,new
Dlow; Dhigh; Dauto; Elims =,9.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.131,0.017,1.48

Fit limits (MeV):,13.500,16.500,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 14.629,0.257,1.712e+08
Value (raw stats):, 14.626,0.249,1.709e+08
Uncertainties
    Random:, 0.036,0.008,4.88%
    Systematic calib:, 0.050,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.006,0.005,2.65%
     DvE:, 0.009,0.005,4.09%
     Dmax:, 0.010,0.000,0.34%
     WRF nonlinearity:, 0.014,0.000,0.00%
     Cal. & processing:, 0.030,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.275 	 0.000e+00 	 0.000e+00
4.325 	 0.000e+00 	 0.000e+00
4.375 	 0.000e+00 	 0.000e+00
4.425 	 0.000e+00 	 0.000e+00
4.475 	 0.000e+00 	 0.000e+00
4.525 	 -4.190e+05 	 2.633e+07
4.575 	 -3.670e+05 	 1.144e+07
4.625 	 -3.700e+05 	 1.144e+07
4.675 	 -2.147e+05 	 6.587e+06
4.725 	 -2.164e+05 	 6.587e+06
4.775 	 -2.469e+05 	 4.261e+06
4.825 	 -2.488e+05 	 4.261e+06
4.875 	 -1.734e+05 	 2.948e+06
4.925 	 -1.747e+05 	 2.948e+06
4.975 	 -1.760e+05 	 2.948e+06
5.025 	 -1.834e+05 	 2.135e+06
5.075 	 -1.848e+05 	 2.135e+06
5.125 	 -1.862e+05 	 2.135e+06
5.175 	 -1.824e+05 	 1.598e+06
5.225 	 1.413e+06 	 1.598e+06
5.275 	 -1.850e+05 	 1.598e+06
5.325 	 1.410e+06 	 1.598e+06
5.375 	 -1.881e+05 	 1.225e+06
5.425 	 1.034e+06 	 1.225e+06
5.475 	 -1.907e+05 	 1.225e+06
5.525 	 -1.920e+05 	 1.225e+06
5.575 	 -1.933e+05 	 1.225e+06
5.625 	 -1.946e+05 	 1.225e+06
5.675 	 -1.958e+05 	 1.225e+06
5.725 	 -1.971e+05 	 1.225e+06
5.775 	 -1.984e+05 	 1.225e+06
5.825 	 -1.997e+05 	 1.225e+06
5.875 	 -2.010e+05 	 1.225e+06
5.925 	 -2.023e+05 	 1.225e+06
5.975 	 -2.036e+05 	 1.225e+06
6.025 	 -2.049e+05 	 1.225e+06
