Energy after passing through hohlraum (MeV),Spectrum (MeV^-1),Uncertainty (MeV^-1)
5.125000000000000000e+00,-4.036000000000000000e+05,1.005000000000000000e+07
5.174999999999999822e+00,-3.232000000000000000e+05,5.710000000000000000e+06
5.224999999999999645e+00,-3.255000000000000000e+05,5.710000000000000000e+06
5.275000000000000355e+00,-2.395000000000000000e+05,3.649000000000000000e+06
5.325000000000000178e+00,-2.411000000000000000e+05,3.649000000000000000e+06
5.375000000000000000e+00,-2.428000000000000000e+05,3.649000000000000000e+06
5.424999999999999822e+00,-1.883000000000000000e+05,2.499000000000000000e+06
5.474999999999999645e+00,-1.897000000000000000e+05,2.499000000000000000e+06
5.525000000000000355e+00,-1.910000000000000000e+05,2.499000000000000000e+06
5.575000000000000178e+00,-1.686000000000000000e+05,1.793000000000000000e+06
5.625000000000000000e+00,-1.698000000000000000e+05,1.793000000000000000e+06
5.674999999999999822e+00,-1.709000000000000000e+05,1.793000000000000000e+06
5.724999999999999645e+00,1.621000000000000000e+06,1.793000000000000000e+06
5.775000000000000355e+00,-1.284000000000000000e+05,1.330000000000000000e+06
5.825000000000000178e+00,-1.292000000000000000e+05,1.330000000000000000e+06
5.875000000000000000e+00,-1.300000000000000000e+05,1.330000000000000000e+06
5.924999999999999822e+00,-1.309000000000000000e+05,1.330000000000000000e+06
5.974999999999999645e+00,-1.317000000000000000e+05,1.330000000000000000e+06
6.025000000000000355e+00,-1.081000000000000000e+05,9.941000000000000000e+05
6.075000000000000178e+00,-1.088000000000000000e+05,9.941000000000000000e+05
6.125000000000000000e+00,-1.095000000000000000e+05,9.941000000000000000e+05
6.174999999999999822e+00,-1.101000000000000000e+05,9.941000000000000000e+05
6.224999999999999645e+00,-1.108000000000000000e+05,9.941000000000000000e+05
6.275000000000000355e+00,-1.115000000000000000e+05,9.941000000000000000e+05
6.325000000000000178e+00,-1.121000000000000000e+05,9.942000000000000000e+05
6.375000000000000000e+00,-1.128000000000000000e+05,9.942000000000000000e+05
6.424999999999999822e+00,-1.135000000000000000e+05,9.942000000000000000e+05
6.474999999999999645e+00,8.795000000000000000e+05,9.942000000000000000e+05
6.525000000000000355e+00,-1.148000000000000000e+05,9.942000000000000000e+05
6.575000000000000178e+00,-1.154000000000000000e+05,9.942000000000000000e+05
6.625000000000000000e+00,-1.161000000000000000e+05,9.942000000000000000e+05
6.674999999999999822e+00,-1.167000000000000000e+05,9.942000000000000000e+05
6.724999999999999645e+00,-1.174000000000000000e+05,9.942000000000000000e+05
6.775000000000000355e+00,8.756000000000000000e+05,9.942000000000000000e+05
6.825000000000000178e+00,8.749000000000000000e+05,9.942000000000000000e+05
6.875000000000000000e+00,-1.194000000000000000e+05,9.942000000000000000e+05
6.924999999999999822e+00,-1.200000000000000000e+05,9.942000000000000000e+05
6.974999999999999645e+00,-1.207000000000000000e+05,9.942000000000000000e+05
7.025000000000000355e+00,-1.213000000000000000e+05,9.942000000000000000e+05
7.075000000000000178e+00,8.716000000000000000e+05,9.942000000000000000e+05
7.125000000000000000e+00,-1.227000000000000000e+05,9.943000000000000000e+05
7.174999999999999822e+00,-1.233000000000000000e+05,9.943000000000000000e+05
7.224999999999999645e+00,8.697000000000000000e+05,9.943000000000000000e+05
7.275000000000000355e+00,-1.246000000000000000e+05,9.943000000000000000e+05
7.325000000000000178e+00,-1.253000000000000000e+05,9.943000000000000000e+05
7.375000000000000000e+00,-1.259000000000000000e+05,9.943000000000000000e+05
7.424999999999999822e+00,8.671000000000000000e+05,9.943000000000000000e+05
7.474999999999999645e+00,8.664000000000000000e+05,9.943000000000000000e+05
7.525000000000000355e+00,-1.279000000000000000e+05,9.943000000000000000e+05
7.575000000000000178e+00,8.651000000000000000e+05,9.943000000000000000e+05
7.625000000000000000e+00,-1.291000000000000000e+05,9.943000000000000000e+05
7.674999999999999822e+00,-1.298000000000000000e+05,9.943000000000000000e+05
7.724999999999999645e+00,-1.304000000000000000e+05,9.943000000000000000e+05
7.775000000000000355e+00,-1.311000000000000000e+05,9.943000000000000000e+05
7.825000000000000178e+00,8.619000000000000000e+05,9.944000000000000000e+05
7.875000000000000000e+00,-1.324000000000000000e+05,9.944000000000000000e+05
7.924999999999999822e+00,-1.330000000000000000e+05,9.944000000000000000e+05
7.974999999999999645e+00,-1.336000000000000000e+05,9.944000000000000000e+05
8.025000000000000355e+00,-1.343000000000000000e+05,9.944000000000000000e+05
8.074999999999999289e+00,-1.349000000000000000e+05,9.944000000000000000e+05
8.125000000000000000e+00,-1.356000000000000000e+05,9.944000000000000000e+05
8.175000000000000711e+00,8.574000000000000000e+05,9.944000000000000000e+05
8.224999999999999645e+00,-1.369000000000000000e+05,9.944000000000000000e+05
8.275000000000000355e+00,-1.375000000000000000e+05,9.944000000000000000e+05
8.324999999999999289e+00,-1.381000000000000000e+05,9.944000000000000000e+05
8.375000000000000000e+00,-1.388000000000000000e+05,9.944000000000000000e+05
8.425000000000000711e+00,-1.394000000000000000e+05,9.944000000000000000e+05
8.474999999999999645e+00,-1.400000000000000000e+05,9.944000000000000000e+05
8.525000000000000355e+00,-1.407000000000000000e+05,9.945000000000000000e+05
8.574999999999999289e+00,8.523000000000000000e+05,9.945000000000000000e+05
8.625000000000000000e+00,-1.419000000000000000e+05,9.945000000000000000e+05
8.675000000000000711e+00,-1.426000000000000000e+05,9.945000000000000000e+05
8.724999999999999645e+00,-1.432000000000000000e+05,9.945000000000000000e+05
8.775000000000000355e+00,-1.438000000000000000e+05,9.945000000000000000e+05
8.824999999999999289e+00,-1.445000000000000000e+05,9.945000000000000000e+05
