WRF ANALYSIS
Date & time = ,2024-01-08, 10:47
Display format=,3
Program version:,2021-05-25

Scan file = ,O110236_P2_G077_wa1013_5.0hr_40x_s0
Port & distance (cm) =,tim5,26.0
WRF ID; Al blast(um) & cal=,13425907-g077 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.120,1.155,-0.979,1.000
Back x0; x1; y0; y1 (cm) =,64,77,0,63,
C; e; Dmax; dDmax; Dscale =,13,15,18.30,0.25,new
Dlow; Dhigh; Dauto; Elims =,8.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.249,0.029,1.24

Fit limits (MeV):,14.000,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 14.750,0.245,5.828e+07
Value (raw stats):, 14.761,0.244,5.888e+07
Uncertainties
    Random:, 0.040,0.011,10.58%
    Systematic calib:, 0.050,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.009,0.011,4.41%
     DvE:, 0.018,0.002,9.61%
     Dmax:, 0.010,0.000,0.34%
     WRF nonlinearity:, 0.014,0.000,0.00%
     Cal. & processing:, 0.030,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.475 	 0.000e+00 	 0.000e+00
4.525 	 0.000e+00 	 0.000e+00
4.575 	 0.000e+00 	 0.000e+00
4.625 	 0.000e+00 	 0.000e+00
4.675 	 0.000e+00 	 0.000e+00
4.725 	 -1.849e+05 	 2.864e+07
4.775 	 1.239e+07 	 1.247e+07
4.825 	 -4.704e+04 	 7.175e+06
4.875 	 -4.739e+04 	 7.175e+06
4.925 	 -9.246e+04 	 4.631e+06
4.975 	 -9.314e+04 	 4.631e+06
5.025 	 6.210e+06 	 4.514e+06
5.075 	 -1.737e+05 	 3.192e+06
5.125 	 -1.735e+05 	 2.302e+06
5.175 	 -1.748e+05 	 2.302e+06
5.225 	 -1.760e+05 	 2.302e+06
5.275 	 2.124e+06 	 2.302e+06
5.325 	 -2.662e+05 	 1.717e+06
5.375 	 -2.681e+05 	 1.717e+06
5.425 	 -2.699e+05 	 1.717e+06
5.475 	 -2.171e+05 	 1.312e+06
5.525 	 -2.186e+05 	 1.312e+06
5.575 	 -2.201e+05 	 1.312e+06
5.625 	 -2.216e+05 	 1.312e+06
5.675 	 -2.230e+05 	 1.312e+06
5.725 	 -2.245e+05 	 1.312e+06
5.775 	 -2.260e+05 	 1.312e+06
5.825 	 -2.275e+05 	 1.312e+06
5.875 	 -2.289e+05 	 1.312e+06
