WRF ANALYSIS
Date & time = ,2024-01-08, 11:05
Display format=,3
Program version:,2021-05-25

Scan file = ,O110250_P2_G070_wa1019_5.0hr_40x_s0
Port & distance (cm) =,p2,26.0
WRF ID; Al blast(um) & cal=,13425900-g070 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.120,1.155,-0.979,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,63,
C; e; Dmax; dDmax; Dscale =,11,15,20.90,0.25,new
Dlow; Dhigh; Dauto; Elims =,8.00,18.00,no

DvE fit: c; dc; red. Chi^2 =, 1.230,0.025,1.93

Fit limits (MeV):,13.000,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 14.613,0.258,8.152e+07
Value (raw stats):, 14.608,0.249,8.153e+07
Uncertainties
    Random:, 0.038,0.013,8.54%
    Systematic calib:, 0.050,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.009,0.013,3.29%
     DvE:, 0.014,0.004,7.87%
     Dmax:, 0.009,0.000,0.30%
     WRF nonlinearity:, 0.014,0.000,0.00%
     Cal. & processing:, 0.030,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.675 	 0.000e+00 	 0.000e+00
4.725 	 0.000e+00 	 0.000e+00
4.775 	 0.000e+00 	 0.000e+00
4.825 	 0.000e+00 	 0.000e+00
4.875 	 0.000e+00 	 3.025e+07
4.925 	 -1.019e+05 	 1.303e+07
4.975 	 -1.027e+05 	 1.303e+07
5.025 	 -2.923e+05 	 7.368e+06
5.075 	 -1.856e+05 	 4.644e+06
5.125 	 -1.870e+05 	 4.644e+06
5.175 	 -1.518e+05 	 3.120e+06
5.225 	 -1.529e+05 	 3.120e+06
5.275 	 -1.540e+05 	 3.120e+06
5.325 	 -1.090e+05 	 2.193e+06
5.375 	 -1.098e+05 	 2.193e+06
5.425 	 2.082e+06 	 2.193e+06
5.475 	 -1.113e+05 	 2.193e+06
5.525 	 -1.224e+05 	 1.597e+06
5.575 	 1.473e+06 	 1.597e+06
5.625 	 -1.240e+05 	 1.597e+06
5.675 	 -1.248e+05 	 1.597e+06
5.725 	 -1.460e+05 	 1.193e+06
5.775 	 -1.470e+05 	 1.193e+06
5.825 	 -1.479e+05 	 1.193e+06
5.875 	 -1.489e+05 	 1.193e+06
5.925 	 1.042e+06 	 1.193e+06
5.975 	 -1.508e+05 	 1.193e+06
6.025 	 -1.517e+05 	 1.193e+06
6.075 	 -1.527e+05 	 1.193e+06
6.125 	 -1.536e+05 	 1.193e+06
6.175 	 1.038e+06 	 1.193e+06
6.225 	 -1.555e+05 	 1.193e+06
6.275 	 1.036e+06 	 1.193e+06
6.325 	 -1.574e+05 	 1.193e+06
6.375 	 -1.584e+05 	 1.193e+06
6.425 	 -1.593e+05 	 1.193e+06
6.475 	 -1.602e+05 	 1.193e+06
6.525 	 1.031e+06 	 1.193e+06
6.575 	 -1.620e+05 	 1.193e+06
6.625 	 -1.630e+05 	 1.193e+06
6.675 	 -1.639e+05 	 1.193e+06
6.725 	 1.027e+06 	 1.193e+06
6.775 	 -1.657e+05 	 1.193e+06
6.825 	 -1.667e+05 	 1.193e+06
6.875 	 -1.676e+05 	 1.193e+06
6.925 	 -1.685e+05 	 1.193e+06
6.975 	 -1.694e+05 	 1.193e+06
7.025 	 -1.703e+05 	 1.193e+06
7.075 	 -1.712e+05 	 1.193e+06
7.125 	 -1.722e+05 	 1.193e+06
7.175 	 1.019e+06 	 1.193e+06
7.225 	 -1.740e+05 	 1.193e+06
7.275 	 -1.749e+05 	 1.193e+06
7.325 	 -1.758e+05 	 1.193e+06
7.375 	 -1.767e+05 	 1.193e+06
7.425 	 -1.777e+05 	 1.193e+06
7.475 	 -1.785e+05 	 1.193e+06
7.525 	 1.013e+06 	 1.193e+06
7.575 	 -1.804e+05 	 1.193e+06
7.625 	 -1.813e+05 	 1.193e+06
7.675 	 1.010e+06 	 1.193e+06
7.725 	 -1.831e+05 	 1.193e+06
7.775 	 -1.840e+05 	 1.193e+06
7.825 	 -1.849e+05 	 1.193e+06
7.875 	 -1.858e+05 	 1.193e+06
7.925 	 -1.867e+05 	 1.193e+06
7.975 	 -1.876e+05 	 1.193e+06
8.025 	 -1.885e+05 	 1.193e+06
8.075 	 -1.894e+05 	 1.193e+06
8.125 	 -1.903e+05 	 1.193e+06
8.175 	 -1.912e+05 	 1.193e+06
8.225 	 1.000e+06 	 1.193e+06
8.275 	 -1.930e+05 	 1.193e+06
8.325 	 -1.939e+05 	 1.193e+06
8.375 	 -1.948e+05 	 1.193e+06
8.425 	 -1.957e+05 	 1.193e+06
8.475 	 -1.966e+05 	 1.193e+06
8.525 	 -1.975e+05 	 1.193e+06
8.575 	 -1.984e+05 	 1.193e+06
8.625 	 -1.992e+05 	 1.193e+06
8.675 	 -2.001e+05 	 1.193e+06
8.725 	 -2.010e+05 	 1.193e+06
8.775 	 -2.019e+05 	 1.193e+06
8.825 	 -2.028e+05 	 1.193e+06
8.875 	 -2.036e+05 	 1.193e+06
8.925 	 -2.045e+05 	 1.193e+06
8.975 	 -2.054e+05 	 1.193e+06
9.025 	 -2.063e+05 	 1.193e+06
9.075 	 -2.071e+05 	 1.193e+06
9.125 	 -2.080e+05 	 1.193e+06
9.175 	 -2.089e+05 	 1.193e+06
9.225 	 9.824e+05 	 1.193e+06
9.275 	 -2.107e+05 	 1.194e+06
9.325 	 -2.115e+05 	 1.194e+06
9.375 	 -2.124e+05 	 1.194e+06
9.425 	 9.789e+05 	 1.194e+06
9.475 	 -2.141e+05 	 1.194e+06
9.525 	 -2.150e+05 	 1.194e+06
9.575 	 -2.159e+05 	 1.194e+06
9.625 	 9.754e+05 	 1.194e+06
9.675 	 2.167e+06 	 1.687e+06
9.725 	 -2.185e+05 	 1.194e+06
9.775 	 -2.193e+05 	 1.194e+06
9.825 	 -2.202e+05 	 1.194e+06
9.875 	 3.355e+06 	 2.066e+06
9.925 	 -2.219e+05 	 1.194e+06
9.975 	 9.694e+05 	 1.194e+06
10.025 	 -2.237e+05 	 1.194e+06
10.075 	 9.677e+05 	 1.194e+06
10.125 	 9.668e+05 	 1.194e+06
10.175 	 -2.262e+05 	 1.194e+06
10.225 	 -2.271e+05 	 1.194e+06
10.275 	 -2.280e+05 	 1.194e+06
10.325 	 -2.288e+05 	 1.194e+06
10.375 	 -2.297e+05 	 1.194e+06
10.425 	 -2.305e+05 	 1.194e+06
10.475 	 -2.314e+05 	 1.194e+06
10.525 	 -2.322e+05 	 1.194e+06
10.575 	 -2.331e+05 	 1.194e+06
10.625 	 -2.339e+05 	 1.194e+06
10.675 	 -2.348e+05 	 1.194e+06
10.725 	 -2.356e+05 	 1.194e+06
10.775 	 -2.365e+05 	 1.194e+06
10.825 	 -2.373e+05 	 1.194e+06
10.875 	 -2.382e+05 	 1.194e+06
10.925 	 9.531e+05 	 1.194e+06
10.975 	 -2.399e+05 	 1.194e+06
11.025 	 -2.407e+05 	 1.194e+06
11.075 	 -2.416e+05 	 1.194e+06
11.125 	 -2.424e+05 	 1.194e+06
11.175 	 -2.433e+05 	 1.194e+06
11.225 	 -2.441e+05 	 1.194e+06
11.275 	 -2.450e+05 	 1.194e+06
11.325 	 -2.458e+05 	 1.194e+06
11.375 	 -2.466e+05 	 1.194e+06
11.425 	 -2.475e+05 	 1.194e+06
11.475 	 9.439e+05 	 1.194e+06
11.525 	 -2.491e+05 	 1.194e+06
11.575 	 -2.500e+05 	 1.194e+06
11.625 	 -2.508e+05 	 1.194e+06
11.675 	 9.405e+05 	 1.194e+06
11.725 	 -2.525e+05 	 1.194e+06
11.775 	 -2.533e+05 	 1.194e+06
11.825 	 -2.542e+05 	 1.194e+06
11.875 	 9.372e+05 	 1.194e+06
11.925 	 -2.558e+05 	 1.194e+06
11.975 	 -2.567e+05 	 1.194e+06
12.025 	 -2.575e+05 	 1.194e+06
12.075 	 -2.583e+05 	 1.194e+06
