Energy after passing through hohlraum (MeV),Spectrum (MeV^-1),Uncertainty (MeV^-1)
4.974999999999999645e+00,-2.813000000000000000e+05,1.190000000000000000e+07
5.025000000000000355e+00,-2.628000000000000000e+05,6.624000000000000000e+06
5.075000000000000178e+00,-2.647000000000000000e+05,6.624000000000000000e+06
5.125000000000000000e+00,-2.318000000000000000e+05,4.113000000000000000e+06
5.174999999999999822e+00,-2.335000000000000000e+05,4.113000000000000000e+06
5.224999999999999645e+00,-2.227000000000000000e+05,2.727000000000000000e+06
5.275000000000000355e+00,2.502000000000000000e+06,2.727000000000000000e+06
5.325000000000000178e+00,-2.259000000000000000e+05,2.727000000000000000e+06
5.375000000000000000e+00,-2.275000000000000000e+05,2.727000000000000000e+06
5.424999999999999822e+00,-1.911000000000000000e+05,1.896000000000000000e+06
5.474999999999999645e+00,-1.924000000000000000e+05,1.896000000000000000e+06
5.525000000000000355e+00,-1.937000000000000000e+05,1.896000000000000000e+06
5.575000000000000178e+00,-1.950000000000000000e+05,1.896000000000000000e+06
5.625000000000000000e+00,-1.768000000000000000e+05,1.366000000000000000e+06
5.674999999999999822e+00,-1.780000000000000000e+05,1.366000000000000000e+06
5.724999999999999645e+00,-1.791000000000000000e+05,1.366000000000000000e+06
5.775000000000000355e+00,-1.803000000000000000e+05,1.366000000000000000e+06
5.825000000000000178e+00,-1.815000000000000000e+05,1.366000000000000000e+06
5.875000000000000000e+00,-1.746000000000000000e+05,9.796000000000000000e+05
5.924999999999999822e+00,-1.757000000000000000e+05,9.796000000000000000e+05
5.974999999999999645e+00,-1.769000000000000000e+05,9.796000000000000000e+05
6.025000000000000355e+00,8.008000000000000000e+05,9.796000000000000000e+05
6.075000000000000178e+00,-1.791000000000000000e+05,9.797000000000000000e+05
6.125000000000000000e+00,-1.802000000000000000e+05,9.797000000000000000e+05
6.174999999999999822e+00,-1.813000000000000000e+05,9.797000000000000000e+05
6.224999999999999645e+00,-1.824000000000000000e+05,9.797000000000000000e+05
6.275000000000000355e+00,-1.835000000000000000e+05,9.797000000000000000e+05
6.325000000000000178e+00,-1.846000000000000000e+05,9.797000000000000000e+05
6.375000000000000000e+00,7.931000000000000000e+05,9.797000000000000000e+05
6.424999999999999822e+00,-1.868000000000000000e+05,9.797000000000000000e+05
6.474999999999999645e+00,-1.879000000000000000e+05,9.797000000000000000e+05
6.525000000000000355e+00,-1.890000000000000000e+05,9.797000000000000000e+05
6.575000000000000178e+00,-1.900000000000000000e+05,9.798000000000000000e+05
6.625000000000000000e+00,-1.912000000000000000e+05,9.798000000000000000e+05
6.674999999999999822e+00,7.866000000000000000e+05,9.798000000000000000e+05
6.724999999999999645e+00,7.855000000000000000e+05,9.798000000000000000e+05
6.775000000000000355e+00,-1.944000000000000000e+05,9.798000000000000000e+05
6.825000000000000178e+00,7.834000000000000000e+05,9.798000000000000000e+05
6.875000000000000000e+00,-1.966000000000000000e+05,9.798000000000000000e+05
6.924999999999999822e+00,-1.976000000000000000e+05,9.798000000000000000e+05
6.974999999999999645e+00,-1.987000000000000000e+05,9.798000000000000000e+05
7.025000000000000355e+00,7.790000000000000000e+05,9.799000000000000000e+05
7.075000000000000178e+00,-2.009000000000000000e+05,9.799000000000000000e+05
7.125000000000000000e+00,-2.020000000000000000e+05,9.799000000000000000e+05
7.174999999999999822e+00,-2.030000000000000000e+05,9.799000000000000000e+05
7.224999999999999645e+00,-2.041000000000000000e+05,9.799000000000000000e+05
7.275000000000000355e+00,-2.052000000000000000e+05,9.799000000000000000e+05
7.325000000000000178e+00,-2.063000000000000000e+05,9.799000000000000000e+05
7.375000000000000000e+00,-2.073000000000000000e+05,9.799000000000000000e+05
7.424999999999999822e+00,-2.084000000000000000e+05,9.799000000000000000e+05
7.474999999999999645e+00,-2.094000000000000000e+05,9.800000000000000000e+05
7.525000000000000355e+00,-2.105000000000000000e+05,9.800000000000000000e+05
7.575000000000000178e+00,-2.116000000000000000e+05,9.800000000000000000e+05
7.625000000000000000e+00,-2.126000000000000000e+05,9.800000000000000000e+05
7.674999999999999822e+00,7.651000000000000000e+05,9.800000000000000000e+05
7.724999999999999645e+00,-2.148000000000000000e+05,9.800000000000000000e+05
7.775000000000000355e+00,-2.158000000000000000e+05,9.800000000000000000e+05
7.825000000000000178e+00,-2.169000000000000000e+05,9.800000000000000000e+05
7.875000000000000000e+00,7.609000000000000000e+05,9.801000000000000000e+05
7.924999999999999822e+00,7.598000000000000000e+05,9.801000000000000000e+05
