WRF ANALYSIS
Date & time = ,2024-02-14, 13:14
Display format=,3
Program version:,2021-05-25

Scan file = ,O110708_P2_G075_wa1099_5hr_40x_s0
Port & distance (cm) =,p2,26.0
WRF ID; Al blast(um) & cal=,13425905-g075 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.120,1.155,-0.979,1.000
Back x0; x1; y0; y1 (cm) =,0,10,0,63,
C; e; Dmax; dDmax; Dscale =,14,15,19.80,0.25,new
Dlow; Dhigh; Dauto; Elims =,8.00,16.00,no

DvE fit: c; dc; red. Chi^2 =, 1.174,0.017,1.32

Fit limits (MeV):,13.500,16.500,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 15.028,0.287,8.615e+07
Value (raw stats):, 15.024,0.280,8.607e+07
Uncertainties
    Random:, 0.036,0.015,5.74%
    Systematic calib:, 0.049,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.008,0.015,2.66%
     DvE:, 0.010,0.002,5.07%
     Dmax:, 0.009,0.000,0.30%
     WRF nonlinearity:, 0.013,0.000,0.00%
     Cal. & processing:, 0.029,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.575 	 0.000e+00 	 0.000e+00
4.625 	 0.000e+00 	 0.000e+00
4.675 	 0.000e+00 	 0.000e+00
4.725 	 0.000e+00 	 0.000e+00
4.775 	 0.000e+00 	 0.000e+00
4.825 	 -3.690e+05 	 2.203e+07
4.875 	 -2.433e+05 	 9.607e+06
4.925 	 -2.452e+05 	 9.607e+06
4.975 	 -2.391e+05 	 5.582e+06
5.025 	 -2.409e+05 	 5.582e+06
5.075 	 -2.225e+05 	 3.656e+06
5.125 	 -2.241e+05 	 3.656e+06
5.175 	 -2.257e+05 	 3.656e+06
5.225 	 -2.050e+05 	 2.565e+06
5.275 	 -2.065e+05 	 2.565e+06
5.325 	 -1.866e+05 	 1.882e+06
5.375 	 -1.879e+05 	 1.882e+06
5.425 	 -1.892e+05 	 1.882e+06
5.475 	 -1.905e+05 	 1.882e+06
5.525 	 -2.112e+05 	 1.426e+06
5.575 	 -2.127e+05 	 1.426e+06
5.625 	 -2.141e+05 	 1.426e+06
5.675 	 -2.155e+05 	 1.426e+06
5.725 	 8.909e+05 	 1.088e+06
5.775 	 -1.979e+05 	 1.089e+06
5.825 	 -1.992e+05 	 1.089e+06
5.875 	 -2.005e+05 	 1.089e+06
5.925 	 -2.018e+05 	 1.089e+06
5.975 	 -2.031e+05 	 1.089e+06
6.025 	 -2.044e+05 	 1.089e+06
6.075 	 -2.057e+05 	 1.089e+06
6.125 	 -2.069e+05 	 1.089e+06
6.175 	 -2.082e+05 	 1.089e+06
6.225 	 -2.095e+05 	 1.089e+06
6.275 	 -2.107e+05 	 1.089e+06
6.325 	 8.756e+05 	 1.089e+06
6.375 	 -2.133e+05 	 1.089e+06
6.425 	 -2.145e+05 	 1.089e+06
6.475 	 -2.158e+05 	 1.089e+06
6.525 	 -2.170e+05 	 1.089e+06
6.575 	 -2.182e+05 	 1.089e+06
6.625 	 -2.195e+05 	 1.089e+06
6.675 	 -2.207e+05 	 1.089e+06
6.725 	 -2.220e+05 	 1.089e+06
6.775 	 -2.232e+05 	 1.089e+06
6.825 	 -2.245e+05 	 1.089e+06
6.875 	 -2.257e+05 	 1.089e+06
6.925 	 -2.269e+05 	 1.089e+06
6.975 	 8.594e+05 	 1.089e+06
7.025 	 -2.294e+05 	 1.089e+06
7.075 	 -2.306e+05 	 1.089e+06
7.125 	 -2.319e+05 	 1.089e+06
7.175 	 -2.331e+05 	 1.089e+06
7.225 	 -2.344e+05 	 1.089e+06
7.275 	 -2.356e+05 	 1.089e+06
