WRF ANALYSIS
Date & time = ,2024-02-14, 13:16
Display format=,3
Program version:,2021-05-25

Scan file = ,O110709_TIM2_G085_wa1087_5hr_40x_s2
Port & distance (cm) =,tim2,27.0
WRF ID; Al blast(um) & cal=,13425915-g085 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(23-76),(0-63),-1.159,1.125,-0.988,1.000
Back x0; x1; y0; y1 (cm) =,25,33,0,63,
Back x0; x1; y0; y1 (cm) =,66,75,0,63,
C; e; Dmax; dDmax; Dscale =,13,15,19.00,0.25,new
Dlow; Dhigh; Dauto; Elims =,8.00,18.00,no

DvE fit: c; dc; red. Chi^2 =, 1.209,0.029,1.71

Fit limits (MeV):,13.500,16.500,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 14.753,0.286,5.880e+07
Value (raw stats):, 14.752,0.270,5.893e+07
Uncertainties
    Random:, 0.039,0.008,10.53%
    Systematic calib:, 0.050,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.011,0.008,5.54%
     DvE:, 0.016,0.002,8.95%
     Dmax:, 0.010,0.000,0.33%
     WRF nonlinearity:, 0.014,0.000,0.00%
     Cal. & processing:, 0.030,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.175 	 0.000e+00 	 0.000e+00
4.225 	 0.000e+00 	 0.000e+00
4.275 	 0.000e+00 	 0.000e+00
4.325 	 0.000e+00 	 0.000e+00
4.375 	 0.000e+00 	 0.000e+00
4.425 	 -6.439e+05 	 3.128e+07
4.475 	 -5.717e+05 	 1.342e+07
4.525 	 -3.896e+05 	 7.544e+06
4.575 	 -3.924e+05 	 7.544e+06
4.625 	 -2.793e+05 	 4.736e+06
4.675 	 -2.815e+05 	 4.736e+06
4.725 	 -2.838e+05 	 4.736e+06
4.775 	 -2.167e+05 	 3.170e+06
4.825 	 -2.185e+05 	 3.170e+06
4.875 	 -2.203e+05 	 3.170e+06
4.925 	 -2.052e+05 	 2.223e+06
4.975 	 -2.068e+05 	 2.223e+06
5.025 	 2.014e+06 	 2.223e+06
5.075 	 -2.100e+05 	 2.223e+06
5.125 	 -1.692e+05 	 1.614e+06
5.175 	 -1.705e+05 	 1.614e+06
5.225 	 1.442e+06 	 1.614e+06
5.275 	 -1.731e+05 	 1.614e+06
5.325 	 1.439e+06 	 1.614e+06
5.375 	 -1.564e+05 	 1.203e+06
5.425 	 -1.575e+05 	 1.203e+06
5.475 	 -1.587e+05 	 1.203e+06
5.525 	 -1.598e+05 	 1.203e+06
5.575 	 -1.610e+05 	 1.203e+06
5.625 	 1.040e+06 	 1.203e+06
5.675 	 1.038e+06 	 1.203e+06
5.725 	 -1.645e+05 	 1.203e+06
5.775 	 -1.656e+05 	 1.203e+06
5.825 	 -1.668e+05 	 1.203e+06
5.875 	 -1.680e+05 	 1.203e+06
5.925 	 -1.691e+05 	 1.203e+06
5.975 	 -1.703e+05 	 1.203e+06
6.025 	 1.030e+06 	 1.203e+06
6.075 	 -1.727e+05 	 1.203e+06
6.125 	 -1.738e+05 	 1.203e+06
6.175 	 -1.750e+05 	 1.203e+06
6.225 	 -1.761e+05 	 1.203e+06
6.275 	 -1.773e+05 	 1.203e+06
6.325 	 1.023e+06 	 1.203e+06
6.375 	 -1.796e+05 	 1.203e+06
6.425 	 -1.808e+05 	 1.203e+06
6.475 	 -1.819e+05 	 1.203e+06
6.525 	 -1.831e+05 	 1.203e+06
6.575 	 -1.842e+05 	 1.203e+06
6.625 	 1.016e+06 	 1.203e+06
6.675 	 -1.865e+05 	 1.203e+06
6.725 	 -1.877e+05 	 1.203e+06
6.775 	 -1.889e+05 	 1.203e+06
6.825 	 -1.900e+05 	 1.203e+06
6.875 	 1.011e+06 	 1.203e+06
6.925 	 -1.923e+05 	 1.203e+06
6.975 	 1.008e+06 	 1.203e+06
7.025 	 -1.947e+05 	 1.203e+06
7.075 	 -1.958e+05 	 1.203e+06
7.125 	 -1.970e+05 	 1.203e+06
7.175 	 -1.982e+05 	 1.203e+06
7.225 	 -1.993e+05 	 1.203e+06
7.275 	 -2.005e+05 	 1.203e+06
7.325 	 -2.017e+05 	 1.203e+06
7.375 	 9.989e+05 	 1.203e+06
7.425 	 -2.040e+05 	 1.203e+06
7.475 	 -2.052e+05 	 1.203e+06
7.525 	 -2.064e+05 	 1.203e+06
7.575 	 -2.075e+05 	 1.203e+06
7.625 	 -2.087e+05 	 1.203e+06
7.675 	 -2.099e+05 	 1.203e+06
7.725 	 9.907e+05 	 1.203e+06
7.775 	 9.895e+05 	 1.203e+06
7.825 	 9.883e+05 	 1.203e+06
7.875 	 -2.146e+05 	 1.203e+06
7.925 	 -2.158e+05 	 1.203e+06
7.975 	 -2.170e+05 	 1.203e+06
8.025 	 -2.182e+05 	 1.203e+06
8.075 	 -2.193e+05 	 1.203e+06
8.125 	 -2.205e+05 	 1.203e+06
8.175 	 -2.217e+05 	 1.203e+06
8.225 	 -2.229e+05 	 1.203e+06
8.275 	 -2.241e+05 	 1.203e+06
8.325 	 -2.253e+05 	 1.203e+06
8.375 	 -2.264e+05 	 1.203e+06
8.425 	 -2.276e+05 	 1.203e+06
8.475 	 -2.288e+05 	 1.203e+06
