WRF ANALYSIS
Date & time = ,2024-02-14, 13:18
Display format=,3
Program version:,2021-05-25

Scan file = ,O110710_P2_G095_wa1101_5hr_40x_s0
Port & distance (cm) =,p2,26.0
WRF ID; Al blast(um) & cal=,13425925-g095 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.120,1.155,-0.979,1.000
Back x0; x1; y0; y1 (cm) =,25,34,0,63,
Back x0; x1; y0; y1 (cm) =,67,75,0,63,
C; e; Dmax; dDmax; Dscale =,12,15,19.10,0.25,new
Dlow; Dhigh; Dauto; Elims =,8.00,18.00,no

DvE fit: c; dc; red. Chi^2 =, 1.300,0.071,4.98

Fit limits (MeV):,13.500,16.500,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 14.756,0.284,5.602e+07
Value (raw stats):, 14.753,0.269,5.530e+07
Uncertainties
    Random:, 0.054,0.019,27.82%
    Systematic calib:, 0.050,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.022,0.018,5.22%
     DvE:, 0.035,0.006,27.32%
     Dmax:, 0.010,0.000,0.32%
     WRF nonlinearity:, 0.014,0.000,0.00%
     Cal. & processing:, 0.030,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.625 	 0.000e+00 	 0.000e+00
4.675 	 0.000e+00 	 0.000e+00
4.725 	 0.000e+00 	 0.000e+00
4.775 	 0.000e+00 	 0.000e+00
4.825 	 0.000e+00 	 0.000e+00
4.875 	 -3.772e+05 	 1.515e+07
4.925 	 -4.824e+05 	 8.717e+06
4.975 	 -4.861e+05 	 8.718e+06
5.025 	 1.074e+07 	 7.895e+06
5.075 	 -4.283e+05 	 5.584e+06
5.125 	 -3.659e+05 	 3.801e+06
5.175 	 3.431e+06 	 3.801e+06
5.225 	 -3.415e+05 	 2.700e+06
5.275 	 -3.441e+05 	 2.700e+06
5.325 	 -3.465e+05 	 2.700e+06
5.375 	 -2.899e+05 	 1.982e+06
5.425 	 -2.920e+05 	 1.982e+06
5.475 	 1.686e+06 	 1.982e+06
5.525 	 -3.113e+05 	 1.494e+06
5.575 	 -3.135e+05 	 1.494e+06
5.625 	 -3.159e+05 	 1.494e+06
5.675 	 -3.181e+05 	 1.494e+06
5.725 	 1.172e+06 	 1.494e+06
5.775 	 -3.227e+05 	 1.494e+06
5.825 	 -3.250e+05 	 1.494e+06
5.875 	 -3.273e+05 	 1.494e+06
5.925 	 1.163e+06 	 1.494e+06
5.975 	 1.161e+06 	 1.494e+06
6.025 	 -3.341e+05 	 1.494e+06
6.075 	 -3.364e+05 	 1.494e+06
6.125 	 -3.387e+05 	 1.494e+06
6.175 	 -3.410e+05 	 1.494e+06
6.225 	 -3.433e+05 	 1.494e+06
6.275 	 -3.455e+05 	 1.494e+06
6.325 	 1.145e+06 	 1.494e+06
6.375 	 -3.501e+05 	 1.494e+06
6.425 	 1.140e+06 	 1.495e+06
6.475 	 -3.546e+05 	 1.495e+06
6.525 	 -3.569e+05 	 1.495e+06
6.575 	 -3.591e+05 	 1.495e+06
6.625 	 -3.614e+05 	 1.495e+06
6.675 	 -3.637e+05 	 1.495e+06
6.725 	 -3.659e+05 	 1.495e+06
6.775 	 -3.683e+05 	 1.495e+06
6.825 	 -3.705e+05 	 1.495e+06
6.875 	 1.120e+06 	 1.495e+06
6.925 	 -3.751e+05 	 1.495e+06
6.975 	 -3.774e+05 	 1.495e+06
7.025 	 1.113e+06 	 1.495e+06
7.075 	 -3.819e+05 	 1.495e+06
7.125 	 1.108e+06 	 1.495e+06
7.175 	 -3.865e+05 	 1.495e+06
7.225 	 -3.889e+05 	 1.495e+06
7.275 	 -3.911e+05 	 1.495e+06
7.325 	 -3.935e+05 	 1.495e+06
7.375 	 -3.957e+05 	 1.495e+06
7.425 	 -3.981e+05 	 1.495e+06
7.475 	 -4.003e+05 	 1.495e+06
7.525 	 1.090e+06 	 1.495e+06
7.575 	 -4.050e+05 	 1.495e+06
7.625 	 -4.073e+05 	 1.495e+06
7.675 	 -4.096e+05 	 1.495e+06
7.725 	 -4.119e+05 	 1.495e+06
7.775 	 -4.143e+05 	 1.495e+06
7.825 	 -4.166e+05 	 1.495e+06
7.875 	 -4.189e+05 	 1.495e+06
7.925 	 -4.212e+05 	 1.495e+06
7.975 	 -4.235e+05 	 1.495e+06
8.025 	 -4.259e+05 	 1.495e+06
8.075 	 -4.282e+05 	 1.495e+06
8.125 	 -4.306e+05 	 1.495e+06
8.175 	 -4.329e+05 	 1.495e+06
8.225 	 -4.352e+05 	 1.496e+06
8.275 	 -4.376e+05 	 1.496e+06
8.325 	 -4.399e+05 	 1.496e+06
8.375 	 -4.423e+05 	 1.496e+06
8.425 	 -4.446e+05 	 1.496e+06
8.475 	 1.046e+06 	 1.496e+06
8.525 	 -4.493e+05 	 1.496e+06
8.575 	 -4.517e+05 	 1.496e+06
8.625 	 4.024e+06 	 2.587e+06
8.675 	 -4.563e+05 	 1.496e+06
8.725 	 -4.587e+05 	 1.496e+06
8.775 	 -4.610e+05 	 1.496e+06
8.825 	 -4.634e+05 	 1.496e+06
8.875 	 -4.658e+05 	 1.496e+06
8.925 	 2.517e+06 	 2.113e+06
8.975 	 -4.705e+05 	 1.496e+06
9.025 	 -4.728e+05 	 1.496e+06
9.075 	 1.017e+06 	 1.496e+06
9.125 	 -4.775e+05 	 1.496e+06
9.175 	 -4.799e+05 	 1.496e+06
9.225 	 -4.823e+05 	 1.496e+06
9.275 	 1.008e+06 	 1.496e+06
9.325 	 -4.871e+05 	 1.496e+06
9.375 	 -4.894e+05 	 1.496e+06
9.425 	 -4.919e+05 	 1.496e+06
9.475 	 -4.942e+05 	 1.496e+06
9.525 	 -4.966e+05 	 1.496e+06
9.575 	 -4.991e+05 	 1.496e+06
9.625 	 9.911e+05 	 1.496e+06
9.675 	 -5.038e+05 	 1.496e+06
9.725 	 -5.063e+05 	 1.496e+06
9.775 	 -5.087e+05 	 1.497e+06
9.825 	 -5.111e+05 	 1.497e+06
9.875 	 -5.135e+05 	 1.497e+06
9.925 	 -5.159e+05 	 1.497e+06
9.975 	 -5.183e+05 	 1.497e+06
10.025 	 -5.208e+05 	 1.497e+06
10.075 	 -5.232e+05 	 1.497e+06
10.125 	 -5.256e+05 	 1.497e+06
10.175 	 -5.281e+05 	 1.497e+06
10.225 	 -5.305e+05 	 1.497e+06
10.275 	 9.596e+05 	 1.497e+06
10.325 	 -5.354e+05 	 1.497e+06
10.375 	 9.547e+05 	 1.497e+06
10.425 	 9.522e+05 	 1.497e+06
10.475 	 9.498e+05 	 1.497e+06
10.525 	 -5.452e+05 	 1.497e+06
10.575 	 -5.476e+05 	 1.497e+06
10.625 	 -5.501e+05 	 1.497e+06
10.675 	 -5.526e+05 	 1.497e+06
10.725 	 9.375e+05 	 1.497e+06
10.775 	 -5.575e+05 	 1.497e+06
10.825 	 -5.600e+05 	 1.497e+06
10.875 	 -5.625e+05 	 1.497e+06
10.925 	 9.276e+05 	 1.497e+06
10.975 	 -5.674e+05 	 1.497e+06
11.025 	 -5.699e+05 	 1.497e+06
11.075 	 -5.724e+05 	 1.497e+06
11.125 	 -5.749e+05 	 1.498e+06
11.175 	 -5.774e+05 	 1.498e+06
11.225 	 -5.799e+05 	 1.498e+06
11.275 	 -5.824e+05 	 1.498e+06
11.325 	 -5.849e+05 	 1.498e+06
11.375 	 -5.874e+05 	 1.498e+06
11.425 	 -5.899e+05 	 1.498e+06
11.475 	 -5.924e+05 	 1.498e+06
11.525 	 -5.950e+05 	 1.498e+06
11.575 	 -5.975e+05 	 1.498e+06
11.625 	 -6.001e+05 	 1.498e+06
11.675 	 8.900e+05 	 1.498e+06
11.725 	 -6.051e+05 	 1.498e+06
11.775 	 -6.077e+05 	 1.498e+06
11.825 	 -6.102e+05 	 1.498e+06
11.875 	 -6.128e+05 	 1.498e+06
11.925 	 -6.153e+05 	 1.498e+06
11.975 	 -6.179e+05 	 1.498e+06
12.025 	 8.721e+05 	 1.498e+06
12.075 	 -6.229e+05 	 1.498e+06
12.125 	 -6.255e+05 	 1.498e+06
12.175 	 8.644e+05 	 1.498e+06
12.225 	 -6.307e+05 	 1.498e+06
12.275 	 -6.333e+05 	 1.499e+06
12.325 	 -6.359e+05 	 1.499e+06
12.375 	 8.540e+05 	 1.499e+06
12.425 	 -6.411e+05 	 1.499e+06
12.475 	 8.488e+05 	 1.499e+06
12.525 	 -6.463e+05 	 1.499e+06
12.575 	 -6.489e+05 	 1.499e+06
12.625 	 -6.515e+05 	 1.499e+06
12.675 	 8.385e+05 	 1.499e+06
12.725 	 -6.567e+05 	 1.499e+06
12.775 	 -6.593e+05 	 1.499e+06
12.825 	 8.306e+05 	 1.499e+06
12.875 	 -6.646e+05 	 1.499e+06
12.925 	 8.253e+05 	 1.499e+06
12.975 	 -6.698e+05 	 1.499e+06
13.025 	 -6.725e+05 	 1.499e+06
13.075 	 8.174e+05 	 1.499e+06
13.125 	 -6.778e+05 	 1.499e+06
13.175 	 -6.804e+05 	 1.499e+06
13.225 	 -6.831e+05 	 1.499e+06
13.275 	 -6.857e+05 	 1.499e+06
13.325 	 -6.884e+05 	 1.500e+06
13.375 	 -6.911e+05 	 1.500e+06
13.425 	 -6.937e+05 	 1.500e+06
13.475 	 -6.964e+05 	 1.500e+06
13.525 	 7.934e+05 	 1.500e+06
13.575 	 7.907e+05 	 1.500e+06
13.625 	 -7.045e+05 	 1.500e+06
13.675 	 -7.072e+05 	 1.500e+06
13.725 	 -7.099e+05 	 1.500e+06
13.775 	 7.799e+05 	 1.500e+06
13.825 	 -7.153e+05 	 1.500e+06
13.875 	 7.745e+05 	 1.500e+06
13.925 	 7.717e+05 	 1.500e+06
13.975 	 -7.235e+05 	 1.500e+06
14.025 	 2.259e+06 	 2.116e+06
14.075 	 8.226e+06 	 3.659e+06
14.125 	 3.746e+06 	 2.590e+06
14.175 	 5.236e+06 	 2.989e+06
14.225 	 1.568e+07 	 4.953e+06
14.275 	 1.568e+07 	 4.953e+06
14.325 	 2.314e+07 	 5.972e+06
14.375 	 2.313e+07 	 5.972e+06
14.425 	 4.701e+07 	 8.444e+06
14.475 	 5.596e+07 	 9.202e+06
14.525 	 5.298e+07 	 8.956e+06
14.575 	 6.790e+07 	 1.012e+07
14.625 	 7.685e+07 	 1.076e+07
14.675 	 8.282e+07 	 1.117e+07
14.725 	 6.491e+07 	 9.902e+06
14.775 	 5.595e+07 	 9.202e+06
14.825 	 8.878e+07 	 1.156e+07
14.875 	 7.684e+07 	 1.076e+07
14.925 	 7.236e+07 	 1.045e+07
14.975 	 5.892e+07 	 9.441e+06
15.025 	 6.041e+07 	 9.558e+06
15.075 	 2.907e+07 	 6.677e+06
15.125 	 2.459e+07 	 6.156e+06
15.175 	 3.055e+07 	 6.842e+06
15.225 	 1.861e+07 	 5.384e+06
15.275 	 1.711e+07 	 5.173e+06
15.325 	 1.562e+07 	 4.953e+06
15.375 	 8.153e+06 	 3.660e+06
15.425 	 9.643e+06 	 3.952e+06
15.475 	 6.850e+05 	 1.502e+06
15.525 	 6.822e+05 	 1.502e+06
15.575 	 6.793e+05 	 1.502e+06
15.625 	 -8.161e+05 	 1.502e+06
15.675 	 -8.190e+05 	 1.502e+06
15.725 	 -8.219e+05 	 1.502e+06
15.775 	 -8.248e+05 	 1.502e+06
15.825 	 6.648e+05 	 1.503e+06
15.875 	 -8.306e+05 	 1.503e+06
