WRF ANALYSIS
Date & time = ,2024-02-14, 13:20
Display format=,3
Program version:,2021-05-25

Scan file = ,O110710_TIM2_G077_wa1088_5hr_40x_s2
Port & distance (cm) =,tim2,27.0
WRF ID; Al blast(um) & cal=,13425907-g077 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(23-76),(0-63),-1.159,1.125,-0.988,1.000
Back x0; x1; y0; y1 (cm) =,0,10,0,63,
C; e; Dmax; dDmax; Dscale =,12,15,19.60,0.25,new
Dlow; Dhigh; Dauto; Elims =,8.00,17.50,no

DvE fit: c; dc; red. Chi^2 =, 1.211,0.029,2.53

Fit limits (MeV):,13.500,16.500,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 14.758,0.282,7.608e+07
Value (raw stats):, 14.747,0.253,7.595e+07
Uncertainties
    Random:, 0.039,0.007,9.61%
    Systematic calib:, 0.050,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.011,0.006,3.05%
     DvE:, 0.016,0.005,9.10%
     Dmax:, 0.010,0.000,0.32%
     WRF nonlinearity:, 0.014,0.000,0.00%
     Cal. & processing:, 0.030,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.025 	 0.000e+00 	 0.000e+00
4.075 	 0.000e+00 	 0.000e+00
4.125 	 0.000e+00 	 0.000e+00
4.175 	 0.000e+00 	 0.000e+00
4.225 	 0.000e+00 	 0.000e+00
4.275 	 -4.570e+05 	 3.006e+07
4.325 	 -2.975e+05 	 1.294e+07
4.375 	 -3.000e+05 	 1.294e+07
4.425 	 -2.856e+05 	 7.329e+06
4.475 	 -2.880e+05 	 7.329e+06
4.525 	 -2.948e+05 	 4.651e+06
4.575 	 -2.972e+05 	 4.651e+06
4.625 	 -2.284e+05 	 3.152e+06
4.675 	 -2.303e+05 	 3.152e+06
4.725 	 -2.321e+05 	 3.152e+06
4.775 	 -2.214e+05 	 2.238e+06
4.825 	 -2.231e+05 	 2.238e+06
4.875 	 -2.248e+05 	 2.238e+06
4.925 	 -2.265e+05 	 2.238e+06
4.975 	 -2.235e+05 	 1.645e+06
5.025 	 1.418e+06 	 1.645e+06
5.075 	 -2.268e+05 	 1.645e+06
5.125 	 3.059e+06 	 2.325e+06
5.175 	 -2.302e+05 	 1.645e+06
5.225 	 1.041e+06 	 1.239e+06
5.275 	 -1.978e+05 	 1.239e+06
5.325 	 -1.992e+05 	 1.239e+06
5.375 	 -2.006e+05 	 1.239e+06
5.425 	 -2.020e+05 	 1.239e+06
5.475 	 -2.034e+05 	 1.239e+06
5.525 	 -2.048e+05 	 1.239e+06
5.575 	 -2.062e+05 	 1.239e+06
5.625 	 -2.076e+05 	 1.239e+06
5.675 	 -2.089e+05 	 1.239e+06
5.725 	 -2.103e+05 	 1.239e+06
5.775 	 -2.117e+05 	 1.239e+06
5.825 	 -2.131e+05 	 1.239e+06
5.875 	 1.023e+06 	 1.239e+06
5.925 	 -2.158e+05 	 1.239e+06
5.975 	 -2.172e+05 	 1.239e+06
6.025 	 -2.186e+05 	 1.239e+06
6.075 	 -2.200e+05 	 1.239e+06
6.125 	 -2.213e+05 	 1.239e+06
6.175 	 -2.227e+05 	 1.239e+06
6.225 	 -2.240e+05 	 1.239e+06
6.275 	 -2.254e+05 	 1.239e+06
6.325 	 -2.267e+05 	 1.239e+06
6.375 	 -2.281e+05 	 1.239e+06
6.425 	 -2.294e+05 	 1.239e+06
6.475 	 -2.307e+05 	 1.239e+06
6.525 	 -2.321e+05 	 1.239e+06
6.575 	 -2.334e+05 	 1.239e+06
6.625 	 -2.347e+05 	 1.239e+06
6.675 	 -2.360e+05 	 1.239e+06
6.725 	 -2.374e+05 	 1.239e+06
6.775 	 -2.387e+05 	 1.239e+06
6.825 	 -2.401e+05 	 1.239e+06
6.875 	 -2.414e+05 	 1.239e+06
6.925 	 -2.427e+05 	 1.239e+06
