WRF ANALYSIS
Date & time = ,2024-02-14, 13:39
Display format=,3
Program version:,2021-05-25

Scan file = ,O110714_P2_G156_wa1103_5hr_40x_s5
Port & distance (cm) =,p2,26.0
WRF ID; Al blast(um) & cal=,g156 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(23-74),(0-61),-1.132,1.126,-0.998,1.000
Back x0; x1; y0; y1 (cm) =,24,32,0,61,
Back x0; x1; y0; y1 (cm) =,62,69,0,61,
C; e; Dmax; dDmax; Dscale =,12,15,19.30,0.25,new
Dlow; Dhigh; Dauto; Elims =,7.60,18.00,no

DvE fit: c; dc; red. Chi^2 =, 1.239,0.034,2.48

Fit limits (MeV):,13.500,16.500,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 14.880,0.263,4.702e+07
Value (raw stats):, 14.878,0.254,4.697e+07
Uncertainties
    Random:, 0.043,0.024,11.60%
    Systematic calib:, 0.049,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.014,0.024,2.27%
     DvE:, 0.022,0.003,11.37%
     Dmax:, 0.010,0.000,0.31%
     WRF nonlinearity:, 0.013,0.000,0.00%
     Cal. & processing:, 0.029,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.525 	 0.000e+00 	 0.000e+00
4.575 	 0.000e+00 	 0.000e+00
4.625 	 0.000e+00 	 0.000e+00
4.675 	 0.000e+00 	 0.000e+00
4.725 	 0.000e+00 	 0.000e+00
4.775 	 -2.034e+05 	 2.927e+07
4.825 	 -6.297e+05 	 1.255e+07
4.875 	 -6.343e+05 	 1.255e+07
4.925 	 -3.495e+05 	 7.054e+06
4.975 	 -3.522e+05 	 7.054e+06
5.025 	 -3.620e+05 	 4.424e+06
5.075 	 -3.646e+05 	 4.424e+06
5.125 	 -2.715e+05 	 2.957e+06
5.175 	 -2.736e+05 	 2.957e+06
5.225 	 -2.756e+05 	 2.957e+06
5.275 	 -2.837e+05 	 2.071e+06
5.325 	 -2.857e+05 	 2.071e+06
5.375 	 -2.877e+05 	 2.071e+06
5.425 	 -2.897e+05 	 2.071e+06
5.475 	 -2.716e+05 	 1.502e+06
5.525 	 -2.736e+05 	 1.502e+06
5.575 	 1.225e+06 	 1.502e+06
5.625 	 -2.776e+05 	 1.502e+06
5.675 	 -2.448e+05 	 1.118e+06
5.725 	 -2.466e+05 	 1.118e+06
5.775 	 -2.483e+05 	 1.118e+06
5.825 	 -2.501e+05 	 1.118e+06
5.875 	 8.644e+05 	 1.118e+06
5.925 	 -2.535e+05 	 1.118e+06
5.975 	 -2.553e+05 	 1.118e+06
6.025 	 8.592e+05 	 1.118e+06
6.075 	 -2.588e+05 	 1.118e+06
6.125 	 -2.605e+05 	 1.118e+06
6.175 	 -2.623e+05 	 1.118e+06
6.225 	 -2.640e+05 	 1.118e+06
6.275 	 -2.658e+05 	 1.118e+06
6.325 	 1.965e+06 	 1.580e+06
6.375 	 1.963e+06 	 1.580e+06
6.425 	 -2.709e+05 	 1.118e+06
6.475 	 8.436e+05 	 1.118e+06
6.525 	 -2.744e+05 	 1.118e+06
6.575 	 -2.761e+05 	 1.118e+06
6.625 	 -2.779e+05 	 1.118e+06
6.675 	 -2.795e+05 	 1.118e+06
6.725 	 -2.813e+05 	 1.118e+06
6.775 	 -2.830e+05 	 1.118e+06
6.825 	 -2.848e+05 	 1.118e+06
6.875 	 -2.865e+05 	 1.118e+06
6.925 	 8.281e+05 	 1.118e+06
6.975 	 8.263e+05 	 1.118e+06
7.025 	 -2.917e+05 	 1.118e+06
7.075 	 -2.934e+05 	 1.118e+06
7.125 	 -2.952e+05 	 1.118e+06
7.175 	 -2.969e+05 	 1.118e+06
7.225 	 8.176e+05 	 1.118e+06
7.275 	 8.159e+05 	 1.118e+06
7.325 	 -3.022e+05 	 1.118e+06
7.375 	 -3.039e+05 	 1.118e+06
7.425 	 -3.057e+05 	 1.118e+06
7.475 	 8.089e+05 	 1.118e+06
7.525 	 -3.092e+05 	 1.118e+06
7.575 	 -3.109e+05 	 1.118e+06
7.625 	 -3.127e+05 	 1.118e+06
7.675 	 8.018e+05 	 1.118e+06
7.725 	 -3.162e+05 	 1.118e+06
7.775 	 7.983e+05 	 1.119e+06
7.825 	 -3.197e+05 	 1.119e+06
7.875 	 -3.215e+05 	 1.119e+06
7.925 	 -3.232e+05 	 1.119e+06
7.975 	 -3.250e+05 	 1.119e+06
8.025 	 7.895e+05 	 1.119e+06
8.075 	 -3.285e+05 	 1.119e+06
8.125 	 -3.303e+05 	 1.119e+06
8.175 	 -3.321e+05 	 1.119e+06
8.225 	 -3.338e+05 	 1.119e+06
8.275 	 -3.356e+05 	 1.119e+06
8.325 	 -3.374e+05 	 1.119e+06
8.375 	 -3.391e+05 	 1.119e+06
8.425 	 1.892e+06 	 1.580e+06
8.475 	 -3.427e+05 	 1.119e+06
8.525 	 -3.444e+05 	 1.119e+06
8.575 	 -3.462e+05 	 1.119e+06
8.625 	 -3.480e+05 	 1.119e+06
8.675 	 7.665e+05 	 1.119e+06
8.725 	 -3.515e+05 	 1.119e+06
8.775 	 -3.533e+05 	 1.119e+06
8.825 	 -3.551e+05 	 1.119e+06
8.875 	 7.594e+05 	 1.119e+06
8.925 	 -3.587e+05 	 1.119e+06
8.975 	 -3.605e+05 	 1.119e+06
9.025 	 -3.622e+05 	 1.119e+06
9.075 	 7.523e+05 	 1.119e+06
9.125 	 -3.658e+05 	 1.119e+06
9.175 	 -3.676e+05 	 1.119e+06
9.225 	 -3.694e+05 	 1.119e+06
9.275 	 -3.712e+05 	 1.119e+06
9.325 	 7.433e+05 	 1.119e+06
9.375 	 7.415e+05 	 1.119e+06
9.425 	 7.397e+05 	 1.119e+06
9.475 	 -3.783e+05 	 1.119e+06
9.525 	 7.361e+05 	 1.119e+06
9.575 	 7.343e+05 	 1.119e+06
9.625 	 -3.838e+05 	 1.119e+06
9.675 	 -3.856e+05 	 1.119e+06
9.725 	 -3.874e+05 	 1.120e+06
9.775 	 -3.892e+05 	 1.120e+06
9.825 	 7.253e+05 	 1.120e+06
9.875 	 -3.928e+05 	 1.120e+06
9.925 	 -3.946e+05 	 1.120e+06
9.975 	 -3.964e+05 	 1.120e+06
10.025 	 7.180e+05 	 1.120e+06
10.075 	 -4.001e+05 	 1.120e+06
10.125 	 7.143e+05 	 1.120e+06
10.175 	 -4.038e+05 	 1.120e+06
10.225 	 7.107e+05 	 1.120e+06
10.275 	 -4.074e+05 	 1.120e+06
10.325 	 -4.092e+05 	 1.120e+06
10.375 	 -4.111e+05 	 1.120e+06
10.425 	 -4.129e+05 	 1.120e+06
10.475 	 -4.148e+05 	 1.120e+06
10.525 	 6.997e+05 	 1.120e+06
10.575 	 -4.185e+05 	 1.120e+06
10.625 	 1.812e+06 	 1.581e+06
10.675 	 -4.221e+05 	 1.120e+06
10.725 	 -4.240e+05 	 1.120e+06
10.775 	 -4.258e+05 	 1.120e+06
10.825 	 -4.277e+05 	 1.120e+06
10.875 	 6.867e+05 	 1.120e+06
10.925 	 6.849e+05 	 1.120e+06
10.975 	 6.830e+05 	 1.120e+06
11.025 	 6.811e+05 	 1.120e+06
11.075 	 -4.370e+05 	 1.120e+06
11.125 	 -4.389e+05 	 1.120e+06
11.175 	 -4.407e+05 	 1.120e+06
11.225 	 6.737e+05 	 1.120e+06
11.275 	 6.718e+05 	 1.120e+06
11.325 	 6.699e+05 	 1.120e+06
11.375 	 -4.482e+05 	 1.121e+06
11.425 	 -4.501e+05 	 1.121e+06
11.475 	 -4.520e+05 	 1.121e+06
11.525 	 6.624e+05 	 1.121e+06
11.575 	 -4.558e+05 	 1.121e+06
11.625 	 -4.577e+05 	 1.121e+06
11.675 	 -4.595e+05 	 1.121e+06
11.725 	 -4.614e+05 	 1.121e+06
11.775 	 6.529e+05 	 1.121e+06
11.825 	 -4.653e+05 	 1.121e+06
11.875 	 -4.672e+05 	 1.121e+06
11.925 	 -4.691e+05 	 1.121e+06
11.975 	 -4.710e+05 	 1.121e+06
12.025 	 -4.729e+05 	 1.121e+06
12.075 	 -4.748e+05 	 1.121e+06
12.125 	 1.756e+06 	 1.582e+06
12.175 	 6.376e+05 	 1.121e+06
12.225 	 -4.805e+05 	 1.121e+06
12.275 	 -4.825e+05 	 1.121e+06
12.325 	 -4.844e+05 	 1.121e+06
12.375 	 6.299e+05 	 1.121e+06
12.425 	 -4.882e+05 	 1.121e+06
12.475 	 -4.902e+05 	 1.121e+06
12.525 	 -4.921e+05 	 1.121e+06
12.575 	 -4.941e+05 	 1.121e+06
12.625 	 -4.960e+05 	 1.121e+06
12.675 	 -4.979e+05 	 1.121e+06
12.725 	 -4.999e+05 	 1.122e+06
12.775 	 6.144e+05 	 1.122e+06
12.825 	 6.125e+05 	 1.122e+06
12.875 	 -5.057e+05 	 1.122e+06
12.925 	 -5.077e+05 	 1.122e+06
12.975 	 6.066e+05 	 1.122e+06
13.025 	 6.046e+05 	 1.122e+06
13.075 	 6.027e+05 	 1.122e+06
13.125 	 -5.156e+05 	 1.122e+06
13.175 	 -5.175e+05 	 1.122e+06
13.225 	 -5.195e+05 	 1.122e+06
13.275 	 -5.215e+05 	 1.122e+06
13.325 	 -5.234e+05 	 1.122e+06
13.375 	 5.908e+05 	 1.122e+06
13.425 	 -5.274e+05 	 1.122e+06
13.475 	 -5.294e+05 	 1.122e+06
13.525 	 5.849e+05 	 1.122e+06
13.575 	 -5.334e+05 	 1.122e+06
13.625 	 -5.354e+05 	 1.122e+06
13.675 	 5.789e+05 	 1.122e+06
13.725 	 -5.394e+05 	 1.122e+06
13.775 	 1.691e+06 	 1.583e+06
13.825 	 5.728e+05 	 1.122e+06
13.875 	 1.687e+06 	 1.583e+06
13.925 	 -5.474e+05 	 1.123e+06
13.975 	 -5.495e+05 	 1.123e+06
14.025 	 5.648e+05 	 1.123e+06
14.075 	 5.628e+05 	 1.123e+06
14.125 	 -5.555e+05 	 1.123e+06
14.175 	 5.587e+05 	 1.123e+06
14.225 	 5.022e+06 	 2.499e+06
14.275 	 5.020e+06 	 2.499e+06
14.325 	 8.366e+06 	 3.160e+06
14.375 	 1.171e+07 	 3.704e+06
14.425 	 1.841e+07 	 4.604e+06
14.475 	 1.506e+07 	 4.178e+06
14.525 	 2.622e+07 	 5.470e+06
14.575 	 4.519e+07 	 7.149e+06
14.625 	 4.631e+07 	 7.235e+06
14.675 	 4.519e+07 	 7.149e+06
14.725 	 5.188e+07 	 7.654e+06
14.775 	 8.537e+07 	 9.796e+06
14.825 	 6.528e+07 	 8.575e+06
14.875 	 6.862e+07 	 8.790e+06
14.925 	 7.197e+07 	 9.000e+06
14.975 	 5.522e+07 	 7.894e+06
15.025 	 6.415e+07 	 8.502e+06
15.075 	 5.745e+07 	 8.051e+06
15.125 	 5.633e+07 	 7.973e+06
15.175 	 3.512e+07 	 6.316e+06
15.225 	 2.731e+07 	 5.583e+06
15.275 	 2.284e+07 	 5.117e+06
15.325 	 1.056e+07 	 3.532e+06
15.375 	 1.390e+07 	 4.027e+06
15.425 	 1.279e+07 	 3.869e+06
15.475 	 4.970e+06 	 2.500e+06
15.525 	 1.619e+06 	 1.584e+06
15.575 	 1.617e+06 	 1.584e+06
15.625 	 2.731e+06 	 1.938e+06
15.675 	 -6.200e+05 	 1.124e+06
15.725 	 -6.221e+05 	 1.124e+06
15.775 	 -6.242e+05 	 1.124e+06
15.825 	 -6.264e+05 	 1.124e+06
15.875 	 4.878e+05 	 1.125e+06
15.925 	 4.856e+05 	 1.125e+06
15.975 	 -6.328e+05 	 1.125e+06
16.025 	 4.813e+05 	 1.125e+06
16.075 	 4.792e+05 	 1.125e+06
16.125 	 4.770e+05 	 1.125e+06
16.175 	 4.749e+05 	 1.125e+06
16.225 	 -6.436e+05 	 1.125e+06
16.275 	 -6.457e+05 	 1.125e+06
16.325 	 4.684e+05 	 1.125e+06
16.375 	 -6.501e+05 	 1.125e+06
16.425 	 4.640e+05 	 1.125e+06
16.475 	 1.578e+06 	 1.585e+06
16.525 	 -6.566e+05 	 1.125e+06
16.575 	 2.690e+06 	 1.939e+06
16.625 	 4.553e+05 	 1.125e+06
16.675 	 -6.632e+05 	 1.126e+06
16.725 	 -6.654e+05 	 1.126e+06
16.775 	 -6.676e+05 	 1.126e+06
16.825 	 -6.698e+05 	 1.126e+06
