WRF ANALYSIS
Date & time = ,2024-02-14, 13:42
Display format=,3
Program version:,2021-05-25

Scan file = ,O110714_TIM2_G160_wa1090_5hr_40x_s6
Port & distance (cm) =,tim2,27.0
WRF ID; Al blast(um) & cal=,g160 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(23-74),(0-60),-1.124,1.151,-0.981,1.000
Back x0; x1; y0; y1 (cm) =,0,10,0,60,
Back x0; x1; y0; y1 (cm) =,64,73,0,60,
C; e; Dmax; dDmax; Dscale =,10,15,19.70,0.25,new
Dlow; Dhigh; Dauto; Elims =,8.00,18.00,no

DvE fit: c; dc; red. Chi^2 =, 1.155,0.020,1.50

Fit limits (MeV):,13.500,16.500,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 14.757,0.275,5.020e+07
Value (raw stats):, 14.756,0.250,4.952e+07
Uncertainties
    Random:, 0.037,0.014,6.14%
    Systematic calib:, 0.050,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.010,0.011,2.82%
     DvE:, 0.012,0.009,5.45%
     Dmax:, 0.010,0.000,0.31%
     WRF nonlinearity:, 0.014,0.000,0.00%
     Cal. & processing:, 0.030,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.425 	 0.000e+00 	 0.000e+00
4.475 	 0.000e+00 	 0.000e+00
4.525 	 0.000e+00 	 0.000e+00
4.575 	 0.000e+00 	 0.000e+00
4.625 	 0.000e+00 	 0.000e+00
4.675 	 -3.828e+05 	 2.920e+07
4.725 	 -3.663e+05 	 1.239e+07
4.775 	 -3.695e+05 	 1.239e+07
4.825 	 -3.611e+05 	 6.897e+06
4.875 	 -3.639e+05 	 6.897e+06
4.925 	 -3.004e+05 	 4.290e+06
4.975 	 -3.027e+05 	 4.290e+06
5.025 	 -3.051e+05 	 4.290e+06
5.075 	 -2.948e+05 	 2.853e+06
5.125 	 -2.971e+05 	 2.853e+06
5.175 	 -2.992e+05 	 2.853e+06
5.225 	 -2.157e+05 	 1.990e+06
5.275 	 1.771e+06 	 1.990e+06
5.325 	 1.770e+06 	 1.990e+06
5.375 	 1.768e+06 	 1.990e+06
5.425 	 -2.034e+05 	 1.437e+06
5.475 	 -2.049e+05 	 1.437e+06
5.525 	 -2.064e+05 	 1.437e+06
5.575 	 -2.078e+05 	 1.437e+06
5.625 	 -2.093e+05 	 1.437e+06
5.675 	 -2.108e+05 	 1.437e+06
5.725 	 8.556e+05 	 1.043e+06
5.775 	 -1.878e+05 	 1.043e+06
5.825 	 -1.891e+05 	 1.043e+06
5.875 	 -1.904e+05 	 1.043e+06
5.925 	 8.504e+05 	 1.043e+06
5.975 	 -1.930e+05 	 1.043e+06
6.025 	 -1.943e+05 	 1.043e+06
6.075 	 -1.956e+05 	 1.043e+06
6.125 	 -1.969e+05 	 1.043e+06
6.175 	 -1.982e+05 	 1.043e+06
6.225 	 -1.995e+05 	 1.043e+06
6.275 	 -2.008e+05 	 1.043e+06
6.325 	 -2.021e+05 	 1.043e+06
6.375 	 -2.034e+05 	 1.043e+06
6.425 	 8.374e+05 	 1.043e+06
6.475 	 -2.060e+05 	 1.043e+06
6.525 	 -2.072e+05 	 1.043e+06
6.575 	 -2.085e+05 	 1.043e+06
6.625 	 -2.098e+05 	 1.043e+06
6.675 	 -2.111e+05 	 1.043e+06
6.725 	 -2.124e+05 	 1.043e+06
6.775 	 -2.137e+05 	 1.043e+06
6.825 	 -2.150e+05 	 1.043e+06
6.875 	 -2.163e+05 	 1.043e+06
6.925 	 8.246e+05 	 1.043e+06
6.975 	 -2.188e+05 	 1.043e+06
7.025 	 8.220e+05 	 1.043e+06
7.075 	 -2.214e+05 	 1.043e+06
7.125 	 -2.227e+05 	 1.043e+06
7.175 	 -2.240e+05 	 1.043e+06
7.225 	 8.168e+05 	 1.043e+06
7.275 	 -2.266e+05 	 1.043e+06
7.325 	 -2.279e+05 	 1.043e+06
7.375 	 -2.292e+05 	 1.043e+06
7.425 	 -2.305e+05 	 1.043e+06
7.475 	 -2.317e+05 	 1.043e+06
7.525 	 -2.331e+05 	 1.043e+06
7.575 	 -2.343e+05 	 1.043e+06
7.625 	 8.065e+05 	 1.043e+06
7.675 	 -2.370e+05 	 1.043e+06
7.725 	 -2.382e+05 	 1.043e+06
7.775 	 -2.396e+05 	 1.044e+06
7.825 	 -2.409e+05 	 1.044e+06
7.875 	 8.000e+05 	 1.044e+06
7.925 	 -2.435e+05 	 1.044e+06
7.975 	 -2.448e+05 	 1.044e+06
8.025 	 -2.461e+05 	 1.044e+06
8.075 	 -2.474e+05 	 1.044e+06
8.125 	 7.934e+05 	 1.044e+06
8.175 	 -2.500e+05 	 1.044e+06
8.225 	 7.908e+05 	 1.044e+06
8.275 	 -2.526e+05 	 1.044e+06
8.325 	 -2.539e+05 	 1.044e+06
8.375 	 7.869e+05 	 1.044e+06
8.425 	 -2.565e+05 	 1.044e+06
8.475 	 -2.578e+05 	 1.044e+06
8.525 	 -2.591e+05 	 1.044e+06
8.575 	 -2.604e+05 	 1.044e+06
8.625 	 -2.617e+05 	 1.044e+06
8.675 	 7.791e+05 	 1.044e+06
8.725 	 -2.643e+05 	 1.044e+06
8.775 	 1.819e+06 	 1.475e+06
8.825 	 -2.670e+05 	 1.044e+06
8.875 	 7.739e+05 	 1.044e+06
8.925 	 -2.696e+05 	 1.044e+06
8.975 	 7.712e+05 	 1.044e+06
9.025 	 7.699e+05 	 1.044e+06
9.075 	 -2.735e+05 	 1.044e+06
9.125 	 7.673e+05 	 1.044e+06
9.175 	 7.660e+05 	 1.044e+06
9.225 	 -2.774e+05 	 1.044e+06
9.275 	 7.634e+05 	 1.044e+06
9.325 	 -2.801e+05 	 1.044e+06
9.375 	 -2.814e+05 	 1.044e+06
9.425 	 7.594e+05 	 1.044e+06
9.475 	 7.581e+05 	 1.044e+06
9.525 	 7.568e+05 	 1.044e+06
9.575 	 7.554e+05 	 1.044e+06
9.625 	 -2.880e+05 	 1.044e+06
9.675 	 1.795e+06 	 1.475e+06
9.725 	 7.515e+05 	 1.044e+06
9.775 	 -2.919e+05 	 1.044e+06
9.825 	 -2.933e+05 	 1.044e+06
9.875 	 -2.946e+05 	 1.044e+06
9.925 	 -2.959e+05 	 1.044e+06
9.975 	 -2.972e+05 	 1.044e+06
10.025 	 7.435e+05 	 1.044e+06
10.075 	 -2.999e+05 	 1.044e+06
10.125 	 -3.013e+05 	 1.044e+06
10.175 	 -3.026e+05 	 1.044e+06
10.225 	 7.382e+05 	 1.044e+06
10.275 	 -3.053e+05 	 1.044e+06
10.325 	 -3.066e+05 	 1.044e+06
10.375 	 -3.079e+05 	 1.044e+06
10.425 	 -3.093e+05 	 1.044e+06
10.475 	 -3.106e+05 	 1.044e+06
10.525 	 -3.119e+05 	 1.044e+06
10.575 	 -3.133e+05 	 1.044e+06
10.625 	 -3.146e+05 	 1.044e+06
10.675 	 7.261e+05 	 1.044e+06
10.725 	 -3.173e+05 	 1.045e+06
10.775 	 -3.187e+05 	 1.045e+06
10.825 	 -3.200e+05 	 1.045e+06
10.875 	 7.207e+05 	 1.045e+06
10.925 	 -3.227e+05 	 1.045e+06
10.975 	 -3.241e+05 	 1.045e+06
11.025 	 7.167e+05 	 1.045e+06
11.075 	 -3.268e+05 	 1.045e+06
11.125 	 7.140e+05 	 1.045e+06
11.175 	 -3.295e+05 	 1.045e+06
11.225 	 7.113e+05 	 1.045e+06
11.275 	 -3.322e+05 	 1.045e+06
11.325 	 -3.335e+05 	 1.045e+06
11.375 	 -3.349e+05 	 1.045e+06
11.425 	 -3.363e+05 	 1.045e+06
11.475 	 -3.376e+05 	 1.045e+06
11.525 	 7.031e+05 	 1.045e+06
11.575 	 7.017e+05 	 1.045e+06
11.625 	 -3.418e+05 	 1.045e+06
11.675 	 -3.431e+05 	 1.045e+06
11.725 	 -3.445e+05 	 1.045e+06
11.775 	 6.962e+05 	 1.045e+06
11.825 	 6.949e+05 	 1.045e+06
11.875 	 -3.486e+05 	 1.045e+06
11.925 	 -3.500e+05 	 1.045e+06
11.975 	 -3.514e+05 	 1.045e+06
12.025 	 -3.528e+05 	 1.045e+06
12.075 	 6.880e+05 	 1.045e+06
12.125 	 -3.555e+05 	 1.045e+06
12.175 	 -3.569e+05 	 1.045e+06
12.225 	 -3.583e+05 	 1.045e+06
12.275 	 -3.597e+05 	 1.045e+06
12.325 	 -3.611e+05 	 1.045e+06
12.375 	 6.797e+05 	 1.045e+06
12.425 	 1.720e+06 	 1.476e+06
12.475 	 -3.653e+05 	 1.045e+06
12.525 	 -3.666e+05 	 1.045e+06
12.575 	 -3.680e+05 	 1.045e+06
12.625 	 -3.694e+05 	 1.045e+06
12.675 	 -3.708e+05 	 1.045e+06
12.725 	 6.699e+05 	 1.045e+06
12.775 	 -3.736e+05 	 1.045e+06
12.825 	 -3.750e+05 	 1.045e+06
12.875 	 6.657e+05 	 1.045e+06
12.925 	 -3.778e+05 	 1.045e+06
12.975 	 -3.792e+05 	 1.045e+06
13.025 	 -3.807e+05 	 1.046e+06
13.075 	 -3.821e+05 	 1.046e+06
13.125 	 1.701e+06 	 1.476e+06
13.175 	 6.572e+05 	 1.046e+06
13.225 	 -3.863e+05 	 1.046e+06
13.275 	 -3.877e+05 	 1.046e+06
13.325 	 -3.891e+05 	 1.046e+06
13.375 	 -3.906e+05 	 1.046e+06
13.425 	 -3.920e+05 	 1.046e+06
13.475 	 -3.934e+05 	 1.046e+06
13.525 	 6.473e+05 	 1.046e+06
13.575 	 -3.963e+05 	 1.046e+06
13.625 	 -3.977e+05 	 1.046e+06
13.675 	 6.430e+05 	 1.046e+06
13.725 	 6.416e+05 	 1.046e+06
13.775 	 -4.020e+05 	 1.046e+06
13.825 	 -4.034e+05 	 1.046e+06
13.875 	 -4.049e+05 	 1.046e+06
13.925 	 6.358e+05 	 1.046e+06
13.975 	 6.343e+05 	 1.046e+06
14.025 	 6.329e+05 	 1.046e+06
14.075 	 6.315e+05 	 1.046e+06
14.125 	 7.925e+06 	 2.949e+06
14.175 	 4.797e+06 	 2.332e+06
14.225 	 1.001e+07 	 3.297e+06
14.275 	 1.522e+07 	 4.037e+06
14.325 	 2.042e+07 	 4.661e+06
