Energy after passing through hohlraum (MeV),Spectrum (MeV^-1),Uncertainty (MeV^-1)
5.125000000000000000e+00,-5.017000000000000000e+05,7.446000000000000000e+06
5.174999999999999822e+00,4.342000000000000000e+06,4.720000000000000000e+06
5.224999999999999645e+00,-3.798000000000000000e+05,4.721000000000000000e+06
5.275000000000000355e+00,-3.827000000000000000e+05,4.721000000000000000e+06
5.325000000000000178e+00,-3.778000000000000000e+05,3.190000000000000000e+06
5.375000000000000000e+00,-3.808000000000000000e+05,3.190000000000000000e+06
5.424999999999999822e+00,-3.333000000000000000e+05,2.256000000000000000e+06
5.474999999999999645e+00,-3.359000000000000000e+05,2.256000000000000000e+06
5.525000000000000355e+00,-3.385000000000000000e+05,2.256000000000000000e+06
5.575000000000000178e+00,1.363000000000000000e+06,1.651000000000000000e+06
5.625000000000000000e+00,1.361000000000000000e+06,1.651000000000000000e+06
5.674999999999999822e+00,-2.902000000000000000e+05,1.651000000000000000e+06
5.724999999999999645e+00,-2.924000000000000000e+05,1.651000000000000000e+06
5.775000000000000355e+00,-2.534000000000000000e+05,1.239000000000000000e+06
5.825000000000000178e+00,-2.553000000000000000e+05,1.239000000000000000e+06
5.875000000000000000e+00,-2.572000000000000000e+05,1.239000000000000000e+06
5.924999999999999822e+00,-2.591000000000000000e+05,1.239000000000000000e+06
5.974999999999999645e+00,-2.610000000000000000e+05,1.239000000000000000e+06
6.025000000000000355e+00,9.752000000000000000e+05,1.239000000000000000e+06
6.075000000000000178e+00,-2.649000000000000000e+05,1.239000000000000000e+06
6.125000000000000000e+00,-2.668000000000000000e+05,1.239000000000000000e+06
6.174999999999999822e+00,-2.687000000000000000e+05,1.239000000000000000e+06
6.224999999999999645e+00,2.206000000000000000e+06,1.752000000000000000e+06
6.275000000000000355e+00,-2.725000000000000000e+05,1.239000000000000000e+06
6.325000000000000178e+00,-2.744000000000000000e+05,1.239000000000000000e+06
6.375000000000000000e+00,-2.764000000000000000e+05,1.239000000000000000e+06
6.424999999999999822e+00,9.598000000000000000e+05,1.239000000000000000e+06
6.474999999999999645e+00,-2.802000000000000000e+05,1.240000000000000000e+06
6.525000000000000355e+00,-2.821000000000000000e+05,1.240000000000000000e+06
6.575000000000000178e+00,-2.840000000000000000e+05,1.240000000000000000e+06
