WRF ANALYSIS
Date & time = ,2024-02-28, 16:46
Display format=,3
Program version:,2021-05-25

Scan file = ,O110939_WRF_TIM6_WA1098_5h_s4_40x_rescan1
Port & distance (cm) =,tim6,10.5
WRF ID; Al blast(um) & cal=,g157 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.119,1.157,-0.981,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,63,
C; e; Dmax; dDmax; Dscale =,9,15,17.00,0.25,new
Dlow; Dhigh; Dauto; Elims =,7.00,18.00,no

DvE fit: c; dc; red. Chi^2 =, 1.404,0.116,4.60

Fit limits (MeV):,12.000,15.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 13.235,0.281,1.397e+06
Value (raw stats):, 13.254,0.353,1.498e+06
Uncertainties
    Random:, 0.105,0.100,59.27%
    Systematic calib:, 0.054,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.091,0.099,10.50%
     DvE:, 0.036,0.012,58.33%
     Dmax:, 0.012,0.000,0.44%
     WRF nonlinearity:, 0.015,0.000,0.00%
     Cal. & processing:, 0.033,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
3.900 	 0.000e+00 	 0.000e+00
4.100 	 0.000e+00 	 0.000e+00
4.300 	 0.000e+00 	 0.000e+00
4.500 	 0.000e+00 	 0.000e+00
4.700 	 0.000e+00 	 0.000e+00
4.900 	 -1.944e+05 	 1.573e+06
5.100 	 1.105e+05 	 1.801e+05
5.300 	 -6.711e+04 	 1.289e+05
5.500 	 -5.283e+04 	 7.207e+04
5.700 	 -5.427e+04 	 7.212e+04
5.900 	 -5.569e+04 	 7.217e+04
6.100 	 -5.711e+04 	 7.222e+04
6.300 	 8.385e+04 	 1.014e+05
6.500 	 -5.990e+04 	 7.232e+04
6.700 	 -6.128e+04 	 7.237e+04
6.900 	 -6.266e+04 	 7.243e+04
7.100 	 7.834e+04 	 1.016e+05
7.300 	 5.792e+03 	 7.254e+04
7.500 	 -6.675e+04 	 7.259e+04
7.700 	 7.426e+04 	 1.017e+05
7.900 	 -6.945e+04 	 7.271e+04
8.100 	 -7.080e+04 	 7.277e+04
8.300 	 7.023e+04 	 1.018e+05
8.500 	 -2.281e+03 	 7.289e+04
8.700 	 -7.479e+04 	 7.295e+04
8.900 	 -7.610e+04 	 7.301e+04
9.100 	 -7.740e+04 	 7.307e+04
9.300 	 -7.871e+04 	 7.314e+04
9.500 	 -8.001e+04 	 7.320e+04
9.700 	 -1.012e+04 	 7.327e+04
9.900 	 -1.141e+04 	 7.333e+04
10.100 	 -1.269e+04 	 7.340e+04
10.300 	 5.721e+04 	 1.023e+05
10.500 	 -1.525e+04 	 7.353e+04
10.700 	 -1.652e+04 	 7.360e+04
10.900 	 -8.898e+04 	 7.367e+04
11.100 	 -1.905e+04 	 7.374e+04
11.300 	 1.221e+05 	 1.248e+05
11.500 	 -2.157e+04 	 7.388e+04
11.700 	 -2.282e+04 	 7.395e+04
11.900 	 4.712e+04 	 1.027e+05
12.100 	 -9.649e+04 	 7.410e+04
12.300 	 4.464e+04 	 1.028e+05
12.500 	 3.282e+05 	 1.756e+05
12.700 	 3.981e+05 	 1.895e+05
12.900 	 1.038e+06 	 2.856e+05
13.100 	 1.463e+06 	 3.346e+05
13.300 	 2.316e+06 	 4.157e+05
13.500 	 1.034e+06 	 2.856e+05
13.700 	 4.632e+05 	 2.026e+05
13.900 	 2.484e+05 	 1.608e+05
14.100 	 1.760e+05 	 1.442e+05
14.300 	 3.246e+04 	 1.034e+05
14.500 	 -3.993e+04 	 7.502e+04
14.700 	 1.012e+05 	 1.256e+05
14.900 	 -4.232e+04 	 7.519e+04
15.100 	 2.767e+04 	 1.036e+05
15.300 	 1.688e+05 	 1.445e+05
15.500 	 -1.171e+05 	 7.544e+04
15.700 	 -1.183e+05 	 7.552e+04
15.900 	 -1.194e+05 	 7.560e+04
16.100 	 -4.943e+04 	 7.569e+04
16.300 	 2.059e+04 	 1.040e+05
16.500 	 -5.177e+04 	 7.586e+04
16.700 	 -5.294e+04 	 7.595e+04
16.900 	 -5.410e+04 	 7.603e+04
17.100 	 8.711e+04 	 1.262e+05
17.300 	 -5.642e+04 	 7.621e+04
17.500 	 -1.288e+05 	 7.630e+04
17.700 	 -5.874e+04 	 7.638e+04
17.900 	 8.248e+04 	 1.264e+05
18.100 	 -1.322e+05 	 7.656e+04
18.300 	 8.992e+03 	 1.046e+05
18.500 	 1.502e+05 	 1.452e+05
18.700 	 1.491e+05 	 1.453e+05
18.900 	 -6.563e+04 	 7.693e+04
19.100 	 -6.677e+04 	 7.702e+04
19.300 	 -1.036e+05 	 2.961e+05
19.500 	 0.000e+00 	 0.000e+00
19.700 	 0.000e+00 	 0.000e+00
