WRF ANALYSIS
Date & time = ,2024-02-28, 16:45
Display format=,3
Program version:,2021-05-25

Scan file = ,O110940_WRF_TIM6_WA1107_5h_s8_40x_rescan1
Port & distance (cm) =,tim 6,10.5
WRF ID; Al blast(um) & cal=,g163 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.122,1.148,-0.976,1.000
Back x0; x1; y0; y1 (cm) =,62,77,0,63,
C; e; Dmax; dDmax; Dscale =,11,15,19.00,1.00,new
Dlow; Dhigh; Dauto; Elims =,7.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.485,0.120,4.75

Fit limits (MeV):,12.000,15.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 13.295,0.376,1.601e+06
Value (raw stats):, 13.270,0.355,1.653e+06
Uncertainties
    Random:, 0.123,0.164,57.57%
    Systematic calib:, 0.054,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.098,0.164,15.83%
     DvE:, 0.049,0.008,55.33%
     Dmax:, 0.042,0.000,1.58%
     WRF nonlinearity:, 0.015,0.000,0.00%
     Cal. & processing:, 0.033,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
3.900 	 0.000e+00 	 0.000e+00
4.100 	 0.000e+00 	 0.000e+00
4.300 	 0.000e+00 	 0.000e+00
4.500 	 0.000e+00 	 0.000e+00
4.700 	 0.000e+00 	 0.000e+00
4.900 	 -6.089e+04 	 3.274e+05
5.100 	 3.390e+05 	 2.248e+05
5.300 	 4.596e+04 	 1.013e+05
5.500 	 1.450e+05 	 1.428e+05
5.700 	 3.447e+05 	 2.016e+05
5.900 	 1.420e+05 	 1.428e+05
6.100 	 3.987e+04 	 1.014e+05
6.300 	 2.396e+05 	 1.748e+05
6.500 	 1.375e+05 	 1.429e+05
6.700 	 1.360e+05 	 1.430e+05
6.900 	 2.352e+05 	 1.748e+05
7.100 	 -6.810e+04 	 1.017e+05
7.300 	 3.106e+04 	 1.017e+05
7.500 	 2.961e+04 	 1.017e+05
7.700 	 1.288e+05 	 1.431e+05
7.900 	 1.274e+05 	 1.432e+05
8.100 	 5.284e+05 	 2.470e+05
8.300 	 1.245e+05 	 1.432e+05
8.500 	 3.243e+05 	 2.019e+05
8.700 	 -7.954e+04 	 1.020e+05
8.900 	 1.967e+04 	 1.021e+05
9.100 	 3.201e+05 	 2.020e+05
9.300 	 1.175e+05 	 1.434e+05
9.500 	 1.161e+05 	 1.434e+05
9.700 	 1.414e+04 	 1.023e+05
9.900 	 2.140e+05 	 1.753e+05
10.100 	 -8.921e+04 	 1.024e+05
10.300 	 2.113e+05 	 1.753e+05
10.500 	 1.093e+05 	 1.436e+05
10.700 	 2.086e+05 	 1.754e+05
10.900 	 5.977e+03 	 1.026e+05
11.100 	 4.636e+03 	 1.027e+05
11.300 	 3.296e+03 	 1.027e+05
11.500 	 1.963e+03 	 1.028e+05
11.700 	 3.025e+05 	 2.024e+05
11.900 	 -1.013e+05 	 1.029e+05
12.100 	 9.860e+04 	 1.440e+05
12.300 	 9.728e+04 	 1.440e+05
12.500 	 1.966e+05 	 1.757e+05
12.700 	 6.983e+05 	 2.855e+05
12.900 	 1.099e+06 	 3.493e+05
13.100 	 8.970e+05 	 3.190e+05
13.300 	 2.204e+06 	 4.831e+05
13.500 	 1.297e+06 	 3.772e+05
13.700 	 1.094e+06 	 3.494e+05
13.900 	 2.881e+05 	 2.027e+05
14.100 	 -1.501e+04 	 1.036e+05
14.300 	 2.855e+05 	 2.028e+05
14.500 	 -1.757e+04 	 1.037e+05
14.700 	 8.177e+04 	 1.446e+05
14.900 	 -2.012e+04 	 1.039e+05
15.100 	 -2.139e+04 	 1.039e+05
15.300 	 -2.265e+04 	 1.040e+05
15.500 	 7.670e+04 	 1.447e+05
15.700 	 -2.517e+04 	 1.041e+05
15.900 	 2.754e+05 	 2.030e+05
16.100 	 -2.767e+04 	 1.043e+05
16.300 	 3.735e+05 	 2.267e+05
16.500 	 -3.016e+04 	 1.044e+05
16.700 	 -1.320e+05 	 1.045e+05
16.900 	 6.797e+04 	 1.451e+05
17.100 	 -1.345e+05 	 1.046e+05
17.300 	 -1.357e+05 	 1.047e+05
17.500 	 1.649e+05 	 1.767e+05
17.700 	 -1.382e+05 	 1.048e+05
17.900 	 -1.394e+05 	 1.049e+05
18.100 	 6.059e+04 	 1.454e+05
18.300 	 5.936e+04 	 1.455e+05
18.500 	 -4.247e+04 	 1.051e+05
18.700 	 -4.369e+04 	 1.052e+05
18.900 	 2.569e+05 	 2.036e+05
19.100 	 -1.259e+05 	 1.308e+05
19.300 	 0.000e+00 	 0.000e+00
19.500 	 0.000e+00 	 0.000e+00
19.700 	 0.000e+00 	 0.000e+00
