WRF ANALYSIS
Date & time = ,2024-02-28, 16:57
Display format=,3
Program version:,2021-05-25

Scan file = ,O110943_WRF_TIM6_WA1119_5h_s4_40x_rescan1
Port & distance (cm) =,tim6,10.5
WRF ID; Al blast(um) & cal=,13425900-g070 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.119,1.157,-0.981,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,63,
C; e; Dmax; dDmax; Dscale =,9,15,18.00,2.00,new
Dlow; Dhigh; Dauto; Elims =,7.00,18.00,no

DvE fit: c; dc; red. Chi^2 =, 1.200,0.400,1.62

Fit limits (MeV):,11.500,15.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 13.754,0.432,1.894e+05
Value (raw stats):, 13.917,0.365,1.967e+05
Uncertainties
    Random:, 0.256,0.259,335.23%
    Systematic calib:, 0.052,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.097,0.204,34.45%
     DvE:, 0.218,0.159,333.44%
     Dmax:, 0.086,0.000,3.08%
     WRF nonlinearity:, 0.014,0.000,0.00%
     Cal. & processing:, 0.031,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.100 	 0.000e+00 	 0.000e+00
4.300 	 0.000e+00 	 0.000e+00
4.500 	 0.000e+00 	 0.000e+00
4.700 	 0.000e+00 	 0.000e+00
4.900 	 0.000e+00 	 1.049e+06
5.100 	 -3.108e+04 	 2.427e+05
5.300 	 1.799e+05 	 1.388e+05
5.500 	 -1.150e+04 	 6.796e+04
5.700 	 -1.181e+04 	 6.797e+04
5.900 	 -1.389e+04 	 4.877e+04
6.100 	 -1.230e+04 	 3.375e+04
6.300 	 -1.260e+04 	 3.376e+04
6.500 	 2.063e+04 	 3.377e+04
6.700 	 -1.320e+04 	 3.378e+04
6.900 	 -1.349e+04 	 3.379e+04
7.100 	 -1.379e+04 	 3.381e+04
7.300 	 -1.408e+04 	 3.382e+04
7.500 	 1.915e+04 	 3.383e+04
7.700 	 -1.467e+04 	 3.384e+04
7.900 	 5.209e+04 	 4.765e+04
8.100 	 -1.525e+04 	 3.387e+04
8.300 	 -1.553e+04 	 3.388e+04
8.500 	 -1.582e+04 	 3.390e+04
8.700 	 -1.610e+04 	 3.391e+04
8.900 	 1.714e+04 	 3.392e+04
9.100 	 1.686e+04 	 3.394e+04
9.300 	 1.658e+04 	 3.395e+04
9.500 	 4.982e+04 	 4.772e+04
9.700 	 4.954e+04 	 4.773e+04
9.900 	 4.926e+04 	 4.774e+04
10.100 	 1.546e+04 	 3.401e+04
10.300 	 -1.834e+04 	 3.402e+04
10.500 	 -1.861e+04 	 3.404e+04
10.700 	 -1.889e+04 	 3.405e+04
10.900 	 1.436e+04 	 3.407e+04
11.100 	 4.762e+04 	 4.781e+04
11.300 	 1.382e+04 	 3.410e+04
11.500 	 1.355e+04 	 3.411e+04
11.700 	 1.328e+04 	 3.413e+04
11.900 	 -2.051e+04 	 3.415e+04
12.100 	 4.627e+04 	 4.786e+04
12.300 	 -2.104e+04 	 3.418e+04
12.500 	 -2.131e+04 	 3.419e+04
12.700 	 -2.157e+04 	 3.421e+04
12.900 	 -2.184e+04 	 3.423e+04
13.100 	 1.142e+04 	 3.425e+04
13.300 	 1.117e+05 	 6.742e+04
13.500 	 2.456e+05 	 9.509e+04
13.700 	 1.447e+05 	 7.531e+04
13.900 	 7.742e+04 	 5.853e+04
14.100 	 1.777e+05 	 8.245e+04
14.300 	 1.104e+05 	 6.747e+04
14.500 	 -2.393e+04 	 3.437e+04
14.700 	 7.639e+04 	 5.857e+04
14.900 	 7.613e+04 	 5.858e+04
15.100 	 8.825e+03 	 3.442e+04
15.300 	 -2.496e+04 	 3.444e+04
15.500 	 7.536e+04 	 5.861e+04
15.700 	 8.059e+03 	 3.448e+04
15.900 	 4.133e+04 	 4.810e+04
16.100 	 4.108e+04 	 4.812e+04
16.300 	 7.435e+04 	 5.866e+04
16.500 	 -2.648e+04 	 3.455e+04
16.700 	 4.032e+04 	 4.816e+04
16.900 	 -2.698e+04 	 3.459e+04
17.100 	 6.296e+03 	 3.461e+04
17.300 	 6.046e+03 	 3.463e+04
17.500 	 5.797e+03 	 3.465e+04
17.700 	 -2.798e+04 	 3.467e+04
17.900 	 5.300e+03 	 3.469e+04
18.100 	 3.858e+04 	 4.826e+04
18.300 	 1.054e+05 	 6.766e+04
18.500 	 3.808e+04 	 4.829e+04
18.700 	 3.783e+04 	 4.830e+04
18.900 	 -2.946e+04 	 3.479e+04
19.100 	 -3.069e+04 	 3.597e+04
19.300 	 -2.964e+04 	 6.766e+04
19.500 	 0.000e+00 	 0.000e+00
19.700 	 0.000e+00 	 0.000e+00
