Energy after passing through hohlraum (MeV),Spectrum (MeV^-1),Uncertainty (MeV^-1)
5.299999999999999822e+00,-2.411000000000000000e+04,9.922000000000000000e+04
5.500000000000000000e+00,-2.577000000000000000e+04,7.653000000000000000e+04
5.700000000000000178e+00,-2.637000000000000000e+04,7.655000000000000000e+04
5.900000000000000355e+00,-2.695000000000000000e+04,7.657000000000000000e+04
6.099999999999999645e+00,4.844000000000000000e+04,7.660000000000000000e+04
6.299999999999999822e+00,4.788000000000000000e+04,7.662000000000000000e+04
6.500000000000000000e+00,-2.861000000000000000e+04,7.664000000000000000e+04
6.700000000000000178e+00,-2.914000000000000000e+04,7.666000000000000000e+04
6.900000000000000355e+00,-2.965000000000000000e+04,7.667000000000000000e+04
7.099999999999999645e+00,-3.016000000000000000e+04,7.669000000000000000e+04
7.299999999999999822e+00,-3.065000000000000000e+04,7.671000000000000000e+04
7.500000000000000000e+00,-3.112000000000000000e+04,7.672000000000000000e+04
7.700000000000000178e+00,4.437000000000000000e+04,7.674000000000000000e+04
7.900000000000000355e+00,1.199000000000000000e+05,1.080000000000000000e+05
8.099999999999999645e+00,1.194000000000000000e+05,1.080000000000000000e+05
8.300000000000000711e+00,-3.291000000000000000e+04,7.678000000000000000e+04
8.500000000000000000e+00,-3.333000000000000000e+04,7.679000000000000000e+04
8.699999999999999289e+00,4.223000000000000000e+04,7.680000000000000000e+04
8.900000000000000355e+00,-3.411000000000000000e+04,7.681000000000000000e+04
9.099999999999999645e+00,-3.448000000000000000e+04,7.682000000000000000e+04
9.300000000000000711e+00,-3.484000000000000000e+04,7.683000000000000000e+04
9.500000000000000000e+00,-3.519000000000000000e+04,7.684000000000000000e+04
9.699999999999999289e+00,4.043000000000000000e+04,7.685000000000000000e+04
9.900000000000000355e+00,4.011000000000000000e+04,7.685000000000000000e+04
1.009999999999999964e+01,-3.615000000000000000e+04,7.686000000000000000e+04
1.030000000000000071e+01,-3.644000000000000000e+04,7.686000000000000000e+04
1.050000000000000000e+01,1.152000000000000000e+05,1.081000000000000000e+05
1.069999999999999929e+01,1.149000000000000000e+05,1.081000000000000000e+05
1.090000000000000036e+01,1.147000000000000000e+05,1.081000000000000000e+05
1.109999999999999964e+01,1.144000000000000000e+05,1.081000000000000000e+05
1.130000000000000071e+01,3.826000000000000000e+04,7.688000000000000000e+04
1.150000000000000000e+01,-3.791000000000000000e+04,7.688000000000000000e+04
1.169999999999999929e+01,3.785000000000000000e+04,7.688000000000000000e+04
1.190000000000000036e+01,-3.828000000000000000e+04,7.688000000000000000e+04
1.209999999999999964e+01,1.894000000000000000e+05,1.321000000000000000e+05
1.230000000000000071e+01,1.893000000000000000e+05,1.321000000000000000e+05
1.250000000000000000e+01,1.891000000000000000e+05,1.321000000000000000e+05
1.269999999999999929e+01,3.709000000000000000e+04,7.689000000000000000e+04
1.290000000000000036e+01,9.485000000000000000e+05,2.741000000000000000e+05
1.309999999999999964e+01,8.724000000000000000e+05,2.634000000000000000e+05
1.330000000000000071e+01,2.164000000000000000e+06,4.092000000000000000e+05
1.350000000000000000e+01,1.328000000000000000e+06,3.225000000000000000e+05
1.369999999999999929e+01,4.924000000000000000e+05,2.013000000000000000e+05
1.390000000000000036e+01,5.684000000000000000e+05,2.152000000000000000e+05
1.409999999999999964e+01,2.645000000000000000e+05,1.524000000000000000e+05
1.430000000000000071e+01,-3.931000000000000000e+04,7.691000000000000000e+04
1.450000000000000000e+01,3.666000000000000000e+04,7.692000000000000000e+04
1.469999999999999929e+01,-3.927000000000000000e+04,7.693000000000000000e+04
1.490000000000000036e+01,1.127000000000000000e+05,1.081000000000000000e+05
1.509999999999999964e+01,-3.917000000000000000e+04,7.695000000000000000e+04
1.530000000000000071e+01,1.128000000000000000e+05,1.081000000000000000e+05
1.550000000000000000e+01,3.696000000000000000e+04,7.699000000000000000e+04
1.569999999999999929e+01,3.706000000000000000e+04,7.701000000000000000e+04
1.590000000000000036e+01,1.131000000000000000e+05,1.082000000000000000e+05
1.610000000000000142e+01,3.733000000000000000e+04,7.706000000000000000e+04
1.630000000000000071e+01,-3.847000000000000000e+04,7.709000000000000000e+04
1.650000000000000000e+01,1.136000000000000000e+05,1.082000000000000000e+05
1.669999999999999929e+01,3.784000000000000000e+04,7.716000000000000000e+04
1.689999999999999858e+01,1.140000000000000000e+05,1.083000000000000000e+05
1.710000000000000142e+01,1.142000000000000000e+05,1.083000000000000000e+05
1.730000000000000071e+01,3.851000000000000000e+04,7.729000000000000000e+04
1.750000000000000000e+01,3.876000000000000000e+04,7.735000000000000000e+04
1.769999999999999929e+01,-3.692000000000000000e+04,7.741000000000000000e+04
1.789999999999999858e+01,3.932000000000000000e+04,7.748000000000000000e+04
1.810000000000000142e+01,-3.633000000000000000e+04,7.755000000000000000e+04
1.830000000000000071e+01,-3.601000000000000000e+04,7.763000000000000000e+04
1.850000000000000000e+01,-3.567000000000000000e+04,7.771000000000000000e+04
1.869999999999999929e+01,4.064000000000000000e+04,7.780000000000000000e+04
1.889999999999999858e+01,4.101000000000000000e+04,7.790000000000000000e+04
1.910000000000000142e+01,-2.527000000000000000e+03,9.453000000000000000e+04
