WRF ANALYSIS
Date & time = ,2024-03-08, 08:12
Display format=,3
Program version:,2021-05-25

Scan file = ,O111113_NDI_WA1120_5h_s8_40x
Port & distance (cm) =,p2,26.0
WRF ID; Al blast(um) & cal=,13425847-g017 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.122,1.148,-0.976,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,63,
Back x0; x1; y0; y1 (cm) =,67,77,0,63,
C; e; Dmax; dDmax; Dscale =,11,15,17.40,0.25,new
Dlow; Dhigh; Dauto; Elims =,7.80,17.50,no

DvE fit: c; dc; red. Chi^2 =, 1.229,0.015,1.43

Fit limits (MeV):,14.500,17.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 15.481,0.273,1.962e+08
Value (raw stats):, 15.476,0.261,1.954e+08
Uncertainties
    Random:, 0.035,0.005,5.26%
    Systematic calib:, 0.048,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.005,0.005,1.99%
     DvE:, 0.009,0.003,4.86%
     Dmax:, 0.011,0.000,0.32%
     WRF nonlinearity:, 0.013,0.000,0.00%
     Cal. & processing:, 0.028,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.425 	 0.000e+00 	 0.000e+00
4.475 	 0.000e+00 	 0.000e+00
4.525 	 0.000e+00 	 0.000e+00
4.575 	 0.000e+00 	 0.000e+00
4.625 	 0.000e+00 	 0.000e+00
4.675 	 -1.317e+05 	 2.828e+07
4.725 	 -3.689e+05 	 1.218e+07
4.775 	 -2.810e+05 	 6.897e+06
4.825 	 -2.835e+05 	 6.897e+06
4.875 	 -2.749e+05 	 4.375e+06
4.925 	 -2.772e+05 	 4.375e+06
4.975 	 -2.370e+05 	 2.964e+06
5.025 	 -2.389e+05 	 2.964e+06
5.075 	 2.722e+06 	 2.964e+06
5.125 	 -2.068e+05 	 2.103e+06
5.175 	 -2.084e+05 	 2.103e+06
5.225 	 -2.099e+05 	 2.103e+06
5.275 	 -2.116e+05 	 2.103e+06
5.325 	 -1.877e+05 	 1.544e+06
5.375 	 -1.891e+05 	 1.544e+06
5.425 	 -1.904e+05 	 1.544e+06
5.475 	 -1.918e+05 	 1.544e+06
5.525 	 -2.530e+05 	 1.162e+06
5.575 	 -2.546e+05 	 1.162e+06
5.625 	 -2.562e+05 	 1.162e+06
5.675 	 -2.577e+05 	 1.162e+06
5.725 	 -2.593e+05 	 1.162e+06
5.775 	 -2.609e+05 	 1.162e+06
5.825 	 -2.624e+05 	 1.162e+06
5.875 	 -2.640e+05 	 1.162e+06
5.925 	 -2.655e+05 	 1.162e+06
5.975 	 -2.671e+05 	 1.162e+06
6.025 	 -2.687e+05 	 1.162e+06
6.075 	 -2.702e+05 	 1.162e+06
6.125 	 -2.717e+05 	 1.163e+06
6.175 	 -2.732e+05 	 1.163e+06
6.225 	 -2.748e+05 	 1.163e+06
6.275 	 8.850e+05 	 1.163e+06
6.325 	 -2.777e+05 	 1.163e+06
6.375 	 -2.793e+05 	 1.163e+06
6.425 	 -2.807e+05 	 1.163e+06
6.475 	 -2.822e+05 	 1.163e+06
6.525 	 -2.837e+05 	 1.163e+06
6.575 	 8.762e+05 	 1.163e+06
6.625 	 8.747e+05 	 1.163e+06
6.675 	 -2.880e+05 	 1.163e+06
6.725 	 -2.895e+05 	 1.163e+06
6.775 	 -2.910e+05 	 1.163e+06
6.825 	 -2.924e+05 	 1.163e+06
6.875 	 -2.938e+05 	 1.163e+06
6.925 	 8.661e+05 	 1.163e+06
6.975 	 8.646e+05 	 1.163e+06
7.025 	 -2.981e+05 	 1.163e+06
7.075 	 -2.995e+05 	 1.163e+06
7.125 	 -3.010e+05 	 1.163e+06
7.175 	 -3.024e+05 	 1.163e+06
7.225 	 -3.038e+05 	 1.163e+06
7.275 	 -3.052e+05 	 1.163e+06
7.325 	 8.547e+05 	 1.163e+06
7.375 	 -3.080e+05 	 1.163e+06
7.425 	 8.519e+05 	 1.163e+06
7.475 	 -3.108e+05 	 1.163e+06
7.525 	 -3.122e+05 	 1.163e+06
7.575 	 -3.135e+05 	 1.163e+06
7.625 	 -3.149e+05 	 1.163e+06
7.675 	 -3.163e+05 	 1.163e+06
7.725 	 -3.176e+05 	 1.163e+06
7.775 	 -3.190e+05 	 1.163e+06
7.825 	 -3.204e+05 	 1.163e+06
7.875 	 8.396e+05 	 1.163e+06
7.925 	 8.382e+05 	 1.163e+06
7.975 	 -3.244e+05 	 1.163e+06
8.025 	 8.355e+05 	 1.163e+06
8.075 	 -3.271e+05 	 1.163e+06
8.125 	 -3.284e+05 	 1.163e+06
8.175 	 -3.297e+05 	 1.163e+06
8.225 	 -3.310e+05 	 1.163e+06
8.275 	 -3.324e+05 	 1.163e+06
8.325 	 8.277e+05 	 1.163e+06
8.375 	 8.263e+05 	 1.163e+06
8.425 	 -3.362e+05 	 1.163e+06
8.475 	 -3.375e+05 	 1.163e+06
8.525 	 8.225e+05 	 1.163e+06
8.575 	 -3.401e+05 	 1.163e+06
8.625 	 -3.414e+05 	 1.163e+06
8.675 	 -3.426e+05 	 1.163e+06
8.725 	 -3.439e+05 	 1.163e+06
8.775 	 -3.451e+05 	 1.163e+06
8.825 	 -3.464e+05 	 1.163e+06
8.875 	 -3.476e+05 	 1.163e+06
8.925 	 8.124e+05 	 1.163e+06
8.975 	 -3.501e+05 	 1.163e+06
9.025 	 -3.513e+05 	 1.163e+06
9.075 	 -3.525e+05 	 1.163e+06
9.125 	 -3.538e+05 	 1.163e+06
9.175 	 -3.550e+05 	 1.163e+06
9.225 	 -3.562e+05 	 1.163e+06
9.275 	 -3.574e+05 	 1.163e+06
9.325 	 -3.586e+05 	 1.163e+06
9.375 	 -3.598e+05 	 1.164e+06
9.425 	 -3.610e+05 	 1.164e+06
9.475 	 7.991e+05 	 1.164e+06
9.525 	 -3.634e+05 	 1.164e+06
9.575 	 -3.646e+05 	 1.164e+06
9.625 	 -3.657e+05 	 1.164e+06
9.675 	 -3.669e+05 	 1.164e+06
9.725 	 -3.681e+05 	 1.164e+06
9.775 	 -3.692e+05 	 1.164e+06
9.825 	 -3.704e+05 	 1.164e+06
9.875 	 7.898e+05 	 1.164e+06
9.925 	 -3.726e+05 	 1.164e+06
9.975 	 -3.738e+05 	 1.164e+06
10.025 	 7.864e+05 	 1.164e+06
10.075 	 1.947e+06 	 1.644e+06
10.125 	 -3.772e+05 	 1.164e+06
10.175 	 -3.783e+05 	 1.164e+06
10.225 	 -3.794e+05 	 1.164e+06
10.275 	 7.808e+05 	 1.164e+06
10.325 	 7.797e+05 	 1.164e+06
10.375 	 -3.827e+05 	 1.164e+06
10.425 	 -3.838e+05 	 1.164e+06
10.475 	 -3.849e+05 	 1.164e+06
10.525 	 -3.860e+05 	 1.164e+06
10.575 	 -3.871e+05 	 1.164e+06
10.625 	 7.732e+05 	 1.164e+06
10.675 	 -3.892e+05 	 1.164e+06
10.725 	 -3.903e+05 	 1.164e+06
10.775 	 -3.914e+05 	 1.164e+06
10.825 	 -3.924e+05 	 1.164e+06
10.875 	 7.678e+05 	 1.164e+06
10.925 	 -3.945e+05 	 1.164e+06
10.975 	 -3.956e+05 	 1.164e+06
11.025 	 -3.966e+05 	 1.164e+06
11.075 	 -3.976e+05 	 1.164e+06
11.125 	 -3.986e+05 	 1.164e+06
11.175 	 7.617e+05 	 1.164e+06
11.225 	 1.922e+06 	 1.644e+06
11.275 	 7.596e+05 	 1.164e+06
11.325 	 -4.027e+05 	 1.164e+06
11.375 	 -4.037e+05 	 1.164e+06
11.425 	 -4.047e+05 	 1.164e+06
11.475 	 -4.056e+05 	 1.164e+06
11.525 	 -4.066e+05 	 1.164e+06
11.575 	 -4.076e+05 	 1.164e+06
11.625 	 7.527e+05 	 1.164e+06
11.675 	 -4.096e+05 	 1.164e+06
11.725 	 -4.105e+05 	 1.164e+06
11.775 	 -4.115e+05 	 1.164e+06
11.825 	 -4.125e+05 	 1.164e+06
11.875 	 -4.134e+05 	 1.164e+06
11.925 	 -4.143e+05 	 1.164e+06
11.975 	 -4.153e+05 	 1.164e+06
12.025 	 -4.162e+05 	 1.164e+06
12.075 	 -4.171e+05 	 1.164e+06
12.125 	 -4.181e+05 	 1.164e+06
12.175 	 -4.190e+05 	 1.164e+06
12.225 	 -4.199e+05 	 1.164e+06
12.275 	 1.902e+06 	 1.645e+06
12.325 	 -4.217e+05 	 1.165e+06
12.375 	 -4.226e+05 	 1.165e+06
12.425 	 -4.235e+05 	 1.165e+06
12.475 	 -4.244e+05 	 1.165e+06
12.525 	 -4.253e+05 	 1.165e+06
12.575 	 7.351e+05 	 1.165e+06
12.625 	 -4.270e+05 	 1.165e+06
12.675 	 1.895e+06 	 1.645e+06
12.725 	 1.894e+06 	 1.645e+06
12.775 	 -4.296e+05 	 1.165e+06
12.825 	 -4.305e+05 	 1.165e+06
12.875 	 -4.313e+05 	 1.165e+06
12.925 	 7.291e+05 	 1.165e+06
12.975 	 7.283e+05 	 1.165e+06
13.025 	 -4.338e+05 	 1.165e+06
13.075 	 -4.347e+05 	 1.165e+06
13.125 	 -4.355e+05 	 1.165e+06
13.175 	 -4.363e+05 	 1.165e+06
13.225 	 7.242e+05 	 1.165e+06
13.275 	 7.234e+05 	 1.165e+06
13.325 	 -4.387e+05 	 1.165e+06
13.375 	 -4.395e+05 	 1.165e+06
13.425 	 -4.403e+05 	 1.165e+06
13.475 	 -4.411e+05 	 1.165e+06
13.525 	 -4.419e+05 	 1.165e+06
13.575 	 7.187e+05 	 1.165e+06
13.625 	 7.179e+05 	 1.165e+06
13.675 	 -4.442e+05 	 1.165e+06
13.725 	 -4.449e+05 	 1.165e+06
13.775 	 -4.457e+05 	 1.165e+06
13.825 	 -4.465e+05 	 1.165e+06
13.875 	 7.141e+05 	 1.165e+06
13.925 	 -4.479e+05 	 1.165e+06
13.975 	 -4.487e+05 	 1.165e+06
14.025 	 7.119e+05 	 1.165e+06
14.075 	 -4.501e+05 	 1.165e+06
14.125 	 -4.508e+05 	 1.165e+06
14.175 	 -4.516e+05 	 1.165e+06
14.225 	 -4.523e+05 	 1.165e+06
14.275 	 7.083e+05 	 1.165e+06
