WRF ANALYSIS
Date & time = ,2024-03-08, 08:16
Display format=,3
Program version:,2021-05-25

Scan file = ,O111114_NDI_WA1122_5h_s8_40x
Port & distance (cm) =,p2,26.0
WRF ID; Al blast(um) & cal=,13425923-g093 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-28),-1.122,1.148,-0.976,-0.098
Back x0; x1; y0; y1 (cm) =,0,11,0,63,
C; e; Dmax; dDmax; Dscale =,13,15,17.40,0.25,new
Dlow; Dhigh; Dauto; Elims =,9.00,18.00,no

DvE fit: c; dc; red. Chi^2 =, 1.266,0.046,3.08

Fit limits (MeV):,14.500,17.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 15.603,0.263,2.999e+08
Value (raw stats):, 15.597,0.247,2.999e+08
Uncertainties
    Random:, 0.040,0.006,16.03%
    Systematic calib:, 0.047,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.011,0.006,2.93%
     DvE:, 0.020,0.001,15.75%
     Dmax:, 0.011,0.000,0.31%
     WRF nonlinearity:, 0.013,0.000,0.00%
     Cal. & processing:, 0.028,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.675 	 0.000e+00 	 0.000e+00
4.725 	 0.000e+00 	 0.000e+00
4.775 	 0.000e+00 	 0.000e+00
4.825 	 0.000e+00 	 0.000e+00
4.875 	 0.000e+00 	 8.069e+07
4.925 	 -3.782e+05 	 3.561e+07
4.975 	 -4.428e+05 	 2.069e+07
5.025 	 -3.369e+05 	 1.340e+07
5.075 	 -2.667e+05 	 9.213e+06
5.125 	 -2.687e+05 	 9.213e+06
5.175 	 -3.152e+05 	 6.604e+06
5.225 	 -3.175e+05 	 6.604e+06
5.275 	 -3.198e+05 	 6.604e+06
5.325 	 -2.567e+05 	 4.887e+06
5.375 	 -2.585e+05 	 4.887e+06
5.425 	 -2.602e+05 	 4.887e+06
5.475 	 -2.700e+05 	 3.711e+06
5.525 	 -2.718e+05 	 3.711e+06
5.575 	 -2.737e+05 	 3.711e+06
5.625 	 -2.755e+05 	 3.711e+06
5.675 	 -2.773e+05 	 3.711e+06
5.725 	 -2.792e+05 	 3.711e+06
5.775 	 -2.810e+05 	 3.711e+06
5.825 	 -2.829e+05 	 3.711e+06
5.875 	 -2.847e+05 	 3.711e+06
5.925 	 -2.865e+05 	 3.711e+06
5.975 	 -2.883e+05 	 3.711e+06
6.025 	 -2.902e+05 	 3.711e+06
6.075 	 -2.920e+05 	 3.711e+06
6.125 	 -2.938e+05 	 3.711e+06
6.175 	 -2.956e+05 	 3.711e+06
6.225 	 3.413e+06 	 3.711e+06
6.275 	 -2.992e+05 	 3.711e+06
6.325 	 -3.010e+05 	 3.711e+06
6.375 	 3.407e+06 	 3.711e+06
6.425 	 -3.045e+05 	 3.711e+06
6.475 	 -3.063e+05 	 3.711e+06
6.525 	 -3.081e+05 	 3.711e+06
6.575 	 -3.098e+05 	 3.711e+06
6.625 	 -3.116e+05 	 3.711e+06
6.675 	 -3.134e+05 	 3.711e+06
6.725 	 -3.151e+05 	 3.711e+06
6.775 	 -3.169e+05 	 3.711e+06
6.825 	 -3.187e+05 	 3.711e+06
6.875 	 -3.204e+05 	 3.711e+06
6.925 	 -3.222e+05 	 3.711e+06
6.975 	 -3.240e+05 	 3.711e+06
7.025 	 -3.257e+05 	 3.711e+06
7.075 	 -3.274e+05 	 3.711e+06
7.125 	 -3.292e+05 	 3.711e+06
7.175 	 -3.310e+05 	 3.711e+06
7.225 	 -3.327e+05 	 3.711e+06
7.275 	 -3.344e+05 	 3.711e+06
7.325 	 3.374e+06 	 3.711e+06
7.375 	 -3.379e+05 	 3.711e+06
7.425 	 -3.397e+05 	 3.711e+06
7.475 	 -3.414e+05 	 3.711e+06
7.525 	 -3.432e+05 	 3.711e+06
7.575 	 3.365e+06 	 3.711e+06
7.625 	 -3.466e+05 	 3.711e+06
7.675 	 -3.484e+05 	 3.711e+06
7.725 	 -3.501e+05 	 3.711e+06
7.775 	 -3.519e+05 	 3.711e+06
7.825 	 -3.536e+05 	 3.711e+06
7.875 	 -3.553e+05 	 3.711e+06
7.925 	 -3.570e+05 	 3.711e+06
7.975 	 -3.587e+05 	 3.711e+06
8.025 	 -3.605e+05 	 3.711e+06
8.075 	 -3.622e+05 	 3.711e+06
8.125 	 -3.639e+05 	 3.711e+06
8.175 	 -3.656e+05 	 3.711e+06
8.225 	 -3.673e+05 	 3.711e+06
8.275 	 -3.691e+05 	 3.711e+06
8.325 	 -3.708e+05 	 3.711e+06
8.375 	 -3.725e+05 	 3.711e+06
8.425 	 -3.742e+05 	 3.711e+06
8.475 	 -3.759e+05 	 3.711e+06
8.525 	 -3.776e+05 	 3.711e+06
8.575 	 -3.793e+05 	 3.711e+06
8.625 	 -3.810e+05 	 3.711e+06
8.675 	 -3.827e+05 	 3.711e+06
8.725 	 -3.843e+05 	 3.711e+06
8.775 	 -3.860e+05 	 3.711e+06
8.825 	 -3.877e+05 	 3.711e+06
8.875 	 7.031e+06 	 5.247e+06
8.925 	 -3.911e+05 	 3.711e+06
8.975 	 -3.928e+05 	 3.711e+06
9.025 	 -3.944e+05 	 3.711e+06
9.075 	 -3.961e+05 	 3.711e+06
9.125 	 -3.977e+05 	 3.711e+06
9.175 	 -3.994e+05 	 3.711e+06
9.225 	 -4.011e+05 	 3.711e+06
9.275 	 -4.028e+05 	 3.711e+06
9.325 	 -4.044e+05 	 3.711e+06
9.375 	 -4.061e+05 	 3.711e+06
9.425 	 -4.078e+05 	 3.711e+06
9.475 	 -4.094e+05 	 3.711e+06
9.525 	 -4.111e+05 	 3.711e+06
9.575 	 -4.128e+05 	 3.711e+06
9.625 	 -4.144e+05 	 3.711e+06
9.675 	 3.294e+06 	 3.711e+06
9.725 	 -4.178e+05 	 3.711e+06
9.775 	 -4.194e+05 	 3.711e+06
9.825 	 -4.210e+05 	 3.711e+06
9.875 	 -4.227e+05 	 3.711e+06
9.925 	 -4.243e+05 	 3.711e+06
9.975 	 3.284e+06 	 3.711e+06
10.025 	 -4.277e+05 	 3.711e+06
10.075 	 -4.293e+05 	 3.711e+06
10.125 	 6.989e+06 	 5.248e+06
10.175 	 -4.326e+05 	 3.711e+06
10.225 	 -4.342e+05 	 3.711e+06
10.275 	 -4.359e+05 	 3.711e+06
10.325 	 -4.375e+05 	 3.711e+06
10.375 	 -4.391e+05 	 3.711e+06
10.425 	 -4.408e+05 	 3.711e+06
10.475 	 -4.424e+05 	 3.711e+06
10.525 	 3.266e+06 	 3.711e+06
10.575 	 -4.457e+05 	 3.711e+06
10.625 	 -4.473e+05 	 3.711e+06
10.675 	 -4.489e+05 	 3.711e+06
10.725 	 -4.505e+05 	 3.711e+06
10.775 	 -4.522e+05 	 3.711e+06
10.825 	 -4.538e+05 	 3.711e+06
10.875 	 -4.554e+05 	 3.711e+06
10.925 	 -4.571e+05 	 3.711e+06
10.975 	 3.251e+06 	 3.711e+06
11.025 	 3.250e+06 	 3.711e+06
11.075 	 -4.619e+05 	 3.711e+06
11.125 	 -4.635e+05 	 3.712e+06
11.175 	 -4.651e+05 	 3.712e+06
11.225 	 -4.667e+05 	 3.712e+06
11.275 	 -4.684e+05 	 3.712e+06
11.325 	 -4.699e+05 	 3.712e+06
11.375 	 -4.716e+05 	 3.712e+06
11.425 	 -4.732e+05 	 3.712e+06
11.475 	 -4.748e+05 	 3.712e+06
11.525 	 -4.764e+05 	 3.712e+06
11.575 	 -4.780e+05 	 3.712e+06
11.625 	 -4.796e+05 	 3.712e+06
11.675 	 -4.812e+05 	 3.712e+06
11.725 	 -4.828e+05 	 3.712e+06
11.775 	 -4.844e+05 	 3.712e+06
11.825 	 -4.860e+05 	 3.712e+06
11.875 	 -4.876e+05 	 3.712e+06
11.925 	 -4.892e+05 	 3.712e+06
11.975 	 -4.908e+05 	 3.712e+06
12.025 	 -4.924e+05 	 3.712e+06
