WRF ANALYSIS
Date & time = ,2024-03-08, 08:16
Display format=,3
Program version:,2021-05-25

Scan file = ,O111114_NDI_WA1122_5h_s8_40x
Port & distance (cm) =,p2,26.0
WRF ID; Al blast(um) & cal=,13425923-g093 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.122,1.148,-0.976,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,63,
C; e; Dmax; dDmax; Dscale =,13,15,17.40,0.25,new
Dlow; Dhigh; Dauto; Elims =,9.00,18.00,no

DvE fit: c; dc; red. Chi^2 =, 1.265,0.031,2.01

Fit limits (MeV):,14.500,17.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 15.462,0.299,2.911e+08
Value (raw stats):, 15.458,0.288,2.909e+08
Uncertainties
    Random:, 0.036,0.011,10.53%
    Systematic calib:, 0.048,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.007,0.011,2.72%
     DvE:, 0.013,0.001,10.17%
     Dmax:, 0.011,0.000,0.32%
     WRF nonlinearity:, 0.013,0.000,0.00%
     Cal. & processing:, 0.028,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.675 	 0.000e+00 	 0.000e+00
4.725 	 0.000e+00 	 0.000e+00
4.775 	 0.000e+00 	 0.000e+00
4.825 	 0.000e+00 	 0.000e+00
4.875 	 0.000e+00 	 3.652e+07
4.925 	 -3.778e+05 	 1.612e+07
4.975 	 -4.422e+05 	 9.366e+06
5.025 	 -3.364e+05 	 6.062e+06
5.075 	 -2.663e+05 	 4.169e+06
5.125 	 -2.683e+05 	 4.169e+06
5.175 	 -3.147e+05 	 2.988e+06
5.225 	 -3.169e+05 	 2.988e+06
5.275 	 -3.193e+05 	 2.988e+06
5.325 	 -2.562e+05 	 2.211e+06
5.375 	 -2.580e+05 	 2.211e+06
5.425 	 -2.598e+05 	 2.212e+06
5.475 	 -2.695e+05 	 1.679e+06
5.525 	 -2.713e+05 	 1.679e+06
5.575 	 -2.732e+05 	 1.679e+06
5.625 	 -2.750e+05 	 1.679e+06
5.675 	 -2.768e+05 	 1.679e+06
5.725 	 -2.787e+05 	 1.679e+06
5.775 	 -2.805e+05 	 1.679e+06
5.825 	 -2.823e+05 	 1.679e+06
5.875 	 -2.842e+05 	 1.679e+06
5.925 	 -2.860e+05 	 1.679e+06
5.975 	 -2.878e+05 	 1.679e+06
6.025 	 -2.896e+05 	 1.679e+06
6.075 	 -2.915e+05 	 1.679e+06
6.125 	 -2.933e+05 	 1.679e+06
6.175 	 -2.951e+05 	 1.679e+06
6.225 	 1.381e+06 	 1.679e+06
6.275 	 -2.987e+05 	 1.679e+06
6.325 	 -3.004e+05 	 1.679e+06
6.375 	 1.376e+06 	 1.680e+06
6.425 	 -3.040e+05 	 1.680e+06
6.475 	 -3.058e+05 	 1.680e+06
6.525 	 -3.075e+05 	 1.680e+06
6.575 	 -3.092e+05 	 1.680e+06
6.625 	 -3.111e+05 	 1.680e+06
6.675 	 1.365e+06 	 1.680e+06
6.725 	 -3.145e+05 	 1.680e+06
6.775 	 -3.163e+05 	 1.680e+06
6.825 	 -3.181e+05 	 1.680e+06
6.875 	 -3.199e+05 	 1.680e+06
6.925 	 -3.216e+05 	 1.680e+06
6.975 	 -3.234e+05 	 1.680e+06
7.025 	 -3.251e+05 	 1.680e+06
7.075 	 -3.268e+05 	 1.680e+06
7.125 	 -3.286e+05 	 1.680e+06
7.175 	 -3.304e+05 	 1.680e+06
7.225 	 -3.321e+05 	 1.680e+06
7.275 	 -3.338e+05 	 1.680e+06
7.325 	 1.342e+06 	 1.680e+06
7.375 	 -3.373e+05 	 1.680e+06
7.425 	 -3.391e+05 	 1.680e+06
7.475 	 -3.408e+05 	 1.680e+06
7.525 	 -3.426e+05 	 1.680e+06
7.575 	 1.334e+06 	 1.680e+06
7.625 	 -3.460e+05 	 1.680e+06
7.675 	 -3.478e+05 	 1.680e+06
7.725 	 -3.495e+05 	 1.680e+06
7.775 	 -3.512e+05 	 1.680e+06
7.825 	 -3.529e+05 	 1.680e+06
7.875 	 -3.547e+05 	 1.680e+06
7.925 	 -3.564e+05 	 1.680e+06
7.975 	 -3.581e+05 	 1.680e+06
8.025 	 -3.599e+05 	 1.680e+06
8.075 	 -3.615e+05 	 1.680e+06
8.125 	 -3.633e+05 	 1.680e+06
8.175 	 -3.650e+05 	 1.680e+06
8.225 	 -3.667e+05 	 1.680e+06
8.275 	 -3.684e+05 	 1.680e+06
8.325 	 -3.701e+05 	 1.680e+06
8.375 	 -3.718e+05 	 1.680e+06
8.425 	 1.305e+06 	 1.680e+06
8.475 	 -3.752e+05 	 1.680e+06
8.525 	 -3.769e+05 	 1.680e+06
8.575 	 -3.786e+05 	 1.680e+06
8.625 	 -3.803e+05 	 1.680e+06
8.675 	 2.974e+06 	 2.375e+06
8.725 	 -3.837e+05 	 1.680e+06
8.775 	 -3.853e+05 	 1.680e+06
8.825 	 1.291e+06 	 1.680e+06
8.875 	 2.967e+06 	 2.375e+06
8.925 	 -3.904e+05 	 1.680e+06
8.975 	 -3.921e+05 	 1.680e+06
9.025 	 -3.937e+05 	 1.680e+06
9.075 	 -3.953e+05 	 1.681e+06
9.125 	 -3.970e+05 	 1.681e+06
9.175 	 -3.987e+05 	 1.681e+06
9.225 	 1.278e+06 	 1.681e+06
9.275 	 -4.021e+05 	 1.681e+06
9.325 	 1.274e+06 	 1.681e+06
9.375 	 -4.053e+05 	 1.681e+06
9.425 	 -4.071e+05 	 1.681e+06
9.475 	 -4.087e+05 	 1.681e+06
9.525 	 -4.104e+05 	 1.681e+06
9.575 	 1.266e+06 	 1.681e+06
9.625 	 -4.137e+05 	 1.681e+06
9.675 	 1.263e+06 	 1.681e+06
9.725 	 -4.170e+05 	 1.681e+06
9.775 	 -4.186e+05 	 1.681e+06
9.825 	 -4.203e+05 	 1.681e+06
9.875 	 -4.219e+05 	 1.681e+06
9.925 	 -4.236e+05 	 1.681e+06
9.975 	 1.253e+06 	 1.681e+06
10.025 	 -4.269e+05 	 1.681e+06
10.075 	 -4.285e+05 	 1.681e+06
10.125 	 2.926e+06 	 2.375e+06
10.175 	 -4.318e+05 	 1.681e+06
10.225 	 -4.334e+05 	 1.681e+06
10.275 	 -4.351e+05 	 1.681e+06
10.325 	 -4.367e+05 	 1.681e+06
10.375 	 -4.384e+05 	 1.681e+06
10.425 	 -4.400e+05 	 1.681e+06
10.475 	 -4.416e+05 	 1.681e+06
10.525 	 1.235e+06 	 1.681e+06
10.575 	 -4.449e+05 	 1.681e+06
10.625 	 -4.465e+05 	 1.681e+06
10.675 	 -4.481e+05 	 1.681e+06
10.725 	 -4.497e+05 	 1.681e+06
10.775 	 1.227e+06 	 1.681e+06
10.825 	 1.225e+06 	 1.681e+06
10.875 	 -4.546e+05 	 1.681e+06
10.925 	 -4.562e+05 	 1.681e+06
10.975 	 1.220e+06 	 1.681e+06
11.025 	 1.219e+06 	 1.681e+06
11.075 	 1.217e+06 	 1.681e+06
11.125 	 -4.627e+05 	 1.681e+06
11.175 	 -4.643e+05 	 1.681e+06
11.225 	 -4.659e+05 	 1.681e+06
11.275 	 -4.675e+05 	 1.681e+06
11.325 	 -4.691e+05 	 1.682e+06
11.375 	 -4.707e+05 	 1.682e+06
11.425 	 -4.723e+05 	 1.682e+06
11.475 	 -4.739e+05 	 1.682e+06
11.525 	 -4.755e+05 	 1.682e+06
11.575 	 -4.772e+05 	 1.682e+06
11.625 	 -4.788e+05 	 1.682e+06
11.675 	 -4.803e+05 	 1.682e+06
11.725 	 -4.819e+05 	 1.682e+06
11.775 	 -4.835e+05 	 1.682e+06
11.825 	 -4.852e+05 	 1.682e+06
11.875 	 -4.868e+05 	 1.682e+06
11.925 	 -4.883e+05 	 1.682e+06
11.975 	 -4.899e+05 	 1.682e+06
12.025 	 -4.915e+05 	 1.682e+06
12.075 	 -4.931e+05 	 1.682e+06
