WRF ANALYSIS
Date & time = ,2024-03-08, 08:14
Display format=,3
Program version:,2021-05-25

Scan file = ,O111114_NDI_WA1122_5h_s8_40x
Port & distance (cm) =,p2,26.0
WRF ID; Al blast(um) & cal=,13425923-g093 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(31-63),-1.122,1.148,-0.004,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,63,
C; e; Dmax; dDmax; Dscale =,13,15,17.40,0.25,new
Dlow; Dhigh; Dauto; Elims =,9.00,18.00,no

DvE fit: c; dc; red. Chi^2 =, 1.261,0.041,3.24

Fit limits (MeV):,14.500,17.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 15.339,0.266,2.837e+08
Value (raw stats):, 15.334,0.252,2.837e+08
Uncertainties
    Random:, 0.039,0.016,13.94%
    Systematic calib:, 0.048,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.011,0.015,2.61%
     DvE:, 0.017,0.005,13.69%
     Dmax:, 0.011,0.000,0.33%
     WRF nonlinearity:, 0.013,0.000,0.00%
     Cal. & processing:, 0.029,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.675 	 0.000e+00 	 0.000e+00
4.725 	 0.000e+00 	 0.000e+00
4.775 	 0.000e+00 	 0.000e+00
4.825 	 0.000e+00 	 0.000e+00
4.875 	 0.000e+00 	 7.022e+07
4.925 	 -3.742e+05 	 3.096e+07
4.975 	 -4.376e+05 	 1.797e+07
5.025 	 -3.326e+05 	 1.162e+07
5.075 	 -2.630e+05 	 7.984e+06
5.125 	 -2.650e+05 	 7.984e+06
5.175 	 -3.106e+05 	 5.718e+06
5.225 	 -3.128e+05 	 5.718e+06
5.275 	 -3.151e+05 	 5.719e+06
5.325 	 -2.527e+05 	 4.229e+06
5.375 	 -2.545e+05 	 4.229e+06
5.425 	 -2.562e+05 	 4.229e+06
5.475 	 -2.657e+05 	 3.209e+06
5.525 	 -2.675e+05 	 3.209e+06
5.575 	 -2.693e+05 	 3.209e+06
5.625 	 -2.712e+05 	 3.209e+06
5.675 	 -2.730e+05 	 3.209e+06
5.725 	 -2.748e+05 	 3.209e+06
5.775 	 -2.766e+05 	 3.209e+06
5.825 	 -2.784e+05 	 3.209e+06
5.875 	 -2.802e+05 	 3.209e+06
5.925 	 -2.820e+05 	 3.209e+06
5.975 	 -2.838e+05 	 3.209e+06
6.025 	 -2.856e+05 	 3.209e+06
6.075 	 -2.874e+05 	 3.209e+06
6.125 	 -2.892e+05 	 3.209e+06
6.175 	 -2.909e+05 	 3.209e+06
6.225 	 -2.927e+05 	 3.209e+06
6.275 	 -2.945e+05 	 3.210e+06
6.325 	 -2.962e+05 	 3.210e+06
6.375 	 -2.980e+05 	 3.210e+06
6.425 	 -2.997e+05 	 3.210e+06
6.475 	 -3.015e+05 	 3.210e+06
6.525 	 -3.032e+05 	 3.210e+06
6.575 	 -3.049e+05 	 3.210e+06
6.625 	 -3.067e+05 	 3.210e+06
6.675 	 2.900e+06 	 3.210e+06
6.725 	 -3.101e+05 	 3.210e+06
6.775 	 -3.119e+05 	 3.210e+06
6.825 	 -3.136e+05 	 3.210e+06
6.875 	 -3.154e+05 	 3.210e+06
6.925 	 -3.171e+05 	 3.210e+06
6.975 	 -3.188e+05 	 3.210e+06
7.025 	 -3.206e+05 	 3.210e+06
7.075 	 -3.223e+05 	 3.210e+06
7.125 	 -3.240e+05 	 3.210e+06
7.175 	 -3.257e+05 	 3.210e+06
7.225 	 -3.275e+05 	 3.210e+06
7.275 	 -3.292e+05 	 3.210e+06
7.325 	 -3.309e+05 	 3.210e+06
7.375 	 -3.326e+05 	 3.210e+06
7.425 	 -3.344e+05 	 3.210e+06
7.475 	 -3.360e+05 	 3.210e+06
7.525 	 -3.378e+05 	 3.210e+06
7.575 	 -3.394e+05 	 3.210e+06
7.625 	 -3.412e+05 	 3.210e+06
7.675 	 -3.429e+05 	 3.210e+06
7.725 	 -3.446e+05 	 3.210e+06
7.775 	 -3.463e+05 	 3.210e+06
7.825 	 -3.480e+05 	 3.210e+06
7.875 	 -3.497e+05 	 3.210e+06
7.925 	 -3.514e+05 	 3.210e+06
7.975 	 -3.531e+05 	 3.210e+06
8.025 	 -3.548e+05 	 3.210e+06
8.075 	 -3.565e+05 	 3.210e+06
8.125 	 -3.582e+05 	 3.210e+06
8.175 	 -3.599e+05 	 3.210e+06
8.225 	 -3.615e+05 	 3.210e+06
8.275 	 -3.632e+05 	 3.210e+06
8.325 	 -3.649e+05 	 3.210e+06
8.375 	 -3.666e+05 	 3.210e+06
8.425 	 2.841e+06 	 3.210e+06
8.475 	 -3.699e+05 	 3.210e+06
8.525 	 -3.716e+05 	 3.210e+06
8.575 	 -3.733e+05 	 3.210e+06
8.625 	 -3.750e+05 	 3.210e+06
8.675 	 6.041e+06 	 4.539e+06
8.725 	 -3.783e+05 	 3.210e+06
8.775 	 -3.799e+05 	 3.210e+06
8.825 	 2.827e+06 	 3.210e+06
8.875 	 -3.832e+05 	 3.210e+06
8.925 	 -3.849e+05 	 3.210e+06
8.975 	 -3.866e+05 	 3.210e+06
9.025 	 -3.882e+05 	 3.210e+06
9.075 	 -3.898e+05 	 3.210e+06
9.125 	 -3.915e+05 	 3.210e+06
9.175 	 -3.931e+05 	 3.210e+06
9.225 	 2.814e+06 	 3.210e+06
9.275 	 -3.964e+05 	 3.210e+06
9.325 	 2.811e+06 	 3.210e+06
9.375 	 -3.997e+05 	 3.210e+06
9.425 	 -4.014e+05 	 3.210e+06
9.475 	 -4.029e+05 	 3.210e+06
9.525 	 -4.046e+05 	 3.210e+06
9.575 	 2.803e+06 	 3.210e+06
9.625 	 -4.079e+05 	 3.210e+06
9.675 	 -4.095e+05 	 3.210e+06
9.725 	 -4.112e+05 	 3.210e+06
9.775 	 -4.128e+05 	 3.210e+06
9.825 	 -4.144e+05 	 3.210e+06
9.875 	 -4.160e+05 	 3.210e+06
9.925 	 -4.176e+05 	 3.210e+06
9.975 	 -4.193e+05 	 3.210e+06
10.025 	 -4.209e+05 	 3.210e+06
10.075 	 -4.225e+05 	 3.210e+06
10.125 	 -4.241e+05 	 3.210e+06
10.175 	 -4.258e+05 	 3.210e+06
10.225 	 -4.273e+05 	 3.210e+06
10.275 	 -4.290e+05 	 3.210e+06
10.325 	 -4.306e+05 	 3.210e+06
10.375 	 -4.322e+05 	 3.210e+06
10.425 	 -4.338e+05 	 3.210e+06
10.475 	 -4.354e+05 	 3.210e+06
10.525 	 -4.370e+05 	 3.210e+06
10.575 	 -4.386e+05 	 3.210e+06
10.625 	 -4.402e+05 	 3.210e+06
10.675 	 -4.418e+05 	 3.210e+06
10.725 	 -4.434e+05 	 3.210e+06
10.775 	 2.764e+06 	 3.210e+06
10.825 	 2.762e+06 	 3.210e+06
10.875 	 -4.483e+05 	 3.210e+06
10.925 	 -4.498e+05 	 3.210e+06
10.975 	 -4.515e+05 	 3.210e+06
11.025 	 -4.530e+05 	 3.210e+06
11.075 	 2.754e+06 	 3.210e+06
11.125 	 -4.562e+05 	 3.211e+06
11.175 	 -4.578e+05 	 3.211e+06
11.225 	 -4.594e+05 	 3.211e+06
11.275 	 -4.610e+05 	 3.211e+06
11.325 	 -4.625e+05 	 3.211e+06
11.375 	 -4.641e+05 	 3.211e+06
11.425 	 -4.657e+05 	 3.211e+06
11.475 	 -4.673e+05 	 3.211e+06
11.525 	 -4.689e+05 	 3.211e+06
11.575 	 -4.705e+05 	 3.211e+06
11.625 	 -4.721e+05 	 3.211e+06
11.675 	 -4.736e+05 	 3.211e+06
11.725 	 -4.752e+05 	 3.211e+06
11.775 	 -4.768e+05 	 3.211e+06
11.825 	 -4.783e+05 	 3.211e+06
11.875 	 -4.799e+05 	 3.211e+06
11.925 	 -4.815e+05 	 3.211e+06
11.975 	 -4.831e+05 	 3.211e+06
12.025 	 -4.846e+05 	 3.211e+06
