WRF ANALYSIS
Date & time = ,2024-03-08, 08:19
Display format=,3
Program version:,2021-05-25

Scan file = ,O111116_NDI_WA1123_5h_s8_40x
Port & distance (cm) =,p2,26.0
WRF ID; Al blast(um) & cal=,g156 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.122,1.148,-0.976,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,63,
C; e; Dmax; dDmax; Dscale =,12,15,17.95,0.25,new
Dlow; Dhigh; Dauto; Elims =,8.50,17.50,no

DvE fit: c; dc; red. Chi^2 =, 1.149,0.015,0.92

Fit limits (MeV):,14.500,17.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 15.454,0.276,2.993e+08
Value (raw stats):, 15.453,0.263,2.982e+08
Uncertainties
    Random:, 0.034,0.006,4.36%
    Systematic calib:, 0.048,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.003,0.006,1.73%
     DvE:, 0.007,0.002,3.99%
     Dmax:, 0.010,0.000,0.31%
     WRF nonlinearity:, 0.013,0.000,0.00%
     Cal. & processing:, 0.028,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.675 	 0.000e+00 	 0.000e+00
4.725 	 0.000e+00 	 0.000e+00
4.775 	 0.000e+00 	 0.000e+00
4.825 	 0.000e+00 	 0.000e+00
4.875 	 0.000e+00 	 0.000e+00
4.925 	 -2.111e+05 	 2.707e+07
4.975 	 2.686e+07 	 2.707e+07
5.025 	 -2.760e+05 	 1.163e+07
5.075 	 6.373e+06 	 6.584e+06
5.125 	 -2.114e+05 	 6.584e+06
5.175 	 -2.703e+05 	 4.180e+06
5.225 	 -2.722e+05 	 4.180e+06
5.275 	 -2.559e+05 	 2.837e+06
5.325 	 -2.577e+05 	 2.837e+06
5.375 	 -2.595e+05 	 2.837e+06
5.425 	 -2.702e+05 	 2.017e+06
5.475 	 -2.720e+05 	 2.017e+06
5.525 	 -2.739e+05 	 2.017e+06
5.575 	 -2.757e+05 	 2.017e+06
5.625 	 -2.298e+05 	 1.484e+06
5.675 	 -2.313e+05 	 1.484e+06
5.725 	 -2.328e+05 	 1.484e+06
5.775 	 -2.343e+05 	 1.484e+06
5.825 	 -2.172e+05 	 1.118e+06
5.875 	 2.016e+06 	 1.581e+06
5.925 	 -2.200e+05 	 1.118e+06
5.975 	 -2.214e+05 	 1.118e+06
6.025 	 -2.228e+05 	 1.118e+06
6.075 	 -2.242e+05 	 1.118e+06
6.125 	 8.916e+05 	 1.118e+06
6.175 	 -2.270e+05 	 1.118e+06
6.225 	 8.888e+05 	 1.118e+06
6.275 	 -2.297e+05 	 1.118e+06
6.325 	 -2.311e+05 	 1.118e+06
6.375 	 -2.325e+05 	 1.118e+06
6.425 	 -2.338e+05 	 1.118e+06
6.475 	 -2.352e+05 	 1.118e+06
6.525 	 -2.365e+05 	 1.118e+06
6.575 	 -2.379e+05 	 1.118e+06
6.625 	 -2.393e+05 	 1.118e+06
6.675 	 8.766e+05 	 1.118e+06
6.725 	 -2.419e+05 	 1.118e+06
6.775 	 -2.433e+05 	 1.118e+06
6.825 	 -2.447e+05 	 1.118e+06
6.875 	 8.711e+05 	 1.118e+06
6.925 	 -2.473e+05 	 1.118e+06
6.975 	 -2.487e+05 	 1.118e+06
7.025 	 -2.501e+05 	 1.118e+06
7.075 	 8.658e+05 	 1.118e+06
7.125 	 8.644e+05 	 1.118e+06
7.175 	 -2.541e+05 	 1.118e+06
7.225 	 -2.555e+05 	 1.118e+06
7.275 	 -2.568e+05 	 1.119e+06
7.325 	 8.590e+05 	 1.119e+06
7.375 	 8.577e+05 	 1.119e+06
7.425 	 -2.608e+05 	 1.119e+06
7.475 	 8.550e+05 	 1.119e+06
7.525 	 -2.635e+05 	 1.119e+06
7.575 	 -2.648e+05 	 1.119e+06
7.625 	 -2.661e+05 	 1.119e+06
7.675 	 -2.675e+05 	 1.119e+06
7.725 	 -2.688e+05 	 1.119e+06
7.775 	 -2.701e+05 	 1.119e+06
7.825 	 -2.715e+05 	 1.119e+06
7.875 	 -2.728e+05 	 1.119e+06
7.925 	 -2.741e+05 	 1.119e+06
7.975 	 -2.754e+05 	 1.119e+06
8.025 	 -2.768e+05 	 1.119e+06
8.075 	 -2.781e+05 	 1.119e+06
8.125 	 -2.794e+05 	 1.119e+06
8.175 	 -2.807e+05 	 1.119e+06
8.225 	 -2.820e+05 	 1.119e+06
8.275 	 -2.834e+05 	 1.119e+06
8.325 	 -2.847e+05 	 1.119e+06
8.375 	 -2.860e+05 	 1.119e+06
8.425 	 8.299e+05 	 1.119e+06
8.475 	 -2.886e+05 	 1.119e+06
8.525 	 -2.899e+05 	 1.119e+06
8.575 	 -2.912e+05 	 1.119e+06
8.625 	 -2.925e+05 	 1.119e+06
8.675 	 -2.938e+05 	 1.119e+06
8.725 	 -2.951e+05 	 1.119e+06
8.775 	 -2.964e+05 	 1.119e+06
8.825 	 -2.977e+05 	 1.119e+06
8.875 	 -2.990e+05 	 1.119e+06
8.925 	 8.169e+05 	 1.119e+06
8.975 	 -3.016e+05 	 1.119e+06
9.025 	 -3.028e+05 	 1.119e+06
9.075 	 8.131e+05 	 1.119e+06
9.125 	 8.118e+05 	 1.119e+06
9.175 	 1.928e+06 	 1.581e+06
9.225 	 -3.080e+05 	 1.119e+06
9.275 	 -3.093e+05 	 1.119e+06
9.325 	 -3.105e+05 	 1.119e+06
9.375 	 -3.118e+05 	 1.119e+06
9.425 	 -3.131e+05 	 1.119e+06
9.475 	 -3.143e+05 	 1.119e+06
9.525 	 -3.156e+05 	 1.119e+06
9.575 	 -3.169e+05 	 1.119e+06
9.625 	 1.916e+06 	 1.581e+06
9.675 	 -3.194e+05 	 1.119e+06
9.725 	 -3.207e+05 	 1.119e+06
9.775 	 -3.220e+05 	 1.119e+06
9.825 	 -3.233e+05 	 1.119e+06
9.875 	 -3.245e+05 	 1.119e+06
9.925 	 -3.258e+05 	 1.119e+06
9.975 	 -3.271e+05 	 1.119e+06
10.025 	 -3.283e+05 	 1.119e+06
10.075 	 -3.296e+05 	 1.119e+06
10.125 	 -3.309e+05 	 1.119e+06
10.175 	 -3.321e+05 	 1.119e+06
10.225 	 -3.334e+05 	 1.119e+06
10.275 	 -3.347e+05 	 1.119e+06
10.325 	 -3.359e+05 	 1.119e+06
10.375 	 7.800e+05 	 1.119e+06
10.425 	 -3.384e+05 	 1.119e+06
10.475 	 -3.397e+05 	 1.120e+06
10.525 	 -3.409e+05 	 1.120e+06
10.575 	 7.750e+05 	 1.120e+06
10.625 	 -3.434e+05 	 1.120e+06
10.675 	 -3.447e+05 	 1.120e+06
10.725 	 -3.459e+05 	 1.120e+06
10.775 	 -3.472e+05 	 1.120e+06
10.825 	 -3.484e+05 	 1.120e+06
10.875 	 -3.497e+05 	 1.120e+06
10.925 	 -3.509e+05 	 1.120e+06
10.975 	 -3.522e+05 	 1.120e+06
11.025 	 -3.534e+05 	 1.120e+06
11.075 	 -3.546e+05 	 1.120e+06
11.125 	 -3.559e+05 	 1.120e+06
11.175 	 -3.571e+05 	 1.120e+06
11.225 	 7.588e+05 	 1.120e+06
11.275 	 -3.596e+05 	 1.120e+06
11.325 	 -3.608e+05 	 1.120e+06
11.375 	 -3.621e+05 	 1.120e+06
11.425 	 -3.633e+05 	 1.120e+06
11.475 	 -3.645e+05 	 1.120e+06
11.525 	 -3.658e+05 	 1.120e+06
11.575 	 -3.670e+05 	 1.120e+06
11.625 	 7.489e+05 	 1.120e+06
11.675 	 -3.695e+05 	 1.120e+06
11.725 	 -3.707e+05 	 1.120e+06
11.775 	 -3.719e+05 	 1.120e+06
11.825 	 -3.732e+05 	 1.120e+06
11.875 	 -3.744e+05 	 1.120e+06
11.925 	 -3.756e+05 	 1.120e+06
11.975 	 -3.768e+05 	 1.120e+06
12.025 	 -3.781e+05 	 1.120e+06
12.075 	 -3.792e+05 	 1.120e+06
