WRF ANALYSIS
Date & time = ,2024-03-08, 08:29
Display format=,3
Program version:,2021-05-25

Scan file = ,O111119_NDI_WA1125_5h_s8_40x
Port & distance (cm) =,p2,26.0
WRF ID; Al blast(um) & cal=,13425905-g075 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.122,1.148,-0.976,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,63,
C; e; Dmax; dDmax; Dscale =,11,15,18.10,0.25,new
Dlow; Dhigh; Dauto; Elims =,8.00,16.00,no

DvE fit: c; dc; red. Chi^2 =, 1.133,0.010,1.02

Fit limits (MeV):,14.500,17.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 15.400,0.276,2.674e+08
Value (raw stats):, 15.400,0.267,2.675e+08
Uncertainties
    Random:, 0.034,0.004,3.79%
    Systematic calib:, 0.048,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.004,0.004,2.61%
     DvE:, 0.006,0.002,2.73%
     Dmax:, 0.010,0.000,0.31%
     WRF nonlinearity:, 0.013,0.000,0.00%
     Cal. & processing:, 0.029,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.625 	 0.000e+00 	 0.000e+00
4.675 	 0.000e+00 	 0.000e+00
4.725 	 0.000e+00 	 0.000e+00
4.775 	 0.000e+00 	 0.000e+00
4.825 	 0.000e+00 	 2.043e+07
4.875 	 8.667e+06 	 8.874e+06
4.925 	 -2.080e+05 	 8.874e+06
4.975 	 -1.213e+05 	 5.136e+06
5.025 	 -1.222e+05 	 5.136e+06
5.075 	 -1.340e+05 	 3.354e+06
5.125 	 -1.350e+05 	 3.354e+06
5.175 	 -1.359e+05 	 3.354e+06
5.225 	 -1.150e+05 	 2.347e+06
5.275 	 -1.158e+05 	 2.347e+06
5.325 	 -1.166e+05 	 2.347e+06
5.375 	 1.632e+06 	 1.719e+06
5.425 	 -8.656e+04 	 1.719e+06
5.475 	 -8.717e+04 	 1.719e+06
5.525 	 1.631e+06 	 1.719e+06
5.575 	 -7.784e+04 	 1.298e+06
5.625 	 -7.837e+04 	 1.298e+06
5.675 	 -7.888e+04 	 1.298e+06
5.725 	 -7.940e+04 	 1.298e+06
5.775 	 -7.993e+04 	 1.298e+06
5.825 	 -1.035e+05 	 9.743e+05
5.875 	 8.696e+05 	 9.743e+05
5.925 	 -1.048e+05 	 9.743e+05
5.975 	 -1.055e+05 	 9.743e+05
6.025 	 -1.062e+05 	 9.743e+05
6.075 	 -1.068e+05 	 9.743e+05
6.125 	 -1.075e+05 	 9.743e+05
6.175 	 -1.082e+05 	 9.743e+05
6.225 	 -1.088e+05 	 9.743e+05
6.275 	 -1.095e+05 	 9.743e+05
6.325 	 -1.101e+05 	 9.743e+05
6.375 	 -1.108e+05 	 9.743e+05
6.425 	 -1.114e+05 	 9.744e+05
6.475 	 -1.121e+05 	 9.744e+05
6.525 	 -1.127e+05 	 9.744e+05
6.575 	 -1.134e+05 	 9.744e+05
6.625 	 8.598e+05 	 9.744e+05
6.675 	 -1.147e+05 	 9.744e+05
6.725 	 8.585e+05 	 9.744e+05
6.775 	 -1.160e+05 	 9.744e+05
6.825 	 -1.166e+05 	 9.744e+05
6.875 	 -1.173e+05 	 9.744e+05
6.925 	 -1.179e+05 	 9.744e+05
6.975 	 -1.185e+05 	 9.744e+05
7.025 	 -1.192e+05 	 9.744e+05
7.075 	 -1.198e+05 	 9.744e+05
7.125 	 -1.205e+05 	 9.744e+05
7.175 	 -1.211e+05 	 9.744e+05
7.225 	 -1.217e+05 	 9.745e+05
7.275 	 -1.224e+05 	 9.745e+05
7.325 	 -1.230e+05 	 9.745e+05
7.375 	 -1.237e+05 	 9.745e+05
7.425 	 -1.243e+05 	 9.745e+05
7.475 	 8.489e+05 	 9.745e+05
7.525 	 -1.256e+05 	 9.745e+05
7.575 	 -1.262e+05 	 9.745e+05
7.625 	 -1.268e+05 	 9.745e+05
7.675 	 -1.275e+05 	 9.745e+05
7.725 	 -1.281e+05 	 9.745e+05
7.775 	 8.451e+05 	 9.745e+05
7.825 	 -1.294e+05 	 9.745e+05
7.875 	 -1.300e+05 	 9.745e+05
7.925 	 8.432e+05 	 9.746e+05
7.975 	 -1.313e+05 	 9.746e+05
8.025 	 -1.319e+05 	 9.746e+05
8.075 	 -1.325e+05 	 9.746e+05
8.125 	 -1.332e+05 	 9.746e+05
8.175 	 -1.338e+05 	 9.746e+05
8.225 	 -1.344e+05 	 9.746e+05
8.275 	 8.388e+05 	 9.746e+05
8.325 	 -1.357e+05 	 9.746e+05
8.375 	 -1.363e+05 	 9.746e+05
8.425 	 -1.369e+05 	 9.746e+05
8.475 	 8.363e+05 	 9.746e+05
8.525 	 -1.382e+05 	 9.746e+05
8.575 	 -1.388e+05 	 9.746e+05
8.625 	 -1.394e+05 	 9.747e+05
8.675 	 -1.400e+05 	 9.747e+05
8.725 	 -1.406e+05 	 9.747e+05
8.775 	 -1.413e+05 	 9.747e+05
8.825 	 -1.419e+05 	 9.747e+05
8.875 	 -1.425e+05 	 9.747e+05
8.925 	 -1.431e+05 	 9.747e+05
8.975 	 8.301e+05 	 9.747e+05
9.025 	 -1.443e+05 	 9.747e+05
9.075 	 -1.449e+05 	 9.747e+05
9.125 	 -1.455e+05 	 9.747e+05
9.175 	 -1.462e+05 	 9.747e+05
9.225 	 -1.468e+05 	 9.747e+05
9.275 	 -1.474e+05 	 9.748e+05
9.325 	 -1.480e+05 	 9.748e+05
9.375 	 -1.486e+05 	 9.748e+05
9.425 	 -1.492e+05 	 9.748e+05
9.475 	 8.240e+05 	 9.748e+05
9.525 	 -1.504e+05 	 9.748e+05
9.575 	 -1.510e+05 	 9.748e+05
9.625 	 -1.516e+05 	 9.748e+05
9.675 	 -1.522e+05 	 9.748e+05
9.725 	 -1.529e+05 	 9.748e+05
9.775 	 8.204e+05 	 9.748e+05
9.825 	 -1.541e+05 	 9.748e+05
9.875 	 -1.547e+05 	 9.748e+05
9.925 	 -1.553e+05 	 9.749e+05
9.975 	 -1.559e+05 	 9.749e+05
10.025 	 -1.565e+05 	 9.749e+05
10.075 	 -1.571e+05 	 9.749e+05
10.125 	 -1.577e+05 	 9.749e+05
10.175 	 -1.583e+05 	 9.749e+05
10.225 	 -1.589e+05 	 9.749e+05
10.275 	 1.788e+06 	 1.378e+06
10.325 	 -1.601e+05 	 9.749e+05
10.375 	 -1.607e+05 	 9.749e+05
10.425 	 8.125e+05 	 9.749e+05
10.475 	 -1.619e+05 	 9.749e+05
10.525 	 8.113e+05 	 9.750e+05
10.575 	 8.107e+05 	 9.750e+05
10.625 	 -1.637e+05 	 9.750e+05
10.675 	 -1.643e+05 	 9.750e+05
10.725 	 -1.649e+05 	 9.750e+05
10.775 	 -1.655e+05 	 9.750e+05
10.825 	 -1.661e+05 	 9.750e+05
10.875 	 -1.667e+05 	 9.750e+05
10.925 	 -1.672e+05 	 9.750e+05
10.975 	 8.060e+05 	 9.750e+05
11.025 	 -1.684e+05 	 9.750e+05
11.075 	 -1.690e+05 	 9.750e+05
11.125 	 -1.696e+05 	 9.751e+05
11.175 	 -1.702e+05 	 9.751e+05
11.225 	 -1.708e+05 	 9.751e+05
11.275 	 -1.714e+05 	 9.751e+05
11.325 	 -1.720e+05 	 9.751e+05
11.375 	 -1.726e+05 	 9.751e+05
11.425 	 -1.731e+05 	 9.751e+05
11.475 	 -1.737e+05 	 9.751e+05
11.525 	 -1.743e+05 	 9.751e+05
11.575 	 7.989e+05 	 9.751e+05
11.625 	 -1.755e+05 	 9.751e+05
11.675 	 7.977e+05 	 9.751e+05
11.725 	 7.972e+05 	 9.752e+05
11.775 	 -1.773e+05 	 9.752e+05
11.825 	 -1.778e+05 	 9.752e+05
11.875 	 -1.784e+05 	 9.752e+05
11.925 	 -1.790e+05 	 9.752e+05
11.975 	 -1.796e+05 	 9.752e+05
12.025 	 -1.802e+05 	 9.752e+05
12.075 	 -1.807e+05 	 9.752e+05
12.125 	 -1.813e+05 	 9.752e+05
12.175 	 -1.819e+05 	 9.752e+05
12.225 	 -1.825e+05 	 9.752e+05
12.275 	 -1.831e+05 	 9.753e+05
12.325 	 -1.837e+05 	 9.753e+05
12.375 	 -1.842e+05 	 9.753e+05
12.425 	 7.890e+05 	 9.753e+05
12.475 	 -1.854e+05 	 9.753e+05
12.525 	 -1.860e+05 	 9.753e+05
12.575 	 -1.866e+05 	 9.753e+05
12.625 	 7.867e+05 	 9.753e+05
12.675 	 7.861e+05 	 9.753e+05
12.725 	 -1.883e+05 	 9.753e+05
12.775 	 -1.889e+05 	 9.753e+05
12.825 	 -1.894e+05 	 9.754e+05
12.875 	 -1.900e+05 	 9.754e+05
12.925 	 -1.906e+05 	 9.754e+05
12.975 	 -1.912e+05 	 9.754e+05
13.025 	 -1.917e+05 	 9.754e+05
13.075 	 -1.923e+05 	 9.754e+05
13.125 	 -1.929e+05 	 9.754e+05
13.175 	 -1.935e+05 	 9.754e+05
13.225 	 -1.940e+05 	 9.754e+05
13.275 	 7.792e+05 	 9.754e+05
13.325 	 -1.952e+05 	 9.754e+05
13.375 	 7.781e+05 	 9.755e+05
13.425 	 -1.963e+05 	 9.755e+05
13.475 	 -1.969e+05 	 9.755e+05
13.525 	 -1.975e+05 	 9.755e+05
13.575 	 -1.980e+05 	 9.755e+05
13.625 	 -1.986e+05 	 9.755e+05
13.675 	 -1.992e+05 	 9.755e+05
13.725 	 -1.997e+05 	 9.755e+05
13.775 	 -2.003e+05 	 9.755e+05
13.825 	 -2.009e+05 	 9.755e+05
13.875 	 -2.014e+05 	 9.756e+05
13.925 	 -2.020e+05 	 9.756e+05
13.975 	 1.745e+06 	 1.378e+06
14.025 	 -2.031e+05 	 9.756e+05
14.075 	 -2.037e+05 	 9.756e+05
14.125 	 -2.043e+05 	 9.756e+05
14.175 	 -2.048e+05 	 9.756e+05
14.225 	 -2.054e+05 	 9.756e+05
14.275 	 -2.060e+05 	 9.756e+05
14.325 	 -2.065e+05 	 9.756e+05
14.375 	 7.667e+05 	 9.757e+05
14.425 	 -2.077e+05 	 9.757e+05
14.475 	 1.739e+06 	 1.379e+06
14.525 	 6.608e+06 	 2.577e+06
14.575 	 2.712e+06 	 1.688e+06
14.625 	 1.148e+07 	 3.374e+06
14.675 	 1.148e+07 	 3.374e+06
14.725 	 1.732e+07 	 4.132e+06
14.775 	 3.485e+07 	 5.843e+06
14.825 	 5.237e+07 	 7.156e+06
14.875 	 5.335e+07 	 7.222e+06
14.925 	 9.814e+07 	 9.787e+06
14.975 	 1.011e+08 	 9.931e+06
15.025 	 1.556e+08 	 1.232e+07
15.075 	 1.887e+08 	 1.356e+07
15.125 	 2.345e+08 	 1.512e+07
15.175 	 2.802e+08 	 1.653e+07
15.225 	 3.348e+08 	 1.806e+07
15.275 	 3.396e+08 	 1.819e+07
15.325 	 3.513e+08 	 1.850e+07
15.375 	 3.854e+08 	 1.938e+07
15.425 	 3.961e+08 	 1.965e+07
15.475 	 3.679e+08 	 1.893e+07
15.525 	 3.581e+08 	 1.868e+07
15.575 	 3.387e+08 	 1.817e+07
15.625 	 2.676e+08 	 1.615e+07
15.675 	 2.364e+08 	 1.518e+07
15.725 	 1.721e+08 	 1.296e+07
15.775 	 1.410e+08 	 1.173e+07
15.825 	 1.332e+08 	 1.140e+07
15.875 	 9.716e+07 	 9.738e+06
15.925 	 6.113e+07 	 7.730e+06
