Energy after passing through hohlraum (MeV),Spectrum (MeV^-1),Uncertainty (MeV^-1)
5.025000000000000355e+00,-2.760000000000000000e+05,1.163000000000000000e+07
5.075000000000000178e+00,6.373000000000000000e+06,6.584000000000000000e+06
5.125000000000000000e+00,-2.114000000000000000e+05,6.584000000000000000e+06
5.174999999999999822e+00,-2.703000000000000000e+05,4.180000000000000000e+06
5.224999999999999645e+00,-2.722000000000000000e+05,4.180000000000000000e+06
5.275000000000000355e+00,-2.559000000000000000e+05,2.837000000000000000e+06
5.325000000000000178e+00,-2.577000000000000000e+05,2.837000000000000000e+06
5.375000000000000000e+00,-2.595000000000000000e+05,2.837000000000000000e+06
5.424999999999999822e+00,-2.702000000000000000e+05,2.017000000000000000e+06
5.474999999999999645e+00,-2.720000000000000000e+05,2.017000000000000000e+06
5.525000000000000355e+00,-2.739000000000000000e+05,2.017000000000000000e+06
5.575000000000000178e+00,-2.757000000000000000e+05,2.017000000000000000e+06
5.625000000000000000e+00,-2.298000000000000000e+05,1.484000000000000000e+06
5.674999999999999822e+00,-2.313000000000000000e+05,1.484000000000000000e+06
5.724999999999999645e+00,-2.328000000000000000e+05,1.484000000000000000e+06
5.775000000000000355e+00,-2.343000000000000000e+05,1.484000000000000000e+06
5.825000000000000178e+00,-2.172000000000000000e+05,1.118000000000000000e+06
5.875000000000000000e+00,2.016000000000000000e+06,1.581000000000000000e+06
5.924999999999999822e+00,-2.200000000000000000e+05,1.118000000000000000e+06
5.974999999999999645e+00,-2.214000000000000000e+05,1.118000000000000000e+06
6.025000000000000355e+00,-2.228000000000000000e+05,1.118000000000000000e+06
6.075000000000000178e+00,-2.242000000000000000e+05,1.118000000000000000e+06
6.125000000000000000e+00,8.916000000000000000e+05,1.118000000000000000e+06
6.174999999999999822e+00,-2.270000000000000000e+05,1.118000000000000000e+06
6.224999999999999645e+00,8.888000000000000000e+05,1.118000000000000000e+06
6.275000000000000355e+00,-2.297000000000000000e+05,1.118000000000000000e+06
6.325000000000000178e+00,-2.311000000000000000e+05,1.118000000000000000e+06
6.375000000000000000e+00,-2.325000000000000000e+05,1.118000000000000000e+06
6.424999999999999822e+00,-2.338000000000000000e+05,1.118000000000000000e+06
6.474999999999999645e+00,-2.352000000000000000e+05,1.118000000000000000e+06
6.525000000000000355e+00,-2.365000000000000000e+05,1.118000000000000000e+06
6.575000000000000178e+00,-2.379000000000000000e+05,1.118000000000000000e+06
6.625000000000000000e+00,-2.393000000000000000e+05,1.118000000000000000e+06
6.674999999999999822e+00,8.766000000000000000e+05,1.118000000000000000e+06
6.724999999999999645e+00,-2.419000000000000000e+05,1.118000000000000000e+06
6.775000000000000355e+00,-2.433000000000000000e+05,1.118000000000000000e+06
6.825000000000000178e+00,-2.447000000000000000e+05,1.118000000000000000e+06
6.875000000000000000e+00,8.711000000000000000e+05,1.118000000000000000e+06
