Energy after passing through hohlraum (MeV),Spectrum (MeV^-1),Uncertainty (MeV^-1)
5.125000000000000000e+00,-1.876000000000000000e+05,5.882000000000000000e+06
5.174999999999999822e+00,5.692000000000000000e+06,5.882000000000000000e+06
5.224999999999999645e+00,-1.791000000000000000e+05,3.691000000000000000e+06
5.275000000000000355e+00,-1.804000000000000000e+05,3.691000000000000000e+06
5.325000000000000178e+00,-1.817000000000000000e+05,3.691000000000000000e+06
5.375000000000000000e+00,-2.050000000000000000e+05,2.481000000000000000e+06
5.424999999999999822e+00,-2.064000000000000000e+05,2.481000000000000000e+06
5.474999999999999645e+00,4.753000000000000000e+06,3.508000000000000000e+06
5.525000000000000355e+00,-2.092000000000000000e+05,2.481000000000000000e+06
5.575000000000000178e+00,-1.634000000000000000e+05,1.750000000000000000e+06
5.625000000000000000e+00,-1.645000000000000000e+05,1.750000000000000000e+06
5.674999999999999822e+00,1.583000000000000000e+06,1.750000000000000000e+06
5.724999999999999645e+00,-1.667000000000000000e+05,1.750000000000000000e+06
5.775000000000000355e+00,-1.224000000000000000e+05,1.276000000000000000e+06
5.825000000000000178e+00,-1.232000000000000000e+05,1.276000000000000000e+06
5.875000000000000000e+00,-1.240000000000000000e+05,1.276000000000000000e+06
5.924999999999999822e+00,-1.248000000000000000e+05,1.276000000000000000e+06
5.974999999999999645e+00,-1.256000000000000000e+05,1.276000000000000000e+06
6.025000000000000355e+00,-1.253000000000000000e+05,9.284000000000000000e+05
6.075000000000000178e+00,-1.261000000000000000e+05,9.284000000000000000e+05
6.125000000000000000e+00,-1.269000000000000000e+05,9.284000000000000000e+05
6.174999999999999822e+00,8.002000000000000000e+05,9.284000000000000000e+05
6.224999999999999645e+00,-1.284000000000000000e+05,9.284000000000000000e+05
6.275000000000000355e+00,-1.292000000000000000e+05,9.284000000000000000e+05
6.325000000000000178e+00,-1.300000000000000000e+05,9.284000000000000000e+05
6.375000000000000000e+00,-1.308000000000000000e+05,9.285000000000000000e+05
6.424999999999999822e+00,-1.315000000000000000e+05,9.285000000000000000e+05
6.474999999999999645e+00,-1.323000000000000000e+05,9.285000000000000000e+05
6.525000000000000355e+00,-1.331000000000000000e+05,9.285000000000000000e+05
6.575000000000000178e+00,-1.338000000000000000e+05,9.285000000000000000e+05
6.625000000000000000e+00,7.933000000000000000e+05,9.285000000000000000e+05
6.674999999999999822e+00,-1.353000000000000000e+05,9.285000000000000000e+05
6.724999999999999645e+00,-1.361000000000000000e+05,9.285000000000000000e+05
6.775000000000000355e+00,-1.369000000000000000e+05,9.285000000000000000e+05
6.825000000000000178e+00,-1.376000000000000000e+05,9.285000000000000000e+05
6.875000000000000000e+00,-1.384000000000000000e+05,9.285000000000000000e+05
6.924999999999999822e+00,7.887000000000000000e+05,9.285000000000000000e+05
6.974999999999999645e+00,-1.399000000000000000e+05,9.285000000000000000e+05
7.025000000000000355e+00,-1.407000000000000000e+05,9.285000000000000000e+05
7.075000000000000178e+00,-1.414000000000000000e+05,9.286000000000000000e+05
7.125000000000000000e+00,-1.422000000000000000e+05,9.286000000000000000e+05
7.174999999999999822e+00,-1.429000000000000000e+05,9.286000000000000000e+05
7.224999999999999645e+00,-1.437000000000000000e+05,9.286000000000000000e+05
7.275000000000000355e+00,-1.444000000000000000e+05,9.286000000000000000e+05
7.325000000000000178e+00,-1.452000000000000000e+05,9.286000000000000000e+05
7.375000000000000000e+00,-1.459000000000000000e+05,9.286000000000000000e+05
7.424999999999999822e+00,-1.467000000000000000e+05,9.286000000000000000e+05
7.474999999999999645e+00,-1.474000000000000000e+05,9.286000000000000000e+05
7.525000000000000355e+00,-1.482000000000000000e+05,9.286000000000000000e+05
