Energy after passing through hohlraum (MeV),Spectrum (MeV^-1),Uncertainty (MeV^-1)
5.125000000000000000e+00,-1.970000000000000000e+05,1.198000000000000000e+07
5.174999999999999822e+00,-1.984000000000000000e+05,1.198000000000000000e+07
5.224999999999999645e+00,-1.888000000000000000e+05,7.542000000000000000e+06
5.275000000000000355e+00,-1.901000000000000000e+05,7.542000000000000000e+06
5.325000000000000178e+00,-1.915000000000000000e+05,7.542000000000000000e+06
5.375000000000000000e+00,-2.166000000000000000e+05,5.083000000000000000e+06
5.424999999999999822e+00,-2.180000000000000000e+05,5.083000000000000000e+06
5.474999999999999645e+00,4.863000000000000000e+06,5.083000000000000000e+06
5.525000000000000355e+00,-1.718000000000000000e+05,3.592000000000000000e+06
5.575000000000000178e+00,-1.730000000000000000e+05,3.592000000000000000e+06
5.625000000000000000e+00,3.418000000000000000e+06,3.592000000000000000e+06
5.674999999999999822e+00,-1.753000000000000000e+05,3.592000000000000000e+06
5.724999999999999645e+00,-1.291000000000000000e+05,2.627000000000000000e+06
5.775000000000000355e+00,-1.299000000000000000e+05,2.627000000000000000e+06
5.825000000000000178e+00,-1.307000000000000000e+05,2.627000000000000000e+06
5.875000000000000000e+00,-1.316000000000000000e+05,2.627000000000000000e+06
5.924999999999999822e+00,-1.324000000000000000e+05,2.627000000000000000e+06
5.974999999999999645e+00,-1.335000000000000000e+05,1.929000000000000000e+06
6.025000000000000355e+00,-1.343000000000000000e+05,1.929000000000000000e+06
6.075000000000000178e+00,-1.352000000000000000e+05,1.929000000000000000e+06
6.125000000000000000e+00,-1.360000000000000000e+05,1.929000000000000000e+06
6.174999999999999822e+00,-1.369000000000000000e+05,1.929000000000000000e+06
6.224999999999999645e+00,-1.377000000000000000e+05,1.929000000000000000e+06
6.275000000000000355e+00,-1.385000000000000000e+05,1.929000000000000000e+06
6.325000000000000178e+00,-1.393000000000000000e+05,1.929000000000000000e+06
6.375000000000000000e+00,-1.402000000000000000e+05,1.929000000000000000e+06
6.424999999999999822e+00,-1.410000000000000000e+05,1.929000000000000000e+06
6.474999999999999645e+00,-1.418000000000000000e+05,1.929000000000000000e+06
6.525000000000000355e+00,-1.426000000000000000e+05,1.929000000000000000e+06
6.575000000000000178e+00,-1.434000000000000000e+05,1.929000000000000000e+06
6.625000000000000000e+00,1.785000000000000000e+06,1.929000000000000000e+06
6.674999999999999822e+00,-1.451000000000000000e+05,1.929000000000000000e+06
6.724999999999999645e+00,-1.459000000000000000e+05,1.929000000000000000e+06
6.775000000000000355e+00,-1.467000000000000000e+05,1.929000000000000000e+06
6.825000000000000178e+00,-1.475000000000000000e+05,1.929000000000000000e+06
6.875000000000000000e+00,-1.484000000000000000e+05,1.929000000000000000e+06
6.924999999999999822e+00,1.780000000000000000e+06,1.929000000000000000e+06
6.974999999999999645e+00,-1.500000000000000000e+05,1.929000000000000000e+06
7.025000000000000355e+00,-1.508000000000000000e+05,1.929000000000000000e+06
7.075000000000000178e+00,-1.516000000000000000e+05,1.929000000000000000e+06
7.125000000000000000e+00,-1.524000000000000000e+05,1.929000000000000000e+06
7.174999999999999822e+00,-1.532000000000000000e+05,1.929000000000000000e+06
7.224999999999999645e+00,-1.540000000000000000e+05,1.929000000000000000e+06
7.275000000000000355e+00,-1.548000000000000000e+05,1.929000000000000000e+06
7.325000000000000178e+00,-1.557000000000000000e+05,1.929000000000000000e+06
7.375000000000000000e+00,-1.565000000000000000e+05,1.929000000000000000e+06
7.424999999999999822e+00,-1.573000000000000000e+05,1.929000000000000000e+06
7.474999999999999645e+00,-1.581000000000000000e+05,1.930000000000000000e+06
7.525000000000000355e+00,-1.589000000000000000e+05,1.930000000000000000e+06
7.575000000000000178e+00,-1.597000000000000000e+05,1.930000000000000000e+06
7.625000000000000000e+00,-1.605000000000000000e+05,1.930000000000000000e+06
7.674999999999999822e+00,-1.613000000000000000e+05,1.930000000000000000e+06
7.724999999999999645e+00,-1.621000000000000000e+05,1.930000000000000000e+06
7.775000000000000355e+00,-1.629000000000000000e+05,1.930000000000000000e+06
7.825000000000000178e+00,-1.637000000000000000e+05,1.930000000000000000e+06
7.875000000000000000e+00,1.765000000000000000e+06,1.930000000000000000e+06
7.924999999999999822e+00,-1.653000000000000000e+05,1.930000000000000000e+06
7.974999999999999645e+00,-1.661000000000000000e+05,1.930000000000000000e+06
8.025000000000000355e+00,-1.669000000000000000e+05,1.930000000000000000e+06
8.074999999999999289e+00,1.761000000000000000e+06,1.930000000000000000e+06
8.125000000000000000e+00,-1.685000000000000000e+05,1.930000000000000000e+06
8.175000000000000711e+00,-1.693000000000000000e+05,1.930000000000000000e+06
8.224999999999999645e+00,-1.701000000000000000e+05,1.930000000000000000e+06
8.275000000000000355e+00,-1.709000000000000000e+05,1.930000000000000000e+06
8.324999999999999289e+00,-1.717000000000000000e+05,1.930000000000000000e+06
8.375000000000000000e+00,-1.725000000000000000e+05,1.930000000000000000e+06
8.425000000000000711e+00,-1.732000000000000000e+05,1.930000000000000000e+06
8.474999999999999645e+00,-1.740000000000000000e+05,1.930000000000000000e+06
8.525000000000000355e+00,-1.748000000000000000e+05,1.930000000000000000e+06
8.574999999999999289e+00,-1.756000000000000000e+05,1.930000000000000000e+06
8.625000000000000000e+00,-1.764000000000000000e+05,1.930000000000000000e+06
8.675000000000000711e+00,-1.772000000000000000e+05,1.930000000000000000e+06
8.724999999999999645e+00,-1.779000000000000000e+05,1.930000000000000000e+06
8.775000000000000355e+00,-1.787000000000000000e+05,1.930000000000000000e+06
8.824999999999999289e+00,-1.795000000000000000e+05,1.930000000000000000e+06
8.875000000000000000e+00,1.749000000000000000e+06,1.930000000000000000e+06
8.925000000000000711e+00,-1.811000000000000000e+05,1.930000000000000000e+06
8.974999999999999645e+00,1.747000000000000000e+06,1.930000000000000000e+06
9.025000000000000355e+00,-1.826000000000000000e+05,1.930000000000000000e+06
9.074999999999999289e+00,-1.834000000000000000e+05,1.930000000000000000e+06
9.125000000000000000e+00,-1.841000000000000000e+05,1.930000000000000000e+06
9.175000000000000711e+00,-1.849000000000000000e+05,1.930000000000000000e+06
9.224999999999999645e+00,-1.857000000000000000e+05,1.930000000000000000e+06
9.275000000000000355e+00,-1.865000000000000000e+05,1.930000000000000000e+06
9.324999999999999289e+00,-1.873000000000000000e+05,1.930000000000000000e+06
9.375000000000000000e+00,-1.880000000000000000e+05,1.930000000000000000e+06
9.425000000000000711e+00,-1.888000000000000000e+05,1.930000000000000000e+06
9.474999999999999645e+00,-1.896000000000000000e+05,1.930000000000000000e+06
9.525000000000000355e+00,-1.903000000000000000e+05,1.930000000000000000e+06
9.574999999999999289e+00,-1.911000000000000000e+05,1.930000000000000000e+06
9.625000000000000000e+00,1.737000000000000000e+06,1.930000000000000000e+06
9.675000000000000711e+00,-1.926000000000000000e+05,1.930000000000000000e+06
9.724999999999999645e+00,-1.934000000000000000e+05,1.930000000000000000e+06
9.775000000000000355e+00,-1.942000000000000000e+05,1.930000000000000000e+06
9.824999999999999289e+00,-1.949000000000000000e+05,1.930000000000000000e+06
9.875000000000000000e+00,-1.957000000000000000e+05,1.930000000000000000e+06
9.925000000000000711e+00,-1.965000000000000000e+05,1.930000000000000000e+06
9.974999999999999645e+00,-1.972000000000000000e+05,1.930000000000000000e+06
1.002500000000000036e+01,-1.980000000000000000e+05,1.930000000000000000e+06
1.007499999999999929e+01,1.730000000000000000e+06,1.930000000000000000e+06
1.012500000000000000e+01,-1.995000000000000000e+05,1.930000000000000000e+06
1.017500000000000071e+01,-2.003000000000000000e+05,1.930000000000000000e+06
1.022499999999999964e+01,-2.010000000000000000e+05,1.930000000000000000e+06
1.027500000000000036e+01,-2.018000000000000000e+05,1.930000000000000000e+06
1.032499999999999929e+01,-2.026000000000000000e+05,1.930000000000000000e+06
1.037500000000000000e+01,-2.033000000000000000e+05,1.930000000000000000e+06
1.042500000000000071e+01,-2.041000000000000000e+05,1.930000000000000000e+06
1.047499999999999964e+01,-2.048000000000000000e+05,1.930000000000000000e+06
1.052500000000000036e+01,-2.056000000000000000e+05,1.930000000000000000e+06
1.057499999999999929e+01,-2.064000000000000000e+05,1.930000000000000000e+06
1.062500000000000000e+01,-2.071000000000000000e+05,1.930000000000000000e+06
1.067500000000000071e+01,-2.079000000000000000e+05,1.930000000000000000e+06
1.072499999999999964e+01,-2.086000000000000000e+05,1.930000000000000000e+06
1.077500000000000036e+01,-2.094000000000000000e+05,1.930000000000000000e+06
1.082499999999999929e+01,1.719000000000000000e+06,1.930000000000000000e+06
1.087500000000000000e+01,-2.109000000000000000e+05,1.930000000000000000e+06
1.092500000000000071e+01,-2.116000000000000000e+05,1.930000000000000000e+06
1.097499999999999964e+01,-2.124000000000000000e+05,1.930000000000000000e+06
1.102500000000000036e+01,-2.131000000000000000e+05,1.930000000000000000e+06
1.107499999999999929e+01,-2.139000000000000000e+05,1.930000000000000000e+06
1.112500000000000000e+01,-2.146000000000000000e+05,1.930000000000000000e+06
1.117500000000000071e+01,1.714000000000000000e+06,1.930000000000000000e+06
1.122499999999999964e+01,-2.161000000000000000e+05,1.930000000000000000e+06
