Energy after passing through hohlraum (MeV),Spectrum (MeV^-1),Uncertainty (MeV^-1)
4.924999999999999822e+00,-2.092000000000000000e+05,1.785000000000000000e+07
4.974999999999999645e+00,-1.220000000000000000e+05,1.033000000000000000e+07
5.025000000000000355e+00,-1.229000000000000000e+05,1.033000000000000000e+07
5.075000000000000178e+00,-1.348000000000000000e+05,6.749000000000000000e+06
5.125000000000000000e+00,-1.358000000000000000e+05,6.749000000000000000e+06
5.174999999999999822e+00,-1.368000000000000000e+05,6.749000000000000000e+06
5.224999999999999645e+00,-1.157000000000000000e+05,4.724000000000000000e+06
5.275000000000000355e+00,-1.165000000000000000e+05,4.724000000000000000e+06
5.325000000000000178e+00,-1.173000000000000000e+05,4.724000000000000000e+06
5.375000000000000000e+00,-8.654000000000000000e+04,3.459000000000000000e+06
5.424999999999999822e+00,-8.713000000000000000e+04,3.459000000000000000e+06
5.474999999999999645e+00,-8.774000000000000000e+04,3.459000000000000000e+06
5.525000000000000355e+00,-8.833000000000000000e+04,3.459000000000000000e+06
5.575000000000000178e+00,-7.836000000000000000e+04,2.613000000000000000e+06
5.625000000000000000e+00,-7.890000000000000000e+04,2.613000000000000000e+06
5.674999999999999822e+00,-7.941000000000000000e+04,2.613000000000000000e+06
5.724999999999999645e+00,-7.994000000000000000e+04,2.613000000000000000e+06
5.775000000000000355e+00,-8.046000000000000000e+04,2.613000000000000000e+06
5.825000000000000178e+00,-1.043000000000000000e+05,1.963000000000000000e+06
5.875000000000000000e+00,1.857000000000000000e+06,1.963000000000000000e+06
5.924999999999999822e+00,-1.056000000000000000e+05,1.963000000000000000e+06
5.974999999999999645e+00,-1.063000000000000000e+05,1.963000000000000000e+06
6.025000000000000355e+00,-1.070000000000000000e+05,1.963000000000000000e+06
6.075000000000000178e+00,-1.077000000000000000e+05,1.963000000000000000e+06
6.125000000000000000e+00,-1.083000000000000000e+05,1.963000000000000000e+06
6.174999999999999822e+00,-1.090000000000000000e+05,1.963000000000000000e+06
6.224999999999999645e+00,-1.097000000000000000e+05,1.963000000000000000e+06
6.275000000000000355e+00,-1.103000000000000000e+05,1.963000000000000000e+06
6.325000000000000178e+00,-1.110000000000000000e+05,1.963000000000000000e+06
6.375000000000000000e+00,-1.116000000000000000e+05,1.963000000000000000e+06
6.424999999999999822e+00,-1.123000000000000000e+05,1.963000000000000000e+06
6.474999999999999645e+00,-1.129000000000000000e+05,1.963000000000000000e+06
6.525000000000000355e+00,-1.136000000000000000e+05,1.963000000000000000e+06
6.575000000000000178e+00,-1.142000000000000000e+05,1.963000000000000000e+06
6.625000000000000000e+00,-1.149000000000000000e+05,1.963000000000000000e+06
6.674999999999999822e+00,-1.155000000000000000e+05,1.963000000000000000e+06
6.724999999999999645e+00,-1.162000000000000000e+05,1.963000000000000000e+06
6.775000000000000355e+00,-1.168000000000000000e+05,1.963000000000000000e+06
6.825000000000000178e+00,-1.175000000000000000e+05,1.963000000000000000e+06
6.875000000000000000e+00,-1.181000000000000000e+05,1.963000000000000000e+06
6.924999999999999822e+00,-1.188000000000000000e+05,1.963000000000000000e+06
6.974999999999999645e+00,-1.194000000000000000e+05,1.963000000000000000e+06
7.025000000000000355e+00,-1.201000000000000000e+05,1.963000000000000000e+06
7.075000000000000178e+00,-1.207000000000000000e+05,1.963000000000000000e+06
7.125000000000000000e+00,-1.214000000000000000e+05,1.963000000000000000e+06
7.174999999999999822e+00,-1.220000000000000000e+05,1.963000000000000000e+06
7.224999999999999645e+00,-1.227000000000000000e+05,1.963000000000000000e+06
7.275000000000000355e+00,-1.233000000000000000e+05,1.963000000000000000e+06
7.325000000000000178e+00,-1.240000000000000000e+05,1.963000000000000000e+06
7.375000000000000000e+00,-1.246000000000000000e+05,1.963000000000000000e+06
7.424999999999999822e+00,-1.253000000000000000e+05,1.963000000000000000e+06
7.474999999999999645e+00,1.837000000000000000e+06,1.963000000000000000e+06
7.525000000000000355e+00,-1.265000000000000000e+05,1.963000000000000000e+06
7.575000000000000178e+00,-1.272000000000000000e+05,1.963000000000000000e+06
7.625000000000000000e+00,-1.278000000000000000e+05,1.963000000000000000e+06
7.674999999999999822e+00,-1.285000000000000000e+05,1.963000000000000000e+06
7.724999999999999645e+00,-1.291000000000000000e+05,1.963000000000000000e+06
7.775000000000000355e+00,1.833000000000000000e+06,1.963000000000000000e+06
7.825000000000000178e+00,-1.304000000000000000e+05,1.963000000000000000e+06
7.875000000000000000e+00,-1.310000000000000000e+05,1.963000000000000000e+06
7.924999999999999822e+00,1.831000000000000000e+06,1.963000000000000000e+06
7.974999999999999645e+00,-1.323000000000000000e+05,1.963000000000000000e+06
8.025000000000000355e+00,-1.329000000000000000e+05,1.963000000000000000e+06
8.074999999999999289e+00,-1.335000000000000000e+05,1.963000000000000000e+06
8.125000000000000000e+00,-1.342000000000000000e+05,1.963000000000000000e+06
8.175000000000000711e+00,-1.348000000000000000e+05,1.963000000000000000e+06
8.224999999999999645e+00,-1.354000000000000000e+05,1.963000000000000000e+06
8.275000000000000355e+00,1.826000000000000000e+06,1.963000000000000000e+06
8.324999999999999289e+00,-1.367000000000000000e+05,1.963000000000000000e+06
8.375000000000000000e+00,-1.373000000000000000e+05,1.963000000000000000e+06
8.425000000000000711e+00,-1.380000000000000000e+05,1.963000000000000000e+06
8.474999999999999645e+00,1.824000000000000000e+06,1.963000000000000000e+06
8.525000000000000355e+00,-1.392000000000000000e+05,1.963000000000000000e+06
8.574999999999999289e+00,-1.398000000000000000e+05,1.963000000000000000e+06
8.625000000000000000e+00,-1.405000000000000000e+05,1.963000000000000000e+06
8.675000000000000711e+00,-1.411000000000000000e+05,1.963000000000000000e+06
8.724999999999999645e+00,-1.417000000000000000e+05,1.963000000000000000e+06
8.775000000000000355e+00,-1.423000000000000000e+05,1.963000000000000000e+06
8.824999999999999289e+00,-1.430000000000000000e+05,1.963000000000000000e+06
8.875000000000000000e+00,-1.436000000000000000e+05,1.963000000000000000e+06
8.925000000000000711e+00,-1.442000000000000000e+05,1.963000000000000000e+06
8.974999999999999645e+00,1.818000000000000000e+06,1.963000000000000000e+06
9.025000000000000355e+00,-1.454000000000000000e+05,1.963000000000000000e+06
9.074999999999999289e+00,-1.460000000000000000e+05,1.963000000000000000e+06
9.125000000000000000e+00,-1.466000000000000000e+05,1.963000000000000000e+06
9.175000000000000711e+00,-1.473000000000000000e+05,1.963000000000000000e+06
9.224999999999999645e+00,-1.479000000000000000e+05,1.963000000000000000e+06
9.275000000000000355e+00,-1.485000000000000000e+05,1.963000000000000000e+06
9.324999999999999289e+00,-1.491000000000000000e+05,1.963000000000000000e+06
9.375000000000000000e+00,-1.497000000000000000e+05,1.963000000000000000e+06
9.425000000000000711e+00,-1.504000000000000000e+05,1.963000000000000000e+06
9.474999999999999645e+00,-1.510000000000000000e+05,1.963000000000000000e+06
9.525000000000000355e+00,-1.516000000000000000e+05,1.963000000000000000e+06
9.574999999999999289e+00,-1.522000000000000000e+05,1.963000000000000000e+06
9.625000000000000000e+00,-1.528000000000000000e+05,1.963000000000000000e+06
9.675000000000000711e+00,-1.534000000000000000e+05,1.963000000000000000e+06
9.724999999999999645e+00,-1.540000000000000000e+05,1.963000000000000000e+06
9.775000000000000355e+00,1.808000000000000000e+06,1.963000000000000000e+06
9.824999999999999289e+00,-1.552000000000000000e+05,1.963000000000000000e+06
9.875000000000000000e+00,-1.558000000000000000e+05,1.963000000000000000e+06
9.925000000000000711e+00,-1.565000000000000000e+05,1.963000000000000000e+06
9.974999999999999645e+00,-1.571000000000000000e+05,1.963000000000000000e+06
1.002500000000000036e+01,-1.577000000000000000e+05,1.963000000000000000e+06
1.007499999999999929e+01,-1.583000000000000000e+05,1.963000000000000000e+06
1.012500000000000000e+01,-1.589000000000000000e+05,1.963000000000000000e+06
1.017500000000000071e+01,-1.595000000000000000e+05,1.963000000000000000e+06
1.022499999999999964e+01,-1.601000000000000000e+05,1.963000000000000000e+06
1.027500000000000036e+01,3.764000000000000000e+06,2.776000000000000000e+06
1.032499999999999929e+01,-1.613000000000000000e+05,1.963000000000000000e+06
1.037500000000000000e+01,-1.619000000000000000e+05,1.963000000000000000e+06
1.042500000000000071e+01,-1.625000000000000000e+05,1.963000000000000000e+06
1.047499999999999964e+01,-1.631000000000000000e+05,1.963000000000000000e+06
1.052500000000000036e+01,-1.637000000000000000e+05,1.963000000000000000e+06
1.057499999999999929e+01,1.798000000000000000e+06,1.963000000000000000e+06
1.062500000000000000e+01,-1.649000000000000000e+05,1.963000000000000000e+06
1.067500000000000071e+01,-1.655000000000000000e+05,1.963000000000000000e+06
1.072499999999999964e+01,-1.661000000000000000e+05,1.963000000000000000e+06
1.077500000000000036e+01,-1.667000000000000000e+05,1.963000000000000000e+06
1.082499999999999929e+01,-1.673000000000000000e+05,1.963000000000000000e+06
1.087500000000000000e+01,-1.679000000000000000e+05,1.963000000000000000e+06
1.092500000000000071e+01,-1.685000000000000000e+05,1.963000000000000000e+06
1.097499999999999964e+01,-1.691000000000000000e+05,1.963000000000000000e+06
1.102500000000000036e+01,-1.697000000000000000e+05,1.963000000000000000e+06
1.107499999999999929e+01,-1.703000000000000000e+05,1.963000000000000000e+06
1.112500000000000000e+01,-1.709000000000000000e+05,1.963000000000000000e+06
1.117500000000000071e+01,-1.715000000000000000e+05,1.963000000000000000e+06
1.122499999999999964e+01,-1.721000000000000000e+05,1.963000000000000000e+06
1.127500000000000036e+01,-1.727000000000000000e+05,1.963000000000000000e+06
1.132499999999999929e+01,-1.733000000000000000e+05,1.963000000000000000e+06
1.137500000000000000e+01,-1.739000000000000000e+05,1.963000000000000000e+06
1.142500000000000071e+01,-1.745000000000000000e+05,1.963000000000000000e+06
1.147499999999999964e+01,-1.751000000000000000e+05,1.963000000000000000e+06
1.152500000000000036e+01,-1.756000000000000000e+05,1.963000000000000000e+06
1.157499999999999929e+01,1.786000000000000000e+06,1.963000000000000000e+06
1.162500000000000000e+01,-1.768000000000000000e+05,1.963000000000000000e+06
1.167500000000000071e+01,-1.774000000000000000e+05,1.963000000000000000e+06
1.172499999999999964e+01,1.784000000000000000e+06,1.963000000000000000e+06
1.177500000000000036e+01,-1.786000000000000000e+05,1.963000000000000000e+06
1.182499999999999929e+01,-1.792000000000000000e+05,1.963000000000000000e+06
1.187500000000000000e+01,-1.798000000000000000e+05,1.963000000000000000e+06
1.192500000000000071e+01,-1.804000000000000000e+05,1.963000000000000000e+06
1.197499999999999964e+01,-1.810000000000000000e+05,1.963000000000000000e+06
1.202500000000000036e+01,-1.816000000000000000e+05,1.963000000000000000e+06
1.207499999999999929e+01,-1.821000000000000000e+05,1.963000000000000000e+06
1.212500000000000000e+01,-1.827000000000000000e+05,1.963000000000000000e+06
1.217500000000000071e+01,-1.833000000000000000e+05,1.963000000000000000e+06
1.222499999999999964e+01,-1.839000000000000000e+05,1.963000000000000000e+06
1.227500000000000036e+01,-1.845000000000000000e+05,1.963000000000000000e+06
