WRF ANALYSIS
Date & time = ,2024-03-18, 15:15
Display format=,3
Program version:,2021-05-25

Scan file = ,O111181_P2_G094_WA1127_5h_s8
Port & distance (cm) =,p2,26.0
WRF ID; Al blast(um) & cal=,13425924-g094 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.122,1.148,-0.976,1.000
C; e; Dmax; dDmax; Dscale =,11,15,17.60,0.25,new
Dlow; Dhigh; Dauto; Elims =,9.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.226,0.034,2.19

Fit limits (MeV):,13.500,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 15.036,0.277,1.543e+08
Value (raw stats):, 15.034,0.260,1.558e+08
Uncertainties
    Random:, 0.038,0.013,11.18%
    Systematic calib:, 0.049,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.008,0.011,3.13%
     DvE:, 0.015,0.006,10.72%
     Dmax:, 0.011,0.000,0.34%
     WRF nonlinearity:, 0.013,0.000,0.00%
     Cal. & processing:, 0.029,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
5.975 	 0.000e+00 	 1.561e+06
6.025 	 0.000e+00 	 1.561e+06
6.075 	 0.000e+00 	 1.561e+06
6.125 	 0.000e+00 	 1.561e+06
6.175 	 0.000e+00 	 1.561e+06
6.225 	 1.561e+06 	 1.561e+06
6.275 	 0.000e+00 	 1.561e+06
6.325 	 0.000e+00 	 1.561e+06
6.375 	 0.000e+00 	 1.561e+06
6.425 	 0.000e+00 	 1.561e+06
6.475 	 0.000e+00 	 1.561e+06
6.525 	 0.000e+00 	 1.561e+06
6.575 	 0.000e+00 	 1.561e+06
6.625 	 0.000e+00 	 1.561e+06
6.675 	 0.000e+00 	 1.561e+06
6.725 	 0.000e+00 	 1.561e+06
6.775 	 0.000e+00 	 1.561e+06
6.825 	 0.000e+00 	 1.561e+06
6.875 	 0.000e+00 	 1.561e+06
6.925 	 0.000e+00 	 1.561e+06
6.975 	 0.000e+00 	 1.561e+06
7.025 	 0.000e+00 	 1.561e+06
7.075 	 0.000e+00 	 1.561e+06
7.125 	 0.000e+00 	 1.561e+06
7.175 	 1.561e+06 	 1.561e+06
7.225 	 0.000e+00 	 1.561e+06
7.275 	 1.561e+06 	 1.561e+06
7.325 	 0.000e+00 	 1.561e+06
7.375 	 0.000e+00 	 1.561e+06
7.425 	 0.000e+00 	 1.561e+06
7.475 	 0.000e+00 	 1.561e+06
7.525 	 0.000e+00 	 1.561e+06
7.575 	 0.000e+00 	 1.561e+06
7.625 	 1.561e+06 	 1.561e+06
7.675 	 0.000e+00 	 1.561e+06
7.725 	 0.000e+00 	 1.561e+06
7.775 	 0.000e+00 	 1.561e+06
7.825 	 0.000e+00 	 1.561e+06
7.875 	 0.000e+00 	 1.561e+06
7.925 	 0.000e+00 	 1.561e+06
7.975 	 0.000e+00 	 1.561e+06
8.025 	 0.000e+00 	 1.561e+06
8.075 	 1.561e+06 	 1.561e+06
8.125 	 0.000e+00 	 1.561e+06
8.175 	 0.000e+00 	 1.561e+06
8.225 	 0.000e+00 	 1.561e+06
8.275 	 1.561e+06 	 1.561e+06
8.325 	 0.000e+00 	 1.561e+06
8.375 	 0.000e+00 	 1.561e+06
8.425 	 0.000e+00 	 1.561e+06
8.475 	 0.000e+00 	 1.561e+06
8.525 	 0.000e+00 	 1.561e+06
8.575 	 0.000e+00 	 1.561e+06
8.625 	 0.000e+00 	 1.561e+06
8.675 	 0.000e+00 	 1.561e+06
8.725 	 1.561e+06 	 1.561e+06
8.775 	 0.000e+00 	 1.561e+06
8.825 	 0.000e+00 	 1.561e+06
8.875 	 0.000e+00 	 1.561e+06
8.925 	 0.000e+00 	 1.561e+06
8.975 	 0.000e+00 	 1.561e+06
9.025 	 1.561e+06 	 1.561e+06
9.075 	 0.000e+00 	 1.561e+06
9.125 	 0.000e+00 	 1.561e+06
9.175 	 0.000e+00 	 1.561e+06
9.225 	 0.000e+00 	 1.561e+06
9.275 	 0.000e+00 	 1.561e+06
9.325 	 0.000e+00 	 1.561e+06
9.375 	 0.000e+00 	 1.561e+06
9.425 	 0.000e+00 	 1.561e+06
9.475 	 0.000e+00 	 1.561e+06
9.525 	 1.561e+06 	 1.561e+06
9.575 	 0.000e+00 	 1.561e+06
9.625 	 0.000e+00 	 1.561e+06
9.675 	 0.000e+00 	 1.561e+06
9.725 	 1.561e+06 	 1.561e+06
9.775 	 0.000e+00 	 1.561e+06
9.825 	 0.000e+00 	 1.561e+06
9.875 	 0.000e+00 	 1.561e+06
9.925 	 0.000e+00 	 1.561e+06
9.975 	 0.000e+00 	 1.561e+06
10.025 	 0.000e+00 	 1.561e+06
10.075 	 0.000e+00 	 1.561e+06
10.125 	 0.000e+00 	 1.561e+06
10.175 	 0.000e+00 	 1.561e+06
10.225 	 0.000e+00 	 1.561e+06
10.275 	 1.561e+06 	 1.561e+06
10.325 	 0.000e+00 	 1.561e+06
10.375 	 1.561e+06 	 1.561e+06
10.425 	 1.561e+06 	 1.561e+06
10.475 	 1.561e+06 	 1.561e+06
10.525 	 1.561e+06 	 1.561e+06
10.575 	 0.000e+00 	 1.561e+06
10.625 	 0.000e+00 	 1.561e+06
10.675 	 0.000e+00 	 1.561e+06
10.725 	 1.561e+06 	 1.561e+06
10.775 	 1.561e+06 	 1.561e+06
10.825 	 0.000e+00 	 1.561e+06
10.875 	 0.000e+00 	 1.561e+06
10.925 	 0.000e+00 	 1.561e+06
10.975 	 0.000e+00 	 1.561e+06
11.025 	 1.561e+06 	 1.561e+06
11.075 	 0.000e+00 	 1.561e+06
11.125 	 0.000e+00 	 1.561e+06
11.175 	 0.000e+00 	 1.561e+06
11.225 	 0.000e+00 	 1.561e+06
11.275 	 0.000e+00 	 1.561e+06
11.325 	 0.000e+00 	 1.561e+06
11.375 	 0.000e+00 	 1.561e+06
11.425 	 1.561e+06 	 1.561e+06
11.475 	 0.000e+00 	 1.561e+06
11.525 	 0.000e+00 	 1.561e+06
11.575 	 0.000e+00 	 1.561e+06
11.625 	 0.000e+00 	 1.561e+06
11.675 	 0.000e+00 	 1.561e+06
11.725 	 3.123e+06 	 2.208e+06
11.775 	 0.000e+00 	 1.561e+06
11.825 	 3.123e+06 	 2.208e+06
11.875 	 0.000e+00 	 1.561e+06
11.925 	 0.000e+00 	 1.561e+06
11.975 	 0.000e+00 	 1.561e+06
12.025 	 0.000e+00 	 1.561e+06
12.075 	 1.561e+06 	 1.561e+06
12.125 	 0.000e+00 	 1.561e+06
12.175 	 0.000e+00 	 1.561e+06
12.225 	 0.000e+00 	 1.561e+06
12.275 	 0.000e+00 	 1.561e+06
12.325 	 0.000e+00 	 1.561e+06
12.375 	 0.000e+00 	 1.561e+06
12.425 	 0.000e+00 	 1.561e+06
12.475 	 0.000e+00 	 1.561e+06
12.525 	 0.000e+00 	 1.561e+06
12.575 	 0.000e+00 	 1.561e+06
12.625 	 1.561e+06 	 1.561e+06
12.675 	 0.000e+00 	 1.561e+06
12.725 	 0.000e+00 	 1.561e+06
12.775 	 0.000e+00 	 1.561e+06
12.825 	 0.000e+00 	 1.561e+06
12.875 	 0.000e+00 	 1.561e+06
12.925 	 0.000e+00 	 1.561e+06
12.975 	 0.000e+00 	 1.561e+06
13.025 	 0.000e+00 	 1.561e+06
13.075 	 1.561e+06 	 1.561e+06
13.125 	 0.000e+00 	 1.561e+06
13.175 	 0.000e+00 	 1.561e+06
13.225 	 0.000e+00 	 1.561e+06
13.275 	 0.000e+00 	 1.561e+06
13.325 	 0.000e+00 	 1.561e+06
13.375 	 1.561e+06 	 1.561e+06
13.425 	 0.000e+00 	 1.561e+06
13.475 	 0.000e+00 	 1.561e+06
13.525 	 1.561e+06 	 1.561e+06
13.575 	 0.000e+00 	 1.561e+06
13.625 	 1.561e+06 	 1.561e+06
13.675 	 1.561e+06 	 1.561e+06
13.725 	 0.000e+00 	 1.561e+06
13.775 	 1.561e+06 	 1.561e+06
13.825 	 1.561e+06 	 1.561e+06
13.875 	 0.000e+00 	 1.561e+06
13.925 	 0.000e+00 	 1.561e+06
13.975 	 0.000e+00 	 1.561e+06
14.025 	 1.561e+06 	 1.561e+06
14.075 	 4.684e+06 	 2.704e+06
14.125 	 0.000e+00 	 1.561e+06
14.175 	 4.684e+06 	 2.704e+06
14.225 	 1.561e+06 	 1.561e+06
14.275 	 9.369e+06 	 3.825e+06
14.325 	 1.405e+07 	 4.684e+06
14.375 	 1.093e+07 	 4.131e+06
14.425 	 2.030e+07 	 5.630e+06
14.475 	 2.498e+07 	 6.246e+06
14.525 	 3.435e+07 	 7.324e+06
14.575 	 5.309e+07 	 9.105e+06
14.625 	 8.744e+07 	 1.168e+07
14.675 	 8.900e+07 	 1.179e+07
14.725 	 1.202e+08 	 1.370e+07
14.775 	 1.312e+08 	 1.431e+07
14.825 	 1.655e+08 	 1.608e+07
14.875 	 1.967e+08 	 1.753e+07
14.925 	 1.842e+08 	 1.696e+07
14.975 	 2.498e+08 	 1.975e+07
15.025 	 2.311e+08 	 1.900e+07
15.075 	 1.999e+08 	 1.767e+07
15.125 	 1.983e+08 	 1.760e+07
15.175 	 2.061e+08 	 1.794e+07
15.225 	 1.827e+08 	 1.689e+07
15.275 	 1.530e+08 	 1.546e+07
15.325 	 1.171e+08 	 1.352e+07
15.375 	 9.993e+07 	 1.249e+07
15.425 	 8.744e+07 	 1.168e+07
15.475 	 7.183e+07 	 1.059e+07
15.525 	 5.777e+07 	 9.498e+06
15.575 	 2.498e+07 	 6.246e+06
15.625 	 2.030e+07 	 5.630e+06
15.675 	 7.807e+06 	 3.491e+06
15.725 	 1.561e+07 	 4.938e+06
15.775 	 1.405e+07 	 4.684e+06
15.825 	 4.684e+06 	 2.704e+06
15.875 	 4.684e+06 	 2.704e+06
15.925 	 3.123e+06 	 2.208e+06
15.975 	 0.000e+00 	 1.561e+06
16.025 	 3.123e+06 	 2.208e+06
16.075 	 1.561e+06 	 1.561e+06
16.125 	 0.000e+00 	 1.561e+06
16.175 	 0.000e+00 	 1.561e+06
16.225 	 0.000e+00 	 1.561e+06
16.275 	 0.000e+00 	 1.561e+06
16.325 	 1.561e+06 	 1.561e+06
16.375 	 0.000e+00 	 1.561e+06
16.425 	 0.000e+00 	 1.561e+06
16.475 	 0.000e+00 	 1.561e+06
16.525 	 0.000e+00 	 1.561e+06
16.575 	 0.000e+00 	 1.561e+06
16.625 	 0.000e+00 	 1.561e+06
