WRF ANALYSIS
Date & time = ,2024-03-18, 15:16
Display format=,3
Program version:,2021-05-25

Scan file = ,O111184_P2_G093_WA1128_5h_s4
Port & distance (cm) =,p2,26.0
WRF ID; Al blast(um) & cal=,13425923-g093 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.119,1.157,-0.981,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,63,
C; e; Dmax; dDmax; Dscale =,35,15
Dlow; Dhigh; Dauto; Elims =,0.00,200.00,no

DvE fit: c; dc; red. Chi^2 =, 1.208,0.036,1.81

Fit limits (MeV):,13.500,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 14.782,0.274,1.078e+08
Value (raw stats):, 14.786,0.260,1.077e+08
Uncertainties
    Random:, 0.039,0.008,11.57%
    Systematic calib:, 0.050,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.009,0.008,3.76%
     DvE:, 0.016,0.002,10.94%
     Dmax:, 0.011,0.000,0.35%
     WRF nonlinearity:, 0.014,0.000,0.00%
     Cal. & processing:, 0.030,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.675 	 0.000e+00 	 0.000e+00
4.725 	 0.000e+00 	 0.000e+00
4.775 	 0.000e+00 	 0.000e+00
4.825 	 0.000e+00 	 0.000e+00
4.875 	 0.000e+00 	 0.000e+00
4.925 	 -7.006e+05 	 2.997e+07
4.975 	 -6.205e+05 	 1.318e+07
5.025 	 -6.059e+05 	 7.665e+06
5.075 	 -6.103e+05 	 7.665e+06
5.125 	 -6.420e+05 	 5.003e+06
5.175 	 -6.466e+05 	 5.003e+06
5.225 	 -7.653e+05 	 3.486e+06
5.275 	 -7.710e+05 	 3.486e+06
5.325 	 1.845e+06 	 2.538e+06
5.375 	 -6.957e+05 	 2.538e+06
5.425 	 -7.004e+05 	 2.538e+06
5.475 	 -7.716e+05 	 1.910e+06
5.525 	 -7.769e+05 	 1.910e+06
5.575 	 -7.821e+05 	 1.910e+06
5.625 	 6.607e+05 	 1.474e+06
5.675 	 6.554e+05 	 1.474e+06
5.725 	 -8.201e+05 	 1.474e+06
5.775 	 6.446e+05 	 1.474e+06
5.825 	 6.392e+05 	 1.474e+06
5.875 	 -8.362e+05 	 1.474e+06
5.925 	 -8.415e+05 	 1.474e+06
5.975 	 6.231e+05 	 1.474e+06
6.025 	 -8.523e+05 	 1.474e+06
6.075 	 6.123e+05 	 1.474e+06
6.125 	 6.070e+05 	 1.474e+06
6.175 	 -8.683e+05 	 1.474e+06
6.225 	 5.965e+05 	 1.474e+06
6.275 	 -8.789e+05 	 1.474e+06
6.325 	 -8.840e+05 	 1.474e+06
6.375 	 -8.894e+05 	 1.474e+06
6.425 	 -8.946e+05 	 1.474e+06
6.475 	 -8.998e+05 	 1.474e+06
6.525 	 -9.049e+05 	 1.474e+06
6.575 	 -9.100e+05 	 1.474e+06
6.625 	 -9.154e+05 	 1.474e+06
6.675 	 -9.204e+05 	 1.475e+06
6.725 	 -9.256e+05 	 1.475e+06
6.775 	 5.391e+05 	 1.475e+06
6.825 	 -9.361e+05 	 1.475e+06
6.875 	 -9.412e+05 	 1.475e+06
6.925 	 5.237e+05 	 1.475e+06
6.975 	 5.185e+05 	 1.475e+06
7.025 	 5.133e+05 	 1.475e+06
7.075 	 5.082e+05 	 1.475e+06
7.125 	 -9.671e+05 	 1.475e+06
7.175 	 1.968e+06 	 2.082e+06
7.225 	 -9.773e+05 	 1.475e+06
7.275 	 4.877e+05 	 1.475e+06
7.325 	 -9.877e+05 	 1.475e+06
7.375 	 4.774e+05 	 1.475e+06
7.425 	 -9.979e+05 	 1.475e+06
7.475 	 4.672e+05 	 1.475e+06
7.525 	 -1.008e+06 	 1.475e+06
7.575 	 -1.013e+06 	 1.475e+06
7.625 	 -1.018e+06 	 1.476e+06
7.675 	 1.917e+06 	 2.083e+06
7.725 	 -1.028e+06 	 1.476e+06
7.775 	 4.365e+05 	 1.476e+06
7.825 	 4.314e+05 	 1.476e+06
7.875 	 -1.044e+06 	 1.476e+06
7.925 	 -1.049e+06 	 1.476e+06
7.975 	 3.356e+06 	 2.550e+06
8.025 	 -1.059e+06 	 1.476e+06
8.075 	 4.062e+05 	 1.476e+06
8.125 	 1.871e+06 	 2.083e+06
8.175 	 1.866e+06 	 2.083e+06
8.225 	 3.910e+05 	 1.476e+06
8.275 	 1.856e+06 	 2.083e+06
8.325 	 -1.089e+06 	 1.476e+06
8.375 	 -1.094e+06 	 1.476e+06
8.425 	 -1.099e+06 	 1.476e+06
8.475 	 3.659e+05 	 1.477e+06
8.525 	 4.771e+06 	 2.943e+06
8.575 	 3.559e+05 	 1.477e+06
8.625 	 3.291e+06 	 2.550e+06
8.675 	 3.286e+06 	 2.550e+06
8.725 	 3.411e+05 	 1.477e+06
8.775 	 -1.134e+06 	 1.477e+06
8.825 	 -1.139e+06 	 1.477e+06
8.875 	 3.266e+06 	 2.550e+06
8.925 	 -1.149e+06 	 1.477e+06
8.975 	 -1.154e+06 	 1.477e+06
9.025 	 -1.159e+06 	 1.477e+06
9.075 	 1.777e+06 	 2.084e+06
9.125 	 3.017e+05 	 1.477e+06
9.175 	 2.968e+05 	 1.477e+06
9.225 	 2.918e+05 	 1.477e+06
9.275 	 -1.183e+06 	 1.477e+06
9.325 	 1.752e+06 	 2.084e+06
9.375 	 1.747e+06 	 2.084e+06
9.425 	 -1.198e+06 	 1.478e+06
9.475 	 1.737e+06 	 2.084e+06
9.525 	 2.625e+05 	 1.478e+06
9.575 	 -1.212e+06 	 1.478e+06
9.625 	 2.527e+05 	 1.478e+06
9.675 	 2.479e+05 	 1.478e+06
9.725 	 1.713e+06 	 2.085e+06
9.775 	 1.708e+06 	 2.085e+06
9.825 	 2.333e+05 	 1.478e+06
9.875 	 1.698e+06 	 2.085e+06
9.925 	 -1.246e+06 	 1.478e+06
9.975 	 2.188e+05 	 1.478e+06
10.025 	 2.138e+05 	 1.478e+06
10.075 	 2.091e+05 	 1.478e+06
10.125 	 1.674e+06 	 2.085e+06
10.175 	 1.993e+05 	 1.479e+06
10.225 	 -1.275e+06 	 1.479e+06
10.275 	 1.896e+05 	 1.479e+06
10.325 	 1.655e+06 	 2.085e+06
10.375 	 1.801e+05 	 1.479e+06
10.425 	 -1.295e+06 	 1.479e+06
10.475 	 -1.300e+06 	 1.479e+06
10.525 	 1.657e+05 	 1.479e+06
10.575 	 1.609e+05 	 1.479e+06
10.625 	 1.626e+06 	 2.085e+06
10.675 	 1.513e+05 	 1.479e+06
10.725 	 1.466e+05 	 1.479e+06
10.775 	 -1.328e+06 	 1.479e+06
10.825 	 -1.333e+06 	 1.479e+06
10.875 	 1.602e+06 	 2.086e+06
10.925 	 3.068e+06 	 2.552e+06
10.975 	 -1.347e+06 	 1.480e+06
11.025 	 -1.352e+06 	 1.480e+06
11.075 	 -1.357e+06 	 1.480e+06
11.125 	 -1.362e+06 	 1.480e+06
11.175 	 1.574e+06 	 2.086e+06
11.225 	 9.904e+04 	 1.480e+06
11.275 	 -1.376e+06 	 1.480e+06
11.325 	 1.560e+06 	 2.086e+06
11.375 	 4.495e+06 	 2.945e+06
11.425 	 -1.390e+06 	 1.480e+06
11.475 	 -1.395e+06 	 1.480e+06
11.525 	 -1.399e+06 	 1.480e+06
11.575 	 6.587e+04 	 1.480e+06
11.625 	 -1.409e+06 	 1.481e+06
11.675 	 5.654e+04 	 1.481e+06
11.725 	 -1.418e+06 	 1.481e+06
11.775 	 -1.423e+06 	 1.481e+06
11.825 	 4.238e+04 	 1.481e+06
11.875 	 4.448e+06 	 2.946e+06
11.925 	 1.503e+06 	 2.087e+06
11.975 	 -1.442e+06 	 1.481e+06
12.025 	 2.361e+04 	 1.481e+06
12.075 	 1.489e+06 	 2.087e+06
12.125 	 -1.456e+06 	 1.481e+06
12.175 	 -1.460e+06 	 1.481e+06
12.225 	 5.058e+03 	 1.481e+06
