WRF ANALYSIS
Date & time = ,2024-03-18, 15:17
Display format=,3
Program version:,2021-05-25

Scan file = ,O111186_P2_G156_WA1129_4h_s3
Port & distance (cm) =,p2,26.0
WRF ID; Al blast(um) & cal=,g156 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.122,1.148,-0.976,1.000
Back x0; x1; y0; y1 (cm) =,64,77,0,63,
C; e; Dmax; dDmax; Dscale =,35,15
Dlow; Dhigh; Dauto; Elims =,0.00,200.00,no

DvE fit: c; dc; red. Chi^2 =, 1.246,0.030,2.39

Fit limits (MeV):,13.500,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 14.975,0.277,2.843e+08
Value (raw stats):, 14.983,0.264,2.834e+08
Uncertainties
    Random:, 0.038,0.006,10.01%
    Systematic calib:, 0.049,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.007,0.006,2.43%
     DvE:, 0.013,0.001,9.70%
     Dmax:, 0.012,0.000,0.39%
     WRF nonlinearity:, 0.013,0.000,0.00%
     Cal. & processing:, 0.029,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.675 	 0.000e+00 	 0.000e+00
4.725 	 0.000e+00 	 0.000e+00
4.775 	 0.000e+00 	 0.000e+00
4.825 	 0.000e+00 	 0.000e+00
4.875 	 0.000e+00 	 0.000e+00
4.925 	 -8.687e+05 	 3.250e+07
4.975 	 -7.750e+05 	 1.439e+07
5.025 	 -5.142e+05 	 8.426e+06
5.075 	 -5.179e+05 	 8.426e+06
5.125 	 -4.565e+05 	 5.530e+06
5.175 	 3.439e+06 	 3.870e+06
5.225 	 3.436e+06 	 3.870e+06
5.275 	 -4.969e+05 	 2.828e+06
5.325 	 -5.003e+05 	 2.828e+06
5.375 	 -5.039e+05 	 2.828e+06
5.425 	 -4.593e+05 	 2.134e+06
5.475 	 -4.625e+05 	 2.134e+06
5.525 	 -4.801e+05 	 1.651e+06
5.575 	 -4.834e+05 	 1.651e+06
5.625 	 2.811e+06 	 2.333e+06
5.675 	 -4.899e+05 	 1.651e+06
5.725 	 1.156e+06 	 1.651e+06
5.775 	 -4.963e+05 	 1.651e+06
5.825 	 -4.996e+05 	 1.651e+06
5.875 	 -5.028e+05 	 1.651e+06
5.925 	 1.143e+06 	 1.651e+06
5.975 	 1.140e+06 	 1.651e+06
6.025 	 1.137e+06 	 1.651e+06
6.075 	 1.133e+06 	 1.651e+06
6.125 	 2.779e+06 	 2.334e+06
6.175 	 -5.221e+05 	 1.651e+06
6.225 	 2.773e+06 	 2.334e+06
6.275 	 -5.284e+05 	 1.651e+06
6.325 	 1.118e+06 	 1.651e+06
6.375 	 -5.348e+05 	 1.651e+06
6.425 	 -5.379e+05 	 1.651e+06
6.475 	 1.108e+06 	 1.651e+06
6.525 	 1.105e+06 	 1.651e+06
6.575 	 -5.472e+05 	 1.651e+06
6.625 	 -5.504e+05 	 1.651e+06
6.675 	 -5.535e+05 	 1.651e+06
6.725 	 -5.566e+05 	 1.651e+06
6.775 	 -5.597e+05 	 1.651e+06
6.825 	 -5.629e+05 	 1.651e+06
6.875 	 1.083e+06 	 1.652e+06
6.925 	 -5.690e+05 	 1.652e+06
6.975 	 -5.722e+05 	 1.652e+06
7.025 	 -5.753e+05 	 1.652e+06
7.075 	 -5.783e+05 	 1.652e+06
7.125 	 -5.815e+05 	 1.652e+06
7.175 	 1.065e+06 	 1.652e+06
7.225 	 -5.877e+05 	 1.652e+06
7.275 	 -5.907e+05 	 1.652e+06
7.325 	 4.353e+06 	 2.858e+06
7.375 	 -5.969e+05 	 1.652e+06
7.425 	 -6.000e+05 	 1.652e+06
7.475 	 -6.030e+05 	 1.652e+06
7.525 	 -6.062e+05 	 1.652e+06
7.575 	 -6.092e+05 	 1.652e+06
7.625 	 -6.123e+05 	 1.652e+06
7.675 	 -6.154e+05 	 1.652e+06
7.725 	 -6.183e+05 	 1.652e+06
7.775 	 1.028e+06 	 1.652e+06
7.825 	 -6.245e+05 	 1.652e+06
7.875 	 1.022e+06 	 1.652e+06
7.925 	 -6.306e+05 	 1.652e+06
7.975 	 1.015e+06 	 1.652e+06
8.025 	 -6.367e+05 	 1.652e+06
8.075 	 1.009e+06 	 1.652e+06
8.125 	 -6.428e+05 	 1.652e+06
8.175 	 -6.458e+05 	 1.652e+06
8.225 	 -6.488e+05 	 1.652e+06
8.275 	 -6.519e+05 	 1.652e+06
8.325 	 2.643e+06 	 2.334e+06
8.375 	 -6.579e+05 	 1.652e+06
8.425 	 -6.609e+05 	 1.652e+06
8.475 	 -6.639e+05 	 1.652e+06
8.525 	 9.822e+05 	 1.652e+06
8.575 	 9.792e+05 	 1.652e+06
8.625 	 -6.729e+05 	 1.653e+06
8.675 	 -6.759e+05 	 1.653e+06
8.725 	 -6.788e+05 	 1.653e+06
8.775 	 -6.818e+05 	 1.653e+06
8.825 	 -6.849e+05 	 1.653e+06
8.875 	 -6.878e+05 	 1.653e+06
8.925 	 -6.908e+05 	 1.653e+06
8.975 	 -6.937e+05 	 1.653e+06
9.025 	 9.525e+05 	 1.653e+06
9.075 	 -6.995e+05 	 1.653e+06
9.125 	 2.596e+06 	 2.335e+06
9.175 	 9.436e+05 	 1.653e+06
9.225 	 9.406e+05 	 1.653e+06
9.275 	 9.377e+05 	 1.653e+06
9.325 	 9.347e+05 	 1.653e+06
9.375 	 -7.172e+05 	 1.653e+06
9.425 	 9.288e+05 	 1.653e+06
9.475 	 -7.231e+05 	 1.653e+06
9.525 	 -7.261e+05 	 1.653e+06
9.575 	 9.200e+05 	 1.653e+06
9.625 	 -7.320e+05 	 1.653e+06
9.675 	 -7.349e+05 	 1.653e+06
9.725 	 2.560e+06 	 2.335e+06
9.775 	 -7.408e+05 	 1.653e+06
9.825 	 -7.437e+05 	 1.653e+06
9.875 	 2.552e+06 	 2.335e+06
9.925 	 -7.495e+05 	 1.653e+06
9.975 	 -7.524e+05 	 1.653e+06
10.025 	 -7.554e+05 	 1.653e+06
10.075 	 -7.582e+05 	 1.653e+06
10.125 	 8.879e+05 	 1.653e+06
10.175 	 -7.641e+05 	 1.653e+06
10.225 	 -7.669e+05 	 1.654e+06
10.275 	 8.792e+05 	 1.654e+06
10.325 	 -7.727e+05 	 1.654e+06
10.375 	 8.734e+05 	 1.654e+06
10.425 	 8.705e+05 	 1.654e+06
10.475 	 8.676e+05 	 1.654e+06
10.525 	 2.514e+06 	 2.335e+06
10.575 	 8.619e+05 	 1.654e+06
10.625 	 -7.900e+05 	 1.654e+06
10.675 	 -7.929e+05 	 1.654e+06
10.725 	 -7.958e+05 	 1.654e+06
10.775 	 8.504e+05 	 1.654e+06
10.825 	 -8.016e+05 	 1.654e+06
10.875 	 -8.044e+05 	 1.654e+06
10.925 	 -8.073e+05 	 1.654e+06
10.975 	 -8.102e+05 	 1.654e+06
11.025 	 -8.130e+05 	 1.654e+06
11.075 	 -8.159e+05 	 1.654e+06
11.125 	 -8.187e+05 	 1.654e+06
11.175 	 8.275e+05 	 1.654e+06
11.225 	 8.247e+05 	 1.654e+06
11.275 	 4.120e+06 	 2.859e+06
11.325 	 8.190e+05 	 1.654e+06
11.375 	 -8.329e+05 	 1.654e+06
11.425 	 -8.357e+05 	 1.654e+06
11.475 	 -8.386e+05 	 1.654e+06
11.525 	 -8.414e+05 	 1.654e+06
11.575 	 -8.443e+05 	 1.654e+06
11.625 	 -8.472e+05 	 1.655e+06
11.675 	 -8.499e+05 	 1.655e+06
11.725 	 -8.528e+05 	 1.655e+06
11.775 	 -8.556e+05 	 1.655e+06
11.825 	 -8.584e+05 	 1.655e+06
11.875 	 7.878e+05 	 1.655e+06
11.925 	 -8.640e+05 	 1.655e+06
11.975 	 2.431e+06 	 2.336e+06
12.025 	 -8.697e+05 	 1.655e+06
12.075 	 7.766e+05 	 1.655e+06
12.125 	 7.738e+05 	 1.655e+06
12.175 	 -8.781e+05 	 1.655e+06
