WRF ANALYSIS
Date & time = ,2024-03-18, 15:49
Display format=,3
Program version:,2021-05-25

Scan file = ,O111190_P2_G077_WA1131_4.5h_s4
Port & distance (cm) =,p2,26.0
WRF ID; Al blast(um) & cal=,13425907-g077 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.119,1.157,-0.981,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,63,
C; e; Dmax; dDmax; Dscale =,35,15,16.50,0.25,new
Dlow; Dhigh; Dauto; Elims =,9.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.188,0.029,1.84

Fit limits (MeV):,13.500,16.500,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 14.825,0.264,1.052e+08
Value (raw stats):, 14.828,0.256,1.058e+08
Uncertainties
    Random:, 0.038,0.006,9.34%
    Systematic calib:, 0.049,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.009,0.004,5.29%
     DvE:, 0.012,0.005,7.69%
     Dmax:, 0.011,0.000,0.37%
     WRF nonlinearity:, 0.013,0.000,0.00%
     Cal. & processing:, 0.030,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.475 	 0.000e+00 	 0.000e+00
4.525 	 0.000e+00 	 0.000e+00
4.575 	 0.000e+00 	 0.000e+00
4.625 	 0.000e+00 	 0.000e+00
4.675 	 0.000e+00 	 0.000e+00
4.725 	 -2.191e+05 	 2.911e+07
4.775 	 1.256e+07 	 1.276e+07
4.825 	 -1.696e+05 	 7.399e+06
4.875 	 -1.709e+05 	 7.399e+06
4.925 	 -1.121e+05 	 4.817e+06
4.975 	 -1.130e+05 	 4.817e+06
5.025 	 -1.055e+05 	 3.349e+06
5.075 	 -1.063e+05 	 3.349e+06
5.125 	 -9.727e+04 	 2.434e+06
5.175 	 -9.797e+04 	 2.434e+06
5.225 	 -9.866e+04 	 2.434e+06
5.275 	 -1.045e+05 	 1.829e+06
5.325 	 -1.052e+05 	 1.829e+06
5.375 	 -1.060e+05 	 1.829e+06
5.425 	 -1.291e+05 	 1.408e+06
5.475 	 -1.300e+05 	 1.408e+06
5.525 	 -1.309e+05 	 1.408e+06
5.575 	 -1.317e+05 	 1.408e+06
5.625 	 -1.326e+05 	 1.408e+06
5.675 	 -1.335e+05 	 1.408e+06
5.725 	 -1.344e+05 	 1.408e+06
5.775 	 -1.353e+05 	 1.408e+06
5.825 	 -1.362e+05 	 1.408e+06
