WRF ANALYSIS
Date & time = ,2024-03-18, 15:50
Display format=,3
Program version:,2021-05-25

Scan file = ,O111192_P2_G094_WA1132_4.5h_s3
Port & distance (cm) =,p2,26.0
WRF ID; Al blast(um) & cal=,13425924-g094 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.122,1.148,-0.976,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,63,
Back x0; x1; y0; y1 (cm) =,67,77,0,63,
C; e; Dmax; dDmax; Dscale =,13,15
Dlow; Dhigh; Dauto; Elims =,0.00,200.00,no

DvE fit: c; dc; red. Chi^2 =, 1.293,0.049,2.28

Fit limits (MeV):,13.500,16.500,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 14.944,0.283,1.623e+08
Value (raw stats):, 14.946,0.273,1.621e+08
Uncertainties
    Random:, 0.041,0.014,17.91%
    Systematic calib:, 0.049,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.010,0.011,2.83%
     DvE:, 0.021,0.009,17.68%
     Dmax:, 0.012,0.000,0.37%
     WRF nonlinearity:, 0.013,0.000,0.00%
     Cal. & processing:, 0.029,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.725 	 0.000e+00 	 0.000e+00
4.775 	 0.000e+00 	 0.000e+00
4.825 	 0.000e+00 	 0.000e+00
4.875 	 0.000e+00 	 0.000e+00
4.925 	 0.000e+00 	 0.000e+00
4.975 	 -2.201e+05 	 1.615e+07
5.025 	 -1.847e+05 	 9.538e+06
5.075 	 -1.587e+05 	 6.308e+06
5.125 	 -1.597e+05 	 6.308e+06
5.175 	 -1.610e+05 	 4.444e+06
5.225 	 -1.621e+05 	 4.444e+06
5.275 	 -1.472e+05 	 3.265e+06
5.325 	 -1.482e+05 	 3.265e+06
5.375 	 -1.451e+05 	 2.474e+06
5.425 	 -1.462e+05 	 2.474e+06
5.475 	 -1.345e+05 	 1.921e+06
5.525 	 -1.357e+05 	 1.921e+06
5.575 	 -1.368e+05 	 1.921e+06
5.625 	 -1.379e+05 	 1.921e+06
5.675 	 -1.390e+05 	 1.921e+06
5.725 	 -1.402e+05 	 1.921e+06
5.775 	 -1.413e+05 	 1.921e+06
5.825 	 -1.424e+05 	 1.921e+06
5.875 	 -1.436e+05 	 1.921e+06
5.925 	 -1.447e+05 	 1.921e+06
5.975 	 -1.459e+05 	 1.921e+06
6.025 	 -1.470e+05 	 1.921e+06
6.075 	 -1.482e+05 	 1.921e+06
6.125 	 -1.494e+05 	 1.921e+06
6.175 	 1.770e+06 	 1.921e+06
6.225 	 -1.517e+05 	 1.921e+06
6.275 	 1.768e+06 	 1.921e+06
6.325 	 -1.540e+05 	 1.921e+06
6.375 	 -1.552e+05 	 1.921e+06
6.425 	 1.764e+06 	 1.921e+06
6.475 	 -1.575e+05 	 1.921e+06
6.525 	 -1.586e+05 	 1.921e+06
6.575 	 -1.598e+05 	 1.921e+06
6.625 	 -1.610e+05 	 1.921e+06
6.675 	 -1.622e+05 	 1.921e+06
6.725 	 -1.633e+05 	 1.921e+06
6.775 	 -1.646e+05 	 1.921e+06
6.825 	 -1.657e+05 	 1.921e+06
6.875 	 -1.669e+05 	 1.921e+06
6.925 	 -1.681e+05 	 1.921e+06
6.975 	 -1.694e+05 	 1.921e+06
7.025 	 -1.706e+05 	 1.921e+06
7.075 	 -1.718e+05 	 1.921e+06
7.125 	 -1.730e+05 	 1.921e+06
7.175 	 1.746e+06 	 1.921e+06
7.225 	 -1.754e+05 	 1.921e+06
7.275 	 -1.766e+05 	 1.921e+06
7.325 	 1.743e+06 	 1.921e+06
7.375 	 -1.791e+05 	 1.921e+06
7.425 	 -1.804e+05 	 1.921e+06
7.475 	 1.739e+06 	 1.921e+06
7.525 	 -1.829e+05 	 1.921e+06
7.575 	 -1.841e+05 	 1.921e+06
7.625 	 -1.854e+05 	 1.921e+06
7.675 	 -1.866e+05 	 1.921e+06
7.725 	 -1.879e+05 	 1.921e+06
7.775 	 -1.892e+05 	 1.921e+06
7.825 	 1.730e+06 	 1.921e+06
7.875 	 1.729e+06 	 1.921e+06
7.925 	 -1.930e+05 	 1.921e+06
7.975 	 -1.943e+05 	 1.921e+06
8.025 	 -1.956e+05 	 1.921e+06
8.075 	 -1.968e+05 	 1.921e+06
8.125 	 -1.982e+05 	 1.921e+06
8.175 	 1.721e+06 	 1.921e+06
8.225 	 -2.008e+05 	 1.921e+06
8.275 	 -2.021e+05 	 1.921e+06
8.325 	 -2.034e+05 	 1.921e+06
8.375 	 -2.047e+05 	 1.921e+06
8.425 	 -2.060e+05 	 1.921e+06
8.475 	 -2.073e+05 	 1.921e+06
8.525 	 -2.087e+05 	 1.921e+06
