WRF ANALYSIS
Date & time = ,2024-03-18, 15:52
Display format=,3
Program version:,2021-05-25

Scan file = ,O111199_P2_G156_WA1134_5h_s4
Port & distance (cm) =,p2,26.0
WRF ID; Al blast(um) & cal=,g156 *,0,cal17.0124

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.119,1.157,-0.981,1.000
Back x0; x1; y0; y1 (cm) =,0,11,0,63,
C; e; Dmax; dDmax; Dscale =,10,15,18.00,0.25,new
Dlow; Dhigh; Dauto; Elims =,9.00,17.00,no

DvE fit: c; dc; red. Chi^2 =, 1.198,0.044,3.44

Fit limits (MeV):,13.500,16.500,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):, 14.953,0.276,1.170e+08
Value (raw stats):, 14.951,0.254,1.155e+08
Uncertainties
    Random:, 0.041,0.011,13.80%
    Systematic calib:, 0.049,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.012,0.011,3.52%
     DvE:, 0.020,0.003,13.34%
     Dmax:, 0.010,0.000,0.33%
     WRF nonlinearity:, 0.013,0.000,0.00%
     Cal. & processing:, 0.029,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
4.725 	 0.000e+00 	 0.000e+00
4.775 	 0.000e+00 	 0.000e+00
4.825 	 0.000e+00 	 0.000e+00
4.875 	 0.000e+00 	 0.000e+00
4.925 	 0.000e+00 	 0.000e+00
4.975 	 -2.311e+05 	 2.950e+07
5.025 	 -2.043e+05 	 1.295e+07
5.075 	 -2.058e+05 	 1.295e+07
5.125 	 -1.204e+05 	 7.520e+06
5.175 	 -2.371e+05 	 4.901e+06
5.225 	 -2.388e+05 	 4.901e+06
5.275 	 -2.232e+05 	 3.411e+06
5.325 	 -2.247e+05 	 3.411e+06
5.375 	 -2.469e+05 	 2.481e+06
5.425 	 -2.486e+05 	 2.481e+06
5.475 	 -2.503e+05 	 2.481e+06
5.525 	 -2.210e+05 	 1.865e+06
5.575 	 -2.225e+05 	 1.865e+06
5.625 	 -2.240e+05 	 1.865e+06
5.675 	 -2.233e+05 	 1.437e+06
5.725 	 -2.248e+05 	 1.437e+06
5.775 	 -2.263e+05 	 1.437e+06
5.825 	 1.208e+06 	 1.437e+06
5.875 	 -2.292e+05 	 1.437e+06
5.925 	 -2.307e+05 	 1.437e+06
5.975 	 -2.322e+05 	 1.437e+06
6.025 	 -2.336e+05 	 1.437e+06
6.075 	 -2.351e+05 	 1.437e+06
6.125 	 -2.366e+05 	 1.437e+06
6.175 	 -2.380e+05 	 1.437e+06
6.225 	 -2.395e+05 	 1.437e+06
6.275 	 -2.409e+05 	 1.437e+06
6.325 	 2.629e+06 	 2.031e+06
6.375 	 -2.438e+05 	 1.437e+06
6.425 	 -2.452e+05 	 1.437e+06
6.475 	 -2.466e+05 	 1.437e+06
6.525 	 -2.481e+05 	 1.437e+06
6.575 	 -2.494e+05 	 1.437e+06
6.625 	 -2.509e+05 	 1.437e+06
6.675 	 -2.523e+05 	 1.437e+06
6.725 	 -2.537e+05 	 1.437e+06
6.775 	 -2.552e+05 	 1.437e+06
6.825 	 -2.566e+05 	 1.437e+06
6.875 	 -2.580e+05 	 1.437e+06
6.925 	 -2.594e+05 	 1.437e+06
6.975 	 1.175e+06 	 1.437e+06
7.025 	 -2.623e+05 	 1.437e+06
7.075 	 -2.636e+05 	 1.437e+06
7.125 	 -2.651e+05 	 1.437e+06
7.175 	 -2.665e+05 	 1.437e+06
7.225 	 -2.679e+05 	 1.437e+06
7.275 	 -2.693e+05 	 1.437e+06
7.325 	 -2.707e+05 	 1.437e+06
7.375 	 -2.721e+05 	 1.437e+06
7.425 	 -2.735e+05 	 1.437e+06
7.475 	 -2.749e+05 	 1.437e+06
7.525 	 -2.763e+05 	 1.437e+06
7.575 	 -2.777e+05 	 1.437e+06
7.625 	 1.157e+06 	 1.437e+06
7.675 	 -2.805e+05 	 1.437e+06
7.725 	 -2.819e+05 	 1.437e+06
7.775 	 1.153e+06 	 1.437e+06
7.825 	 -2.847e+05 	 1.437e+06
7.875 	 -2.861e+05 	 1.437e+06
7.925 	 -2.875e+05 	 1.438e+06
7.975 	 -2.889e+05 	 1.438e+06
8.025 	 -2.903e+05 	 1.438e+06
8.075 	 -2.916e+05 	 1.438e+06
8.125 	 -2.930e+05 	 1.438e+06
8.175 	 -2.944e+05 	 1.438e+06
8.225 	 -2.958e+05 	 1.438e+06
8.275 	 -2.972e+05 	 1.438e+06
8.325 	 -2.985e+05 	 1.438e+06
8.375 	 -2.999e+05 	 1.438e+06
8.425 	 -3.013e+05 	 1.438e+06
8.475 	 -3.027e+05 	 1.438e+06
8.525 	 1.132e+06 	 1.438e+06
8.575 	 -3.054e+05 	 1.438e+06
