Energy after passing through hohlraum (MeV),Spectrum (MeV^-1),Uncertainty (MeV^-1)
4.974999999999999645e+00,-2.582000000000000000e+05,8.203000000000000000e+06
5.025000000000000355e+00,-2.602000000000000000e+05,8.203000000000000000e+06
5.075000000000000178e+00,-2.575000000000000000e+05,5.375000000000000000e+06
5.125000000000000000e+00,-2.418000000000000000e+05,3.757000000000000000e+06
5.174999999999999822e+00,-2.435000000000000000e+05,3.757000000000000000e+06
5.224999999999999645e+00,3.510000000000000000e+06,3.757000000000000000e+06
5.275000000000000355e+00,-2.028000000000000000e+05,2.742000000000000000e+06
5.325000000000000178e+00,-2.043000000000000000e+05,2.742000000000000000e+06
5.375000000000000000e+00,-1.895000000000000000e+05,2.067000000000000000e+06
5.424999999999999822e+00,-1.908000000000000000e+05,2.067000000000000000e+06
5.474999999999999645e+00,-1.922000000000000000e+05,2.067000000000000000e+06
5.525000000000000355e+00,-1.766000000000000000e+05,1.597000000000000000e+06
5.575000000000000178e+00,-1.778000000000000000e+05,1.597000000000000000e+06
5.625000000000000000e+00,-1.791000000000000000e+05,1.597000000000000000e+06
5.674999999999999822e+00,-1.802000000000000000e+05,1.597000000000000000e+06
5.724999999999999645e+00,-1.814000000000000000e+05,1.597000000000000000e+06
5.775000000000000355e+00,-1.826000000000000000e+05,1.597000000000000000e+06
5.825000000000000178e+00,-1.838000000000000000e+05,1.597000000000000000e+06
5.875000000000000000e+00,-1.850000000000000000e+05,1.597000000000000000e+06
5.924999999999999822e+00,-1.862000000000000000e+05,1.597000000000000000e+06
5.974999999999999645e+00,-1.874000000000000000e+05,1.598000000000000000e+06
6.025000000000000355e+00,-1.886000000000000000e+05,1.598000000000000000e+06
6.075000000000000178e+00,-1.898000000000000000e+05,1.598000000000000000e+06
6.125000000000000000e+00,1.406000000000000000e+06,1.598000000000000000e+06
6.174999999999999822e+00,-1.921000000000000000e+05,1.598000000000000000e+06
6.224999999999999645e+00,1.403000000000000000e+06,1.598000000000000000e+06
6.275000000000000355e+00,-1.944000000000000000e+05,1.598000000000000000e+06
6.325000000000000178e+00,-1.956000000000000000e+05,1.598000000000000000e+06
6.375000000000000000e+00,-1.968000000000000000e+05,1.598000000000000000e+06
6.424999999999999822e+00,-1.979000000000000000e+05,1.598000000000000000e+06
6.474999999999999645e+00,-1.991000000000000000e+05,1.598000000000000000e+06
6.525000000000000355e+00,-2.002000000000000000e+05,1.598000000000000000e+06
6.575000000000000178e+00,1.395000000000000000e+06,1.598000000000000000e+06
6.625000000000000000e+00,-2.025000000000000000e+05,1.598000000000000000e+06
6.674999999999999822e+00,-2.036000000000000000e+05,1.598000000000000000e+06
6.724999999999999645e+00,-2.048000000000000000e+05,1.598000000000000000e+06
6.775000000000000355e+00,-2.059000000000000000e+05,1.598000000000000000e+06
6.825000000000000178e+00,-2.071000000000000000e+05,1.598000000000000000e+06
6.875000000000000000e+00,-2.082000000000000000e+05,1.598000000000000000e+06
6.924999999999999822e+00,-2.094000000000000000e+05,1.598000000000000000e+06
6.974999999999999645e+00,1.386000000000000000e+06,1.598000000000000000e+06
7.025000000000000355e+00,-2.117000000000000000e+05,1.598000000000000000e+06
7.075000000000000178e+00,-2.128000000000000000e+05,1.598000000000000000e+06
7.125000000000000000e+00,-2.140000000000000000e+05,1.598000000000000000e+06
7.174999999999999822e+00,-2.151000000000000000e+05,1.598000000000000000e+06
7.224999999999999645e+00,-2.162000000000000000e+05,1.598000000000000000e+06
7.275000000000000355e+00,1.379000000000000000e+06,1.598000000000000000e+06
7.325000000000000178e+00,1.378000000000000000e+06,1.598000000000000000e+06
7.375000000000000000e+00,-2.196000000000000000e+05,1.598000000000000000e+06
7.424999999999999822e+00,-2.208000000000000000e+05,1.598000000000000000e+06
7.474999999999999645e+00,-2.219000000000000000e+05,1.598000000000000000e+06
7.525000000000000355e+00,-2.230000000000000000e+05,1.598000000000000000e+06
7.575000000000000178e+00,-2.241000000000000000e+05,1.598000000000000000e+06
7.625000000000000000e+00,4.565000000000000000e+06,2.766000000000000000e+06
7.674999999999999822e+00,-2.264000000000000000e+05,1.598000000000000000e+06
7.724999999999999645e+00,-2.275000000000000000e+05,1.598000000000000000e+06
7.775000000000000355e+00,-2.286000000000000000e+05,1.598000000000000000e+06
7.825000000000000178e+00,-2.298000000000000000e+05,1.598000000000000000e+06
7.875000000000000000e+00,1.366000000000000000e+06,1.598000000000000000e+06
7.924999999999999822e+00,1.365000000000000000e+06,1.598000000000000000e+06
7.974999999999999645e+00,-2.331000000000000000e+05,1.598000000000000000e+06
8.025000000000000355e+00,-2.343000000000000000e+05,1.598000000000000000e+06
8.074999999999999289e+00,-2.354000000000000000e+05,1.598000000000000000e+06
8.125000000000000000e+00,-2.365000000000000000e+05,1.598000000000000000e+06
8.175000000000000711e+00,1.359000000000000000e+06,1.598000000000000000e+06
8.224999999999999645e+00,-2.387000000000000000e+05,1.598000000000000000e+06
8.275000000000000355e+00,1.357000000000000000e+06,1.598000000000000000e+06
8.324999999999999289e+00,-2.409000000000000000e+05,1.598000000000000000e+06
8.375000000000000000e+00,-2.421000000000000000e+05,1.598000000000000000e+06
8.425000000000000711e+00,-2.431000000000000000e+05,1.598000000000000000e+06
8.474999999999999645e+00,-2.443000000000000000e+05,1.598000000000000000e+06
8.525000000000000355e+00,-2.454000000000000000e+05,1.598000000000000000e+06
8.574999999999999289e+00,-2.465000000000000000e+05,1.598000000000000000e+06
8.625000000000000000e+00,-2.476000000000000000e+05,1.598000000000000000e+06
8.675000000000000711e+00,-2.487000000000000000e+05,1.598000000000000000e+06
8.724999999999999645e+00,-2.498000000000000000e+05,1.598000000000000000e+06
8.775000000000000355e+00,1.346000000000000000e+06,1.598000000000000000e+06
8.824999999999999289e+00,-2.520000000000000000e+05,1.598000000000000000e+06
8.875000000000000000e+00,-2.530000000000000000e+05,1.598000000000000000e+06
8.925000000000000711e+00,-2.542000000000000000e+05,1.598000000000000000e+06
8.974999999999999645e+00,-2.552000000000000000e+05,1.598000000000000000e+06
9.025000000000000355e+00,-2.563000000000000000e+05,1.598000000000000000e+06
9.074999999999999289e+00,-2.574000000000000000e+05,1.598000000000000000e+06
9.125000000000000000e+00,1.338000000000000000e+06,1.598000000000000000e+06
9.175000000000000711e+00,-2.596000000000000000e+05,1.598000000000000000e+06
9.224999999999999645e+00,-2.607000000000000000e+05,1.598000000000000000e+06
