WRF ANALYSIS
Date & time = ,2024-03-01, 08:55
Display format=,3
Program version:,2021-05-25

Scan file = ,N231227-001-999_WRF_090-078_3_13425875_AL_13517463_S1_40X_5HR_B
Port & distance (cm) =,781,53.0
WRF ID; Al blast(um) & cal=,13425875-g045 ~,0,cal13.0225

Data ixlims; iylims; x0; x1; y0; y1 (cm) =,(24-77),(0-63),-1.119,1.158,-0.981,1.000
Back x0; x1; y0; y1 (cm) =,64,71,0,63,
C; e; Dmax; dDmax; Dscale =,8,15,24.20,0.25,new
Dlow; Dhigh; Dauto; Elims =,6.00,18.00,no

DvE fit: c; dc; red. Chi^2 =, 1.200,0.400,14.38

Fit limits (MeV):,9.000,16.000,
Evaluation limits (MeV):,0.000,0.000,

,Mean,Sigma,Yield
,(MeV),(MeV),(4 pi)

Value (gaussian fit):,  - ,  - ,  - 
Value (raw stats):, 11.911,1.441,4.287e+07
Uncertainties
    Random:, 0.993,0.782,377.46%
    Systematic calib:, 0.059,0.000,0.00%

Itemized random 
 uncertainties
     Counting & fit:, 0.467,0.781,33.94%
     DvE:, 0.874,0.045,375.93%
     Dmax:, 0.009,0.000,0.36%
     WRF nonlinearity:, 0.016,0.000,0.00%
     Cal. & processing:, 0.058,0.000,0.00%

PROTON SPECTRUM
Energy 	 Yield/MeV 	Stat. Error
2.750 	 0.000e+00 	 0.000e+00
3.250 	 0.000e+00 	 0.000e+00
3.750 	 0.000e+00 	 0.000e+00
4.250 	 0.000e+00 	 0.000e+00
4.750 	 0.000e+00 	 0.000e+00
5.250 	 -1.410e+06 	 1.448e+06
5.750 	 1.472e+06 	 1.452e+06
6.250 	 5.924e+05 	 1.010e+06
6.750 	 1.286e+05 	 6.708e+05
7.250 	 -9.777e+05 	 4.383e+05
7.750 	 7.430e+05 	 8.128e+05
8.250 	 -1.048e+05 	 6.850e+05
8.750 	 1.361e+06 	 9.339e+05
9.250 	 1.286e+06 	 9.377e+05
9.750 	 3.267e+06 	 1.189e+06
10.250 	 9.616e+06 	 1.753e+06
10.750 	 1.160e+07 	 1.900e+06
11.250 	 1.101e+07 	 1.867e+06
11.750 	 1.454e+07 	 2.102e+06
12.250 	 9.584e+06 	 1.781e+06
12.750 	 5.917e+06 	 1.502e+06
13.250 	 7.131e+06 	 1.611e+06
13.750 	 1.153e+06 	 1.042e+06
14.250 	 4.423e+06 	 1.397e+06
14.750 	 3.070e+06 	 1.278e+06
15.250 	 2.231e+06 	 1.202e+06
15.750 	 1.649e+06 	 1.150e+06
16.250 	 -7.302e+05 	 8.589e+05
16.750 	 7.443e+05 	 1.070e+06
17.250 	 -9.303e+04 	 9.779e+05
17.750 	 6.114e+05 	 1.079e+06
18.250 	 -9.962e+05 	 8.830e+05
18.750 	 2.227e+05 	 1.059e+06
19.250 	 -5.021e+05 	 9.306e+05
19.750 	 0.000e+00 	 0.000e+00
