Energy after passing through hohlraum (MeV),Spectrum (MeV^-1),Uncertainty (MeV^-1)
6.250000000000000000e+00,4.391000000000000000e+05,7.581000000000000000e+05
6.750000000000000000e+00,-2.400000000000000000e+05,6.326000000000000000e+05
7.250000000000000000e+00,-3.199000000000000000e+05,6.364000000000000000e+05
7.750000000000000000e+00,-6.982000000000000000e+05,5.662000000000000000e+05
8.250000000000000000e+00,4.203000000000000000e+05,8.270000000000000000e+05
8.750000000000000000e+00,-1.452000000000000000e+06,3.900000000000000000e+05
9.250000000000000000e+00,-3.225000000000000000e+04,7.780000000000000000e+05
9.750000000000000000e+00,1.913000000000000000e+05,8.370000000000000000e+05
1.025000000000000000e+01,-1.828000000000000000e+05,7.855000000000000000e+05
1.075000000000000000e+01,1.239000000000000000e+06,1.035000000000000000e+06
1.125000000000000000e+01,-9.291000000000000000e+05,6.711000000000000000e+05
1.175000000000000000e+01,1.947000000000000000e+05,9.027000000000000000e+05
1.225000000000000000e+01,7.207000000000000000e+05,1.000000000000000000e+06
1.275000000000000000e+01,-5.480000000000000000e+05,8.057000000000000000e+05
1.325000000000000000e+01,2.784000000000000000e+05,9.616000000000000000e+05
1.375000000000000000e+01,5.067000000000000000e+05,1.011000000000000000e+06
1.425000000000000000e+01,1.633000000000000000e+06,1.178000000000000000e+06
1.475000000000000000e+01,-2.320000000000000000e+05,9.257000000000000000e+05
1.525000000000000000e+01,-1.199000000000000000e+06,7.719000000000000000e+05
1.575000000000000000e+01,2.279000000000000000e+05,1.025000000000000000e+06
1.625000000000000000e+01,1.356000000000000000e+06,1.190000000000000000e+06
1.675000000000000000e+01,6.898000000000000000e+05,1.116000000000000000e+06
1.725000000000000000e+01,-2.756000000000000000e+05,9.928000000000000000e+05
1.775000000000000000e+01,2.554000000000000000e+05,1.083000000000000000e+06
1.825000000000000000e+01,-7.094000000000000000e+05,9.554000000000000000e+05
1.875000000000000000e+01,1.318000000000000000e+06,1.244000000000000000e+06
1.925000000000000000e+01,-1.752000000000000000e+06,7.352000000000000000e+05
