Title: P in a C-D plasma (Ni = 1.71e+24/cm^3, Ti=Te= 2.50e-01 keV)
Header: Electron degeneracy correction used.
rho = 20.000000 gm/cm^3
rhoR (g/cm^2)	Energy (MeV)
0.0000e+00	1.5000e+01
6.2558e-03	1.4848e+01
1.2461e-02	1.4697e+01
1.8615e-02	1.4545e+01
2.4718e-02	1.4394e+01
3.0769e-02	1.4242e+01
3.6770e-02	1.4091e+01
4.2719e-02	1.3939e+01
4.8617e-02	1.3788e+01
5.4463e-02	1.3636e+01
6.0258e-02	1.3485e+01
6.6001e-02	1.3333e+01
7.1693e-02	1.3182e+01
7.7332e-02	1.3030e+01
8.2920e-02	1.2879e+01
8.8456e-02	1.2727e+01
9.3939e-02	1.2576e+01
9.9371e-02	1.2424e+01
1.0475e-01	1.2273e+01
1.1008e-01	1.2121e+01
1.1535e-01	1.1970e+01
1.2057e-01	1.1818e+01
1.2574e-01	1.1667e+01
1.3086e-01	1.1515e+01
1.3592e-01	1.1364e+01
1.4093e-01	1.1212e+01
1.4589e-01	1.1061e+01
1.5079e-01	1.0909e+01
1.5564e-01	1.0758e+01
1.6044e-01	1.0606e+01
1.6518e-01	1.0455e+01
1.6987e-01	1.0303e+01
1.7450e-01	1.0152e+01
1.7908e-01	1.0000e+01
1.8361e-01	9.8485e+00
1.8808e-01	9.6970e+00
1.9250e-01	9.5455e+00
1.9687e-01	9.3939e+00
2.0118e-01	9.2424e+00
2.0543e-01	9.0909e+00
2.0963e-01	8.9394e+00
2.1377e-01	8.7879e+00
2.1786e-01	8.6364e+00
2.2190e-01	8.4848e+00
2.2587e-01	8.3333e+00
2.2980e-01	8.1818e+00
2.3366e-01	8.0303e+00
2.3747e-01	7.8788e+00
2.4123e-01	7.7273e+00
2.4492e-01	7.5758e+00
2.4856e-01	7.4242e+00
2.5215e-01	7.2727e+00
2.5568e-01	7.1212e+00
2.5914e-01	6.9697e+00
2.6256e-01	6.8182e+00
2.6591e-01	6.6667e+00
2.6921e-01	6.5152e+00
2.7245e-01	6.3636e+00
2.7563e-01	6.2121e+00
2.7875e-01	6.0606e+00
2.8181e-01	5.9091e+00
2.8481e-01	5.7576e+00
2.8776e-01	5.6061e+00
2.9064e-01	5.4545e+00
2.9346e-01	5.3030e+00
2.9623e-01	5.1515e+00
2.9893e-01	5.0000e+00
3.0157e-01	4.8485e+00
3.0415e-01	4.6970e+00
3.0667e-01	4.5455e+00
3.0913e-01	4.3939e+00
3.1153e-01	4.2424e+00
3.1386e-01	4.0909e+00
3.1613e-01	3.9394e+00
3.1834e-01	3.7879e+00
3.2048e-01	3.6364e+00
3.2256e-01	3.4848e+00
3.2457e-01	3.3333e+00
3.2652e-01	3.1818e+00
3.2840e-01	3.0303e+00
3.3022e-01	2.8788e+00
3.3198e-01	2.7273e+00
3.3366e-01	2.5758e+00
3.3528e-01	2.4242e+00
3.3684e-01	2.2727e+00
3.3833e-01	2.1212e+00
3.3975e-01	1.9697e+00
3.4111e-01	1.8182e+00
3.4241e-01	1.6667e+00
3.4365e-01	1.5152e+00
3.4482e-01	1.3636e+00
3.4594e-01	1.2121e+00
3.4700e-01	1.0606e+00
3.4801e-01	9.0909e-01
3.4898e-01	7.5758e-01
3.4991e-01	6.0606e-01
3.5081e-01	4.5455e-01
3.5172e-01	3.0303e-01
3.5270e-01	1.5152e-01
3.5388e-01	3.7500e-04
